lat,lon,alt,gs,track,vs
-24.038361,30.835876,4250,144.0,344.0,0
-24.03067,30.833639,4275,142.0,345.0,0
-24.020782,30.830841,4250,141.0,344.0,0
-24.015106,30.829264,4250,142.0,346.0,0
-24.003571,30.826059,4250,142.0,346.0,0
-23.997911,30.824371,4250,141.0,344.0,0
-23.990324,30.822092,4250,141.0,345.0,0
-23.976963,30.818361,4250,141.0,346.0,0
-23.96756,30.815718,4275,141.0,346.0,0
-23.954338,30.811987,4275,141.0,346.0,0
-23.944841,30.809292,4250,142.0,345.0,0
-23.933344,30.805923,4250,142.0,346.0,0
-23.923645,30.803171,4250,140.0,345.0,0
-23.910507,30.799459,4250,140.0,345.0,0
-23.900986,30.79661,4250,141.0,344.0,0
-23.893524,30.794474,4300,138.0,345.0,0
-23.886093,30.79245,4250,141.0,346.0,0
-23.876633,30.789846,4250,139.0,345.0,0
-23.863266,30.78598,4275,138.0,346.0,0
-23.854158,30.783432,4250,139.0,345.0,0
-23.843172,30.780167,4250,139.0,345.0,0
-23.831953,30.777109,4250,139.0,346.0,0
-23.820454,30.773846,4250,139.0,346.0,0
-23.811237,30.771151,4275,139.0,345.0,0
-23.801559,30.768484,4275,139.0,345.0,0
-23.788834,30.764872,4275,140.0,346.0,0
-23.782932,30.763119,4275,139.0,345.0,0
-23.767851,30.758921,4250,139.0,346.0,0
-23.760223,30.756735,4250,139.0,345.0,0
-23.749369,30.753479,4275,138.0,345.0,0
-23.74054,30.750986,4275,140.0,346.0,0
-23.72644,30.74707,4250,140.0,345.0,0
-23.715271,30.743967,4250,140.0,346.0,0
-23.705978,30.741323,4275,140.0,346.0,0
-23.698151,30.739035,4250,141.0,346.0,0
-23.68643,30.735704,4250,141.0,346.0,0
-23.680099,30.733942,4250,141.0,345.0,0
