lat,lon,alt,gs,track
30.927933,29.835474,6050,277.2,46.2
31.188463,30.156372,18075,0.0,0.0
31.154201,30.270905,19800,385.4,138.6
31.138047,30.287439,20150,389.7,138.7
31.112183,30.314349,20900,393.0,138.0
31.102388,30.324628,21200,393.0,138.0
31.090988,30.336752,21550,392.8,137.6
31.085536,30.342535,21700,392.8,137.6
31.073776,30.355063,22000,392.8,137.6
31.064026,30.365403,22200,397.8,137.6
31.057465,30.372198,22325,397.8,137.6
31.037261,30.391479,22725,403.2,141.1
31.022132,30.405597,23075,404.8,141.3
31.014999,30.41231,23200,404.8,141.3
31.001633,30.424859,23450,410.3,141.0
30.982727,30.442577,23775,414.5,141.0
30.964645,30.459595,24175,418.1,141.0
30.955655,30.467999,24350,419.5,141.0
30.921765,30.49986,25075,420.9,141.0
30.915667,30.505573,25225,421.7,141.1
30.909057,30.51178,25425,421.7,141.1
30.89267,30.527161,25775,421.7,141.1
30.880188,30.538761,25975,423.9,141.1
30.857803,30.559764,26350,428.1,141.1
30.838303,30.577967,26725,429.5,141.1
30.81665,30.598242,27100,431.7,141.1
30.810273,30.60423,27225,433.1,141.1
30.789047,30.624067,27575,434.5,141.1
30.766746,30.644879,27875,439.5,141.1
30.73942,30.670312,28175,445.3,141.2
30.72848,30.68053,28300,448.1,141.2
30.709625,30.698117,28650,448.1,141.2
30.691192,30.715302,29025,448.1,141.2
30.673782,30.731506,29350,448.1,141.2
30.654416,30.749524,29700,446.7,141.2
30.636841,30.765866,30075,446.0,141.3
30.623691,30.778088,30275,446.0,141.3
30.601135,30.799094,30575,448.1,141.2
30.580627,30.818158,30875,448.8,141.2
30.572298,30.825879,30925,448.8,141.2
30.567456,30.830383,30950,448.8,141.2
30.535289,30.860156,31000,447.4,141.3
30.502945,30.890108,31000,448.8,141.2
30.474884,30.91612,31000,450.3,141.2
30.443115,30.945524,30975,451.0,141.3
30.412811,30.973583,30975,452.4,141.3
30.390701,30.993993,30975,452.4,141.3
30.358337,31.023883,31000,453.2,141.4
30.32571,31.05401,30975,454.6,141.3
30.292877,31.084308,30975,455.2,141.2
30.262207,31.112635,31000,454.6,141.3
30.229161,31.143054,31000,455.4,141.4
30.197273,31.172333,31000,455.4,141.4
30.168365,31.19891,31000,455.4,141.4
30.135451,31.229077,31000,456.2,141.5
30.102402,31.259335,31000,457.6,141.5
30.072647,31.286639,31000,459.0,141.5
30.040997,31.315594,30975,459.0,141.5
30.008102,31.345556,31000,458.4,141.6
29.976425,31.374476,31000,458.4,141.6
29.950333,31.39828,31000,457.0,141.6
29.918797,31.427051,31000,456.2,141.5
29.908649,31.436355,31000,457.0,141.6
