lat,lon,alt,gs,track
5.022754,73.447723,6650,134.0,358.7
5.029597,73.447439,6625,136.2,357.0
5.033647,73.447155,6625,136.5,355.0
5.052063,73.44365,6650,136.5,355.0
5.053894,73.443324,6650,0.0,0.0
5.104453,73.435174,6475,0.0,0.0
5.107773,73.434805,6425,0.0,0.0
5.139972,73.431007,6250,0.0,0.0
5.186059,73.421347,5875,0.0,0.0
5.186664,73.421205,5875,0.0,0.0
5.202166,73.417795,5650,143.4,347.5
5.206588,73.416753,5600,143.4,347.5
5.222649,73.412965,5400,0.0,0.0
5.226196,73.412134,5350,142.1,346.2
5.2397,73.409015,5225,142.1,346.2
5.24382,73.408131,5175,141.2,347.7
5.283213,73.398948,4775,142.2,349.9
5.291336,73.397656,4725,141.6,351.5
5.297836,73.396772,4650,140.2,352.6
5.306303,73.39568,4600,138.2,352.5
5.314865,73.394491,4550,138.3,352.1
5.325165,73.393048,4500,137.3,352.0
5.333725,73.391837,4425,137.6,351.2
5.340938,73.390566,4400,137.3,349.5
5.348712,73.389145,4350,136.5,349.0
5.355652,73.387927,4300,136.8,350.7
5.363525,73.386763,4225,136.3,352.0
5.370685,73.385689,4175,136.9,350.3
5.378459,73.384315,4125,136.9,350.3
5.386597,73.382946,4050,135.8,350.7
5.393372,73.381875,3975,136.8,350.7
5.401922,73.380527,3925,134.6,351.0
5.407333,73.379641,3850,135.8,350.7
5.415236,73.378349,3775,134.8,350.6
5.421112,73.37736,3700,136.0,350.3
5.429169,73.376056,3650,134.6,351.0
5.435672,73.374986,3575,133.8,350.5
5.443588,73.373775,3525,133.4,351.8
5.45137,73.372704,3450,134.4,351.9
5.457924,73.371624,3400,133.0,350.0
5.461121,73.370982,3375,133.2,347.4
5.464814,73.370014,3325,133.0,344.3
5.470001,73.368561,3250,134.1,345.8
5.474869,73.367315,3225,132.6,343.3
5.477662,73.366368,3200,131.6,340.5
5.479889,73.365489,3175,131.3,337.1
5.482131,73.364379,3150,130.6,333.6
5.484878,73.362863,3100,130.4,330.1
5.487298,73.361301,3075,130.4,325.9
5.490829,73.358785,3025,130.0,323.1
5.496414,73.354503,2950,128.4,322.6
5.500443,73.351523,2875,129.9,324.7
5.503918,73.349178,2850,129.0,327.7
5.506012,73.348041,2825,128.8,332.2
5.5082,73.347047,2800,130.4,337.0
5.510063,73.346384,2775,131.6,341.8
5.51253,73.345721,2725,132.9,346.1
5.515869,73.345052,2725,132.2,349.5
5.521421,73.344111,2675,133.2,349.6
5.527892,73.342548,2600,131.7,344.6
5.532547,73.341128,2550,131.2,342.3
5.538413,73.339186,2475,130.9,342.7
5.542603,73.337976,2450,131.2,345.4
5.546234,73.33715,2425,132.8,348.3
5.54924,73.336626,2375,132.8,350.5
5.554321,73.335975,2350,134.1,352.7
5.557639,73.335729,2300,135.3,356.2
5.564575,73.335416,2250,135.1,357.9
5.572582,73.335114,2175,136.0,358.7
5.580775,73.334924,2125,135.1,358.3
5.588699,73.334578,2075,134.2,357.0
5.594742,73.334252,2000,134.3,356.2
5.601471,73.333694,1925,135.4,355.8
5.609638,73.333219,1875,135.2,357.0
5.61555,73.33284,1800,135.2,356.6
5.623557,73.332604,1750,137.1,357.9
5.630586,73.332556,1700,135.0,359.6
5.638081,73.332604,1625,136.0,1.3
5.650543,73.333042,1600,133.1,2.2
5.658417,73.333321,1550,135.1,2.1
5.665175,73.333598,1475,136.1,2.5
5.674857,73.334024,1375,138.1,2.5
5.680206,73.334299,1300,139.2,3.3
5.68589,73.334593,1225,140.1,2.5
5.691989,73.334735,1150,140.0,0.4
5.695759,73.33464,1125,138.2,357.1
5.700668,73.334252,1075,137.6,354.6
5.705582,73.333646,1050,137.2,352.5
5.712433,73.332576,1000,133.7,351.0
5.717592,73.331657,925,131.4,349.0
5.720991,73.330852,900,129.8,346.2
5.724017,73.329952,850,128.7,342.8
5.72546,73.329478,825,127.8,341.3
5.733765,73.325361,725,127.8,341.3
5.733979,73.325216,725,116.0,321.6
5.737331,73.32247,700,111.5,320.5
5.743848,73.316929,675,107.4,321.4
5.747758,73.31352,675,106.0,321.5
5.747851,73.313378,675,100.7,302.4
5.748367,73.311628,675,99.5,279.8
5.748322,73.310697,675,99.5,279.8
5.74823,73.309999,650,100.4,264.9
5.748084,73.309589,650,102.2,253.5
5.747498,73.308416,650,103.3,242.9
5.747086,73.307811,650,103.3,242.9
5.746628,73.307252,625,107.0,228.4
5.744686,73.305801,650,107.4,212.1
5.743755,73.305375,650,109.3,203.8
5.742508,73.304971,650,111.1,195.7
5.741334,73.304806,650,110.9,187.2
5.740265,73.304785,675,110.0,181.0
5.738867,73.304854,700,110.5,174.8
5.737563,73.305091,675,113.0,169.3
5.736213,73.305422,675,114.3,164.3
5.734491,73.306085,650,117.2,158.5
5.733078,73.306786,675,115.8,152.8
