lat,lon,alt,gs,track,vs
23.197449,77.637634,38000,490.0,270.0,0
23.197311,77.603828,38000,494.0,270.0,0
23.197212,77.566833,38000,494.0,270.0,0
23.197037,77.520782,38000,494.0,270.0,0
23.196854,77.475838,38000,494.0,270.0,0
23.196608,77.42498,38000,490.0,270.0,-32
23.196421,77.385918,38000,490.0,270.0,0
23.196188,77.333832,38000,495.0,270.0,0
23.19591,77.281647,38000,490.0,270.0,0
23.195677,77.236885,38000,490.0,270.0,32
23.195389,77.191437,38000,497.0,270.0,0
23.195114,77.140106,38000,497.0,270.0,0
23.194885,77.102249,38000,490.0,270.0,0
23.194653,77.065071,38000,490.0,270.0,0
23.194382,77.027092,38000,496.0,270.0,0
23.194016,76.977158,38000,496.0,269.0,0
23.193674,76.932167,38000,490.0,269.0,0
23.193628,76.922859,36000,495.0,270.0,0
23.193209,76.872353,36000,495.0,269.0,0
23.193146,76.863396,38000,495.0,270.0,0
23.192791,76.819611,38000,495.0,270.0,0
23.192417,76.77475,38000,490.0,269.0,0
23.192045,76.730705,38000,490.0,269.0,0
23.191727,76.693309,38000,490.0,270.0,0
23.191486,76.670586,38000,490.0,270.0,0
23.190975,76.61631,38000,495.0,269.0,0
23.190696,76.584676,38000,495.0,270.0,0
23.190371,76.551514,38000,495.0,269.4,0
23.189765,76.492106,38000,496.0,269.3,0
23.189346,76.452789,38000,496.0,269.3,0
23.188973,76.418711,38000,496.0,269.3,0
23.188705,76.394981,40550,496.0,270.0,0
23.188202,76.350784,40550,490.0,269.0,0
23.188135,76.343437,38000,490.0,269.0,0
23.187378,76.277177,38000,494.0,269.3,0
23.186829,76.229836,38000,494.0,269.3,0
23.186227,76.182149,38000,494.1,269.2,0
23.185761,76.141408,38000,494.1,269.2,0
23.185295,76.107483,38000,494.1,269.2,0
23.184969,76.082253,38000,493.1,269.2,0
23.184737,76.062215,38000,493.1,269.0,0
23.184402,76.035629,38000,493.1,270.0,0
23.183527,75.971832,38000,493.1,269.0,0
23.182938,75.924067,38000,494.0,269.3,0
23.182782,75.907745,38000,494.0,269.3,0
23.182251,75.860695,38000,494.0,269.3,0
23.181525,75.799306,38000,494.1,269.2,0
23.181015,75.759422,38000,495.0,269.2,0
23.179756,75.72347,38000,495.0,269.2,0
23.17808,75.696968,38000,495.2,266.1,0
23.173187,75.633129,38000,495.7,265.3,0
23.170807,75.60002,38000,495.5,265.6,0
23.168106,75.559271,38000,495.2,266.0,0
23.165138,75.512034,38000,495.1,266.2,0
23.163071,75.477622,38000,495.1,266.2,0
23.160004,75.428134,38000,495.1,266.2,0
23.157028,75.379395,38000,494.1,266.2,0
23.154012,75.331319,38000,494.1,266.2,0
23.151126,75.285136,38000,494.2,266.0,0
23.148007,75.235952,38000,494.2,266.0,0
23.145081,75.189531,38000,495.2,266.1,0
23.142746,75.152177,38000,495.2,266.1,0
23.139767,75.10554,38000,494.2,266.0,0
23.137253,75.066484,38000,494.2,266.0,0
23.134926,75.030416,38000,494.2,265.9,0
23.131989,74.985485,38000,494.2,266.0,0
23.128874,74.936829,38000,494.2,265.9,0
23.126358,74.897944,38000,494.2,265.9,0
23.123199,74.849804,38000,494.2,265.9,0
23.119936,74.800466,38000,495.2,266.0,0
23.116771,74.75235,38000,495.2,266.0,0
23.113541,74.704135,38000,494.2,265.9,0
23.110346,74.655914,38000,494.2,265.9,0
23.107086,74.606906,38000,494.3,265.8,0
23.103783,74.558309,38000,493.3,265.8,0
23.10054,74.510126,38000,493.3,265.8,0
23.09729,74.462336,38000,492.3,265.8,0
23.093994,74.414096,38000,492.3,265.8,0
23.090652,74.365207,38000,491.3,265.8,0
23.087265,74.315818,38000,491.4,265.7,0
23.083923,74.267578,38000,491.4,265.7,0
23.080553,74.218394,38000,491.4,265.7,0
23.077103,74.16925,38000,490.4,265.7,0
23.073756,74.121704,38000,490.4,265.7,0
23.070282,74.072621,38000,489.4,265.7,0
23.066895,74.024331,38000,487.4,265.6,0
23.063468,73.97583,38000,485.4,265.6,0
23.060023,73.92807,38000,485.4,265.6,0
23.056625,73.880107,38000,484.5,265.5,0
23.053207,73.832819,38000,484.5,265.5,0
23.049774,73.785228,38000,484.5,265.5,0
23.046295,73.737138,38000,485.5,265.5,0
23.04277,73.688898,38000,486.5,265.5,0
23.039291,73.641557,38000,486.5,265.5,0
23.03577,73.59314,38000,487.6,265.4,0
23.032185,73.544871,38000,488.6,265.4,0
23.02858,73.496288,38000,489.6,265.4,0
23.025009,73.447948,38000,489.6,265.4,0
23.021393,73.399608,38000,488.6,265.4,0
23.017847,73.352407,38000,488.6,265.3,0
23.014263,73.30485,38000,488.6,265.3,0
23.010635,73.256536,38000,488.6,265.3,0
23.007019,73.208596,38000,489.6,265.3,0
23.003323,73.160299,38000,489.6,265.3,0
23.000748,73.127047,38050,490.6,265.3,448
22.997223,73.081155,38275,489.7,265.2,768
22.993561,73.033114,38500,488.7,265.2,512
22.989869,72.985789,38625,489.7,265.2,320
22.986098,72.937113,38700,491.7,265.2,256
22.9823,72.888494,38825,491.8,265.1,576
22.978743,72.842814,39050,489.7,265.2,768
22.975296,72.799056,39275,487.7,265.2,704
22.971528,72.751211,39425,486.7,265.2,320
22.967697,72.702725,39525,487.8,265.1,256
22.963846,72.654114,39625,488.8,265.1,256
22.959983,72.606099,39675,490.8,265.1,192
22.956161,72.558355,39750,491.8,265.1,192
22.952271,72.509866,39825,492.9,265.0,256
22.948391,72.461344,39925,492.9,265.0,448
22.944481,72.413025,40000,492.9,265.0,0
22.940477,72.364197,40000,491.9,265.0,64
22.936523,72.315607,40000,490.9,265.0,-64
22.932517,72.266541,40000,490.9,265.0,0
22.928606,72.219238,40000,490.9,265.0,0
22.924622,72.170488,40000,490.0,264.9,0
22.920593,72.121848,40000,490.0,264.9,0
22.916596,72.073924,40000,490.0,264.9,0
22.912546,72.025859,40000,490.0,264.9,0
22.908542,71.977844,40000,490.0,264.9,0
22.904526,71.929588,40000,490.0,264.9,0
22.900396,71.880849,40000,490.1,264.7,0
22.896378,71.833457,40000,490.1,264.7,0
22.892212,71.784418,40000,490.1,264.7,0
22.888106,71.736348,40000,490.1,264.7,0
22.883916,71.687317,40000,489.1,264.7,0
22.879807,71.639199,40000,489.1,264.7,0
22.875595,71.59056,40000,489.1,264.7,0
22.871475,71.542819,40000,489.2,264.6,0
22.867251,71.494191,40000,489.2,264.6,0
22.863098,71.446639,40000,490.2,264.6,0
22.858918,71.398773,40000,490.2,264.6,0
22.854635,71.349945,40000,491.2,264.6,0
22.850418,71.302518,40000,491.3,264.5,0
22.846162,71.254323,40000,492.2,264.5,0
22.841995,71.207037,40000,492.2,264.5,0
22.83769,71.158803,40000,492.2,264.5,0
22.833314,71.109823,40000,492.2,264.5,0
22.828949,71.060919,40000,492.2,264.5,0
22.8246,71.012679,40000,492.3,264.4,0
22.820233,70.964355,40000,492.3,264.4,0
22.815903,70.916099,40000,492.3,264.4,0
22.811993,70.871226,40000,492.5,265.5,0
22.81069,70.847778,40000,491.5,267.4,0
22.810226,70.825062,40000,492.0,269.5,0
22.81041,70.806478,40000,492.0,270.5,0
22.811155,70.787099,40000,491.6,272.9,0
22.812971,70.759583,40000,491.6,274.7,0
22.816544,70.711454,40000,492.4,274.3,0
22.818185,70.686035,40000,492.1,273.9,0
22.82048,70.648232,40000,492.1,273.9,0
22.823352,70.59962,40000,492.0,273.7,0
22.826238,70.551707,40000,491.1,273.9,0
22.829264,70.503235,40000,490.1,273.9,0
22.832197,70.455983,40000,489.1,273.9,0
22.835175,70.408281,40000,488.1,273.9,0
22.83815,70.359841,40000,488.1,273.8,0
22.839569,70.337369,40000,487.1,273.8,0
22.841087,70.312042,40000,487.1,273.8,0
22.844147,70.261612,40000,487.1,274.0,0
22.847626,70.204434,40000,488.1,273.8,0
22.850538,70.156047,40000,489.0,273.8,0
22.853192,70.111745,40000,489.0,273.8,0
22.853668,70.104059,40000,489.0,273.8,0
22.855362,70.075645,40000,489.0,273.6,0
22.858871,70.016225,40000,490.0,273.6,0
22.859476,70.005951,40000,490.0,273.6,0
22.860966,69.980873,40000,490.0,273.6,0
22.8647,69.917342,40000,491.0,273.6,0
22.864883,69.914645,40000,491.0,273.6,0
22.866274,69.8909,40000,491.0,273.6,0
22.869811,69.830221,40000,491.0,273.6,0
22.872604,69.781901,40000,491.0,273.6,0
22.87549,69.732107,40000,492.0,273.6,0
22.878159,69.68553,40000,492.0,273.6,0
22.88117,69.63679,40000,492.2,274.0,0
22.884018,69.593695,40000,492.3,274.2,0
22.887222,69.546303,40000,491.2,274.1,0
22.890289,69.499262,40000,491.2,274.0,0
22.893366,69.451345,40000,491.2,274.0,0
22.895004,69.425154,40000,491.1,273.9,0
22.897202,69.390251,40000,491.1,274.0,0
22.897385,69.38755,42650,491.1,274.0,0
22.899216,69.358138,40000,491.1,274.0,0
22.9021,69.312245,40000,491.1,273.9,0
22.902695,69.302657,40000,492.1,273.9,0
22.904352,69.276024,40000,492.1,274.0,0
22.90741,69.227249,40000,492.0,274.0,0
22.909893,69.187622,40000,490.0,274.0,0
22.912313,69.148102,40000,491.0,274.0,-32
22.916224,69.084371,40000,491.0,273.7,0
22.918365,69.048971,40000,491.0,273.7,0
22.923067,68.971659,40000,491.0,273.7,0
22.92586,68.924815,40000,491.0,273.7,0
22.92865,68.878285,40000,492.0,273.7,0
22.931488,68.830844,40000,492.0,273.7,0
22.93396,68.78952,40000,493.0,273.7,0
22.936798,68.741205,40000,494.0,273.7,0
22.939546,68.694967,40000,494.0,273.6,0
22.942062,68.651667,40000,494.0,273.6,0
22.944527,68.609568,40000,494.0,273.6,0
22.947235,68.562528,40000,495.0,273.6,0
22.950073,68.513339,40000,495.0,273.6,0
22.95286,68.464864,40000,495.0,273.6,0
22.955658,68.41591,40000,494.9,273.5,0
22.957795,68.374278,40000,494.4,272.3,0
22.958176,68.349942,40000,494.0,270.4,0
22.957855,68.302701,40000,494.0,269.5,0
22.957718,68.254311,40000,494.0,270.0,0
22.957841,68.20521,40000,494.0,270.2,0
22.957981,68.156637,40000,494.0,270.1,0
22.958038,68.111139,40000,494.0,270.0,0
22.957993,68.063149,40000,495.0,270.0,0
22.957947,68.01436,40000,495.0,269.9,0
22.957947,67.96602,40000,496.0,270.0,0
22.957855,67.91788,40000,496.0,269.9,0
22.957809,67.870439,40000,496.0,269.9,0
22.957795,67.823385,40000,497.0,270.1,0
22.957947,67.77326,40000,497.0,270.2,0
22.95813,67.725719,40000,497.0,270.2,0
22.958214,67.676849,40000,497.0,270.1,0
22.958313,67.62849,40000,496.0,270.1,0
22.9584,67.579905,40000,496.0,270.1,0
22.958446,67.534231,40000,496.0,270.0,0
22.95845,67.489263,40000,496.0,270.0,0
22.958493,67.440338,40000,496.0,270.0,0
22.95845,67.392384,40000,497.0,270.0,0
22.958446,67.344106,40000,497.0,270.0,0
22.95845,67.336753,40000,497.0,270.0,0
22.958405,67.308136,38000,497.0,270.0,0
22.958401,67.294106,40000,497.0,270.0,0
22.958401,67.287849,40000,497.0,270.0,0
22.958353,67.21461,40000,498.0,270.0,0
22.958267,67.173007,40000,498.0,269.9,0
22.958214,67.139587,40000,498.0,269.9,0
22.958176,67.120621,40000,498.0,270.0,0
22.958121,67.086436,40000,499.0,269.9,0
22.958084,67.060547,40000,499.0,270.0,-32
22.957934,67.012482,40000,499.0,269.8,0
22.957888,66.988729,40000,500.0,269.9,0
22.957795,66.95399,40000,500.0,269.8,0
22.957841,66.903585,40000,499.0,270.2,-64
22.957981,66.883138,40000,498.0,270.5,0
22.958353,66.841075,40000,498.0,270.5,0
22.958817,66.79288,40000,493.0,270.6,0
22.959137,66.746887,40000,492.0,270.4,0
22.959331,66.711934,40000,492.0,270.4,0
22.959549,66.667486,40000,492.0,270.2,0
22.959732,66.619945,40000,492.0,270.4,0
22.960007,66.571106,40000,493.0,270.4,0
22.960169,66.523794,40000,493.0,270.2,0
22.960373,66.475874,40000,494.0,270.2,0
22.96051,66.428883,40000,495.0,270.2,0
22.960648,66.382441,40000,495.0,270.2,0
22.960727,66.367442,40000,495.0,270.2,0
22.960773,66.338402,40000,495.0,270.0,0
22.960876,66.311429,40000,496.0,270.2,0
22.960915,66.2882,40000,490.0,270.0,0
22.9611,66.22111,40000,496.0,270.1,0
22.961146,66.171977,40000,496.0,270.1,0
22.961197,66.137595,40000,495.0,270.1,0
22.961243,66.107384,40000,495.0,270.0,0
22.961288,66.087555,42675,495.0,270.0,0
22.961334,66.047859,42675,495.0,270.0,0
22.961332,66.010284,42675,496.0,270.0,0
22.96138,65.988213,40000,496.0,270.0,0
22.96138,65.95163,40000,498.0,270.0,0
22.961379,65.919189,40000,496.0,270.0,0
22.96138,65.872126,40000,496.0,270.0,0
22.96138,65.823886,40000,497.0,270.0,0
22.961334,65.775346,40000,497.0,270.0,0
22.961332,65.742798,40000,498.0,270.0,0
22.961288,65.69709,40000,498.0,270.0,0
22.961193,65.65374,40000,497.0,270.0,0
22.961151,65.615646,40000,497.0,270.0,0
22.961151,65.607704,40000,498.0,270.0,0
22.960356,65.327148,40000,495.0,270.0,0
22.988613,64.543358,40000,500.0,273.0,0
23.081589,63.643948,40000,498.0,277.0,32
23.084976,63.611145,40000,497.0,276.0,0
23.089352,63.569031,40000,497.0,276.0,0
23.094612,63.517864,40000,497.0,277.0,-32
23.098389,63.481251,40000,496.0,277.0,0
23.102898,63.437145,40000,496.0,276.0,0
23.106808,63.398792,40000,495.0,276.0,0
23.112116,63.346302,40000,494.0,276.0,0
23.115692,63.311264,40000,493.0,276.0,0
23.119537,63.273209,40000,493.0,276.0,0
23.123978,63.229263,40000,492.0,276.0,0
23.128502,63.184307,40000,492.0,276.0,0
23.132904,63.140625,40000,491.0,276.0,-32
23.1373,63.096924,40000,491.0,276.0,0
23.141647,63.052982,40000,492.0,276.0,32
23.145172,63.017727,40000,492.0,276.0,0
23.150475,62.964172,40000,492.0,276.0,0
23.154099,62.92754,40000,492.0,276.0,0
23.158997,62.877953,40000,492.0,276.0,0
23.162811,62.839153,40000,492.0,276.0,0
23.166458,62.801998,40000,492.0,276.0,0
23.171423,62.751312,40000,492.0,276.0,0
23.174973,62.714657,40000,492.0,276.0,0
23.17923,62.670959,40000,492.0,276.0,0
23.182938,62.632957,40000,492.0,276.0,0
23.186506,62.59613,40000,493.0,276.0,0
23.190695,62.55254,40000,493.0,276.0,0
23.194233,62.515717,40000,493.0,276.0,0
23.197073,62.486469,36000,493.0,276.0,0
23.197815,62.478699,36000,493.0,276.0,0
23.213226,62.317047,40000,494.0,276.0,0
23.216486,62.282818,40000,494.0,276.0,0
23.22035,62.242023,40000,494.0,276.0,0
23.225052,62.192078,40000,495.0,276.0,0
23.228531,62.154953,40000,495.0,276.0,0
23.233198,62.105152,40000,496.0,276.0,0
23.237015,62.064617,40000,496.0,276.0,0
23.241806,62.013027,40000,497.0,276.0,0
23.246046,61.96767,40000,497.0,276.0,0
23.25,61.924538,40000,497.0,276.0,0
23.253525,61.886185,40000,497.0,276.0,0
23.258057,61.837345,40000,497.0,276.0,0
23.261734,61.797028,40000,497.0,276.0,0
23.266529,61.74464,40000,497.0,276.0,0
23.271278,61.692249,40000,497.0,276.0,0
23.274673,61.655174,40000,496.0,276.0,0
23.279284,61.604206,40000,496.0,276.0,0
23.28231,61.570232,40000,496.0,275.0,0
23.286667,61.52174,40000,496.0,276.0,0
23.289185,61.494125,40000,496.0,276.0,0
23.385773,60.659012,40000,502.0,283.0,0
23.391987,60.633698,40000,502.0,285.0,0
23.397446,60.614017,40000,503.0,287.0,0
23.401484,60.600586,40000,502.0,289.0,-32
