lat,lon,alt,gs,track,vs
9.251838,-79.386071,10450,289.5,241.3,896
9.246485,-79.39592,10625,297.6,241.3,1216
9.242477,-79.403407,10725,303.4,241.7,960
9.239044,-79.411647,10850,304.2,242.2,960
9.238664,-79.412921,10875,307.7,248.9,1600
9.237167,-79.424588,11175,308.1,252.6,1792
9.237174,-79.426322,11225,308.5,266.7,2560
9.241241,-79.446421,11675,309.1,274.8,2048
9.242062,-79.449289,11700,314.2,286.6,1280
9.243393,-79.453591,11750,316.7,286.9,896
9.245682,-79.460992,11825,325.8,287.3,832
9.249756,-79.473887,11975,334.6,287.6,1024
9.253142,-79.486084,12075,341.9,285.8,832
9.254631,-79.49295,12150,348.9,282.2,1024
9.256121,-79.501806,12250,353.8,279.4,1024
9.257238,-79.511845,12325,360.2,276.4,768
9.258591,-79.527097,12475,369.5,275.1,896
9.260284,-79.54609,12625,379.4,275.0,1024
9.261566,-79.561266,12775,388.4,274.9,1280
9.26315,-79.579752,13050,394.4,274.8,2112
9.264725,-79.598228,13450,396.5,274.9,2304
9.266464,-79.618479,13825,399.5,275.0,2176
9.268112,-79.637379,14200,401.5,275.0,2432
9.268737,-79.644486,14375,402.5,275.0,2624
9.269994,-79.658692,14725,401.6,275.1,2496
9.271576,-79.676877,15125,402.5,275.0,2624
9.273102,-79.694126,15525,402.5,275.0,2368
9.274612,-79.711676,15875,404.6,275.1,2176
9.276185,-79.729109,16225,406.6,275.1,2240
9.277908,-79.748525,16625,408.7,275.2,2176
9.279694,-79.768796,17000,411.7,275.2,2112
9.281479,-79.789046,17375,414.7,275.1,2240
9.283356,-79.809948,17750,415.7,275.1,2112
9.285233,-79.831222,18125,418.6,275.1,2112
9.287109,-79.852543,18525,420.6,275.0,2304
9.288986,-79.873818,18900,422.6,275.0,2240
9.290955,-79.896116,19300,424.6,275.0,1792
9.29306,-79.920137,19700,426.7,275.1,2112
9.294899,-79.940833,20075,426.7,275.1,2240
9.296715,-79.961337,20450,427.7,275.1,2240
9.298645,-79.983402,20850,427.7,275.1,1920
9.300522,-80.005141,21225,427.7,275.1,2176
9.302536,-80.028092,21600,428.6,275.0,1792
9.30455,-80.051507,21950,429.7,275.1,1792
9.306677,-80.075794,22300,431.7,275.0,1600
9.30899,-80.101877,22625,434.7,275.0,1472
9.311462,-80.13046,22925,439.7,275.1,1280
9.314026,-80.159741,23225,444.7,275.0,1344
9.316589,-80.188464,23525,448.7,275.0,1152
9.319153,-80.21742,23825,451.8,275.1,1152
9.321713,-80.246461,24125,455.8,275.0,1344
9.324274,-80.276342,24425,459.7,275.0,1280
9.326843,-80.306009,24725,462.7,275.0,1280
9.329407,-80.336081,25025,465.7,274.9,1344
9.331924,-80.365037,25325,467.8,275.0,1344
9.334515,-80.395013,25625,469.8,275.0,1472
9.337169,-80.424894,25925,472.9,275.1,1408
9.339822,-80.455296,26250,473.9,275.1,960
9.342615,-80.487213,26525,476.9,275.0,1152
9.344384,-80.510843,26700,478.9,273.6,960
9.344757,-80.526991,26825,481.1,270.8,1088
9.344384,-80.54205,26950,482.1,268.8,896
9.343277,-80.557623,27075,484.1,266.1,1024
9.341675,-80.571124,27150,485.7,262.9,704
9.33917,-80.586611,27250,488.3,260.1,1024
9.335678,-80.602919,27375,488.9,257.4,960
9.332062,-80.616605,27475,490.7,255.0,1024
9.328079,-80.629547,27575,491.5,252.6,1024
9.323762,-80.641874,27675,491.9,250.3,960
9.317803,-80.656838,27775,493.6,247.5,1152
9.311005,-80.671723,27900,494.8,245.1,896
9.302766,-80.687477,28050,495.1,242.4,1280
9.296402,-80.698444,28150,495.7,239.7,1024
9.286613,-80.713901,28300,496.2,237.2,1280
9.28157,-80.721627,28400,496.2,236.8,1728
9.278327,-80.726687,28475,494.8,236.8,2176
9.274183,-80.73308,28625,494.3,236.9,2560
9.269109,-80.740988,28800,491.2,237.2,3008
