lat,lon,alt,gs,track
32.894291,-97.043143,-50.0,2.2,90.0
32.8943,-97.043091,-50.0,2.2,87.2
32.8943,-97.043049,-50.0,1.6,87.2
32.894371,-97.043033,-50.0,1.9,64.7
32.894485,-97.043074,-50.0,2.2,28.1
32.894531,-97.043074,-50.0,2.2,19.7
32.894588,-97.043074,-50.0,2.8,14.1
32.894626,-97.043077,-50.0,2.8,11.2
32.894684,-97.043077,-50.0,3.2,5.6
32.89476,-97.043088,-50.0,3.2,2.8
32.895057,-97.043077,-50.0,1.4,0.0
32.895115,-97.043077,-50.0,0.9,0.0
32.8948,-97.043091,-50.0,3.2,25.3
32.894591,-97.043217,-50.0,3.2,25.3
32.894475,-97.043273,-50.0,3.2,25.3
32.894382,-97.043294,-50.0,3.2,33.8
32.894325,-97.043335,-50.0,3.2,39.4
32.894257,-97.043404,-50.0,3.2,42.2
32.894199,-97.043472,-50.0,3.2,39.4
32.894176,-97.043513,-50.0,3.2,33.8
32.894154,-97.043555,-50.0,3.2,28.1
32.894137,-97.043596,-50.0,3.2,19.7
32.894085,-97.043651,-50.0,2.2,5.6
32.894051,-97.043665,-50.0,2.2,2.8
32.893963,-97.043666,-50.0,2.8,0.0
32.893856,-97.043665,-50.0,2.8,5.6
32.893683,-97.043694,-50.0,2.2,5.6
32.893625,-97.043694,-50.0,1.9,2.8
32.893602,-97.043708,-50.0,0.0,2.8
32.893604,-97.043706,-50.0,0.0,2.8
32.893604,-97.043706,-50.0,0.0,2.8
32.893604,-97.043706,-50.0,0.0,2.8
32.893604,-97.043706,-50.0,0.0,2.8
32.893602,-97.043708,-50.0,0.0,2.8
32.893602,-97.043708,-50.0,0.0,2.8
32.893683,-97.043694,-50.0,0.0,2.8
32.893753,-97.043692,-50.0,3.8,2.8
32.893974,-97.04368,-50.0,5.8,2.8
32.894102,-97.04368,-50.0,5.8,0.0
32.894253,-97.043792,-50.0,6.8,337.5
32.894279,-97.043829,-50.0,6.8,329.1
32.894288,-97.04396,-50.0,6.2,303.8
32.894291,-97.044008,-50.0,6.2,298.1
32.8943,-97.044184,-50.0,6.8,281.2
32.894288,-97.044282,-50.0,6.8,275.6
32.894291,-97.044406,-50.0,7.2,270.0
32.894288,-97.044843,-50.0,8.8,270.0
32.894291,-97.045148,-50.0,6.2,270.0
32.894288,-97.045585,-50.0,3.2,270.0
32.894288,-97.045838,-50.0,4.8,270.0
32.894291,-97.04615,-50.0,3.8,270.0
32.894291,-97.046452,-50.0,6.8,270.0
32.894288,-97.046777,-50.0,2.8,270.0
32.8943,-97.046819,-50.0,0.0,270.0
32.8943,-97.046819,-50.0,0.0,270.0
32.8943,-97.046819,-50.0,0.0,270.0
32.8943,-97.046819,-50.0,0.0,270.0
32.8943,-97.046819,-50.0,0.0,270.0
32.8943,-97.046847,-50.0,0.0,270.0
32.894302,-97.047002,-50.0,4.2,270.0
32.8943,-97.047323,-50.0,7.2,270.0
32.894314,-97.047523,-50.0,6.2,272.8
32.89436,-97.04762,-50.0,6.8,286.9
32.89444,-97.047673,-50.0,7.2,303.8
32.89452,-97.047688,-50.0,7.8,320.6
32.894568,-97.047687,-50.0,7.2,331.9
32.894638,-97.047687,-50.0,7.2,340.3
32.894696,-97.047687,-50.0,7.2,348.8
32.8948,-97.047687,-50.0,7.8,354.4
32.894909,-97.047675,-50.0,8.2,357.2
32.895115,-97.047673,-50.0,9.2,0.0
32.895538,-97.047675,-50.0,11.2,0.0
32.89579,-97.047675,-50.0,11.8,0.0
32.896099,-97.047675,-50.0,12.8,357.2
32.896407,-97.047673,-50.0,13.8,0.0
32.896637,-97.047661,-50.0,14.2,0.0
32.896954,-97.047673,-50.0,15.5,0.0
32.897289,-97.047661,-50.0,16.5,0.0
32.897698,-97.047659,-50.0,16.5,357.2
32.898136,-97.047661,-50.0,16.5,357.2
32.898514,-97.047661,-50.0,12.8,357.2
32.898811,-97.047661,-50.0,9.2,357.2
32.89912,-97.047647,-50.0,10.2,0.0
32.899444,-97.047645,-50.0,11.2,357.2
32.899875,-97.047645,-50.0,12.8,357.2
32.900276,-97.047647,-50.0,13.8,0.0
32.900928,-97.047647,-50.0,15.5,357.2
32.901295,-97.047647,-50.0,16.5,0.0
32.90173,-97.047633,-50.0,17.5,357.2
32.902063,-97.047631,-50.0,17.5,0.0
32.902691,-97.047633,-50.0,18.5,0.0
32.903133,-97.047631,-50.0,19.5,357.2
32.903515,-97.047633,-50.0,19.5,0.0
32.903893,-97.04762,-50.0,19.5,0.0
32.904305,-97.04762,-50.0,16.5,0.0
32.90467,-97.047631,-50.0,14.2,357.2
32.904888,-97.04762,-50.0,14.2,0.0
32.905437,-97.04762,-50.0,13.8,357.2
32.905752,-97.047617,-50.0,13.8,357.2
32.906194,-97.047617,-50.0,14.8,357.2
32.906673,-97.04762,-50.0,15.5,0.0
32.907108,-97.047606,-50.0,16.5,0.0
32.907428,-97.047617,-50.0,17.5,357.2
32.9078,-97.047617,-50.0,17.5,0.0
32.908161,-97.047606,-50.0,16.5,0.0
32.908545,-97.047603,-50.0,12.8,0.0
32.908894,-97.047606,-50.0,13.2,0.0
32.909271,-97.047592,-50.0,13.2,0.0
32.909626,-97.047592,-50.0,8.8,357.2
32.909809,-97.047606,-50.0,7.8,357.2
32.909924,-97.047633,-50.0,7.8,351.6
32.909992,-97.047675,-50.0,8.2,345.9
32.910084,-97.047729,-50.0,8.8,340.3
32.910221,-97.047812,-50.0,9.8,334.7
32.910395,-97.047898,-50.0,10.8,337.5
32.910558,-97.04794,-50.0,11.8,345.9
