lat,lon,alt,gs,track
25.868225,-100.241745,1400,76.0,125.4
25.868134,-100.24159,1500,76.0,125.4
25.866704,-100.239416,1500,79.6,125.3
25.865447,-100.237409,1600,82.4,125.6
25.863739,-100.234749,1700,80.2,123.3
25.863052,-100.233454,1700,77.4,118.6
25.862422,-100.232074,1800,75.2,113.5
25.862142,-100.231071,1800,74.0,106.5
25.861954,-100.230137,1800,73.2,100.2
25.861862,-100.229152,1800,76.2,93.8
25.86191,-100.228007,1800,79.1,87.1
25.861954,-100.227287,1900,79.4,84.2
25.862228,-100.225421,1900,82.2,80.2
25.862515,-100.224046,1900,83.7,75.5
25.863007,-100.22226,1900,85.4,71.6
25.863213,-100.221616,2000,85.4,69.4
25.86461,-100.217866,2100,85.8,68.8
25.864655,-100.217648,2000,85.8,68.8
25.864749,-100.217444,2100,85.8,68.8
25.865866,-100.213958,2100,82.5,70.9
25.866531,-100.211688,2200,85.2,74.3
25.866943,-100.209719,2200,85.7,78.6
25.867729,-100.205031,2200,87.3,76.8
25.868042,-100.203708,2300,87.6,76.1
25.868912,-100.199717,2400,85.9,77.9
25.86973,-100.195841,2400,90.2,77.2
25.870514,-100.19184,2400,92.6,79.4
25.87136,-100.186492,2400,97.3,80.5
25.871841,-100.183756,2500,99.2,77.8
25.871918,-100.183534,2400,99.2,77.8
25.871979,-100.18329,2500,99.5,77.2
25.873306,-100.177382,2500,101.1,75.7
25.873672,-100.175931,2400,105.3,75.7
25.874711,-100.17165,2400,108.5,73.4
25.877289,-100.162561,2400,107.9,72.7
25.879273,-100.156015,2400,108.8,71.2
25.880856,-100.150839,2400,108.8,72.9
25.882206,-100.145927,2400,111.0,71.1
25.883469,-100.141987,2500,112.0,69.6
25.884842,-100.138256,2500,112.0,66.9
25.884953,-100.138004,2400,111.1,66.7
25.885025,-100.137738,2500,111.1,66.7
25.885139,-100.137476,2400,111.1,66.7
25.885437,-100.136805,2500,111.0,65.5
25.88562,-100.136287,2400,111.0,65.5
25.887234,-100.132616,2400,111.4,62.7
25.889511,-100.127684,2400,114.1,64.6
25.890772,-100.124588,2400,112.9,67.1
25.891703,-100.121789,2400,110.1,70.9
25.892532,-100.118875,2400,109.5,73.6
25.893082,-100.116491,2400,107.7,77.1
25.893425,-100.114183,2400,106.2,81.3
25.893612,-100.112123,2400,104.3,85.6
25.893705,-100.109376,2400,105.0,89.4
25.893612,-100.106999,2400,104.2,93.3
25.893448,-100.105245,2500,102.6,96.2
25.892853,-100.100063,2500,99.0,98.1
25.892258,-100.095762,2400,103.6,100.0
25.892215,-100.095485,2500,103.6,100.0
25.891424,-100.090203,2500,99.1,98.7
25.890244,-100.081563,2500,95.4,99.7
25.889701,-100.078583,2600,95.1,102.1
25.889145,-100.076225,2600,96.8,106.2
25.888,-100.07182,2600,96.0,104.5
25.887141,-100.067808,2600,100.4,102.7
25.886722,-100.065272,2600,100.3,99.2
25.886444,-100.06301,2600,98.6,96.4
25.886398,-100.0613,2600,101.0,91.1
25.886398,-100.059694,2600,105.0,90.0
25.886398,-100.058087,2600,109.0,90.0
