lat,lon,alt,gs,track
28.695405,-106.025391,5300,109.6,206.6
28.69194,-106.027363,5400,112.3,208.2
28.684232,-106.031907,5500,114.5,207.0
28.678832,-106.035138,5600,117.2,208.5
28.675919,-106.037028,5600,118.9,210.9
28.672315,-106.039662,5600,120.7,213.2
28.667725,-106.043103,5600,121.5,214.6
28.666077,-106.044529,5600,119.0,217.8
28.664308,-106.046232,5700,116.1,222.2
28.662506,-106.048226,5700,114.6,225.0
28.658524,-106.05298,5700,112.5,226.8
28.657232,-106.054526,5800,113.2,226.4
28.653973,-106.058565,5800,114.8,228.5
28.648956,-106.065075,5900,114.1,228.9
28.642987,-106.072836,5900,114.9,229.2
28.639252,-106.077699,6000,117.7,229.1
28.632187,-106.087054,6000,116.8,228.1
28.631442,-106.08797,6100,116.8,228.1
28.624283,-106.097136,6100,117.6,228.4
28.619247,-106.103739,6200,120.6,229.7
28.616089,-106.108175,6200,118.9,231.5
28.612728,-106.11312,6200,117.8,232.9
28.611238,-106.115274,6300,117.8,232.9
28.609516,-106.117643,6300,117.8,229.8
28.604645,-106.123863,6300,119.8,228.7
28.602859,-106.125975,6300,120.2,225.0
28.600112,-106.128845,6400,120.2,223.6
28.593475,-106.136011,6400,123.7,224.7
28.587067,-106.143247,6500,122.3,225.3
28.586891,-106.143494,6400,123.0,225.0
28.586659,-106.143763,6500,123.0,225.0
28.584005,-106.146671,6500,123.0,225.0
28.556442,-106.174727,6600,0.0,0.0
28.546783,-106.183654,6700,125.4,221.4
28.545319,-106.184921,6800,123.4,217.4
28.544861,-106.185344,6800,123.6,216.8
28.51292,-106.213666,7100,0.0,0.0
28.512175,-106.214366,7100,126.4,219.9
