lat,lon,alt,gs,track,vs
19.37816,-99.672213,14975,228.3,319.3,2048
19.388635,-99.681752,15375,229.7,319.2,1728
19.400878,-99.692888,15725,239.0,319.2,1408
19.411771,-99.702725,16075,242.5,319.4,1728
19.41759,-99.708019,16275,243.2,319.2,1856
19.428716,-99.718156,16700,244.6,319.1,1920
19.438352,-99.726945,17050,244.6,319.1,1920
19.447663,-99.735435,17375,248.2,319.2,1472
19.45166,-99.739037,17450,251.7,319.4,1024
19.457794,-99.744628,17500,260.2,319.2,384
19.464701,-99.750866,17525,269.5,319.5,64
19.47201,-99.757457,17525,275.8,319.3,64
19.483927,-99.768295,17525,290.0,319.0,0
19.493145,-99.77668,17525,300.0,319.0,0
19.50967,-99.791763,17525,310.0,319.0,0
19.525219,-99.805946,17525,310.0,320.0,0
19.531036,-99.811279,17525,320.0,319.0,0
19.803497,-100.060387,17525,340.0,319.0,0
19.823944,-100.079155,17525,340.0,319.0,0
19.847397,-100.100655,17525,350.0,319.0,0
19.856003,-100.108551,17525,340.0,320.0,0
19.877472,-100.128265,17625,340.0,319.0,384
19.895309,-100.144623,17675,347.0,319.0,128
19.901917,-100.150635,17625,340.0,320.0,-512
19.91663,-100.164154,17500,350.0,319.0,-512
19.921192,-100.168343,17475,352.0,319.0,-640
19.924026,-100.170982,17450,350.0,319.0,0
19.950661,-100.195412,17200,350.0,319.0,0
19.969437,-100.212624,17025,350.0,319.0,0
19.975937,-100.218582,16950,340.0,319.0,0
19.983805,-100.225822,16875,340.0,319.0,0
19.991159,-100.23217,16800,330.0,321.0,0
19.995117,-100.235138,16775,330.0,325.0,0
20.83087,-99.924896,16850,253.0,16.0,1152
20.837666,-99.922752,16950,250.0,16.0,1024
20.841797,-99.921486,17000,250.0,16.0,0
20.846741,-99.919922,17100,250.0,16.0,0
20.851822,-99.918297,17150,260.0,17.0,1024
20.855072,-99.91732,17200,260.0,16.0,0
20.873245,-99.911629,17475,260.0,16.0,0
20.88913,-99.906624,17825,260.0,16.0,0
20.897461,-99.90403,18000,260.0,16.0,0
20.903641,-99.902115,18125,267.0,16.0,1472
20.91243,-99.899368,18300,260.0,16.0,1472
20.922392,-99.895584,18525,260.0,22.0,1472
20.925743,-99.893837,18600,265.0,26.0,1536
20.934631,-99.887596,18825,260.0,36.0,0
20.939476,-99.883102,18950,262.0,41.0,1472
20.945938,-99.876411,19150,260.0,44.0,1472
20.949484,-99.87281,19225,262.0,44.0,1408
20.953535,-99.86882,19375,250.0,43.0,1984
20.960449,-99.862091,19700,250.0,42.0,2240
20.968185,-99.854736,19900,258.0,42.0,1216
20.981977,-99.841499,20150,264.0,42.0,1080
20.997116,-99.827026,20500,260.0,42.0,1080
21.004648,-99.819778,20650,270.0,42.0,1152
21.019318,-99.805641,21000,270.0,42.0,1344
21.030067,-99.795227,21250,270.0,42.0,960
21.039423,-99.786125,21375,270.0,42.0,832
21.041382,-99.784126,21425,270.0,44.0,960
21.048019,-99.776436,21550,270.0,50.0,1088
21.05072,-99.772087,21625,270.0,56.0,1024
21.053879,-99.764297,21725,279.0,66.0,1024
21.054787,-99.760078,21775,280.0,77.0,832
21.055344,-99.755562,21800,280.0,82.0,760
21.055391,-99.751793,21850,280.0,89.0,760
21.053284,-99.738884,22025,280.0,106.0,1208
21.051062,-99.732056,22125,287.0,109.0,1344
21.043427,-99.709984,22500,280.0,109.0,1152
21.03854,-99.693703,22675,280.0,108.0,832
21.035652,-99.683434,22775,291.0,107.0,896
21.029663,-99.66153,23050,290.0,106.0,1024
21.026505,-99.649673,23175,290.0,106.0,0
21.024857,-99.643692,23250,290.0,106.0,960
21.01745,-99.61628,23575,290.0,106.0,960
21.01236,-99.597687,23800,290.0,106.0,960
21.009338,-99.586746,23900,300.0,106.0,760
21.002838,-99.563255,24100,300.0,106.0,760
20.998505,-99.547516,24275,300.0,106.0,888
20.990171,-99.517654,24575,307.0,107.0,832
20.983566,-99.493858,24775,300.0,107.0,640
20.982147,-99.488853,24825,310.0,107.0,0
20.98007,-99.4813,24875,310.0,106.0,704
20.973679,-99.458443,25125,310.0,107.0,888
20.971132,-99.449394,25250,310.0,107.0,960
20.968597,-99.440247,25300,310.0,106.0,0
20.966629,-99.433281,25400,310.0,107.0,1024
20.960403,-99.410919,25625,310.0,107.0,832
20.953674,-99.386742,25825,310.0,106.0,704
20.948507,-99.36824,25975,310.0,107.0,760
20.946716,-99.361923,26025,310.0,107.0,0
20.943154,-99.349066,26125,319.2,106.6,704
20.935272,-99.320968,26350,322.4,106.6,832
20.927838,-99.294234,26600,322.4,106.6,896
20.919924,-99.266069,26850,324.6,106.7,704
20.914524,-99.246693,27025,323.7,106.7,1152
20.908658,-99.225819,27325,320.5,106.7,1280
20.901955,-99.202049,27625,319.5,106.7,1024
20.895018,-99.177279,27875,319.2,106.6,1024
20.888718,-99.154848,28175,317.3,106.7,1152
20.882217,-99.131748,28450,316.4,106.7,1024
20.874619,-99.104772,28725,317.3,106.7,896
20.867553,-99.079651,29000,318.3,106.6,1024
20.861847,-99.059356,29225,318.3,106.6,960
20.854568,-99.033459,29500,318.3,106.6,896
20.847209,-99.007291,29800,317.3,106.7,1088
20.84032,-98.982821,30075,317.3,106.7,960
20.833191,-98.957634,30350,317.3,106.7,1024
20.82637,-98.933503,30600,317.3,106.7,960
20.819916,-98.910452,30875,316.4,106.7,1024
20.816711,-98.899073,30950,317.3,106.7,576
20.812683,-98.88485,31000,322.7,106.8,128
20.804077,-98.854441,31000,332.2,106.8,0
20.795151,-98.823051,31000,341.4,106.7,0
