lat,lon,alt,gs,track,vs
31.63678,-106.428384,3850,79.8,37.9,128
31.638996,-106.426428,3875,84.2,37.3,256
31.641509,-106.424231,3950,84.8,37.8,448
31.6436,-106.422191,4000,84.4,40.7,512
31.646393,-106.419337,4075,85.0,41.2,256
31.650261,-106.415332,4125,89.2,42.3,128
31.65217,-106.41319,4150,91.9,45.0,192
31.65303,-106.412066,4175,91.3,47.2,384
31.653567,-106.411267,4200,89.6,51.3,512
31.653992,-106.410505,4225,88.5,57.9,448
31.654221,-106.409804,4225,88.6,61.7,448
31.654358,-106.409399,4225,87.6,71.4,512
31.654498,-106.408521,4250,87.9,78.2,448
31.654541,-106.407812,4250,88.3,85.4,320
31.654495,-106.406896,4250,89.4,95.1,128
31.654358,-106.405994,4275,89.8,101.6,256
31.654125,-106.405225,4275,90.5,110.0,256
31.653809,-106.404581,4275,91.7,116.6,128
31.653427,-106.403851,4275,91.8,123.0,128
31.652729,-106.402917,4300,92.3,129.7,192
31.652115,-106.402319,4300,93.6,139.3,384
31.651337,-106.401672,4325,94.9,147.5,512
31.650354,-106.40116,4350,95.3,154.5,576
31.64933,-106.400775,4375,95.8,161.8,448
31.648361,-106.400649,4400,97.5,174.1,512
31.647515,-106.400665,4400,99.0,180.6,256
31.646255,-106.400865,4400,101.3,189.1,64
31.644012,-106.401403,4425,102.4,192.4,320
31.640765,-106.402368,4475,102.6,195.3,320
31.638336,-106.40318,4475,107.3,196.2,64
31.634061,-106.404565,4500,111.8,195.0,64
31.630737,-106.40555,4500,113.8,192.7,0
31.627899,-106.406142,4525,115.6,189.5,-64
31.624378,-106.406708,4525,119.0,187.2,0
31.619956,-106.407257,4550,119.4,184.8,0
31.617908,-106.407422,4575,116.2,183.4,448
31.614928,-106.407587,4625,113.0,181.5,576
31.611694,-106.40765,4650,111.0,181.6,192
31.607899,-106.407697,4675,111.0,179.0,128
31.606613,-106.40765,4700,110.1,177.9,576
31.60231,-106.407543,4775,110.0,179.0,320
31.595673,-106.407543,4825,111.0,179.5,192
31.590302,-106.407587,4850,112.0,181.0,192
31.587462,-106.407751,4875,113.3,184.1,128
31.581876,-106.408301,4950,110.5,185.2,512
31.579316,-106.408575,5000,105.6,186.0,704
31.575256,-106.408997,5075,101.2,184.0,512
31.571355,-106.409235,5150,99.1,182.9,384
31.567978,-106.409374,5175,101.0,180.6,128
31.564911,-106.409266,5200,103.1,177.8,192
31.560741,-106.40918,5275,101.0,180.0,448
31.556808,-106.409158,5350,98.0,178.8,512
31.552872,-106.408943,5375,100.2,176.6,128
31.548294,-106.408566,5400,104.2,176.1,192
31.543983,-106.408356,5450,105.0,178.4,384
31.539597,-106.408135,5525,103.2,176.7,384
31.535385,-106.407919,5550,105.0,178.4,256
31.530482,-106.407861,5625,104.0,178.9,320
31.524989,-106.407806,5650,107.0,180.5,192
31.520554,-106.407973,5700,108.1,182.6,256
31.514236,-106.408411,5750,110.2,183.1,256
31.508789,-106.408673,5825,109.1,182.6,256
31.50412,-106.408835,5900,106.0,181.1,576
31.499817,-106.408835,6000,102.0,179.4,576
31.495615,-106.40885,6050,101.0,181.7,320
31.491302,-106.409158,6125,99.2,183.5,448
31.485792,-106.409674,6175,101.4,185.1,256
31.48002,-106.410278,6250,102.2,183.9,320
31.47583,-106.410505,6300,102.1,182.2,448
31.471687,-106.410608,6375,100.0,181.1,448
31.465714,-106.410774,6425,102.1,182.2,256
31.460541,-106.411043,6500,102.1,182.2,320
31.454369,-106.411267,6550,102.0,181.1,320
31.448456,-106.411312,6625,103.0,180.0,192
31.442184,-106.411151,6675,105.0,178.9,320
31.438402,-106.411157,6700,106.0,181.1,192
31.434631,-106.411377,6725,108.2,183.7,256
31.43114,-106.411761,6775,106.6,185.9,448
31.426811,-106.412476,6825,106.1,188.1,192
31.422947,-106.413025,6850,107.6,185.9,128
31.416962,-106.413843,6925,107.9,187.4,320
31.410828,-106.414867,6975,107.2,188.6,256
31.402743,-106.416211,7025,110.0,187.8,192
31.400574,-106.416536,7025,114.1,188.1,0
31.394364,-106.417584,7050,118.2,188.3,192
31.391693,-106.417936,7050,119.4,184.8,128
31.388964,-106.418079,7075,121.0,180.9,128
31.384506,-106.41799,7100,121.0,178.6,192
31.375305,-106.417613,7175,118.1,177.6,384
31.369904,-106.41729,7225,118.3,175.6,256
31.363953,-106.416536,7225,120.7,173.8,128
31.358332,-106.415771,7275,121.2,171.9,128
31.353863,-106.415112,7300,121.6,174.3,192
31.349213,-106.414759,7325,120.2,176.7,320
31.341705,-106.414328,7350,122.1,178.1,64
31.338315,-106.414343,7375,124.0,181.4,0
31.326584,-106.414838,7425,123.0,181.4,192
31.322662,-106.414867,7450,122.0,179.1,320
31.319,-106.414597,7475,120.3,176.2,320
31.308289,-106.413951,7550,121.2,177.2,256
31.298264,-106.413305,7625,118.2,176.6,320
31.291437,-106.41297,7700,114.1,177.5,448
31.287781,-106.41282,7750,110.0,178.4,512
31.281056,-106.412585,7850,106.0,178.4,384
31.272812,-106.412389,7925,105.0,178.4,256
31.264902,-106.412091,8025,104.0,178.4,192
31.256058,-106.411797,8075,108.1,177.9,128
31.248505,-106.411474,8100,113.1,178.0,128
31.243022,-106.411212,8125,117.1,177.6,64
31.233398,-106.41072,8175,121.2,177.2,128
31.224014,-106.410181,8250,123.1,177.2,192
31.22091,-106.409894,8275,122.8,173.4,320
31.217744,-106.409344,8300,122.6,170.6,256
31.21146,-106.407916,8325,124.3,168.9,192
31.205315,-106.406598,8375,124.8,170.3,320
31.200427,-106.405774,8425,123.0,172.5,320
31.191467,-106.404473,8525,121.9,172.9,256
31.182083,-106.403073,8600,120.9,172.9,256
31.172836,-106.40178,8675,118.8,173.2,192
31.16379,-106.400555,8750,116.7,173.6,192
31.156586,-106.399734,8800,117.4,175.1,256
31.147202,-106.398926,8875,118.3,176.1,128
31.136418,-106.398138,8950,118.2,176.6,192
31.125711,-106.397589,9000,118.1,177.6,64
31.1164,-106.397095,9075,115.1,177.5,320
31.107742,-106.39671,9175,113.1,178.0,256
31.099083,-106.396271,9250,110.1,177.9,256
31.090703,-106.395886,9325,108.1,177.4,256
31.080648,-106.395337,9375,111.2,176.9,192
31.070251,-106.394725,9425,115.2,176.5,128
31.063238,-106.394238,9425,119.3,176.1,0
31.052628,-106.393486,9425,124.2,176.8,0
31.041172,-106.392755,9450,128.2,176.9,0
31.029348,-106.391931,9450,131.2,176.5,64
31.017291,-106.391162,9450,133.2,177.0,64
