lat,lon,alt,gs,track
25.774658,-100.099792,1450,165.0,120.6
25.774438,-100.099389,1475,165.0,120.6
25.774019,-100.098612,1500,164.5,120.3
25.773605,-100.09786,1550,163.6,120.5
25.772809,-100.096332,1625,161.7,120.1
25.772064,-100.094933,1725,160.0,120.4
25.771179,-100.093282,1825,158.3,120.8
25.770248,-100.091564,1925,158.5,121.6
25.769394,-100.090078,2025,157.6,121.8
25.76857,-100.088603,2100,158.7,122.4
25.767315,-100.086486,2200,162.0,122.9
25.766058,-100.084309,2300,162.5,123.2
25.764569,-100.081873,2400,165.0,123.9
25.763219,-100.079645,2500,167.0,124.3
25.761612,-100.077057,2600,169.2,124.2
25.76001,-100.074463,2700,172.8,124.2
25.758453,-100.071869,2800,177.0,123.2
25.756943,-100.069275,2900,180.3,122.5
25.755491,-100.06669,2975,184.0,121.4
25.754095,-100.064202,3050,188.2,121.8
25.752465,-100.061196,3150,192.1,121.4
25.750417,-100.057465,3250,196.9,120.9
25.748601,-100.054045,3325,201.7,120.4
25.747147,-100.05132,3375,206.2,120.3
25.745682,-100.048472,3450,210.1,120.0
25.743574,-100.044458,3525,215.1,120.1
25.742037,-100.041504,3600,219.0,119.8
25.741013,-100.039535,3625,222.6,119.9
25.739456,-100.03657,3700,227.1,119.8
25.737848,-100.033471,3750,230.7,119.9
25.736526,-100.030924,3825,235.2,119.8
25.734822,-100.027616,3900,239.1,119.6
25.732773,-100.023651,4000,244.0,119.2
25.730958,-100.019894,4075,248.7,117.3
25.729156,-100.015615,4175,253.4,113.7
25.727793,-100.011862,4275,256.7,110.8
25.726685,-100.008291,4375,259.3,108.4
25.72554,-100.004374,4475,262.2,107.5
25.724627,-100.001186,4575,262.5,107.1
25.723801,-99.998169,4675,264.2,106.7
25.723277,-99.996159,4750,264.8,106.4
25.722625,-99.99362,4850,264.6,106.2
25.721834,-99.990718,4950,265.5,106.2
25.721089,-99.987868,5050,266.5,106.1
25.720459,-99.985453,5125,266.5,106.1
25.719786,-99.982789,5225,267.4,106.1
25.719087,-99.980146,5325,268.4,106.0
25.718342,-99.977192,5425,269.4,105.9
25.717504,-99.974031,5525,270.3,105.9
25.716573,-99.970352,5625,271.3,105.8
25.715689,-99.967035,5725,272.3,105.8
25.714874,-99.963837,5825,273.2,105.7
25.714199,-99.961076,5925,274.2,105.7
25.713272,-99.95753,6025,275.1,105.6
25.712585,-99.954783,6125,275.1,105.6
25.711853,-99.951884,6225,275.1,105.6
25.711127,-99.949001,6325,276.4,105.8
25.710429,-99.946306,6425,276.4,105.8
25.709793,-99.943848,6500,276.4,105.8
25.709172,-99.94128,6600,277.3,105.7
25.708511,-99.938711,6700,277.3,105.7
25.70787,-99.936167,6800,277.3,105.7
25.707092,-99.933167,6900,277.3,105.7
25.706425,-99.930501,7000,277.3,105.7
25.704796,-99.924178,7200,278.6,105.8
25.703247,-99.91806,7400,280.8,105.9
25.701584,-99.911637,7600,282.7,105.8
25.699815,-99.904797,7800,283.9,105.9
25.698139,-99.898474,8000,285.2,106.1
25.696323,-99.891375,8200,286.1,106.0
25.694733,-99.885305,8400,286.4,106.2
25.693176,-99.879456,8600,287.6,106.4
25.691296,-99.87246,8800,288.9,106.5
25.689514,-99.865875,9000,288.9,106.5
25.687637,-99.858805,9200,290.8,106.4
25.686035,-99.852819,9400,290.8,106.4
25.684871,-99.848259,9550,291.5,106.1
25.683289,-99.842478,9750,291.4,106.8
25.681778,-99.836934,9950,291.4,106.8
25.680542,-99.832255,10100,292.0,106.5
25.679099,-99.826908,10300,291.8,106.3
25.677702,-99.82157,10475,290.5,106.2
25.676514,-99.817047,10650,290.5,106.2
25.675781,-99.81425,10725,291.2,105.9
25.674676,-99.80991,10825,291.9,105.7
25.674088,-99.807638,10875,294.1,105.8
25.671936,-99.799245,11025,297.9,105.6
25.6707,-99.79421,11150,299.6,105.3
25.669373,-99.788971,11275,300.8,105.4
25.667973,-99.783532,11375,304.1,106.2
25.666763,-99.778951,11450,307.3,106.2
25.66355,-99.76669,11625,314.8,106.4
25.660012,-99.753527,11800,322.1,106.4
25.657359,-99.743992,11925,328.6,107.7
25.656601,-99.741313,11975,329.5,107.7
25.65154,-99.723315,12375,333.1,106.8
25.647034,-99.706523,12750,335.7,106.4
25.644697,-99.697663,12925,340.2,106.0
25.64358,-99.69331,12975,341.5,106.2
25.637807,-99.671493,13300,349.6,106.6
25.636224,-99.665844,13375,351.4,107.0
25.635014,-99.661646,13475,351.4,107.6
25.633943,-99.658123,13550,351.7,108.7
25.633105,-99.655531,13625,351.7,108.7
25.629135,-99.643707,14025,346.7,111.3
25.627938,-99.640399,14125,345.6,111.7
25.625839,-99.634705,14275,346.3,112.1
25.625061,-99.632619,14325,346.3,112.1
25.624121,-99.630035,14375,347.3,112.0
25.623184,-99.62738,14400,348.6,112.1
25.618515,-99.614716,14575,353.4,112.3
25.617554,-99.612071,14625,353.4,112.3
25.611053,-99.594523,15025,355.6,112.3
25.603409,-99.575144,15375,359.5,113.8
25.601944,-99.571482,15450,360.8,114.2
25.595631,-99.556033,15850,361.6,114.5
25.588165,-99.538167,16250,362.0,114.7
25.582037,-99.523385,16600,361.6,114.5
25.576544,-99.509859,17000,358.1,114.1
25.575348,-99.506938,17100,358.1,114.1
25.573984,-99.503588,17175,358.1,114.1
