lat,lon,alt,gs,track
53.496482,49.652468,18975,78.0,247.4
53.495737,49.649721,19050,77.9,245.7
53.495271,49.647944,19100,78.3,243.4
53.494354,49.645176,19200,77.9,240.8
53.49299,49.641401,19325,77.5,239.8
53.492111,49.639212,19400,77.9,236.5
53.491128,49.636958,19500,77.8,232.8
53.490143,49.634818,19600,78.2,231.2
53.488754,49.632111,19775,77.9,228.1
53.487259,49.629482,19975,77.8,225.0
53.485703,49.627049,20200,77.9,221.9
53.483866,49.624436,20475,77.5,219.2
53.482144,49.622255,20700,78.0,216.1
53.480514,49.620397,20925,77.9,213.5
53.478653,49.618495,21175,77.5,210.2
53.476371,49.616358,21475,72.9,208.7
53.474835,49.615146,21650,78.3,204.9
53.472885,49.613708,21850,77.6,201.9
53.470688,49.612374,22075,78.1,198.7
53.468445,49.611276,22300,77.9,195.6
53.466202,49.610334,22500,77.9,192.6
53.464081,49.609734,22700,78.1,189.6
53.462266,49.609249,22850,77.6,187.4
53.460217,49.608926,23050,78.2,184.4
53.457916,49.608843,23275,78.0,181.5
53.455888,49.608845,23450,78.0,178.5
53.453568,49.609079,23675,78.2,175.6
53.451512,49.609492,23875,77.6,172.6
53.449324,49.610057,24050,78.3,169.7
53.447136,49.610865,24225,78.1,166.7
53.444995,49.611834,24400,78.2,163.6
53.442993,49.613002,24575,77.5,160.4
53.44075,49.614415,24775,78.0,157.4
53.438897,49.615873,24950,77.4,154.8
53.437081,49.617408,25125,78.3,151.8
53.435165,49.61928,25325,78.0,149.2
53.433289,49.621242,25525,78.5,145.9
53.431541,49.623386,25750,77.8,142.8
53.429901,49.625637,25950,78.1,140.2
53.428253,49.628069,26125,77.8,137.1
53.426743,49.63058,26300,77.8,134.0
53.425164,49.633484,26500,78.6,132.4
53.42414,49.635503,26650,77.5,129.2
53.422852,49.638428,26850,78.0,126.1
53.422091,49.64027,26975,79.3,123.7
53.421158,49.643058,27200,73.1,120.4
53.420043,49.645924,27375,75.1,116.9
53.418786,49.650044,27600,77.4,115.2
53.417902,49.653518,27750,78.0,112.6
53.41713,49.656948,27850,77.5,109.6
53.416505,49.660303,27950,78.2,106.3
53.4159,49.6641,28075,77.1,103.5
53.415481,49.667574,28200,78.3,100.3
53.415155,49.671613,28350,77.6,97.4
53.414932,49.67484,28450,78.2,94.4
53.414841,49.678763,28600,78.0,91.5
53.414886,49.682608,28750,78.0,88.5
53.415024,49.686375,28900,78.2,85.6
53.415248,49.68995,29025,78.6,82.7
53.415574,49.693343,29150,78.3,79.7
53.416086,49.697302,29300,78.1,76.7
53.416718,49.700814,29425,78.2,73.7
53.417313,49.703953,29550,78.1,71.3
53.417948,49.706753,29650,78.2,69.0
53.418553,49.708934,29750,77.5,66.4
53.419205,49.711438,29850,77.8,64.1
53.420288,49.714783,29975,77.4,61.5
53.421393,49.717982,30100,77.7,58.2
53.422557,49.72089,30225,77.7,55.5
53.423767,49.723556,30350,77.8,52.8
53.425071,49.726221,30500,78.1,50.2
53.426514,49.728986,30650,77.8,47.1
53.428003,49.731472,30825,77.8,44.0
53.429626,49.73393,31000,77.2,41.3
53.431549,49.73652,31200,77.6,38.2
53.433197,49.73856,31400,78.2,35.1
53.435033,49.74052,31625,77.7,31.9
53.437042,49.742484,31825,77.9,29.2
53.438617,49.743913,31975,78.3,26.6
53.440796,49.745544,32150,77.5,23.6
53.442574,49.74674,32300,78.2,21.0
53.444641,49.747899,32450,77.8,18.0
53.44695,49.749002,32625,77.6,14.9
53.449045,49.749729,32775,78.6,11.7
53.450954,49.750375,32950,76.9,9.0
53.45311,49.750802,33150,78.4,5.9
53.45505,49.751021,33350,77.2,4.5
