lat,lon,alt,gs,track
55.599409,37.277598,-50.0,0.0,84.4
55.593967,37.2722,-50.0,91.0,250.3
55.593194,37.268715,575,91.0,0.0
55.585876,37.236162,750,177.7,248.2
55.585048,37.232666,850,179.8,247.4
55.584503,37.230669,900,179.9,245.7
44.133896,44.271698,39000,476.0,90.6
44.131622,44.32894,39000,476.1,91.2
44.131009,44.341801,39000,475.4,94.5
44.127548,44.400734,39000,476.4,94.4
44.125097,44.447806,39000,477.3,94.2
45.002188,47.591635,39000,486.0,359.5
45.046875,47.591139,39000,486.0,359.6
45.090454,47.590746,39000,486.0,359.6
45.135188,47.590429,39000,487.0,359.8
45.180222,47.590092,39000,488.0,359.8
45.224213,47.589961,39000,488.0,359.8
45.268374,47.589759,39000,488.0,359.8
45.312057,47.589373,38975,488.0,359.5
45.356277,47.588784,39000,485.0,359.5
45.399279,47.588352,39000,485.0,359.6
45.443177,47.588017,39000,485.0,359.6
45.488193,47.587481,39000,486.0,359.5
45.532379,47.586953,39000,484.0,359.6
45.575729,47.586677,39000,484.0,359.8
45.620634,47.586319,39000,484.0,359.8
45.662888,47.586007,39000,485.0,359.6
45.706421,47.585606,39000,486.0,359.6
45.749588,47.585338,39000,487.0,359.8
45.794879,47.585083,39000,488.0,359.8
45.839104,47.584671,39000,488.0,359.5
45.884074,47.584053,39000,489.0,359.5
45.927063,47.583663,39000,490.0,359.6
45.969864,47.583194,39000,491.0,359.5
46.013626,47.582926,39000,491.0,359.9
46.058738,47.582748,39000,491.0,359.6
46.103348,47.582256,39000,490.0,359.5
46.148304,47.581787,39000,488.0,359.6
46.186011,47.581032,39000,485.1,358.8
46.195974,47.579796,39025,479.3,354.4
46.204958,47.577667,39025,477.9,350.2
46.212708,47.575088,39000,476.4,346.4
46.230377,47.566446,39000,475.3,344.5
46.236707,47.562218,39000,471.3,335.8
46.24498,47.555996,39000,470.2,335.0
46.248322,47.553115,39000,469.0,331.2
46.279442,47.51532,39000,459.7,314.3
46.286192,47.503372,39000,457.3,310.8
46.290754,47.493965,39000,453.7,305.6
46.295456,47.483665,39000,452.7,304.3
46.313006,47.444527,39000,451.0,303.1
46.317428,47.434708,39000,451.8,303.0
46.345872,47.370644,39000,450.7,301.6
46.354431,47.347792,39000,450.7,301.6
46.418679,47.120911,39000,446.0,297.9
46.436137,47.079231,39000,448.3,302.5
46.458109,47.029106,39000,448.6,302.3
46.475327,46.98953,39000,448.9,302.2
46.48753,46.96154,39000,448.9,302.2
46.514008,46.900903,39000,450.0,302.4
46.535712,46.851128,39000,451.7,302.2
46.555664,46.805442,39000,451.4,302.4
46.577042,46.756674,39000,451.4,302.4
46.596323,46.7127,39000,452.7,302.5
46.608752,46.684273,39000,452.7,302.5
46.624999,46.647125,39000,453.0,302.3
46.648461,46.593155,39000,453.0,302.3
46.668228,46.547665,39000,453.9,302.2
46.690292,46.496619,39000,453.9,302.2
46.712036,46.446243,39000,454.2,302.0
46.731812,46.400154,39000,454.5,301.9
46.746547,46.365669,39000,454.5,301.9
46.76413,46.32412,39000,454.0,301.8
46.781554,46.283203,39000,453.2,301.8
46.802536,46.234354,39000,453.2,301.8
46.824755,46.182884,39000,453.9,302.2
46.8452,46.134874,39000,453.2,301.8
46.866977,46.084007,39000,453.2,301.8
46.880943,46.052434,39000,452.1,303.3
46.885574,46.043701,39000,452.8,306.9
46.892535,46.031729,39000,456.6,310.7
46.901659,46.018066,39000,459.0,314.0
46.916183,45.999897,39000,460.9,320.4
46.923026,45.992502,39000,462.2,323.8
46.932151,45.983769,39000,462.2,327.5
46.941284,45.976135,39000,464.9,330.4
46.949328,45.970177,39000,466.1,332.4
46.967204,45.957782,39000,466.1,334.3
46.999931,45.934613,39000,465.6,334.1
47.029119,45.913908,39000,465.6,334.1
47.061584,45.890854,39000,465.1,334.0
47.116379,45.851921,39000,464.3,334.2
47.122177,45.847849,39000,464.3,334.2
47.234414,45.769043,39000,463.4,334.1
47.269794,45.743831,39000,462.5,334.1
47.304941,45.718759,39000,462.0,334.2
47.343155,45.691589,39000,462.0,334.2
47.371719,45.671196,39000,461.1,334.2
47.410242,45.643757,39000,461.1,334.2
47.446518,45.61805,39000,461.6,334.3
47.485098,45.590726,39000,460.7,334.3
47.496038,45.582909,39000,460.7,334.3
47.526901,45.560989,39000,460.7,334.3
47.553297,45.542063,39000,460.2,334.1
47.589432,45.516151,39000,460.2,334.1
47.602596,45.506709,39000,460.2,334.1
47.631691,45.485793,39000,460.2,334.1
52.983104,48.064636,31700,68.0,206.2
52.980881,48.062897,31300,68.0,204.3
52.978729,48.061371,30925,68.2,202.4
52.976807,48.06015,30550,67.8,201.6
52.974724,48.058908,30175,68.0,199.8
52.972955,48.057887,29825,68.6,198.7
52.970947,48.05687,29425,68.0,197.1
52.968859,48.055926,29075,68.4,195.3
52.968246,48.055649,29000,68.4,195.3
52.967377,48.055267,28875,68.2,194.4
