lat,lon,alt,gs,track,vs
62.712334,78.11068,33550,430.0,206.0,0
62.701397,78.099274,33400,440.0,206.0,-1600
62.690594,78.087967,33225,440.0,206.0,-1600
62.685287,78.082474,33125,440.0,205.0,-2112
62.67453,78.071083,32900,440.0,206.0,-2112
62.669041,78.065361,32775,440.0,206.0,0
62.664093,78.060303,32650,430.0,205.0,-3072
62.652657,78.048988,32300,440.0,204.0,-3072
62.648392,78.044838,32150,440.0,204.0,-3072
62.642532,78.039452,31900,440.0,203.0,0
62.631241,78.029343,31450,450.0,202.0,0
62.607468,78.008423,30475,460.0,202.0,0
62.594418,77.997017,30025,460.0,202.0,0
62.583252,77.98716,29625,460.0,202.0,0
62.577026,77.981773,29375,470.0,202.0,0
62.565464,77.971558,28925,470.0,202.0,-3960
62.545677,77.954124,28350,470.0,202.0,-3264
62.538712,77.947998,28175,480.0,202.0,-3264
62.520676,77.932129,27825,470.0,202.0,-2240
62.512299,77.924866,27675,470.0,202.0,-2240
62.498291,77.912598,27525,470.0,202.0,-1208
62.488651,77.90416,27450,470.0,202.0,-1024
62.317432,77.755417,24500,440.0,202.0,0
62.298485,77.738937,24100,440.0,202.0,0
62.286987,77.728981,23900,430.0,202.0,0
62.285477,77.727661,23850,430.0,202.0,0
62.265247,77.710312,23475,430.0,202.0,0
62.246704,77.694397,23125,430.0,202.0,0
62.232708,77.682426,22875,420.0,202.0,0
62.219925,77.671509,22625,420.0,202.0,0
62.208984,77.662148,22425,420.0,202.0,-2112
62.198135,77.652893,22200,420.0,202.0,-2112
62.182114,77.63916,21900,410.0,202.0,-1920
62.165726,77.625122,21575,410.0,202.0,-2168
62.155106,77.615982,21375,410.0,202.0,0
62.143799,77.606407,21150,410.0,202.0,-2112
62.139557,77.602776,21050,410.0,202.0,0
62.133785,77.597916,20950,400.0,202.0,-2040
62.113174,77.580345,20550,400.0,202.0,-1920
62.09198,77.562302,20200,400.0,202.0,-1792
62.08239,77.554115,20025,390.0,202.0,-1848
62.062088,77.536797,19650,390.0,202.0,-1792
62.052177,77.528481,19475,390.0,201.0,-1792
62.041992,77.519829,19300,380.0,202.0,0
62.021164,77.502266,18925,380.0,202.0,0
62.011818,77.494408,18750,380.0,202.0,0
62.002041,77.486168,18575,370.0,202.0,-1720
61.982849,77.469894,18225,370.0,202.0,-1720
61.962891,77.453003,17875,370.0,202.0,-1720
61.959091,77.449791,17800,360.0,202.0,-1720
61.94133,77.434776,17475,360.0,202.0,-1664
61.926498,77.422325,17200,360.0,201.0,-1664
61.921371,77.418007,17125,360.0,202.0,0
61.907318,77.406136,16875,350.0,202.0,0
61.889107,77.390953,16550,350.0,201.0,0
61.870926,77.375725,16200,350.0,202.0,0
61.862366,77.368568,16050,340.0,202.0,0
61.840179,77.35006,15650,340.0,202.0,0
61.821323,77.33429,15300,340.0,202.0,0
61.804844,77.320557,15025,330.0,202.0,0
61.79512,77.312363,14850,330.0,202.0,0
61.780151,77.299904,14575,330.0,202.0,0
61.764812,77.287193,14300,330.0,201.0,0
61.750168,77.274986,14025,330.0,202.0,0
61.695511,77.229668,13050,330.0,201.0,0
61.674637,77.212502,12675,330.0,202.0,0
61.666718,77.205933,12525,320.0,202.0,0
61.653831,77.195229,12300,320.0,202.0,0
61.645496,77.188316,12150,320.0,202.0,-1528
61.640717,77.184349,12050,320.0,202.0,-1528
61.633667,77.178566,11925,320.0,201.0,0
61.623711,77.17041,11750,320.0,201.0,0
61.611832,77.160614,11550,320.0,201.0,0
61.602764,77.153221,11375,320.0,202.0,0
61.594151,77.146202,11225,320.0,201.0,0
61.590271,77.143051,11150,320.0,201.0,0
61.578278,77.133179,10925,320.0,202.0,0
61.573883,77.129616,10850,310.0,201.0,0
61.569756,77.12616,10775,310.0,202.0,0
61.557327,77.11599,10550,310.0,201.0,0
61.545273,77.106171,10375,310.0,201.0,0
61.541382,77.102936,10325,310.0,202.0,-888
61.536613,77.098999,10300,300.0,202.0,-888
61.521202,77.086388,10175,300.0,201.0,-704
61.513779,77.080276,10100,290.0,201.0,-704
61.510117,77.077332,10075,290.0,201.0,0
61.499371,77.068581,9975,280.0,201.0,0
61.49197,77.062477,9850,280.0,202.0,0
61.484253,77.056145,9700,280.0,201.0,0
61.476654,77.049866,9550,280.0,202.0,0
61.469421,77.043983,9400,280.0,201.0,0
61.46199,77.037964,9250,280.0,201.0,0
61.457939,77.034607,9175,280.0,202.0,0
61.449421,77.027687,9000,280.0,201.0,0
61.436462,77.017204,8725,280.0,201.0,0
61.42543,77.008278,8525,280.0,201.0,0
61.422001,77.005516,8450,280.0,201.0,0
61.410919,76.996506,8225,280.0,201.0,0
61.407337,76.993614,8150,270.0,201.0,0
61.397049,76.985123,7950,270.0,202.0,-1400
61.386108,76.976318,7750,270.0,201.0,-1400
61.378475,76.970116,7600,270.0,202.0,-1400
61.367844,76.961586,7375,270.0,201.0,-1400
61.357105,76.952919,7175,270.0,201.0,-1208
61.343536,76.941963,7025,260.0,201.0,-1208
61.339966,76.939117,7000,260.0,201.0,-248
61.330059,76.931152,7000,250.0,201.0,-248
61.323914,76.92617,7000,240.0,201.0,-248
61.31102,76.915794,7000,230.0,201.0,-248
61.292679,76.901062,6975,220.0,201.0,0
61.281006,76.891739,6875,220.0,201.0,0
61.278214,76.889488,6800,220.0,201.0,0
61.275501,76.887306,6700,220.0,201.0,-2112
61.269562,76.882423,6475,220.0,202.0,-2112
61.266678,76.880165,6400,220.0,201.0,-1920
61.263908,76.877846,6300,230.0,202.0,-1920
61.257904,76.872963,6050,230.0,201.0,-1920
61.254959,76.870552,5950,230.0,202.0,-2432
61.251755,76.867905,5800,240.0,202.0,-2432
61.2453,76.862709,5575,240.0,201.0,-2112
61.242355,76.860252,5475,240.0,202.0,-2112
61.238865,76.857399,5350,240.0,202.0,-2112
61.232674,76.852417,5150,240.0,201.0,-2360
61.229553,76.849854,5025,250.0,202.0,-2360
61.226295,76.847229,4900,250.0,201.0,-2360
61.219311,76.841637,4625,250.0,201.0,-2304
61.216518,76.839394,4550,250.0,201.0,-2304
61.212841,76.836449,4425,250.0,201.0,-2304
61.20607,76.831123,4225,250.0,201.0,-2304
61.203186,76.828766,4125,250.0,202.0,-2304
61.200165,76.826317,4000,260.0,201.0,-2304
61.192886,76.820526,3725,260.0,201.0,-2304
61.189472,76.817833,3600,260.0,201.0,-2304
61.185562,76.814735,3475,260.0,201.0,-2304
61.178997,76.809486,3275,260.0,201.0,-2304
61.171829,76.803795,3075,260.0,201.0,-2304
61.165375,76.798752,2950,260.0,201.0,-2304
61.157639,76.792572,2850,260.0,201.0,-2304
60.989017,76.128387,8000,250.0,306.0,2488
60.991287,76.121994,8125,260.0,306.0,2488
60.997257,76.105339,8550,250.0,306.0,3264
60.999802,76.098129,8750,250.0,306.0,3264
61.005962,76.080811,9225,250.0,306.0,3264
61.007824,76.075516,9350,250.0,306.0,3264
61.014175,76.057594,9800,250.0,306.0,2944
61.016296,76.051682,9925,250.0,306.0,2944
61.018486,76.045502,10025,250.0,306.0,2304
61.022907,76.033142,10250,260.0,306.0,2304
61.025234,76.026375,10350,260.0,305.0,1600
61.02705,76.021271,10425,260.0,306.0,1600
61.031708,76.008247,10525,270.0,306.0,1080
61.04068,75.982773,10725,280.0,306.0,1080
61.0453,75.969673,10850,290.0,306.0,1080
61.052719,75.948586,11000,300.0,306.0,1080
61.060196,75.927429,11175,310.0,306.0,960
61.062523,75.920715,11200,310.0,306.0,960
61.065079,75.913467,11250,310.0,306.0,0
61.070251,75.89875,11375,320.0,306.0,0
61.073372,75.889793,11475,320.0,306.0,1664
61.075558,75.883583,11550,320.0,306.0,1664
61.080872,75.868538,11750,320.0,306.0,1664
61.086266,75.853172,11950,320.0,306.0,2040
61.094551,75.829674,12275,330.0,306.0,2040
61.102188,75.807899,12600,330.0,306.0,2360
61.110397,75.784378,13000,330.0,306.0,2360
61.118481,75.761414,13400,330.0,306.0,2112
61.126419,75.738762,13700,330.0,306.0,2112
61.137474,75.707092,14200,330.0,306.0,2304
61.140198,75.699333,14325,330.0,306.0,2304
61.14592,75.685013,14500,330.0,310.0,1792
61.155815,75.665993,14775,330.0,318.0,1792
61.16011,75.659508,14875,330.0,324.0,2040
61.164101,75.654297,14975,340.0,328.0,2040
61.168213,75.649696,15100,340.0,332.0,2304
61.176811,75.642189,15325,340.0,337.0,2168
61.185516,75.637138,15500,340.0,346.0,1848
61.195724,75.6343,15675,350.0,352.0,1720
61.210651,75.635986,15975,350.0,5.0,2040
61.215179,75.638023,16075,350.0,12.0,2112
61.220123,75.640869,16175,360.0,16.0,0
61.228867,75.647636,16400,360.0,20.0,0
61.238167,75.655418,16625,360.0,22.0,0
61.252625,75.667847,17000,360.0,22.0,0
61.266266,75.679619,17375,350.0,22.0,0
61.276062,75.688049,17625,350.0,22.0,0
61.284622,75.695412,17800,360.0,22.0,0
61.307373,75.714828,18150,360.0,23.0,0
62.20459,76.512962,30550,400.0,23.0,760
62.241226,76.546501,30800,400.0,23.0,760
62.267212,76.570435,31025,400.0,23.0,960
62.288197,76.589813,31200,410.0,23.0,640
62.325253,76.624146,31350,410.0,23.0,640
62.350857,76.647911,31650,410.0,23.0,640
62.367569,76.663445,31900,400.0,23.0,640
59.328499,86.887177,36000,440.0,180.0,64
59.30809,86.886475,36000,440.0,181.0,0
59.274593,86.885185,36000,440.0,181.0,0
59.268261,86.884712,36000,440.0,182.0,0
59.25174,86.882812,36000,440.0,183.0,0
59.241989,86.881256,36000,440.0,185.0,0
59.219147,86.876221,36000,440.0,187.0,0
59.186096,86.86776,36000,440.0,187.0,0
59.145172,86.857361,36000,440.0,187.0,0
59.113266,86.849213,36000,440.0,188.0,64
59.072983,86.838959,36000,440.0,187.0,64
59.04034,86.830536,36025,440.0,188.0,0
59.008484,86.822571,36000,440.0,188.0,-64
58.967743,86.812134,36000,440.0,188.0,0
58.947784,86.807098,36000,440.0,188.0,0
58.915283,86.798859,36000,440.0,188.0,-64
58.883057,86.790894,35975,440.0,187.0,-64
58.847244,86.781921,36000,440.0,188.0,64
58.810181,86.772499,36000,440.0,188.0,64
58.773785,86.763428,36025,440.0,188.0,64
58.73724,86.754364,36025,440.0,187.0,0
58.705536,86.746399,36025,440.0,187.0,-64
58.689056,86.741547,36025,440.0,189.0,0
58.681099,86.738892,36025,430.0,190.0,0
58.6577,86.729706,36025,430.0,192.0,64
58.641403,86.722176,36025,430.0,194.0,-64
58.630142,86.71624,36025,430.0,195.0,-64
58.611237,86.705254,36000,430.0,197.0,-120
58.59906,86.697365,36000,430.0,199.0,0
58.584,86.686737,36000,430.0,201.0,64
58.554428,86.664406,36025,430.0,202.0,-64
58.524307,86.641815,36000,430.0,201.0,-64
58.490837,86.616669,35975,430.0,201.0,-64
58.461651,86.594696,35975,430.0,202.0,64
58.424286,86.566681,35975,430.0,202.0,0
58.394577,86.544357,36000,430.0,201.0,64
58.357651,86.516693,36000,430.0,202.0,0
58.327972,86.494476,36025,430.0,202.0,64
58.290894,86.466743,36025,430.0,201.0,-64
58.264572,86.447342,36000,430.0,201.0,-64
58.231358,86.422852,35975,430.0,201.0,-64
58.186935,86.390105,35975,430.0,201.0,0
58.150728,86.363251,35975,430.6,201.4,0
58.115907,86.337341,35975,431.9,201.5,0
58.079829,86.310791,36000,430.6,201.4,64
58.043518,86.284058,36000,432.1,201.2,-64
58.008604,86.258606,36000,432.1,201.2,0
57.971828,86.231781,36000,432.1,201.2,64
57.935657,86.205322,36000,432.1,201.2,0
57.900146,86.179593,36025,431.8,201.0,0
57.863297,86.152836,36000,433.1,201.1,0
