lat,lon,alt,gs,track,vs
49.140216,136.895503,31725,437.7,65.7,1280
49.151901,136.935039,32025,436.4,65.8,1280
49.22145,137.172257,33650,433.8,65.9,1024
49.234314,137.21628,33975,432.4,66.0,1472
49.239885,137.235501,34150,429.8,66.1,1472
49.273495,137.351219,34675,433.4,66.0,704
49.289556,137.406873,34925,433.9,66.2,768
49.310623,137.480023,35000,436.1,66.2,0
49.325363,137.531363,35025,436.6,66.4,0
49.340927,137.58566,35000,434.8,66.3,0
49.356964,137.641489,35000,436.1,66.2,-64
49.372884,137.696999,35000,434.8,66.3,64
49.388306,137.750878,35000,437.5,66.4,-64
49.40387,137.80588,35000,439.0,66.7,64
49.42868,137.893307,35025,439.0,66.7,64
49.444702,137.949757,35050,442.5,66.6,64
49.46017,138.004687,35025,443.0,66.7,0
49.475579,138.059618,35025,435.4,66.7,64
49.491623,138.116576,35000,431.7,66.5,-128
49.502579,138.155377,35000,430.8,66.5,-64
49.536072,138.275227,35000,435.0,66.8,0
49.551041,138.329436,35000,435.5,67.0,64
49.565598,138.382199,35025,434.6,67.0,0
49.580647,138.436716,35000,435.5,67.0,0
49.611139,138.547174,35000,437.0,67.2,-64
49.62648,138.602937,35025,436.3,66.8,64
49.642003,138.659041,35025,438.3,67.2,-128
49.65683,138.713162,35025,437.4,67.1,0
49.671238,138.765712,35000,437.4,67.1,64
49.68631,138.821002,35000,436.1,67.2,64
49.702057,138.878752,35000,436.1,67.2,-64
49.7173,138.934768,35000,435.3,67.4,0
49.731857,138.989121,35000,435.3,67.4,0
49.747055,139.045571,35000,434.4,67.4,0
49.762108,139.101464,34975,434.8,67.3,-64
49.777313,139.157819,34975,434.9,67.6,0
49.792603,139.215281,34975,434.5,67.7,64
49.807571,139.271369,34975,435.9,67.6,-64
49.822533,139.327277,34975,436.2,67.5,0
49.837967,139.384846,35000,435.9,67.6,0
49.852432,139.439344,35000,436.4,67.8,0
49.86644,139.492685,35000,437.9,68.0,0
49.881607,139.550493,35000,437.7,67.7,0
49.896469,139.606741,35000,437.7,67.7,0
49.911261,139.66236,35000,437.7,67.7,64
49.925766,139.717905,35025,437.5,68.1,64
49.940506,139.774499,35025,437.9,68.0,0
49.955658,139.8329,35025,437.9,68.0,0
49.970382,139.889584,35000,436.9,68.0,0
49.985326,139.94652,35000,436.0,67.9,64
49.999943,140.003011,35025,436.2,68.2,0
50.014979,140.061134,35000,436.2,68.2,-64
50.029724,140.118328,34975,436.2,68.2,-64
50.043842,140.173373,34975,435.8,68.3,64
50.058701,140.231082,35000,435.8,68.3,0
50.072891,140.286737,35000,435.5,68.4,0
50.088043,140.346294,35000,435.5,68.4,0
50.102005,140.401515,35000,435.7,68.7,0
50.116603,140.459982,35000,434.7,68.7,0
50.131127,140.517958,35000,434.2,68.5,64
50.145698,140.574819,35000,434.9,68.3,-64
50.160036,140.631384,35000,434.7,68.7,0
50.173816,140.68639,35000,434.7,68.7,0
50.18811,140.743103,35000,434.5,68.4,0
50.202255,140.799553,35000,434.4,68.8,64
50.21669,140.857643,35000,434.4,68.8,-64
50.230982,140.915321,35000,434.4,68.8,0
50.244965,140.971575,35000,434.4,68.8,0
50.259247,141.029181,35000,434.4,68.8,0
50.273117,141.085197,35000,435.3,68.9,-64
50.286891,141.140838,34975,435.9,69.0,0
50.300995,141.198313,34975,435.9,69.0,0
50.315009,141.255526,35000,436.5,69.2,0
50.328873,141.312657,35000,437.4,69.2,0
50.34294,141.370883,35000,438.3,69.3,64
50.357045,141.429155,35025,438.3,69.3,0
50.370987,141.486849,35025,439.3,69.3,64
50.384697,141.543546,35025,439.3,69.3,64
50.399002,141.603,35050,438.0,69.4,0
50.41246,141.658871,35050,437.0,69.4,0
50.426501,141.717546,35025,436.7,69.5,-64
50.440292,141.775167,35025,435.4,69.6,0
50.454153,141.833645,35000,434.5,69.5,-64
50.46784,141.891026,34975,434.5,69.5,0
50.481857,141.950009,34975,434.1,69.6,-64
50.495453,142.007615,34950,435.0,69.7,-64
50.509085,142.066139,34950,435.3,70.0,0
50.522818,142.125228,34975,435.3,70.0,64
50.536178,142.18246,34975,436.0,69.7,0
50.550018,142.241219,35000,436.0,69.7,0
50.563691,142.29893,35000,436.7,69.5,0
50.577255,142.356286,35000,437.3,69.7,0
50.591063,142.415697,35000,437.5,69.9,0
50.604517,142.473969,35000,438.1,70.1,0
50.617996,142.532429,35000,438.1,70.1,0
50.631866,142.592854,35025,438.7,70.3,64
50.64537,142.651905,35025,438.7,70.3,0
50.658463,142.709583,35025,438.7,70.3,0
50.671832,142.768021,35025,438.7,70.3,-64
50.685192,142.826691,35025,438.7,70.3,-64
50.698413,142.884827,35000,438.7,70.3,0
50.711472,142.942596,35000,438.4,70.4,0
50.723691,142.996826,35000,439.0,70.6,0
50.73674,143.056096,35025,438.0,70.9,64
50.748969,143.111115,35025,437.1,70.5,0
50.762469,143.171005,35000,437.1,70.5,-64
50.775879,143.230467,35000,436.2,70.4,0
50.78891,143.288727,34975,435.8,70.6,-128
50.802292,143.348867,34950,436.4,70.7,0
50.815445,143.408508,34950,436.1,70.9,64
50.828526,143.467712,34975,436.8,70.6,64
50.841608,143.52623,34975,437.1,70.5,0
50.85434,143.583885,34975,438.6,71.1,0
50.867386,143.64431,34975,439.9,71.0,64
50.880618,143.70491,35000,441.2,70.9,0
50.893478,143.763972,35025,441.8,71.1,64
50.906688,143.824768,35050,442.1,71.0,0
50.919617,143.884302,35050,441.8,71.1,64
50.932291,143.9431,35050,441.5,71.2,-64
50.944519,144.000401,35050,441.1,71.4,0
50.952309,144.036865,35050,440.2,71.3,0
50.971023,144.124374,35000,440.5,71.2,-128
50.982195,144.176483,34975,440.2,71.3,-64
53.116425,158.486725,2750,190.0,157.0,1152
53.112076,158.489792,2850,190.0,157.0,1152
53.105862,158.494186,3025,200.0,157.0,1152
53.10379,158.495682,3100,210.0,157.0,1152
53.100925,158.497742,3200,210.0,157.0,1152
53.095139,158.501892,3375,220.0,157.0,1152
53.092175,158.504074,3475,220.0,156.0,1152
53.083145,158.510513,3700,240.0,157.0,1152
53.079979,158.512787,3775,240.0,157.0,1152
53.077278,158.51474,3850,250.0,156.0,1152
53.070808,158.519302,4050,250.0,157.0,2488
53.063732,158.524323,4350,260.0,157.0,2488
53.060429,158.526596,4525,260.0,158.0,3200
53.05687,158.529129,4675,260.0,157.0,3200
53.049767,158.534042,5025,260.0,157.0,3200
53.046741,158.536087,5175,260.0,158.0,3200
53.043854,158.538055,5300,260.0,158.0,3392
53.033844,158.544876,5800,260.0,158.0,3392
53.029221,158.547974,6025,260.0,158.0,3392
53.02652,158.549805,6150,260.0,158.0,3392
53.024551,158.551178,6325,270.0,157.0,3392
53.013748,158.558502,6675,270.0,158.0,3392
53.008194,158.562225,6875,270.0,158.0,3392
53.001022,158.567123,7150,280.0,158.0,3392
52.997498,158.569412,7275,280.0,159.0,2680
52.994019,158.57132,7400,280.0,162.0,2680
52.987152,158.573914,7650,280.0,167.0,2680
52.982124,158.574615,7800,290.0,175.0,2624
52.977859,158.574448,7900,290.0,181.0,2560
52.970169,158.572083,8200,290.0,190.0,2560
52.966049,158.569641,8375,280.0,200.0,2560
52.962948,158.567169,8500,280.0,206.0,2560
52.956345,158.559875,8825,280.0,214.0,2560
52.952984,158.554764,9000,280.0,222.0,2560
52.944168,158.469391,10725,290.0,260.0,1472
52.94442,158.46727,10750,290.0,281.0,1400
52.946236,158.451736,10900,300.0,281.0,1344
52.94838,158.433151,11075,310.0,281.0,1208
52.950424,158.41571,11225,310.0,281.0,1400
52.951538,158.405914,11300,320.0,281.0,1664
52.953003,158.393555,11475,320.0,281.0,1664
52.953918,158.385391,11550,320.0,280.0,2040
52.954651,158.379059,11650,330.0,281.0,2360
52.955826,158.369019,11800,330.0,281.0,2432
52.957268,158.356384,12050,330.0,281.0,2880
52.959641,158.335434,12350,330.0,281.0,2680
52.961502,158.319351,12725,330.0,281.0,2432
52.964249,158.29541,13100,340.0,281.0,2240
52.965912,158.280869,13350,340.0,281.0,2240
52.967789,158.264923,13625,340.0,281.0,2240
52.970444,158.241577,14050,340.0,281.0,2240
52.97221,158.226044,14325,340.0,281.0,2240
52.974792,158.202667,14650,340.0,281.0,2240
52.9758,158.193512,14775,350.0,280.0,2240
52.978363,158.170395,15100,350.0,280.0,2240
52.979099,158.163971,15225,350.0,281.0,2240
53.029999,157.69455,21550,380.0,280.0,2040
53.033249,157.663956,21950,380.0,280.0,1984
53.035892,157.637482,22225,380.0,279.0,1984
53.036545,157.628143,22325,380.0,277.0,1984
53.036964,157.613007,22500,390.0,273.0,1984
53.036823,157.604218,22575,390.0,268.0,1984
53.036266,157.593613,22700,390.0,265.0,1984
53.032776,157.565292,22975,390.0,256.0,1984
53.028633,157.540726,23250,390.0,254.0,1984
53.025326,157.521576,23525,390.0,254.0,1984
50.97551,144.176256,36000,425.6,251.6,0
50.966321,144.132156,36000,425.6,251.6,64
50.950195,144.055184,36000,425.6,251.6,64
50.938339,143.998842,36000,426.0,251.5,0
50.92598,143.940941,36000,425.7,251.2,0
50.914169,143.886009,36000,425.7,251.2,0
50.901901,143.829148,36000,426.0,251.1,64
50.889496,143.771841,36000,426.0,251.1,0
50.876953,143.714385,36025,425.0,251.1,0
50.864465,143.657074,36000,425.4,250.9,0
50.852361,143.601608,36000,425.4,250.9,0
50.839645,143.543132,36000,426.0,251.1,0
50.827176,143.485718,36000,425.4,250.9,0
50.814747,143.428879,36000,426.3,251.0,0
50.802246,143.372547,36000,426.3,250.6,0
50.78952,143.315537,36000,426.3,250.6,0
50.776657,143.257859,36000,426.0,250.7,0
50.763958,143.200378,36000,426.3,251.0,0
50.751715,143.144302,36000,425.4,250.9,0
50.739258,143.087942,36000,426.0,250.7,-64
50.726763,143.032074,35975,426.3,250.6,64
50.713669,142.974293,35975,428.0,250.3,-64
50.70108,142.918916,36000,428.0,250.3,64
50.688126,142.861609,36000,428.9,250.4,64
50.675079,142.804005,36000,430.5,250.2,0
50.6682,142.772679,36000,429.4,251.8,0
50.663499,142.748405,36000,429.3,254.2,0
50.658238,142.716634,36025,428.8,256.0,0
50.648974,142.658881,36025,429.3,255.7,0
50.639099,142.599214,36025,430.0,255.3,0
50.629283,142.540258,36000,430.0,255.3,-64
50.619507,142.481541,36000,430.0,255.3,0
50.609482,142.421771,36025,430.3,255.2,0
50.599257,142.360988,36000,430.6,255.1,0
50.589434,142.303087,36000,430.6,255.1,0
50.579269,142.243387,36000,430.8,254.9,0
50.569199,142.184336,36000,430.8,254.9,64
