lat,lon,alt,gs,track
61.310661,-150.434723,-50.0,90.0,84.0
61.312592,-150.425858,-50.0,100.0,66.0
61.31517,-150.416946,-50.0,100.0,57.0
61.31789,-150.408783,-50.0,100.0,55.0
61.32193,-150.396957,-50.0,100.0,55.0
61.323219,-150.392883,-50.0,100.0,57.0
61.325878,-150.384537,-50.0,100.0,56.0
61.328918,-150.370987,-50.0,100.0,65.0
61.329781,-150.360428,-50.0,100.0,80.0
61.32972,-150.355148,-50.0,100.0,91.0
61.3298,-150.349701,-50.0,110.0,88.0
61.329159,-150.340057,-50.0,100.0,98.0
61.328789,-150.334793,-50.0,110.0,98.0
61.328411,-150.329147,-50.0,110.0,98.0
61.327961,-150.324081,-50.0,110.0,100.0
61.326351,-150.310486,-50.0,100.0,104.0
61.32452,-150.296265,-50.0,100.0,105.0
61.32373,-150.291428,-50.0,100.0,109.0
61.32148,-150.277924,-50.0,100.0,109.0
61.32053,-150.273407,-50.0,100.0,114.0
61.319721,-150.268814,-50.0,100.0,110.0
61.314739,-150.242798,-50.0,100.0,112.0
61.311111,-150.225571,-50.0,100.0,114.0
61.30925,-150.216446,-50.0,100.0,113.0
61.30843,-150.211792,-50.0,100.0,110.0
61.306801,-150.202866,-50.0,100.0,111.0
61.303242,-150.183853,-50.0,100.0,110.0
61.300861,-150.170319,-50.0,100.0,110.0
61.29768,-150.151932,-50.0,100.0,109.0
61.289612,-150.086227,-50.0,100.0,104.0
61.285938,-150.073608,-50.0,100.0,121.0
61.253239,-150.009338,-50.0,80.0,137.0
61.251381,-150.008423,-50.0,80.0,167.0
61.249359,-150.00737,-50.0,80.0,166.0
61.247231,-150.006638,-50.0,80.0,171.0
61.24144,-150.005005,-50.0,90.0,172.0
61.239849,-150.004166,-50.0,80.0,166.0
61.23867,-150.00383,-50.0,80.0,172.0
61.235409,-150.002777,-50.0,80.0,169.0
61.233421,-150.001999,-50.0,80.0,169.0
61.21455,-149.995972,-50.0,80.0,171.0
61.211739,-149.994812,-50.0,80.0,169.0
61.209019,-149.993668,-50.0,80.0,168.0
61.207191,-149.993515,-50.0,70.0,178.0
61.205761,-149.993011,-50.0,70.0,170.0
61.20417,-149.992325,-50.0,80.0,168.0
61.202671,-149.991364,-50.0,70.0,163.0
61.201271,-149.990784,-50.0,70.0,169.0
61.199619,-149.990051,-50.0,70.0,168.0
61.1964,-149.989456,-50.0,60.0,175.0
61.193569,-149.988663,-50.0,70.0,172.0
61.190762,-149.986465,-50.0,80.0,159.0
61.188381,-149.983063,-50.0,70.0,145.0
61.186272,-149.980118,-50.0,70.0,146.0
61.183849,-149.976395,-50.0,80.0,0.0
61.181721,-149.972565,-50.0,70.0,0.0
61.180592,-149.969864,-50.0,60.0,0.0
61.179562,-149.966232,-50.0,30.0,0.0
