lat,lon,alt,gs,track,vs
45.471062,10.922085,550,78.3,259.7,960
45.470901,10.920803,575,79.1,260.5,512
45.470783,10.919874,625,73.0,260.5,1024
45.470783,10.919673,650,69.9,260.9,1536
45.470718,10.919037,725,67.7,261.5,1856
45.47055,10.917396,825,65.4,263.9,1600
45.470535,10.91701,825,65.4,263.9,1600
45.47049,10.916552,850,67.4,264.0,1024
45.470444,10.914721,900,70.0,268.4,768
45.470444,10.913348,950,71.0,269.2,768
45.470444,10.91217,950,75.0,271.5,448
45.470597,10.908084,1050,76.1,273.0,832
45.47069,10.903998,1150,76.0,271.5,832
45.470718,10.903015,1200,74.1,272.3,1280
45.470764,10.9021,1275,73.1,273.1,1664
45.470829,10.900246,1375,73.1,272.4,1600
45.470901,10.897784,1450,73.2,273.9,1536
45.470969,10.897031,1475,79.1,272.2,896
45.470993,10.895495,1550,79.1,272.2,1024
45.471109,10.893011,1650,77.1,273.0,1408
45.47113,10.891833,1725,73.1,272.4,1536
45.471202,10.889796,1775,74.0,271.5,512
45.471202,10.888858,1775,77.0,270.7,384
45.471202,10.887719,1800,79.0,270.0,256
45.471268,10.886143,1800,83.2,273.5,192
45.471451,10.884181,1825,87.1,279.2,256
45.471863,10.881369,1875,87.9,281.8,704
45.472598,10.876465,1950,86.1,282.8,448
45.47325,10.872847,2000,87.1,285.3,320
45.474243,10.867767,2075,90.0,284.8,704
45.474609,10.865021,2125,89.6,280.9,320
45.475159,10.861555,2150,86.4,283.4,384
45.475857,10.857976,2150,86.4,286.1,-64
45.477114,10.852349,2175,87.9,287.2,384
45.477533,10.850339,2225,87.6,286.6,832
45.478604,10.845717,2300,89.2,287.6,384
45.478929,10.844109,2300,92.7,286.3,192
45.479553,10.840825,2300,96.0,284.5,-256
45.48056,10.834808,2275,97.3,282.5,-384
45.48111,10.831146,2250,93.0,281.8,64
45.481842,10.826372,2300,89.7,284.2,128
45.482849,10.821599,2300,91.8,286.5,128
45.484818,10.811855,2275,87.1,285.3,0
45.485138,10.809828,2300,83.2,283.2,192
45.485962,10.804858,2300,87.1,282.6,0
45.486191,10.803353,2275,87.7,298.6,0
45.486517,10.801302,2300,89.3,283.0,256
45.487061,10.798122,2300,90.5,283.4,-128
45.488985,10.786498,2275,93.6,283.6,-128
45.490997,10.775234,2300,91.4,283.3,64
45.492616,10.765195,2275,90.0,282.2,-64
45.493607,10.75895,2300,88.5,283.7,0
45.494338,10.75528,2300,88.6,286.4,64
45.495117,10.752149,2300,89.9,290.9,-64
45.496619,10.746773,2300,90.1,292.9,0
45.498621,10.740476,2300,89.1,294.5,64
45.500064,10.736188,2300,90.8,296.9,-64
45.501389,10.732662,2275,90.4,299.1,0
45.502258,10.7307,2275,90.1,303.7,-64
45.503632,10.728019,2275,90.0,306.9,0
45.504684,10.726253,2300,88.6,310.9,128
45.505554,10.724945,2300,89.1,314.1,0
45.506699,10.723441,2300,88.6,319.1,-64
45.507652,10.722388,2275,89.2,322.7,-64
45.509421,10.720714,2300,88.8,326.5,64
45.513983,10.716359,2300,89.9,325.4,-128
45.516632,10.713697,2300,89.4,323.6,64
45.521622,10.708335,2275,90.6,322.6,-64
45.527018,10.702559,2300,88.6,323.3,64
45.530323,10.699143,2300,89.1,325.1,0
45.535767,10.693948,2300,90.1,326.3,64
45.542753,10.687353,2300,90.4,327.2,64
45.549225,10.681324,2300,91.5,326.1,0
45.555741,10.67514,2300,90.1,326.3,0
45.562351,10.669029,2300,89.6,326.8,64
45.562956,10.668549,2275,91.9,329.2,-256
45.563553,10.66806,2275,93.2,330.4,-576
45.564011,10.667725,2225,97.5,331.9,-896
45.565475,10.66672,2200,100.2,334.0,-768
45.566215,10.666351,2175,102.2,340.0,-640
45.567332,10.665871,2175,103.3,345.4,-512
45.568589,10.665527,2150,104.1,351.7,-512
45.570125,10.665253,2125,101.1,351.5,-64
45.571103,10.665047,2150,98.2,351.2,320
45.573669,10.664442,2175,95.7,349.2,-64
45.574408,10.664223,2150,96.9,348.7,-384
45.576096,10.663571,2125,101.0,343.9,-640
45.578412,10.662506,2100,101.5,342.8,-256
45.581391,10.661064,2100,99.0,339.9,-64
45.584091,10.659554,2100,96.8,336.9,64
45.585301,10.658798,2125,92.1,332.9,512
45.586139,10.658043,2150,87.7,325.2,704
45.586761,10.657274,2175,85.0,318.8,768
45.587402,10.656336,2200,82.0,314.0,768
45.588364,10.654729,2250,78.9,309.3,960
45.589025,10.653511,2350,75.0,306.9,1280
45.590286,10.65091,2450,74.1,304.5,960
45.591493,10.64843,2550,73.8,302.8,896
45.592026,10.647092,2575,76.9,297.9,576
45.592346,10.64602,2575,80.2,292.7,384
45.592667,10.644747,2600,81.0,288.0,384
45.59285,10.643474,2625,81.0,282.8,512
45.592941,10.642335,2650,80.5,276.4,832
45.592982,10.640808,2700,79.0,270.7,768
45.592936,10.639572,2725,79.4,264.2,768
45.592667,10.63711,2750,80.1,260.7,320
45.592377,10.635315,2800,80.5,255.6,640
45.591431,10.630009,2850,85.4,256.5,256
45.590698,10.625655,2850,89.3,254.4,64
45.590282,10.623917,2875,90.3,248.6,192
45.589491,10.621513,2875,92.1,244.3,64
45.58754,10.616008,2875,94.4,242.9,-64
45.584793,10.608573,2875,96.2,243.4,64
45.584231,10.60675,2875,97.5,249.0,0
45.583923,10.605156,2875,98.8,254.1,-256
45.583694,10.603481,2825,102.0,262.1,-576
45.583237,10.598792,2800,100.6,259.7,-192
45.583054,10.597787,2800,99.0,253.6,-256
45.582694,10.596519,2775,97.6,245.8,-192
45.582182,10.595215,2775,95.7,237.8,-64
45.58168,10.594304,2775,94.4,229.7,-64
45.580879,10.593224,2775,93.4,222.4,0
45.580227,10.592468,2775,92.2,216.6,-64
45.579529,10.591892,2775,91.3,208.8,-128
45.57843,10.591222,2750,91.8,203.8,-192
45.577527,10.590752,2750,90.8,198.6,-256
45.576141,10.590217,2750,91.7,193.9,-320
45.572499,10.589172,2675,93.0,191.8,-384
45.570684,10.588554,2675,90.3,195.4,0
45.568222,10.587471,2675,87.6,198.6,-128
45.564697,10.585796,2625,92.1,197.1,-448
45.563187,10.585193,2600,93.6,193.6,-448
45.561676,10.584791,2575,93.4,189.9,-320
45.559616,10.584523,2575,92.5,186.2,-192
45.558609,10.58459,2575,91.0,179.4,-64
45.556904,10.584572,2575,87.1,182.6,192
45.555954,10.584389,2575,86.3,190.0,128
45.55481,10.584023,2600,84.9,195.0,128
45.553436,10.583317,2600,81.6,199.3,256
45.551644,10.582306,2625,79.9,202.1,256
45.547501,10.579834,2675,77.1,202.9,192
45.543365,10.577218,2675,81.9,203.8,-64
45.5392,10.574602,2650,86.8,204.5,-192
45.534302,10.571529,2600,90.9,204.0,-256
45.527763,10.567508,2550,90.1,202.9,-128
45.520175,10.563087,2550,87.5,202.2,0
45.515213,10.560281,2550,87.7,200.7,-64
45.513471,10.559469,2550,87.6,196.6,0
45.512168,10.559,2550,87.9,191.8,0
45.509857,10.558515,2550,88.0,188.5,0
45.505737,10.557731,2550,87.6,186.6,64
45.499924,10.55688,2550,88.4,185.2,0
45.495828,10.556321,2550,89.3,184.5,0
45.494152,10.556388,2550,89.0,180.0,-64
45.493454,10.556522,2550,90.1,171.1,0
45.492508,10.556815,2550,89.5,166.4,0
45.491685,10.557258,2550,90.8,159.4,0
45.490768,10.557861,2575,90.8,154.6,0
45.489853,10.558711,2575,92.7,147.3,0
45.488892,10.559804,2550,93.7,140.2,-64
45.487262,10.562618,2550,95.4,123.0,0
45.486328,10.565905,2550,95.3,105.2,64
45.486145,10.567307,2575,94.9,97.9,64
45.486145,10.569371,2575,94.2,86.3,-64
45.486282,10.570875,2550,94.4,80.2,-64
45.486511,10.572052,2550,93.3,72.5,0
45.48675,10.572867,2550,93.0,71.2,-64
45.487106,10.573883,2550,91.7,62.0,64
45.487867,10.575547,2550,91.5,56.1,-64
45.488617,10.576891,2550,89.5,50.4,0
45.490521,10.579968,2575,89.2,47.7,64
45.493174,10.583987,2575,89.8,46.3,0
45.494522,10.585916,2550,89.8,43.7,-64
45.495176,10.586667,2550,89.5,39.6,0
45.498295,10.590083,2550,89.8,37.8,-64
45.499237,10.590951,2550,89.2,30.3,-64
45.500107,10.59154,2550,88.2,23.4,-64
45.501663,10.592324,2550,87.6,18.6,64
45.503043,10.593098,2550,90.0,24.3,-64
45.504135,10.594025,2550,91.4,30.2,-64
45.504959,10.59494,2550,92.2,36.6,-64
45.5056,10.595725,2550,91.9,44.1,0
45.506287,10.596902,2550,93.1,50.7,64
45.507065,10.598602,2550,93.2,56.8,64
45.507568,10.599976,2550,93.1,65.9,0
45.507978,10.60174,2575,93.6,71.9,64
45.508255,10.603507,2575,94.1,81.4,0
45.508347,10.605142,2575,94.1,87.6,0
45.508304,10.606697,2575,94.2,93.7,64
45.508118,10.608215,2575,94.5,100.4,0
45.507843,10.60985,2575,94.0,106.7,0
45.507419,10.611319,2575,94.2,112.5,-64
45.506561,10.613839,2575,94.8,116.3,64
45.505697,10.616075,2575,94.7,121.2,64
45.504364,10.61894,2575,93.5,124.5,0
45.501434,10.624629,2550,93.0,126.2,-64
45.496857,10.633327,2550,89.2,127.3,0
45.494156,10.638166,2550,88.9,129.1,0
45.48912,10.646929,2550,87.3,129.9,0
45.484143,10.655465,2550,85.3,129.3,0
45.479462,10.66367,2575,81.1,129.0,192
45.475391,10.67094,2575,85.3,129.3,-64
