lat,lon,alt,gs,track,vs
45.056469,8.841314,725,70.0,83.0,576
45.057354,8.84453,775,70.0,69.0,576
45.057957,8.846339,825,70.0,65.0,512
45.058563,8.848214,850,79.0,65.0,448
45.059967,8.852037,850,81.0,62.0,384
45.061543,8.855918,925,80.0,60.0,384
45.06221,8.857858,925,80.0,64.0,320
45.063869,8.862617,975,80.0,64.0,440
45.065499,8.867575,1075,87.2,64.9,448
45.067593,8.874743,1175,86.7,69.1,448
45.069782,8.883116,1250,90.5,70.0,256
45.07183,8.890753,1325,91.4,70.2,192
45.07338,8.896768,1400,91.4,70.2,384
45.074763,8.902543,1450,90.4,72.0,512
45.075415,8.90529,1500,87.9,72.8,576
45.076718,8.911654,1575,88.9,73.0,256
45.078278,8.918217,1625,90.4,72.0,128
45.08021,8.925789,1675,93.0,71.2,256
45.081665,8.931492,1725,94.6,70.2,256
45.082491,8.93443,1750,95.9,66.6,384
45.084585,8.94133,1800,95.9,66.6,256
45.086773,8.949235,1850,95.2,71.0,128
45.088216,8.95513,1925,95.8,71.8,320
45.089127,8.959351,1950,94.6,74.1,384
45.090404,8.965715,2025,95.6,74.2,384
45.091599,8.971972,2050,98.0,75.8,128
45.092918,8.979648,2100,93.9,75.8,320
45.094345,8.987928,2150,96.5,76.8,128
45.095851,8.997133,2200,97.1,78.1,128
45.097108,9.005105,2250,98.1,78.2,64
45.098691,9.016694,2250,101.2,78.0,64
45.100662,9.029585,2250,102.2,78.1,64
45.101624,9.037126,2275,103.0,78.8,128
45.102182,9.041882,2275,103.2,81.1,64
45.103226,9.052146,2275,103.0,82.2,0
45.10451,9.064726,2225,105.1,81.8,-256
45.105011,9.070653,2200,106.6,84.1,-192
45.105194,9.074184,2225,104.1,87.2,192
45.105286,9.078238,2225,103.0,88.9,128
45.105208,9.082947,2250,102.0,91.1,192
45.104975,9.093129,2250,106.1,92.2,-192
45.104782,9.103742,2225,108.0,91.1,64
45.104828,9.107993,2250,108.0,88.9,128
45.105022,9.116911,2300,103.0,88.9,320
45.105162,9.120126,2300,105.4,85.1,0
45.105835,9.131012,2300,103.6,83.9,192
45.106418,9.137075,2300,105.1,81.8,-128
45.106979,9.143764,2300,104.8,82.9,128
45.107396,9.149669,2300,107.4,85.2,-64
45.108141,9.162665,2300,106.4,85.2,0
45.10842,9.167421,2300,106.2,86.2,-64
45.108467,9.169565,2300,106.0,91.1,-128
45.108307,9.171949,2275,106.4,99.2,-128
45.108078,9.173322,2275,105.1,106.0,-192
45.107675,9.174924,2275,102.7,112.3,-128
45.107117,9.176527,2275,102.4,116.1,-128
45.106613,9.177638,2275,98.7,123.8,64
45.105835,9.179012,2275,98.1,129.2,64
45.105103,9.180123,2275,96.2,135.8,64
45.104324,9.181104,2275,95.3,141.0,0
45.102974,9.182427,2275,94.3,145.8,-128
45.100506,9.184771,2275,92.7,145.1,-64
45.099518,9.185944,2275,93.0,139.8,0
45.098737,9.187049,2275,93.4,134.1,64
45.09787,9.188494,2275,94.0,128.1,0
45.096771,9.190717,2275,96.5,124.0,-64
45.095627,9.193268,2250,95.5,120.9,0
45.094711,9.195687,2250,96.6,117.1,128
45.09407,9.197518,2275,97.7,112.9,128
45.09343,9.200045,2275,99.3,108.8,0
45.092697,9.203469,2275,101.0,106.1,0
45.091965,9.207589,2275,100.7,103.2,0
45.091429,9.211366,2275,103.0,101.2,0
45.091095,9.214783,2275,105.8,97.1,0
45.090684,9.220812,2275,107.4,94.8,0
45.0905,9.225115,2250,107.1,92.1,-192
45.090454,9.233616,2250,104.0,91.1,-64
45.090498,9.237224,2250,101.1,87.7,192
45.090775,9.249507,2250,98.1,87.1,128
45.091149,9.260202,2250,100.1,87.1,0
45.091149,9.264355,2250,99.0,90.0,64
45.091335,9.271657,2275,100.0,88.3,64
45.091661,9.283648,2275,103.1,87.2,0
45.092034,9.290682,2275,104.2,86.2,0
45.092406,9.298788,2275,103.1,87.8,0
45.092606,9.305355,2275,103.2,86.1,0
45.093291,9.317679,2250,104.2,86.2,-128
45.093658,9.327,2250,103.1,87.2,0
45.093842,9.333147,2250,101.1,87.7,0
45.094116,9.337529,2275,100.4,84.9,0
45.094254,9.34021,2275,101.4,84.9,-64
45.094361,9.344073,2275,102.1,87.8,0
45.094687,9.352179,2275,103.2,86.1,64
45.095013,9.35593,2275,103.8,82.8,64
45.095991,9.368457,2250,104.8,82.9,-64
45.096177,9.371941,2250,103.1,87.2,64
45.096782,9.385004,2250,104.1,87.2,0
45.097092,9.39161,2250,103.2,86.1,0
45.097667,9.403359,2275,104.1,87.2,0
45.098053,9.416526,2275,106.1,87.8,0
45.098272,9.421379,2275,106.4,85.2,0
45.098785,9.430062,2250,106.2,86.8,-64
45.099063,9.437859,2250,104.2,86.2,0
45.099747,9.451054,2250,105.2,86.2,0
45.100021,9.454912,2275,104.8,82.9,0
45.100413,9.459697,2275,104.6,84.0,0
45.100571,9.463937,2275,105.1,87.3,0
45.100845,9.470476,2275,104.2,86.2,0
45.101624,9.482608,2275,105.2,86.2,64
45.102036,9.494084,2275,105.1,87.3,0
45.102555,9.507662,2275,105.1,87.3,64
45.102951,9.516122,2275,107.2,86.3,-64
45.103346,9.522132,2275,106.6,84.1,0
45.104137,9.53486,2250,106.4,85.2,64
45.10451,9.542899,2250,107.2,86.3,0
45.105194,9.556536,2275,105.2,86.2,128
45.105743,9.568242,2275,107.2,86.8,64
45.106325,9.581619,2275,109.3,85.8,-64
45.106837,9.593543,2250,109.3,85.8,-64
45.107582,9.606941,2250,106.2,86.2,0
