lat,lon,alt,gs,track,vs
40.491486,-3.566681,1900,0.0,270.0,0
40.491497,-3.566513,1900,2.2,270.0,0
40.491497,-3.566406,1900,2.8,272.8,0
40.491509,-3.566328,1900,2.2,275.6,0
40.491268,-3.565475,1900,0.0,357.2,0
40.491264,-3.565469,1900,0.0,357.2,0
40.491268,-3.565475,1900,0.0,357.2,0
40.491486,-3.565376,1900,3.8,14.1,0
40.491638,-3.565188,1900,7.0,14.1,0
40.491898,-3.564743,1900,10.2,47.8,0
40.492033,-3.564611,1900,11.8,42.2,0
40.492458,-3.564499,1900,13.2,8.4,0
40.492779,-3.564529,1900,13.8,0.0,0
40.493351,-3.564529,1900,15.0,0.0,0
40.500307,-3.568824,1900,13.2,270.0,0
40.500298,-3.569351,1900,13.8,270.0,0
40.500298,-3.569809,1900,13.8,270.0,0
40.500298,-3.570374,1900,13.8,270.0,0
40.500217,-3.570999,1900,8.8,255.9,0
40.499828,-3.571243,1900,8.0,255.9,0
40.499458,-3.571243,1900,9.0,255.9,0
40.49921,-3.571228,1900,11.0,255.9,0
40.498901,-3.571243,1900,10.0,255.9,0
40.498569,-3.571243,1900,13.2,180.0,0
40.497803,-3.571243,1900,15.5,180.0,0
40.497456,-3.571243,1900,16.5,180.0,0
40.49683,-3.571228,1900,17.5,180.0,0
40.496372,-3.571228,1900,18.5,180.0,0
40.496001,-3.571228,1900,18.5,180.0,0
40.495274,-3.571228,1900,19.5,180.0,0
40.494837,-3.571212,1900,18.5,180.0,0
40.494484,-3.571213,1900,18.5,180.0,0
40.494011,-3.571212,1900,18.5,180.0,0
40.493348,-3.571212,1900,21.5,180.0,0
40.49251,-3.571196,1900,17.5,180.0,0
40.491863,-3.572418,1900,10.2,270.0,0
40.491863,-3.572891,1900,8.8,270.0,0
40.491858,-3.573397,1900,8.2,270.0,0
40.491858,-3.573896,1900,9.8,270.0,0
40.49187,-3.57413,1900,9.2,272.8,0
40.491898,-3.57428,1900,9.8,278.4,0
40.49192,-3.574326,1900,9.2,281.2,0
40.492264,-3.574646,1900,7.0,281.2,0
40.492475,-3.57463,1900,6.8,351.6,0
40.492521,-3.574614,1900,4.8,357.2,0
40.49255,-3.574615,1900,4.8,357.2,0
40.49258,-3.574614,1900,1.1,357.2,0
40.492977,-3.57463,1900,20.0,357.2,0
40.493671,-3.574615,1900,40.0,357.2,0
40.494221,-3.574615,1900,50.0,357.2,0
