lat,lon,alt,gs,track,vs
43.665989,3.898509,3575,70.0,328.9,480
43.667573,3.897216,3650,70.0,326.1,736
43.669015,3.895802,3725,70.0,326.1,736
43.672867,3.89161,3825,72.0,325.5,576
43.674352,3.889911,3900,74.0,324.3,640
43.676456,3.887604,3950,72.0,324.1,768
43.673304,3.900253,4025,72.0,324.1,768
43.672096,3.903996,4050,72.0,324.1,768
43.688934,3.870276,4175,70.0,325.9,576
43.688306,3.868806,4250,70.0,325.9,704
43.691267,3.863596,4325,70.0,325.9,704
43.688059,3.87946,4475,68.0,335.0,480
43.689273,3.880886,4550,70.0,337.7,608
43.690477,3.879608,4600,70.0,337.7,608
43.692795,3.875905,4675,70.0,337.7,608
43.695791,3.876233,4800,70.0,332.0,800
43.696895,3.876068,4875,72.0,321.7,736
43.495301,-0.014491,8025,124.0,90.7,32
43.516496,0.218705,8025,120.0,87.4,104
43.515125,0.224295,8025,126.0,87.0,0
43.517174,0.242577,8025,126.0,87.4,32
43.517334,0.250617,8025,126.0,87.4,0
43.517101,0.259769,8025,126.0,87.5,0
43.517526,0.267252,8025,126.0,87.5,0
43.512683,0.284799,8025,130.0,86.8,32
43.518747,0.28943,8025,132.0,86.8,32
43.517163,0.296249,8025,132.0,86.1,0
43.517982,0.305943,8025,132.0,86.3,0
43.518847,0.312314,8025,132.0,86.3,0
43.519915,0.324329,8025,132.0,86.3,0
43.518604,0.330373,8025,132.0,86.3,32
43.520707,0.337654,8025,132.0,86.3,32
43.521182,0.347624,8025,130.0,88.1,128
43.520687,0.352121,8050,132.0,87.7,-32
43.521593,0.360231,8025,132.0,87.9,-64
43.521647,0.365674,8025,132.0,87.9,-64
43.521396,0.379072,8025,134.0,87.7,32
43.521531,0.386994,8025,134.0,87.7,32
43.522134,0.399086,8025,132.0,89.5,32
43.521432,0.405019,8025,130.0,89.7,-32
43.522066,0.411898,8025,130.0,89.7,-32
43.521987,0.423948,8025,130.0,87.9,0
43.522722,0.42982,8025,130.0,87.7,32
43.522668,0.438046,8025,130.0,87.7,-32
43.52303,0.448937,8025,132.0,87.9,32
43.523765,0.455809,8025,132.0,87.5,0
43.52376,0.465078,8025,132.0,87.5,0
43.524402,0.473623,8025,132.0,87.0,32
43.524161,0.478509,8025,130.0,86.3,-192
43.524939,0.485568,8025,130.0,86.1,-64
43.524767,0.492239,8025,130.0,86.1,-64
43.524645,0.49779,8025,130.0,87.7,64
43.524921,0.504388,8025,130.0,88.4,0
43.526115,0.514298,8025,130.0,88.4,0
43.526059,0.524075,8025,132.0,88.2,-32
43.525748,0.530046,8025,132.0,87.9,-32
43.526798,0.537892,8025,132.0,87.9,-32
43.526688,0.550206,8025,134.0,88.2,64
43.52707,0.556833,8025,136.0,88.6,-32
43.527293,0.564916,8025,136.0,88.6,-32
43.527342,0.577557,8025,138.0,88.1,-32
43.527366,0.588325,8025,138.0,88.4,-32
43.527416,0.601573,8025,134.0,88.2,-64
43.528007,0.609087,8025,134.0,88.2,-32
43.529056,0.613051,8025,134.0,88.2,-32
43.528196,0.627477,8025,132.0,88.2,0
43.528104,0.634797,8025,132.0,88.1,64
43.528415,0.643654,8025,132.0,88.1,64
43.528223,0.644391,8025,132.0,88.1,64
43.529259,0.653579,8025,132.0,87.7,64
43.529166,0.659202,8025,132.0,87.7,32
43.529292,0.666434,8025,132.0,87.7,32
43.529613,0.681003,8025,134.0,87.7,-32
43.529843,0.689861,8025,134.0,87.7,32
43.52993,0.705061,8025,132.0,88.4,-32
43.530191,0.711468,8025,134.0,87.7,32
43.530959,0.718143,8025,134.0,87.7,32
43.531295,0.726643,8025,134.0,87.4,64
43.531629,0.734123,8025,132.0,87.5,-64
43.532362,0.739098,8025,132.0,87.7,32
43.53165,0.746346,8025,132.0,87.7,32
