lat,lon,alt,gs,track,vs
49.337219,-56.314509,37000,529.7,78.5,64
49.345419,-56.252747,37000,530.7,78.5,0
49.35672,-56.167673,37000,530.7,78.5,0
49.358546,-56.153653,37000,530.7,78.5,0
49.371277,-56.057528,37000,533.6,78.5,0
49.374527,-56.032738,37000,533.6,78.5,0
49.382126,-55.97485,37000,533.6,79.0,0
49.393555,-55.887524,37000,536.0,78.0,0
49.400162,-55.836604,37000,536.0,79.0,0
49.414688,-55.723234,37000,535.0,78.9,0
49.416085,-55.712465,37000,535.0,78.9,0
49.427025,-55.627033,37000,535.0,79.0,0
49.434265,-55.570293,37000,534.0,79.0,0
49.447415,-55.466036,37025,533.6,79.1,0
49.456678,-55.39225,37000,533.6,79.1,0
49.459937,-55.366269,37000,533.5,79.2,0
49.466034,-55.317276,37000,533.5,79.2,0
49.476837,-55.230874,37000,533.5,79.2,0
49.480839,-55.198579,37000,533.5,79.2,0
49.489243,-55.130334,37025,533.3,79.3,-64
49.493874,-55.092427,37000,533.3,79.3,-64
49.502858,-55.01916,37000,534.1,79.4,0
49.511517,-54.948046,37000,534.1,79.4,0
49.520269,-54.875224,37000,535.9,79.6,0
49.528369,-54.807525,37025,535.9,79.6,0
49.537079,-54.734754,37000,537.8,79.6,0
49.538517,-54.722752,37000,537.8,79.6,0
49.549164,-54.633275,37000,538.8,79.6,64
49.554153,-54.591426,37000,539.8,79.7,0
49.561749,-54.527,37000,539.8,80.0,0
49.568344,-54.470722,37025,541.0,80.0,0
49.579971,-54.370617,37000,542.4,79.9,0
49.584274,-54.333392,37000,543.4,79.9,0
49.595638,-54.234306,37000,544.4,80.0,0
49.603134,-54.168669,37000,546.3,80.0,0
49.60704,-54.134613,37000,546.3,80.0,0
49.611744,-54.092896,37625,547.0,80.0,0
49.614536,-54.068398,37625,547.0,80.0,0
49.621216,-54.009007,37000,547.0,80.0,0
49.627666,-53.951855,37000,548.0,80.0,0
49.634399,-53.891266,37000,548.0,81.0,0
49.644238,-53.802574,37000,548.0,80.2,0
49.651034,-53.741183,37000,548.0,80.0,0
49.653442,-53.719315,37000,547.8,80.3,0
49.664612,-53.617473,37000,547.8,80.3,0
49.668228,-53.58408,37000,547.4,80.5,0
49.679764,-53.477542,37000,548.4,80.6,0
49.685622,-53.423247,37000,548.4,80.6,0
49.689253,-53.389323,37000,548.4,80.6,0
49.693352,-53.351242,37700,549.0,80.0,0
49.694466,-53.340775,37000,549.3,80.7,0
49.704802,-53.243235,37000,549.1,80.8,0
49.711459,-53.179915,37000,549.1,80.8,0
49.714417,-53.151783,37000,549.1,81.0,0
49.72319,-53.067973,37025,549.0,81.0,0
49.730778,-52.99493,37025,550.0,81.0,0
49.731583,-52.987206,37025,550.0,81.0,0
49.739548,-52.909576,37025,550.0,81.0,0
49.75098,-52.797844,37000,550.0,81.0,0
49.764202,-52.666824,37075,549.0,81.0,384
49.769623,-52.612659,37275,549.0,81.0,0
49.771091,-52.597939,37325,549.0,81.0,896
49.77182,-52.590614,37350,549.0,81.0,0
49.780243,-52.50518,37700,547.0,81.0,1280
49.78138,-52.493641,37775,547.0,81.0,0
49.782532,-52.48241,37825,546.0,81.0,1344
49.78363,-52.471283,37900,546.0,81.0,0
49.788071,-52.426395,38175,543.0,81.0,1536
49.792412,-52.382294,38525,538.0,81.0,1920
49.7953,-52.352821,38775,535.0,81.0,1664
49.796787,-52.337383,38850,533.0,82.0,1024
49.798977,-52.314892,38950,532.0,81.0,576
49.803631,-52.267235,39000,532.0,81.0,192
49.808395,-52.21838,39000,533.0,82.0,0
49.814346,-52.156292,39000,534.0,82.0,128
49.820938,-52.08741,39000,534.0,81.0,0
49.827469,-52.017738,39000,530.0,82.0,0
49.832729,-51.962067,39000,530.0,82.0,0
49.839012,-51.894588,39000,530.0,82.0,0
49.845249,-51.827187,39000,533.0,82.0,0
49.851471,-51.759338,39000,533.0,82.0,-64
49.856918,-51.700649,39000,532.0,82.0,0
49.862961,-51.634731,39000,533.0,82.0,0
49.867859,-51.581245,39000,533.0,82.0,0
49.875137,-51.500221,39000,532.0,82.0,64
49.879326,-51.452389,39000,532.0,82.0,0
49.884705,-51.392525,39000,532.0,82.0,0
49.903858,-51.175579,39000,532.0,82.0,0
49.909836,-51.106373,39000,531.0,82.0,0
49.916058,-51.034611,39000,531.0,82.0,-256
49.919037,-51.000343,39025,531.0,82.0,192
49.925552,-50.923115,39000,531.0,83.0,-256
49.931091,-50.857273,39000,531.0,83.0,-64
49.937004,-50.787346,39000,529.0,82.0,64
49.941833,-50.728718,39000,529.0,83.0,0
49.948132,-50.652317,39000,527.0,82.0,0
49.952831,-50.594788,39025,526.0,83.0,-128
49.95837,-50.527905,39000,526.0,83.0,0
49.96376,-50.461361,39000,526.0,83.0,64
49.969116,-50.394505,39000,526.0,83.0,0
49.974426,-50.327648,39000,526.0,83.0,0
49.979736,-50.259995,39000,526.0,83.0,0
49.984303,-50.20507,39000,526.0,82.0,0
49.987885,-50.171219,39000,528.0,80.0,0
49.990723,-50.148178,39000,529.0,79.0,0
49.993744,-50.125916,39000,529.0,78.0,-64
54.104324,-15.466866,39000,483.0,66.0,0
54.101986,-15.456229,39000,483.0,110.0,0
54.088577,-15.395691,39000,482.0,111.0,0
54.067017,-15.298933,39000,481.4,110.8,0
54.052548,-15.234079,39000,480.5,110.8,0
54.037354,-15.166077,39000,481.4,110.8,0
54.021973,-15.097334,39000,481.0,110.7,0
54.021265,-15.094165,39000,480.9,110.3,0
54.010986,-15.041539,39000,482.0,108.0,0
54.007233,-15.019801,39000,482.0,106.0,0
54.002457,-14.989633,39000,482.0,105.0,0
53.997528,-14.954354,39000,482.0,103.0,0
53.994827,-14.932539,39000,483.0,102.0,0
53.991486,-14.901306,39000,482.0,100.0,0
53.986954,-14.852025,39000,482.4,98.6,0
53.983017,-14.808314,39000,482.6,98.7,0
53.977879,-14.752619,39000,484.0,99.0,0
53.971221,-14.680481,39000,483.8,98.9,0
53.966766,-14.632219,39000,483.8,99.0,0
53.966148,-14.625065,39000,483.8,98.0,0
53.956184,-14.517464,39000,483.0,99.0,0
53.951019,-14.461481,39000,483.0,99.0,0
53.941335,-14.357758,39000,483.0,99.1,0
53.934631,-14.287235,39000,483.2,99.2,0
53.927582,-14.213091,39000,483.2,99.2,0
53.920759,-14.141505,39000,483.3,99.3,0
53.913683,-14.068074,39000,483.3,99.3,0
53.906754,-13.996425,39000,483.3,99.3,0
53.902278,-13.95094,39000,483.5,99.4,0
53.898506,-13.912569,39000,484.0,100.0,0
53.892223,-13.848751,39000,485.0,100.0,32
53.884232,-13.767674,39000,486.0,99.0,0
53.877745,-13.702698,39000,485.8,99.6,0
53.870529,-13.630479,39000,486.0,99.7,0
53.863034,-13.556483,39000,486.0,99.7,0
53.85585,-13.485639,39000,485.0,99.7,0
53.848463,-13.413095,39000,484.2,99.9,0
53.840973,-13.340227,39000,483.2,99.9,0
53.833427,-13.267445,39000,483.2,99.9,0
53.825885,-13.195146,39000,482.4,100.0,0
53.818176,-13.121443,39000,482.4,100.0,0
53.810577,-13.049561,39000,483.5,100.1,0
53.803121,-12.979135,39000,483.5,100.1,0
53.795766,-12.909824,39000,482.5,100.2,0
53.787918,-12.836897,39000,482.7,100.3,0
53.779999,-12.763288,39000,482.9,100.4,0
53.772537,-12.695016,39000,482.1,100.5,0
53.764618,-12.622271,39000,482.1,100.5,0
53.756699,-12.549997,39000,481.9,100.4,0
53.748655,-12.476995,39000,481.3,100.7,0
53.740509,-12.403726,39000,481.3,100.7,0
53.732408,-12.330861,39000,481.5,100.8,0
53.724169,-12.257672,39000,481.5,100.8,0
53.715912,-12.18478,39000,481.5,100.8,0
53.707855,-12.113447,39000,481.7,100.9,0
53.699636,-12.0415,39025,480.7,100.9,0
53.691467,-11.970232,39000,480.9,101.0,0
53.68297,-11.896578,39000,480.9,101.0,0
53.674497,-11.823551,39000,481.1,101.2,0
53.665932,-11.750605,39000,481.1,101.2,0
53.657413,-11.678063,39000,481.3,101.3,0
53.648849,-11.605486,39000,481.3,101.3,0
53.640152,-11.532349,39000,480.3,101.3,0
53.631623,-11.460679,39000,480.5,101.4,0
53.622871,-11.387975,39000,480.5,101.4,0
53.614352,-11.31721,39000,479.7,101.5,0
53.605507,-11.244588,39000,479.7,101.5,0
53.596664,-11.171919,39000,480.9,101.6,0
53.587692,-11.09933,39000,479.9,101.7,0
53.578879,-11.028254,39000,481.1,101.8,0
53.570114,-10.95745,39000,481.3,101.9,0
53.561005,-10.884548,39000,481.3,101.9,0
53.551941,-10.812352,39000,481.5,102.0,0
53.543015,-10.741255,39000,481.3,101.9,0
53.53391,-10.669098,39000,480.5,102.0,0
53.524692,-10.59696,39000,481.7,102.1,0
53.515522,-10.524822,39000,481.7,102.1,0
53.506302,-10.453334,39000,481.9,102.2,0
53.497101,-10.382002,39000,481.9,102.2,0
53.487916,-10.311396,39000,481.2,102.4,0
53.478607,-10.239729,39000,481.2,102.4,0
53.469223,-10.168474,39000,481.4,102.5,0
53.459747,-10.096514,39000,481.4,102.5,0
53.450302,-10.025348,39000,481.6,102.6,0
53.440796,-9.953849,39000,481.6,102.6,0
53.431169,-9.881717,39000,480.8,102.7,0
53.421486,-9.810064,39000,480.8,102.7,0
53.411774,-9.738438,39000,479.9,102.8,0
53.402027,-9.666595,39000,479.9,102.8,0
53.392437,-9.596154,39000,479.1,102.9,0
53.382568,-9.524016,39000,479.1,102.9,0
53.372885,-9.453735,39000,479.3,103.0,0
53.36293,-9.38201,39000,480.5,103.1,0
53.352961,-9.310186,39000,480.5,103.1,0
53.343155,-9.240051,39000,479.6,103.1,0
53.33313,-9.168876,39000,478.8,103.3,0
53.323121,-9.09773,39000,478.8,103.3,0
53.312973,-9.026642,39000,479.0,103.4,0
53.302778,-8.954988,39000,478.1,103.4,0
53.292709,-8.884487,39000,477.1,103.4,0
53.282547,-8.814096,39000,477.3,103.6,0
53.272476,-8.744254,39000,476.4,103.6,0
53.262184,-8.673383,39000,476.4,103.6,0
53.252106,-8.604335,39000,475.6,103.7,0
53.241748,-8.53363,39000,476.6,103.7,0
53.231413,-8.463189,39000,475.9,103.9,0
53.221069,-8.393241,39000,475.9,103.9,0
53.210837,-8.324325,39000,476.1,104.0,0
53.200456,-8.254772,39000,476.1,104.0,0
53.190125,-8.185521,39000,476.3,104.1,0
53.179601,-8.115665,39000,476.1,104.0,0
53.169173,-8.046112,39000,476.3,104.1,0
53.158493,-7.975996,39000,475.6,104.2,-64
53.147827,-7.905997,39000,475.6,104.2,0
53.137115,-7.83592,39000,475.6,104.2,0
53.126298,-7.765557,39000,475.9,104.4,64
53.115555,-7.695844,39000,477.1,104.4,64
53.104568,-7.625061,39000,476.1,104.5,0
53.093719,-7.555466,39000,475.4,104.6,0
53.082779,-7.485428,39000,475.1,104.5,0
53.071832,-7.415693,39000,474.4,104.7,0
53.060944,-7.346573,39025,473.5,104.7,-64
53.049906,-7.277187,39000,473.7,104.8,0
53.03878,-7.206796,39000,475.6,104.7,0
53.027701,-7.137268,39000,477.1,104.9,192
53.016435,-7.067113,39025,480.3,105.0,64
53.004959,-6.996078,39000,480.5,105.1,-64
52.993652,-6.926117,39050,481.2,104.9,64
52.982071,-6.85463,39000,484.9,105.2,64
52.970535,-6.783901,38975,487.8,105.1,0
52.958803,-6.712176,39025,485.2,105.3,-64
52.947189,-6.641922,39025,483.0,105.2,0
52.935425,-6.570816,39000,483.3,105.4,0
52.923889,-6.50116,39000,483.3,105.4,0
52.912158,-6.430455,39000,482.3,105.4,64
52.900635,-6.361389,39025,486.4,105.4,-64
52.888824,-6.290741,39000,492.0,105.6,64
