lat,lon,alt,gs,track,vs
50.01384,8.526113,425,168.0,180.3,2112
50.011871,8.526041,525,168.0,180.7,2240
50.009579,8.525984,625,167.0,181.4,2240
50.007385,8.525897,725,167.0,180.7,2112
50.00528,8.525897,825,167.0,180.3,2240
50.003435,8.525836,925,167.0,180.0,2304
50.0012,8.52591,1025,168.0,179.7,2304
49.999283,8.525969,1125,168.0,179.3,2304
49.99736,8.525969,1225,169.0,178.6,2368
49.995381,8.526059,1325,169.0,178.6,2112
49.993286,8.526133,1425,170.1,178.3,2048
49.990679,8.526281,1525,170.1,178.3,1792
49.988113,8.526403,1625,173.1,178.3,1536
49.984767,8.526578,1725,176.1,178.1,1472
49.981602,8.526727,1825,178.1,177.8,1472
49.979324,8.527125,1900,180.2,173.3,1472
49.97644,8.528065,1975,183.2,167.7,1472
49.974014,8.529251,2050,185.0,162.1,1472
49.971965,8.530587,2125,186.9,157.0,1600
49.969162,8.532908,2225,188.4,151.8,1600
49.967422,8.534642,2275,189.2,146.6,1664
49.965271,8.537317,2375,189.9,141.2,1792
49.963394,8.539991,2450,190.2,136.1,1728
49.961677,8.542909,2550,190.7,131.0,1792
49.960052,8.546279,2625,191.8,126.1,1536
49.958325,8.550333,2725,194.1,123.4,1216
49.955998,8.556048,2825,199.0,121.8,1344
49.953763,8.56169,2925,202.7,120.9,1344
49.951447,8.568035,3025,206.9,119.5,1088
49.949434,8.573716,3100,211.7,118.5,1024
49.947464,8.57931,3150,216.1,117.9,1024
49.946129,8.583366,3200,220.1,117.6,832
49.944732,8.587597,3250,224.5,117.0,896
49.943253,8.592104,3300,228.5,116.8,1024
49.941788,8.596657,3350,233.0,116.8,1280
49.94031,8.601107,3425,237.0,116.6,1472
49.939041,8.605114,3500,241.1,116.9,1600
49.937119,8.610896,3600,245.5,117.4,1600
49.935333,8.616245,3675,249.6,117.7,1536
49.93356,8.621373,3775,253.6,118.0,1536
49.931604,8.627014,3850,257.7,118.3,1792
49.930208,8.631023,3950,260.9,118.6,1984
49.928439,8.635996,4050,263.6,118.8,2176
49.926636,8.641036,4150,265.9,119.3,2432
49.925354,8.644506,4250,267.3,119.3,2560
49.923798,8.648842,4350,268.7,119.4,2752
49.922333,8.652745,4450,269.2,119.6,2816
49.920991,8.656336,4550,269.7,119.8,2880
49.919769,8.659756,4650,270.2,120.0,2880
49.91843,8.663165,4750,271.5,120.1,2880
49.917127,8.666728,4850,272.0,120.2,2880
49.91597,8.669803,4950,272.5,120.4,2880
49.914459,8.673706,5050,272.5,120.4,3008
49.913452,8.676453,5125,273.0,120.6,3008
49.912537,8.678838,5200,274.4,120.7,3008
49.911255,8.682163,5300,274.4,120.7,3008
49.910004,8.685435,5400,274.4,120.7,3072
49.908691,8.688812,5500,274.4,120.7,3008
49.907684,8.691487,5575,274.4,120.7,2944
49.906677,8.694089,5650,275.3,120.6,3008
49.905675,8.696792,5750,275.8,120.8,3008
49.904343,8.70016,5850,275.8,120.8,3008
49.903061,8.703485,5950,275.8,120.8,2944
49.901367,8.707894,6050,276.6,120.6,2688
49.899949,8.711564,6150,278.0,120.7,2688
49.898692,8.714979,6250,278.0,120.7,2688
49.897293,8.718519,6350,278.9,120.6,2688
49.895573,8.72307,6450,279.7,120.5,2688
49.89418,8.726686,6550,279.7,120.5,2944
49.892873,8.730197,6650,280.1,120.2,2944
49.891709,8.73324,6750,280.9,120.1,2880
49.890472,8.736588,6825,280.4,119.9,2624
49.889242,8.740069,6925,281.9,118.4,2496
49.887131,8.746924,7075,281.0,114.8,2624
49.885611,8.753134,7225,280.3,110.2,2688
49.884567,8.758922,7350,279.2,103.9,2624
49.883835,8.765283,7500,277.1,98.5,2880
49.883514,8.772728,7700,275.5,93.3,3008
49.883563,8.777779,7825,274.1,88.3,2880
49.883981,8.784237,7975,272.4,82.4,2816
49.884888,8.791881,8175,271.2,78.7,2752
49.885986,8.799832,8375,271.7,77.2,2688
49.887314,8.808289,8575,271.6,76.4,2624
49.88887,8.817685,8775,273.8,75.4,2624
49.890359,8.826327,8975,273.6,74.7,3008
49.891617,8.833297,9175,274.2,74.3,2816
49.893173,8.841681,9375,274.7,73.9,2688
49.894775,8.850355,9575,275.0,73.7,2688
49.896515,8.859534,9775,276.0,73.8,2624
49.89798,8.867485,9975,276.0,73.8,2752
49.899628,8.87623,10175,276.6,74.1,2624
49.900135,8.87918,10250,277.3,74.3,2368
49.900647,8.882224,10300,277.7,75.6,1920
49.901252,8.886752,10350,280.5,77.7,1536
49.901871,8.893649,10425,283.8,81.9,1216
49.902054,8.899721,10500,288.1,88.4,1216
49.901904,8.906126,10575,291.6,93.5,1472
49.901206,8.913475,10650,295.4,98.8,1728
49.900452,8.918586,10725,297.6,103.8,1920
49.898895,8.925886,10850,300.7,108.6,2112
49.89683,8.933815,11000,303.1,112.5,2304
49.89386,8.943955,11200,305.6,115.0,2304
49.890638,8.954451,11400,306.8,115.5,2304
49.88738,8.964918,11600,308.6,115.7,2304
49.883981,8.975756,11800,309.9,115.8,2240
49.880814,8.985877,12000,312.2,115.8,2240
49.874019,9.007676,12400,314.9,115.6,2240
49.867447,9.029027,12800,318.9,115.4,2112
49.861176,9.049482,13100,324.3,115.4,1664
49.853164,9.075746,13400,333.7,115.2,1408
49.8439,9.106256,13725,343.6,115.2,1408
49.835009,9.135503,14050,344.9,115.2,1536
49.830446,9.151092,14200,345.6,112.6,1344
49.828119,9.16141,14300,344.4,108.3,1344
49.82666,9.170187,14400,344.0,103.1,1408
49.825745,9.178643,14475,343.3,99.1,1472
49.825241,9.187678,14575,342.7,93.7,1536
49.825186,9.199639,14700,342.0,89.8,1856
49.825241,9.208278,14825,341.0,89.2,2304
49.825512,9.233563,15225,343.1,89.0,2240
49.82579,9.259595,15625,345.0,89.3,2304
49.825931,9.283967,16025,345.0,89.5,2560
49.82607,9.307647,16425,346.0,89.7,2176
49.826164,9.334296,16800,349.0,89.8,1920
49.826248,9.362448,17175,352.0,89.7,2304
49.82634,9.388251,17575,352.0,89.7,2240
49.826443,9.416545,17975,354.0,89.7,2048
49.826303,9.433247,18200,356.2,91.9,1920
49.825652,9.446164,18350,357.6,95.5,1856
49.824463,9.459084,18500,359.4,99.0,1792
49.822765,9.472219,18650,362.3,102.3,1728
49.81946,9.492262,18900,364.8,104.6,2048
49.814991,9.517872,19300,365.8,105.2,2176
49.810196,9.545338,19700,366.8,105.2,2304
49.806938,9.564044,19975,367.5,105.0,1920
49.804424,9.578593,20125,370.6,105.0,1472
49.798372,9.614002,20425,376.2,104.6,1472
49.793298,9.644957,20750,378.9,103.1,1664
49.791687,9.658356,20875,379.3,99.6,1728
49.790726,9.671294,21025,379.7,95.4,1984
49.790359,9.683003,21175,379.2,92.0,2176
49.790458,9.69922,21400,378.1,88.6,2304
49.790924,9.725276,21800,376.2,88.3,2624
49.791343,9.746506,22125,375.1,88.5,2176
49.791808,9.775976,22500,376.1,88.6,1984
49.792274,9.807005,22875,377.1,88.6,1856
49.792693,9.839296,23225,379.1,88.9,1536
49.793152,9.874541,23550,382.1,88.8,1600
49.793701,9.908656,23875,385.1,88.5,1344
49.794368,9.948937,24150,390.2,88.4,1088
49.794983,9.983537,24400,393.1,88.5,1536
49.795486,10.016414,24750,393.1,88.7,1920
49.795998,10.048704,25100,393.1,88.7,1728
49.796448,10.082197,25450,393.1,88.7,1728
49.796951,10.117179,25800,394.1,88.7,1536
49.797501,10.152524,26125,394.1,88.7,1728
49.798046,10.188409,26450,396.1,88.7,1344
49.798651,10.229905,26750,399.1,88.7,1088
49.799256,10.272514,27025,402.1,88.7,1408
49.799789,10.308428,27350,402.1,88.7,1536
49.800156,10.334955,27550,403.1,88.7,1088
49.800613,10.367335,27725,407.1,88.9,640
49.801305,10.420755,27950,413.1,88.8,960
49.801895,10.464694,28225,416.1,88.8,1344
49.802422,10.505305,28525,417.1,88.8,1088
49.802994,10.549911,28825,419.1,88.9,1280
49.803493,10.59186,29125,420.1,88.9,1280
49.804001,10.635272,29425,420.1,89.1,1280
49.804459,10.679867,29700,421.1,89.1,1152
49.804916,10.724969,29975,423.1,89.1,1152
49.805355,10.7692,30250,424.0,89.2,1216
49.805786,10.813872,30525,425.1,89.1,832
49.806332,10.868299,30750,428.0,89.2,832
49.806793,10.91817,31000,430.0,89.2,1152
49.807124,10.957452,31325,428.0,89.2,1600
49.807434,10.995797,31650,426.0,89.3,1472
49.807343,11.018347,31800,426.1,91.5,1024
49.806519,11.04126,31900,426.9,93.8,960
49.805237,11.060124,32000,427.8,96.6,896
49.802794,11.086096,32175,428.1,98.9,1216
49.798651,11.125736,32500,425.5,99.2,1472
49.794648,11.16493,32825,424.0,98.8,1664
49.791138,11.200562,33175,420.9,98.8,1792
49.78775,11.23446,33550,415.8,98.7,1984
49.784453,11.268929,33900,413.2,98.2,1600
49.780961,11.307827,34225,410.8,97.8,1344
