lat,lon,alt,gs,track,vs
43.662334,7.215335,125,12.2,227.8,0
43.662174,7.215111,125,12.8,225.0,0
43.661465,7.214137,125,14.8,225.0,0
43.661146,7.213702,125,15.5,225.0,0
43.660915,7.213387,125,15.5,225.0,0
43.658627,7.210241,125,20.5,225.0,0
43.658329,7.209826,125,19.5,225.0,0
43.658085,7.209484,125,18.5,225.0,0
43.657837,7.209155,125,17.5,225.0,0
43.657608,7.20883,125,16.5,225.0,0
43.657173,7.208261,125,15.5,225.0,0
43.656945,7.207947,125,14.8,225.0,0
43.65677,7.207685,125,14.2,225.0,0
43.656479,7.207276,125,15.5,227.8,0
43.656269,7.206967,125,15.5,225.0,0
43.656086,7.206744,125,15.5,222.2,0
43.655792,7.206345,125,16.5,222.2,0
43.647503,7.201794,125,0.0,188.4,0
43.647457,7.201826,125,0.0,180.0,0
43.647425,7.201849,125,3.2,171.6,0
43.647401,7.201881,125,3.8,168.8,0
43.647332,7.201947,125,5.2,157.5,0
43.647273,7.202012,125,6.2,149.1,0
43.648602,7.205035,125,59.5,45.0,-192
43.648979,7.205562,125,64.5,45.0,64
43.649231,7.205897,125,69.5,45.0,64
43.649448,7.206201,125,73.0,45.0,-32
43.649624,7.206459,125,79.0,45.0,-32
43.649915,7.206851,125,83.0,45.0,160
43.650055,7.207031,125,83.0,45.0,-32
43.650078,7.207097,150,83.0,44.5,-32
43.650604,7.207798,150,87.7,45.0,64
43.650963,7.208274,150,91.9,45.0,64
43.651242,7.208666,150,96.2,45.0,0
43.651661,7.209255,150,101.1,44.6,128
43.652033,7.209712,150,104.7,45.0,64
43.652252,7.210097,150,108.9,45.0,64
43.652664,7.210608,150,113.1,45.0,64
43.653259,7.211439,150,117.4,45.0,64
43.653663,7.212001,150,121.6,45.0,64
43.654541,7.213227,150,129.4,44.7,64
43.654907,7.213738,150,132.9,45.0,64
43.657791,7.217762,125,147.8,45.3,192
43.658203,7.218337,125,157.7,45.3,384
43.660583,7.221658,250,163.4,45.7,1344
43.660767,7.221978,275,165.5,46.0,2176
43.661819,7.223447,350,164.8,45.7,2560
43.663113,7.225211,450,163.4,45.7,2816
43.664108,7.226641,550,162.6,45.5,2880
43.665161,7.228174,625,160.5,45.8,2880
43.665985,7.229323,725,159.1,45.8,2816
43.667084,7.231112,825,158.0,48.3,2816
43.667908,7.2329,925,157.0,55.9,2816
43.668699,7.23502,1025,155.2,62.0,2752
43.669098,7.236349,1100,155.7,64.9,2816
43.669418,7.238393,1200,154.0,71.4,2880
43.669647,7.240437,1300,153.8,77.2,2880
43.669739,7.241779,1375,153.2,80.2,2880
43.669693,7.243823,1475,152.3,86.2,2880
43.66949,7.245614,1575,151.7,95.7,2816
43.669118,7.24738,1675,150.8,98.8,2752
43.668594,7.249571,1775,151.2,107.7,2560
43.66777,7.251488,1875,151.4,113.3,2304
43.666992,7.253148,1950,153.1,118.9,2048
43.666046,7.2549,2000,155.3,124.5,1856
43.664603,7.257189,2100,157.1,129.1,1536
43.662647,7.260197,2200,161.4,132.0,1472
43.660858,7.262793,2300,164.8,133.3,1728
43.65921,7.265093,2400,166.2,134.3,2112
43.657573,7.267391,2500,166.9,135.0,2304
