lat,lon,alt,gs,track
54.153854,8.896807,-100,0.7,0.0
54.153854,8.896807,-100,0.7,0.0
54.153985,8.896825,-100,0.7,0.0
54.153985,8.896825,-100,0.7,0.0
54.153992,8.896807,-100,0.7,0.0
54.153985,8.896825,-100,0.7,0.0
54.153992,8.896807,-100,0.7,0.0
54.154032,8.896825,-100,3.2,18.4
54.153992,8.897042,-100,5.1,11.3
54.154172,8.896987,-100,6.1,9.5
54.154175,8.896964,-100,7.1,351.9
54.154175,8.896964,-100,7.1,351.9
54.154358,8.896807,-100,5.9,329.0
54.154358,8.896825,-100,6.4,321.3
54.154358,8.896807,-100,5.9,301.0
54.154358,8.89665,-100,6.7,296.6
54.154358,8.89665,-100,5.4,291.8
54.154498,8.896502,-100,3.2,341.6
54.154498,8.896664,-100,2.1,0.0
54.154498,8.896664,-100,2.3,26.6
54.154495,8.89665,-100,2.3,26.6
54.154495,8.89665,-100,1.2,90.0
54.154498,8.896664,-100,0.7,0.0
54.154495,8.896807,-100,0.7,0.0
54.154498,8.896825,-100,3.2,108.4
54.154358,8.896987,-100,9.5,108.4
54.154312,8.897199,-100,12.7,108.4
54.154312,8.897435,-100,15.5,104.9
54.154312,8.897592,-100,19.7,104.7
54.154175,8.897906,-100,25.7,103.5
54.154172,8.89836,-100,29.1,105.9
54.154129,8.898533,-100,33.2,105.7
54.153939,8.899168,-100,37.6,107.0
54.153946,8.899475,-100,41.1,108.4
54.153763,8.900338,-100,45.6,105.3
54.15358,8.900809,-100,51.0,105.9
54.153427,8.901834,-100,55.4,106.8
54.153148,8.90353,-100,58.9,104.7
54.152573,8.90591,0,63.9,107.3
54.152077,8.907812,0,67.4,108.2
54.151798,8.909751,0,69.9,103.2
54.151428,8.911639,0,72.7,108.4
54.150541,8.915082,100,74.6,107.9
54.149749,8.919606,100,76.0,106.1
54.149277,8.922232,200,78.1,103.3
54.148636,8.927098,200,79.4,100.9
54.148407,8.928667,300,79.4,100.9
54.147766,8.931885,300,78.3,104.0
54.147375,8.933743,400,74.6,107.9
54.146304,8.937782,400,76.6,109.9
54.145979,8.938994,500,78.2,111.0
54.144908,8.943356,600,77.8,110.3
54.14393,8.947233,600,81.5,113.1
54.142868,8.949855,600,81.8,116.9
54.142181,8.95166,600,83.9,120.8
54.141603,8.95305,700,84.6,122.9
54.140765,8.954908,700,85.0,126.9
54.139526,8.956996,800,85.8,130.8
54.137741,8.960135,900,80.9,130.0
54.135923,8.963713,900,82.6,128.1
54.134354,8.966963,1000,85.0,126.9
54.132571,8.970337,1000,85.0,126.9
54.131561,8.971985,1000,85.0,132.1
54.130875,8.973162,1100,83.5,132.1
54.129033,8.975749,1100,83.4,135.0
54.127032,8.978657,1100,87.8,137.8
54.126801,8.978969,1200,89.2,137.7
54.124239,8.982131,1200,90.1,139.9
54.122772,8.983834,1200,94.8,142.3
54.121811,8.98509,1200,99.2,142.8
54.119211,8.987705,1200,103.8,144.0
54.116278,8.990613,1200,106.2,146.9
54.109854,8.996995,1200,108.5,147.0
54.105525,9.001196,1200,108.6,148.9
54.10329,9.002892,1300,108.8,150.8
54.098356,9.007335,1300,110.8,149.0
54.090442,9.014201,1300,112.0,150.0
54.087462,9.016463,1300,113.1,153.2
54.084809,9.018321,1400,112.3,154.1
54.081665,9.020482,1300,110.1,155.3
54.079176,9.022522,1300,112.3,151.8
54.073792,9.026838,1300,115.5,151.0
54.068985,9.030997,1300,114.2,150.1
54.065735,9.034136,1300,113.2,148.0
54.062714,9.036804,1200,113.2,148.0
54.054736,9.044495,1200,113.0,149.1
54.049615,9.048857,1200,111.0,150.9
54.046589,9.051765,1200,111.8,148.2
54.043854,9.05399,1300,109.7,151.1
54.040604,9.056501,1300,108.7,153.2
54.036118,9.059719,1300,111.4,155.1
54.031906,9.062544,1200,113.6,153.9
54.029412,9.064205,1200,118.1,154.9
54.024663,9.067033,1200,118.3,157.1
54.019958,9.069999,1200,115.0,155.9
54.015335,9.073373,1200,113.6,153.9
54.005763,9.080281,1200,112.3,154.1
54.004972,9.080846,1100,112.3,153.0
54.002014,9.082868,1100,113.7,156.1
53.998501,9.085047,1000,115.0,155.9
53.988772,9.091429,1000,112.0,156.9
53.985443,9.093541,1000,111.4,153.9
53.98526,9.093619,900,111.4,153.9
53.981598,9.096366,900,108.7,152.0
53.979275,9.098376,800,110.8,149.0
53.978065,9.100073,800,110.0,143.1
53.977273,9.101042,800,107.6,138.0
53.976668,9.102496,800,104.1,132.3
53.976202,9.103627,800,101.0,125.7
53.975784,9.105,800,97.5,118.1
53.97569,9.106454,800,95.2,109.0
53.975464,9.108372,800,92.0,101.9
53.975504,9.109847,800,88.2,93.9
53.975504,9.110897,700,87.1,92.0
53.975504,9.112271,700,83.0,89.3
53.975551,9.113725,600,79.2,85.7
53.975555,9.116612,600,75.4,83.9
53.975693,9.117554,500,72.6,82.9
53.975876,9.121085,400,70.0,80.1
53.976249,9.123742,400,67.9,76.4
53.976389,9.125115,300,69.1,75.8
53.976901,9.130285,200,65.7,76.8
53.977432,9.135917,100,68.5,78.2
53.97821,9.144156,0,56.5,76.7
