lat,lon,alt,gs,track
51.344716,13.407754,-50.0,0.0,0.0
51.366266,13.391493,-50.0,0.0,0.0
51.367232,13.389587,-50.0,0.0,0.0
51.371246,13.390253,2200,0.0,0.0
51.373515,13.388757,2200,0.0,0.0
51.374156,13.399081,2200,0.0,0.0
51.375207,13.398298,2200,3118.0,0.0
51.377449,13.398287,2200,3118.0,0.0
51.380406,13.396252,2200,3118.0,0.0
51.381892,13.396632,2200,3118.0,0.0
51.384305,13.395579,2200,3118.0,0.0
51.397718,13.377257,2200,3118.0,0.0
51.396179,13.393059,2200,70.0,0.0
51.41315,13.374038,2200,200.0,0.0
51.416682,13.360431,2200,85.0,0.0
51.424475,13.358826,2200,78.0,0.0
51.428235,13.3538,2100,59.0,0.0
51.43711,13.347344,1900,89.0,0.0
51.439869,13.344822,1900,87.0,0.0
51.441523,13.343285,1900,86.0,0.0
51.443878,13.342647,1800,83.0,0.0
51.446551,13.338585,1800,78.0,0.0
51.451908,13.335497,1800,64.0,0.0
51.455529,13.334283,1800,60.0,0.0
51.456654,13.333479,1800,58.0,0.0
51.458925,13.330697,1800,60.0,0.0
51.459131,13.330216,1800,60.0,0.0
51.465411,13.324812,1800,71.0,0.0
51.467151,13.3228,1900,73.0,0.0
51.467874,13.322774,1900,71.0,0.0
51.469901,13.320767,2000,67.0,0.0
51.471901,13.318932,2100,62.0,0.0
51.474061,13.317389,2200,61.0,0.0
51.47623,13.316573,2300,60.0,0.0
51.477971,13.314825,2400,59.0,0.0
51.479827,13.31405,2500,63.0,0.0
51.481085,13.314135,2600,63.0,0.0
51.483653,13.31094,2700,66.0,0.0
51.488859,13.307091,2900,68.0,0.0
51.489868,13.30587,2900,67.0,0.0
51.491857,13.303374,2900,70.0,0.0
51.494052,13.299325,3000,73.0,0.0
51.496678,13.297163,3100,76.0,0.0
51.498477,13.294126,3200,75.0,0.0
51.500547,13.290463,3200,72.0,0.0
51.502231,13.28823,3300,70.0,0.0
51.503968,13.285643,3400,62.0,0.0
51.50552,13.283495,3400,64.0,0.0
51.506543,13.281632,3400,56.0,0.0
51.509512,13.27843,3500,59.0,0.0
51.511482,13.2771,3500,67.0,0.0
51.513995,13.274351,3600,73.0,0.0
51.516525,13.271647,3600,77.0,0.0
51.517646,13.268313,3600,78.0,0.0
51.52101,13.271025,3500,84.0,0.0
51.522737,13.26459,3500,83.0,0.0
51.523181,13.26305,3500,93.0,0.0
51.526027,13.257675,3400,76.0,0.0
51.527786,13.259469,3500,77.0,0.0
51.530432,13.255804,3500,81.0,0.0
51.532605,13.252959,3500,83.0,0.0
51.534286,13.252168,3500,81.0,0.0
51.537316,13.250242,3400,76.0,0.0
51.540498,13.24651,3400,77.0,0.0
51.541948,13.245472,3300,77.0,0.0
51.544002,13.242772,3300,78.0,0.0
51.547049,13.239994,3300,81.0,0.0
51.547231,13.238955,3300,81.0,0.0
51.551936,13.232645,3100,80.0,0.0
51.555218,13.227941,3100,78.0,0.0
51.560844,13.21963,3300,80.0,0.0
51.572399,13.204301,3500,72.0,0.0
51.573522,13.202852,3500,70.0,0.0
51.57569,13.20048,3500,71.0,0.0
51.577617,13.198339,3400,72.0,0.0
51.581789,13.194141,3400,75.0,0.0
51.582715,13.192905,3400,74.0,0.0
51.58562,13.190569,3400,68.0,0.0
51.589221,13.187692,3400,72.0,0.0
51.595084,13.184613,3400,67.0,0.0
51.59673,13.181736,3400,72.0,0.0
51.600239,13.179886,3400,62.0,0.0
51.608923,13.172817,3300,68.0,0.0
51.610612,13.16914,3300,73.0,0.0
51.618545,13.165697,3300,85.0,0.0
51.618109,13.164303,3300,77.0,0.0
51.620604,13.162043,3300,67.0,0.0
51.622793,13.159827,3400,68.0,0.0
51.625838,13.156642,3400,81.0,0.0
51.627679,13.156252,3400,75.0,0.0
51.630693,13.156293,3400,77.0,0.0
51.635893,13.152608,3500,80.0,0.0
51.634204,13.149437,3500,70.0,0.0
51.636794,13.14663,3600,71.0,0.0
51.639069,13.145462,3600,73.0,0.0
51.640756,13.142911,3600,69.0,0.0
51.644555,13.138627,3600,74.0,0.0
51.645627,13.139426,3600,66.0,0.0
51.647853,13.137586,3500,69.0,0.0
51.648071,13.137268,3500,71.0,0.0
51.650818,13.135445,3500,71.0,0.0
51.652481,13.13162,3500,67.0,0.0
51.653861,13.132313,3500,67.0,0.0
51.662642,13.131572,3500,73.0,0.0
51.656591,13.131377,3500,68.0,0.0
51.659655,13.12484,3600,68.0,0.0
51.661306,13.124469,3600,69.0,0.0
51.663275,13.121766,3700,68.0,0.0
51.664966,13.119237,3700,60.0,0.0
51.663599,13.116468,3700,56.0,0.0
51.67291,13.115109,3600,70.0,0.0
51.674586,13.112714,3600,75.0,0.0
51.677659,13.1111,3600,77.0,0.0
51.682993,13.108923,3500,78.0,0.0
51.681566,13.106749,3500,70.0,0.0
51.68315,13.106165,3500,66.0,0.0
51.685161,13.10414,3400,64.0,0.0
51.688558,13.102102,3400,66.0,0.0
51.688965,13.101109,3400,64.0,0.0
51.69007,13.09895,3300,68.0,0.0
51.693502,13.096557,3300,77.0,0.0
51.699575,13.09672,3300,76.0,0.0
51.694362,13.093633,3300,75.0,0.0
51.700175,13.092371,3200,76.0,0.0
51.70083,13.090886,3200,70.0,0.0
51.705001,13.089035,3200,73.0,0.0
51.705503,13.087086,3300,66.0,0.0
51.707564,13.083861,3300,69.0,0.0
51.70848,13.083513,3300,68.0,0.0
51.711116,13.081402,3300,63.0,0.0
51.713234,13.078762,3400,64.0,0.0
51.71585,13.075267,3300,66.0,0.0
51.718337,13.074293,3300,73.0,0.0
51.719539,13.072722,3300,72.0,0.0
51.722938,13.0688,3300,74.0,0.0
51.723592,13.069461,3300,69.0,0.0
51.726609,13.067811,3300,68.0,0.0
51.727308,13.064882,3300,68.0,0.0
51.732593,13.062635,3300,75.0,0.0
51.735797,13.062262,3300,75.0,0.0
51.73553,13.059605,3300,76.0,0.0
51.734651,13.059138,3200,75.0,0.0
51.73279,13.056528,3300,67.0,0.0
51.744858,13.053318,3400,67.0,0.0
51.748989,13.050785,3400,73.0,0.0
51.751353,13.050496,3400,73.0,0.0
51.746476,13.048596,3400,65.0,0.0
51.751836,13.047896,3400,63.0,0.0
51.753357,13.047361,3400,58.0,0.0
51.755297,13.046129,3400,59.0,0.0
51.75856,13.043635,3400,61.0,0.0
51.762508,13.043901,3400,62.0,0.0
51.759481,13.040771,3300,58.0,0.0
51.76234,13.037713,3300,69.0,0.0
51.766116,13.037336,3400,69.0,0.0
51.767039,13.036882,3400,69.0,0.0
51.766132,13.033664,3400,69.0,0.0
51.769481,13.031094,3400,72.0,0.0
51.771719,13.028813,3400,74.0,0.0
51.774488,13.026492,3400,70.0,0.0
51.775772,13.024573,3400,66.0,0.0
51.780711,13.022787,3400,68.0,0.0
51.784647,13.021618,3400,74.0,0.0
51.781566,13.021091,3400,67.0,0.0
51.783824,13.020222,3400,60.0,0.0
51.792119,13.017084,3300,75.0,0.0
51.795044,13.014186,3300,72.0,0.0
51.796871,13.013137,3300,68.0,0.0
51.79908,13.013151,3300,63.0,0.0
51.800226,13.012105,3300,62.0,0.0
51.805829,13.011727,3300,57.0,0.0
51.809843,13.009947,3300,57.0,0.0
51.809249,13.006141,3200,62.0,0.0
51.809744,13.00375,3200,63.0,0.0
51.809956,12.999772,3200,68.0,0.0
51.817576,12.998193,3300,61.0,0.0
51.823814,12.999301,3300,53.0,0.0
51.8244,12.996429,3300,64.0,0.0
51.828299,12.994979,3300,68.0,0.0
51.830452,12.992985,3300,74.0,0.0
51.831534,12.991259,3300,69.0,0.0
51.833186,12.98833,3400,70.0,0.0
51.844726,12.988437,3400,71.0,0.0
51.837209,12.983513,3400,74.0,0.0
51.839722,12.983979,3400,72.0,0.0
51.841263,12.97767,3400,73.0,0.0
51.845899,12.974229,3400,79.0,0.0
51.841614,12.971577,3400,80.0,0.0
51.850066,12.970735,3400,63.0,0.0
51.853299,12.969462,3400,68.0,0.0
51.852729,12.968391,3400,63.0,0.0
51.853636,12.967579,3400,56.0,0.0
51.861728,12.963033,3400,65.0,0.0
51.865768,12.958798,3400,76.0,0.0
51.867687,12.955617,3400,79.0,0.0
51.87,12.956637,3500,78.0,0.0
51.871927,12.954695,3600,71.0,0.0
51.871763,12.953062,3600,63.0,0.0
51.876382,12.952721,3500,65.0,0.0
51.877633,12.950844,3600,63.0,0.0
51.88019,12.948416,3600,62.0,0.0
51.88159,12.94543,3700,65.0,0.0
51.884827,12.943467,3800,63.0,0.0
51.888685,12.940326,3800,72.0,0.0
51.888902,12.939432,3800,73.0,0.0
51.890611,12.937827,3800,73.0,0.0
51.896293,12.935251,3800,72.0,0.0
51.896388,12.932601,3700,77.0,0.0
51.897623,12.931451,3700,74.0,0.0
51.900091,12.930277,3700,62.0,0.0
51.902399,12.926631,3700,64.0,0.0
51.904458,12.923577,3600,68.0,0.0
51.907868,12.922008,3600,74.0,0.0
51.908989,12.919863,3600,76.0,0.0
51.911159,12.917553,3500,79.0,0.0
51.914024,12.91437,3500,81.0,0.0
