lat,lon,alt,gs,track
54.425432,9.543873,225,0.0,0.0
54.425245,9.54637,325,53.3,96.5
54.425199,9.547702,325,58.0,91.0
54.425245,9.549616,400,62.0,89.1
54.425262,9.55132,425,66.1,86.5
54.425385,9.552862,475,68.1,79.8
54.425664,9.554527,500,70.6,74.4
54.426083,9.55694,600,73.7,71.8
54.427014,9.561518,700,77.8,69.7
54.428558,9.568607,725,82.6,68.7
54.429611,9.57305,675,87.1,68.4
54.429994,9.574335,700,87.7,61.4
54.430481,9.575554,700,87.0,52.5
54.431018,9.576416,700,86.3,44.1
54.43167,9.577248,700,86.0,35.5
54.432312,9.577897,675,87.2,28.0
54.432907,9.578301,675,87.5,22.2
54.433868,9.578786,675,88.8,14.4
54.434784,9.579028,650,91.4,5.7
54.435673,9.578996,650,93.1,357.5
54.436744,9.578663,650,94.7,349.0
54.437582,9.578247,675,96.8,341.9
54.438446,9.577493,675,98.4,333.4
54.439397,9.576416,675,100.4,326.8
54.44046,9.574989,700,101.5,320.2
54.441632,9.57317,675,102.5,314.6
54.442749,9.571031,675,103.7,309.5
54.443587,9.568925,700,105.1,304.1
54.444626,9.565941,700,107.0,299.7
54.445589,9.56285,700,106.9,294.9
54.446613,9.558605,650,106.8,292.0
54.447464,9.55447,625,108.5,288.3
54.44773,9.552779,625,108.5,282.2
54.447876,9.550431,600,108.7,276.3
54.447968,9.547361,600,109.0,271.0
54.447922,9.541626,600,109.0,268.4
54.447777,9.527976,625,109.0,269.5
54.447684,9.521068,625,108.1,267.4
54.447497,9.517822,625,108.9,262.6
54.447125,9.51391,625,108.1,258.8
54.446613,9.510415,600,108.7,255.1
54.44517,9.501343,575,108.9,256.7
54.44458,9.497196,575,110.6,255.3
54.444146,9.495184,600,108.3,248.9
54.443634,9.493519,625,109.3,240.4
54.443069,9.492188,625,110.3,231.3
54.442423,9.491189,625,110.3,223.5
54.441632,9.49019,625,110.1,214.3
54.440701,9.489358,625,110.0,205.9
54.439774,9.488795,625,109.4,198.1
54.438839,9.488442,625,110.2,191.5
54.437814,9.488276,625,110.4,184.7
54.436569,9.48831,625,110.1,177.4
54.434789,9.488692,625,111.0,172.2
54.431716,9.489691,625,114.1,168.9
54.430435,9.490168,625,110.6,167.5
54.429342,9.490606,625,105.8,166.9
54.428009,9.491137,625,101.6,166.9
54.427433,9.491355,600,97.5,164.5
54.426636,9.491784,625,92.7,161.8
54.425944,9.492354,600,88.1,155.2
54.425152,9.493186,600,83.2,147.3
54.424407,9.494102,575,81.6,139.5
54.423895,9.495184,575,80.2,125.9
54.423523,9.496266,575,79.6,116.9
54.42334,9.497196,550,80.4,111.1
54.423151,9.498513,550,80.1,105.9
54.423065,9.499619,575,77.4,95.9
54.423065,9.500912,550,75.1,86.9
54.423197,9.502508,525,75.7,82.4
54.423569,9.506082,475,76.3,79.4
54.424035,9.510248,375,80.4,79.2
54.424255,9.512302,375,76.3,79.4
54.424393,9.513433,375,72.2,79.6
54.424501,9.514493,375,67.7,81.5
54.424687,9.517406,350,64.5,82.9
54.424713,9.518684,325,62.0,90.0
54.424687,9.522983,225,60.0,88.1
54.42478,9.52498,200,57.2,85.0
54.425059,9.529891,125,58.4,83.1
54.425571,9.546703,175,0.0,0.0
54.425525,9.549866,275,65.0,91.8
54.425491,9.553016,375,64.0,90.9
54.425478,9.555525,425,68.1,87.5
54.425583,9.557055,475,69.6,82.6
54.425812,9.558833,525,72.8,77.3
54.426037,9.560436,550,76.9,74.2
54.426549,9.563515,600,81.3,73.6
54.427002,9.565699,600,85.7,70.9
54.427963,9.56998,600,88.4,68.1
54.42897,9.574086,600,87.7,65.8
54.429932,9.577493,625,85.9,62.2
54.430273,9.57833,650,86.3,55.4
54.430756,9.579109,650,85.6,45.5
54.431251,9.579662,650,86.3,34.6
54.431716,9.580078,675,87.2,26.6
54.432368,9.580494,675,88.5,18.4
54.433136,9.580724,675,92.1,8.8
54.434137,9.580827,675,95.0,0.6
54.435242,9.580644,650,95.6,353.4
54.436386,9.58024,650,96.5,346.8
54.437531,9.579593,675,99.0,339.9
54.438538,9.578786,650,99.8,331.9
54.43949,9.577664,650,102.4,324.1
54.440189,9.576582,650,104.0,317.0
54.440826,9.575393,625,107.2,310.1
54.441467,9.573616,650,109.6,302.0
54.441958,9.571838,650,110.5,295.2
54.442284,9.57034,650,112.3,289.2
54.442889,9.566512,625,111.8,285.0
54.443913,9.559271,600,112.8,282.8
54.445682,9.546204,600,113.4,281.7
54.446054,9.542209,650,110.3,278.9
54.44632,9.538395,675,110.4,274.7
54.44638,9.534135,700,109.0,270.5
54.44632,9.530801,700,109.2,266.9
54.446101,9.527144,700,107.8,263.1
54.445728,9.523149,700,105.7,259.6
54.444626,9.513191,625,107.7,259.8
54.443619,9.502528,550,106.7,259.7
54.443215,9.499262,575,102.2,258.1
54.442886,9.497034,575,100.3,253.2
54.442474,9.495419,600,99.7,244.5
54.442017,9.494207,600,100.4,234.7
54.441446,9.493269,600,100.4,225.8
54.440887,9.49252,600,100.4,218.1
54.440235,9.491855,600,100.3,209.9
54.439258,9.491189,575,100.5,202.2
54.438652,9.491022,575,99.5,192.8
54.437714,9.490814,600,96.2,183.6
54.436386,9.490895,600,94.1,178.2
54.434647,9.491137,600,91.4,174.4
54.430252,9.492026,600,94.8,172.7
54.427713,9.492687,600,92.6,169.4
