lat,lon,alt,gs,track,vs
52.643738,7.456421,1025,95.7,131.2,-40
52.640991,7.461243,1025,94.1,132.9,-40
52.637512,7.46727,1050,89.1,134.1,-32
52.636895,7.468349,1075,84.2,133.6,-32
52.636368,7.46933,1125,79.2,132.9,-32
52.6348,7.472194,1150,80.9,130.0,88
52.633209,7.47551,1175,79.2,127.3,88
52.629639,7.483444,1225,83.6,126.7,88
52.621262,7.503204,1250,84.9,122.0,0
52.618881,7.509613,1300,82.2,121.6,0
52.618149,7.511902,1300,82.7,116.6,0
52.616598,7.517081,1300,87.2,118.0,0
52.614829,7.522182,1300,89.2,120.3,0
52.609909,7.53479,1375,90.4,122.8,0
52.606476,7.543182,1375,88.8,123.5,224
52.605006,7.546509,1400,85.8,126.5,224
52.602632,7.552002,1400,87.7,124.8,224
52.601212,7.555618,1400,90.7,121.9,224
52.590203,7.587237,1450,96.6,121.9,88
52.588623,7.591171,1425,97.9,124.2,88
52.586517,7.595825,1400,100.2,126.1,88
52.583313,7.602774,1400,99.8,127.7,88
52.581024,7.607269,1375,100.1,129.7,88
52.522385,7.74086,1325,90.6,132.3,96
52.516883,7.750698,1350,88.5,131.8,96
52.514374,7.755585,1350,88.7,130.0,96
52.512042,7.76035,1400,89.8,127.8,224
52.510071,7.76474,1400,89.4,126.4,224
52.508286,7.769089,1425,89.9,124.6,224
52.506502,7.773612,1425,90.7,121.9,224
52.490022,7.812692,1600,86.8,125.2,192
52.488876,7.815475,1600,87.7,122.4,192
52.488067,7.817871,1600,88.2,119.2,192
52.487549,7.819595,1600,87.2,115.1,192
52.485786,7.826346,1625,86.4,113.9,192
52.484665,7.830276,1675,85.0,115.1,192
52.484024,7.83226,1650,89.0,117.4,192
52.483017,7.835693,1625,93.5,114.7,192
52.481643,7.841021,1675,90.1,112.9,0
52.480637,7.84523,1700,88.6,110.5,0
52.479858,7.848511,1700,89.2,113.1,0
52.479036,7.851065,1700,91.2,117.4,0
52.47821,7.853699,1700,94.8,117.7,0
52.476988,7.857343,1675,98.0,118.7,40
52.47615,7.860012,1625,101.5,117.6,40
52.474457,7.864914,1600,103.1,120.3,40
52.471252,7.873688,1575,98.8,121.8,-168
52.467677,7.883004,1550,101.4,120.9,-48
52.463516,7.893906,1525,96.6,121.9,-56
52.461905,7.898307,1500,95.4,119.5,-56
52.457748,7.910461,1525,94.5,119.8,-8
52.454968,7.918161,1475,93.2,119.6,-8
52.453013,7.923889,1400,97.1,118.9,-8
52.450287,7.932358,1450,95.3,118.2,-144
52.447613,7.940133,1425,95.4,119.5,-144
52.44603,7.944292,1400,97.1,122.4,-144
52.443924,7.949371,1350,97.9,124.2,-144
52.41687,8.026428,1375,88.9,109.1,72
52.414627,8.03688,1375,87.0,109.5,-8
52.41362,8.041,1400,87.5,112.2,-8
52.412109,8.046799,1400,86.4,113.9,-8
52.410278,8.053207,1400,88.6,115.4,0
52.407898,8.061295,1450,89.9,115.7,128
52.405655,8.068619,1450,86.8,114.5,112
52.404007,8.074799,1450,89.2,113.1,48
52.401992,8.082406,1425,90.9,114.0,0
52.398454,8.094884,1450,91.8,113.8,-112
52.395894,8.104065,1450,89.5,115.1,-112
52.393204,8.113556,1450,90.3,116.3,40
52.39068,8.122035,1450,90.4,114.9,-72
52.38913,8.127975,1450,93.2,112.7,-32
52.387049,8.136082,1400,95.5,112.8,-80
52.384827,8.144531,1450,91.0,112.6,-120
52.383464,8.149737,1450,90.9,114.0,8
52.381531,8.156128,1475,89.9,115.7,8
52.380432,8.159485,1500,89.1,118.9,8
52.377459,8.168178,1500,88.1,117.7,96
52.375178,8.17422,1500,88.1,117.7,96
52.374852,8.17422,1500,43.4,128.4,96
52.374433,8.176732,1475,77.0,119.6,96
52.373968,8.178223,1475,87.3,119.5,96
52.36638,8.200195,1200,87.5,121.0,-600
52.364868,8.204498,1150,88.6,118.3,-600
52.363815,8.208084,1075,89.9,115.7,-600
52.363037,8.210754,1000,91.0,112.6,-600
52.361526,8.216858,925,91.6,111.8,-600
52.351762,8.321359,300,51.2,275.6,0
52.35173,8.320847,325,57.7,261.0,0
52.351364,8.319473,350,60.2,254.6,0
52.350785,8.317435,400,61.7,243.0,0
52.350272,8.315552,500,59.9,244.3,0
52.35004,8.314924,500,59.5,243.0,0
52.349435,8.313904,525,62.4,228.9,0
52.348922,8.313354,550,62.4,228.9,0
52.348663,8.313141,550,69.3,206.6,0
52.347991,8.312805,550,72.4,197.7,0
52.347427,8.312683,550,76.5,191.3,0
52.346828,8.312648,575,79.1,182.2,0
52.345963,8.312836,600,80.2,176.4,0
52.345459,8.313141,625,82.5,166.0,0
52.344681,8.313599,625,85.1,156.4,0
52.34491,8.364029,1550,76.2,73.2,560
52.34571,8.368835,1625,75.4,75.4,568
52.346502,8.373465,1700,75.4,75.4,544
52.34697,8.376999,1725,75.5,78.5,472
52.347336,8.380661,1775,73.8,81.4,408
52.347991,8.387512,1825,75.1,80.0,360
52.34848,8.39241,1875,74.7,82.3,288
52.348572,8.394699,1900,76.3,84.7,296
52.34855,8.395673,1875,79.0,91.4,296
52.348389,8.396606,1875,83.7,101.7,296
52.347885,8.399811,1900,79.8,105.3,296
52.347794,8.400269,1925,77.2,106.6,296
52.347794,8.400421,1950,74.3,107.2,232
52.347666,8.40101,1975,68.0,107.1,232
52.346735,8.406581,2025,70.6,105.6,352
52.345367,8.414536,2025,75.0,106.3,152
52.344919,8.416626,2000,79.5,111.4,24
52.344779,8.417646,1975,80.1,103.0,24
52.344727,8.418808,1975,79.1,92.9,24
52.344818,8.420181,1975,77.5,83.3,-32
52.344955,8.420868,1975,75.4,75.4,-32
52.345152,8.42157,1975,74.3,66.2,-96
52.345524,8.422433,1975,73.5,56.1,-96
52.345803,8.422982,1950,72.3,48.4,-96
52.346329,8.423615,1950,72.5,39.4,-88
52.346828,8.424081,1950,70.8,30.5,-88
52.34734,8.424316,1950,69.3,17.6,-88
52.347805,8.424395,1950,68.6,7.5,-112
52.348389,8.424377,1950,69.0,1.7,-136
52.348736,8.424316,1950,68.7,351.6,-136
52.349202,8.424081,1950,68.4,344.7,-120
52.349574,8.423767,1950,69.4,335.3,-104
52.350037,8.423233,1950,69.9,326.1,-104
52.350412,8.422668,1950,70.8,317.3,-104
52.350677,8.421936,1950,72.0,307.7,-88
52.350878,8.421334,1950,72.9,298.7,-80
52.351089,8.420334,1950,75.6,287.7,-80
52.351157,8.419608,1925,77.1,279.7,-56
52.351157,8.418431,1925,78.0,271.5,-40
52.35111,8.417803,1950,79.2,265.7,-48
52.350971,8.416704,1950,80.3,256.3,-48
52.350831,8.415998,1950,80.2,247.3,-48
52.350366,8.414743,1950,81.1,239.6,-48
52.349947,8.413958,1950,80.6,232.6,-40
52.349533,8.413315,1950,81.3,225.5,-32
52.348984,8.412628,1975,82.0,217.6,-32
52.348504,8.412231,1975,83.5,211.8,-16
52.347619,8.411525,1975,86.5,202.4,-16
52.34706,8.41129,1950,87.1,195.3,-16
52.346176,8.411133,1975,87.6,186.6,16
52.345459,8.411179,1975,88.1,178.1,16
52.344498,8.411484,1975,88.5,169.6,16
52.343765,8.411942,1950,88.3,160.1,64
52.343103,8.412545,1950,89.6,150.6,64
52.342392,8.413467,1950,89.6,146.8,64
52.342033,8.414036,1950,91.2,136.3,48
52.341474,8.415213,1950,89.6,128.7,48
52.34111,8.416061,1950,88.0,121.5,32
52.340881,8.41713,1925,86.5,112.4,24
52.340683,8.418588,1925,85.6,104.2,16
52.340124,8.422198,1950,83.8,107.3,-96
52.339828,8.423309,1950,85.4,117.2,-32
52.339426,8.424159,1950,84.8,127.8,-32
52.338867,8.425064,1950,84.2,136.4,-32
52.338402,8.425572,1950,83.6,143.3,-8
52.337796,8.426121,1975,83.2,152.8,0
52.337082,8.42659,1975,83.6,159.0,48
52.336441,8.426895,1975,84.9,165.0,48
52.335609,8.426985,1975,85.6,173.3,56
52.334771,8.426906,1975,84.1,182.7,96
52.334198,8.426743,1950,84.2,189.6,112
52.333603,8.426361,1950,83.8,199.5,112
52.333095,8.425807,1950,82.7,212.1,112
52.332642,8.425293,1975,82.4,215.6,112
52.332367,8.424835,1975,80.7,223.0,112
52.332071,8.424081,2000,79.2,232.7,48
52.331589,8.422852,2000,79.8,239.9,48
52.331279,8.42157,2000,80.1,249.5,48
52.331223,8.420639,1975,80.5,255.6,80
52.331093,8.419373,1950,81.6,263.0,80
52.33114,8.418666,1950,80.0,270.7,56
52.331268,8.417664,1950,77.7,281.9,56
52.331497,8.416672,1950,76.5,287.5,56
52.331745,8.415998,1950,73.8,298.3,56
52.332024,8.415449,1950,72.8,307.2,56
52.33255,8.414688,1950,71.7,309.9,40
52.332722,8.414507,1950,68.8,327.5,40
52.333282,8.414078,1950,68.9,336.0,40
52.333979,8.413879,1925,68.0,342.9,-80
52.334165,8.413958,1925,68.0,358.3,-80
52.334564,8.414078,1925,69.1,10.0,-80
52.335283,8.414507,1925,69.3,20.3,-80
52.335655,8.4149,1925,70.2,28.0,-80
52.335983,8.415375,1925,70.5,34.6,-96
52.336353,8.416077,1925,71.5,46.7,-96
52.336578,8.416748,1925,71.0,54.7,-88
52.336819,8.417568,1950,71.1,62.3,-88
52.337082,8.418579,1950,72.1,70.6,-88
52.337284,8.420236,1950,73.8,77.5,-64
52.337494,8.42247,1950,74.7,82.3,-16
52.337723,8.426361,1950,77.3,84.8,32
52.338169,8.434675,1975,72.3,84.4,40
52.338309,8.436166,2000,68.4,84.1,64
52.338309,8.436794,2025,65.4,83.8,64
52.338355,8.436951,2025,61.4,83.4,96
52.338409,8.437653,2050,57.3,84.0,96
52.338409,8.438034,2050,53.3,83.5,96
52.338448,8.438442,2075,50.3,84.3,96
52.338448,8.438756,2100,46.2,85.0,256
52.338455,8.439255,2100,41.2,84.4,368
52.338501,8.439865,2125,38.2,84.0,368
52.338593,8.440628,2125,41.4,81.7,432
52.338638,8.440933,2075,46.9,78.9,432
52.338634,8.44111,2050,49.8,79.6,432
52.338681,8.441581,2050,57.1,78.9,432
52.338776,8.442383,2000,61.0,79.6,432
52.339005,8.444443,2025,59.7,76.4,112
52.339188,8.445053,2025,58.9,69.1,-48
