lat,lon,alt,gs,track
53.184703,-4.288079,1900,0.0,0.0
53.183734,-4.285927,1900,0.0,0.0
53.184027,-4.284837,1900,299.0,0.0
53.183083,-4.288397,2000,192.0,0.0
53.183491,-4.284044,2100,61.0,0.0
53.182572,-4.279802,2100,66.0,0.0
53.182036,-4.276494,2200,88.0,0.0
53.17286,-4.273966,2400,117.0,0.0
53.17843,-4.271795,2400,129.0,0.0
53.178143,-4.269959,2500,110.0,0.0
53.178731,-4.265888,2500,107.0,0.0
53.180735,-4.262859,2500,111.0,0.0
53.183235,-4.259867,2500,127.0,0.0
53.186142,-4.25992,2600,134.0,0.0
53.187961,-4.257563,2600,133.0,0.0
53.191401,-4.253693,2600,108.0,0.0
53.195037,-4.250123,2600,89.0,0.0
53.197605,-4.244529,2600,87.0,0.0
53.201365,-4.241168,2600,90.0,0.0
53.204669,-4.238132,2600,96.0,0.0
53.207227,-4.234664,2600,90.0,0.0
53.209558,-4.230629,2600,84.0,0.0
53.212267,-4.227332,2600,85.0,0.0
53.21308,-4.224685,2500,90.0,0.0
53.215614,-4.221952,2500,95.0,0.0
53.218019,-4.218902,2500,98.0,0.0
53.220599,-4.215603,2500,94.0,0.0
53.221969,-4.21127,2500,93.0,0.0
53.225495,-4.20716,2500,92.0,0.0
53.225679,-4.205725,2500,93.0,0.0
53.229265,-4.200359,2400,97.0,0.0
53.231535,-4.195092,2400,101.0,0.0
53.233135,-4.191885,2400,100.0,0.0
53.235006,-4.188502,2400,95.0,0.0
53.237702,-4.183298,2400,94.0,0.0
53.24055,-4.178493,2400,92.0,0.0
53.243783,-4.17374,2400,89.0,0.0
53.245682,-4.169471,2400,88.0,0.0
53.250524,-4.168721,2400,90.0,0.0
53.253387,-4.171339,2400,93.0,0.0
53.257104,-4.17435,2400,114.0,0.0
53.260558,-4.178087,2400,116.0,0.0
53.263686,-4.180382,2400,108.0,0.0
53.267349,-4.182542,2400,101.0,0.0
53.269982,-4.184431,2400,98.0,0.0
53.272612,-4.185996,2400,97.0,0.0
53.275933,-4.189264,2400,96.0,0.0
53.280041,-4.192064,2400,92.0,0.0
53.281822,-4.193287,2100,94.0,0.0
53.283844,-4.195096,2200,94.0,0.0
53.288988,-4.197936,2200,97.0,0.0
53.289745,-4.200401,2100,98.0,0.0
53.292946,-4.202155,2100,91.0,0.0
53.295844,-4.204261,2100,88.0,0.0
53.299479,-4.207092,2100,87.0,0.0
53.304228,-4.210727,2100,87.0,0.0
53.306962,-4.211541,2100,94.0,0.0
53.310095,-4.214577,2100,132.0,0.0
53.313175,-4.218678,2100,87.0,0.0
53.316576,-4.22145,2100,73.0,0.0
53.316945,-4.222058,2100,70.0,0.0
53.320656,-4.225349,2100,88.0,0.0
53.324533,-4.22942,2100,90.0,0.0
53.326878,-4.231567,2100,81.0,0.0
53.329745,-4.235715,2100,84.0,0.0
53.333714,-4.239628,2100,94.0,0.0
53.337034,-4.241607,2100,98.0,0.0
