lat,lon,alt,gs,track,vs
51.454872,-0.120697,1200,436.0,334.2,0
51.457752,-0.121728,1100,436.0,334.2,-256
51.430469,-0.11595,900,434.0,102.3,0
51.426777,-0.116523,900,434.0,102.3,0
51.510968,-0.128159,1400,450.0,131.1,0
51.508959,-0.12863,1300,450.0,131.1,-296
51.496688,-0.11958,1400,370.0,253.1,0
51.497942,-0.118514,1300,370.0,253.1,-312
51.502343,-0.115855,1300,366.0,252.9,-304
51.503991,-0.116642,1200,366.0,252.9,-1336
51.508176,-0.120563,1100,382.0,252.8,0
51.508779,-0.120409,1100,382.0,252.8,0
51.507768,-0.119233,1000,382.0,252.6,0
51.508216,-0.119614,1000,382.0,252.6,0
51.498566,-0.115649,1400,222.0,269.5,0
51.500399,-0.114967,1400,222.0,269.5,0
51.383824,-0.146113,1100,488.0,147.1,-304
51.386683,-0.147684,1000,488.0,147.1,-96
51.390531,-0.149301,1000,488.0,147.1,0
51.497905,-0.234895,1100,314.0,276.3,-40
51.50162,-0.237987,1100,314.0,276.3,0
51.398328,-0.121068,1500,332.0,344.9,0
51.395181,-0.121667,1500,332.0,344.9,0
51.391863,-0.122654,1500,332.0,344.9,2848
51.328161,-0.139055,1500,358.0,327.7,2464
51.325624,-0.140525,1300,358.0,327.7,2464
51.32117,-0.142898,1300,358.0,327.7,2464
