lat,lon,alt,gs,track
50.812317,-1.213173,-300,2.1,0.0
50.812326,-1.21315,-200,2.1,0.0
50.812466,-1.213074,-300,1.6,45.0
50.812454,-1.213024,-300,2.1,90.0
50.812466,-1.212997,-200,2.1,90.0
50.812454,-1.213024,-300,0.7,0.0
50.812454,-1.213024,-300,0.7,0.0
50.812454,-1.213024,-300,1.2,90.0
50.812454,-1.21295,-300,3.1,90.0
50.812466,-1.212921,-300,3.2,108.4
50.812454,-1.212802,-300,5.1,101.3
50.812419,-1.212616,-300,5.4,111.8
50.812373,-1.212463,-300,6.4,108.4
50.812363,-1.212282,-300,5.1,101.3
50.812326,-1.212234,-300,4.5,116.6
50.812317,-1.212133,-300,3.1,90.0
50.812326,-1.212082,-300,3.1,90.0
50.812317,-1.212059,-300,2.3,63.4
50.812363,-1.211985,-300,2.9,45.0
50.812373,-1.211853,-300,3.7,56.3
50.812454,-1.211837,-300,3.7,56.3
50.812454,-1.211762,-300,1.6,45.0
50.812454,-1.211762,-300,0.7,0.0
50.812466,-1.211777,-300,0.7,0.0
50.812466,-1.2117,-300,1.6,45.0
50.812606,-1.211472,-300,4.3,45.0
50.812637,-1.211465,-300,11.3,45.0
50.813141,-1.210649,-300,22.6,45.0
50.81335,-1.210327,-300,35.4,45.0
50.814285,-1.208867,-300,49.5,43.4
50.8147,-1.208267,-300,54.5,42.8
50.815521,-1.207086,-200,61.0,41.0
50.81633,-1.205902,-200,61.6,43.0
50.817535,-1.204042,-100,61.5,45.7
50.818176,-1.202929,-100,57.3,47.1
50.818817,-1.201889,0,53.8,46.5
50.8201,-1.199799,0,54.5,44.3
50.820602,-1.199069,100,58.7,42.9
50.822067,-1.197064,100,61.7,40.4
50.823499,-1.195145,200,62.3,42.4
50.824173,-1.194244,200,63.6,36.7
50.825134,-1.193056,200,66.6,41.3
50.825687,-1.192169,300,65.8,43.2
50.827083,-1.190262,300,65.3,40.0
50.827194,-1.190087,400,65.4,38.8
50.827875,-1.189346,400,63.8,32.2
50.828573,-1.188736,400,61.7,27.0
50.829085,-1.188354,500,61.7,24.9
50.830948,-1.187117,500,63.7,22.1
50.831955,-1.186523,500,66.1,17.6
50.832949,-1.186066,600,65.0,14.2
50.83509,-1.185303,600,60.6,13.4
50.835251,-1.185261,700,60.2,11.5
50.837997,-1.184371,700,58.9,9.8
50.839932,-1.183929,800,62.7,8.3
50.842163,-1.18348,800,59.3,5.8
50.842678,-1.183472,900,57.2,5.0
50.844913,-1.183167,900,59.1,2.9
50.846786,-1.183109,1000,61.0,0.0
50.848846,-1.183257,1000,62.1,357.2
50.851337,-1.183472,1100,62.1,356.3
50.854456,-1.183929,1100,64.3,354.6
50.855992,-1.184158,1200,64.4,353.8
50.858227,-1.184464,1200,63.1,356.4
50.859949,-1.184616,1300,64.1,357.3
50.862975,-1.184921,1400,62.1,356.3
50.865921,-1.185113,1400,66.0,358.3
50.867584,-1.18515,1400,67.0,1.7
50.868896,-1.184965,1400,67.3,5.1
50.870499,-1.184668,1400,67.6,7.7
50.871634,-1.184311,1500,67.5,12.0
50.873775,-1.183472,1500,70.3,14.8
50.87851,-1.18155,1500,75.2,13.9
50.884855,-1.179123,1500,78.1,13.3
50.886484,-1.178513,1500,73.5,11.8
50.88858,-1.177913,1500,70.0,9.9
50.891968,-1.177022,1500,74.0,9.3
50.893982,-1.176576,1500,74.4,6.2
