lat,lon,alt,gs,track
52.093735,0.139923,-100,102.7,58.9
52.094147,0.140991,0,102.7,58.9
52.095932,0.145874,0,105.8,59.3
52.096802,0.147629,-100,107.6,52.2
52.097443,0.148849,-100,108.2,46.1
52.098038,0.149689,0,107.1,40.8
52.098999,0.150757,0,106.2,33.1
52.099635,0.151297,0,104.7,27.3
52.100334,0.15169,0,104.4,20.2
52.101379,0.152054,0,103.0,11.2
52.102112,0.15213,0,102.1,2.2
52.10289,0.152054,0,101.7,353.2
52.103806,0.151672,100,102.9,344.2
52.10443,0.151297,100,103.8,334.9
52.105179,0.150528,100,104.6,328.3
52.105911,0.149536,100,105.4,321.9
52.106339,0.148629,100,107.6,312.0
52.106918,0.147095,100,110.7,302.8
52.107223,0.14604,100,112.7,295.2
52.107549,0.144392,200,115.1,287.2
52.107788,0.142517,200,117.7,279.8
52.107968,0.139448,200,120.3,273.8
52.108108,0.133955,300,124.1,271.9
52.108294,0.12493,300,126.2,273.2
52.108383,0.122833,400,127.3,274.0
52.108841,0.113602,500,127.5,275.0
52.109132,0.107274,500,131.2,273.1
52.109116,0.103455,500,136.1,267.9
52.108899,0.100289,500,140.3,262.2
52.10862,0.098171,500,143.6,257.1
52.108063,0.095444,500,148.1,249.9
52.10727,0.092834,500,151.6,242.1
52.106478,0.090951,500,154.6,233.9
52.105361,0.088754,500,157.1,227.1
52.104172,0.087051,500,160.7,218.9
52.10289,0.085678,500,162.6,211.9
52.101125,0.084281,500,166.5,204.1
52.099077,0.083104,500,169.2,197.9
52.097866,0.082633,500,171.8,192.1
52.096436,0.082245,400,172.3,187.0
52.094654,0.082241,400,174.1,178.0
52.092911,0.08255,400,174.1,171.1
52.090883,0.083418,400,173.7,162.9
52.08944,0.084359,400,172.2,154.9
52.088044,0.085693,400,171.3,149.1
52.086833,0.087184,400,169.7,140.0
52.085815,0.088806,400,168.4,133.1
52.084971,0.090559,400,166.4,126.9
52.083984,0.093384,400,164.7,119.1
52.083389,0.095596,400,164.0,111.1
52.082932,0.097961,300,163.2,107.1
52.082551,0.100996,300,161.4,100.0
52.082457,0.102879,300,160.4,93.9
52.082474,0.106049,300,159.0,88.9
52.082597,0.109079,300,159.1,83.1
52.082886,0.112152,200,158.9,79.1
52.083481,0.115814,200,157.9,73.1
52.084459,0.119986,200,157.5,68.0
52.085483,0.123439,100,157.9,64.1
