lat,lon,alt,gs,track,vs
51.14653,-0.202134,-50,104.3,77.8,64
51.148773,-0.185728,-25,160.4,78.1,1472
51.148945,-0.184631,0,160.4,78.1,1728
51.149225,-0.182343,75,160.2,78.5,2176
51.149644,-0.179367,175,158.5,78.0,2560
51.149963,-0.176969,275,157.5,77.9,2752
51.150249,-0.174561,375,155.3,78.1,2816
51.150575,-0.172348,475,153.4,78.0,2816
51.150879,-0.170065,575,153.2,78.3,2816
51.151154,-0.167764,675,152.2,78.2,2880
51.151474,-0.165389,775,151.4,77.8,2880
51.151739,-0.163727,875,151.4,77.8,2944
51.152023,-0.161454,950,150.4,77.7,2752
51.152251,-0.159683,1050,150.4,77.7,2560
51.15267,-0.156555,1150,152.2,78.2,2240
51.153076,-0.153734,1250,153.4,78.0,2112
51.153461,-0.150528,1350,156.3,78.2,1984
51.153973,-0.146637,1450,159.5,78.1,1600
51.154449,-0.143045,1525,163.4,78.3,1536
51.154861,-0.140076,1600,167.7,77.9,1536
51.155365,-0.136364,1675,171.8,77.9,1472
51.155928,-0.132217,1750,176.1,77.5,1472
51.156509,-0.12805,1825,180.3,77.5,1472
51.157242,-0.122854,1925,181.5,77.3,1472
51.157371,-0.122147,1925,188.0,76.8,1472
51.157837,-0.11892,2000,191.1,76.7,1472
51.158582,-0.113907,2100,196.0,77.0,1536
51.158768,-0.112534,2125,199.2,76.9,1536
51.15928,-0.109253,2175,203.3,76.9,1344
51.159839,-0.105591,2225,207.6,76.6,1152
51.160629,-0.100139,2250,212.5,76.9,832
51.162003,-0.090192,2350,212.8,77.8,832
51.163284,-0.080467,2450,210.2,78.5,960
51.164246,-0.074306,2500,208.1,75.0,960
51.165253,-0.069778,2550,205.1,69.4,960
51.166351,-0.066363,2600,201.3,62.2,1088
51.167496,-0.063691,2650,198.3,56.3,1216
51.168732,-0.06139,2700,196.9,51.0,1088
51.170127,-0.059204,2725,197.4,42.7,1088
51.172256,-0.056565,2775,197.6,37.4,1152
51.174133,-0.054783,2825,198.6,32.2,1088
51.176147,-0.053299,2875,200.9,25.0,1216
51.178436,-0.051962,2925,203.7,18.6,1024
51.181091,-0.050923,2975,204.4,11.9,960
51.183487,-0.05043,3000,203.7,7.3,960
51.185954,-0.050354,3050,205.0,0.3,1024
51.188701,-0.050735,3100,205.3,353.6,1024
51.191528,-0.051517,3150,206.3,348.2,1152
51.195648,-0.05315,3250,207.1,346.0,1088
51.201324,-0.055451,3350,209.1,346.2,1024
51.20667,-0.057755,3450,210.1,343.1,960
51.20951,-0.059433,3475,210.2,338.8,896
51.211945,-0.061316,3525,211.1,333.6,960
51.214508,-0.063765,3575,212.5,327.9,960
51.217026,-0.066883,3625,214.3,321.6,896
51.219177,-0.070001,3675,215.9,317.8,768
51.220869,-0.07309,3700,219.9,310.6,512
51.22261,-0.07683,3700,222.2,304.5,512
51.224081,-0.080872,3725,223.6,300.4,576
51.225384,-0.085449,3775,225.4,296.3,896
51.225989,-0.08812,3825,230.3,289.5,1280
51.226639,-0.092048,3875,234.6,285.6,1280
51.226781,-0.093002,3900,236.7,283.7,1280
51.227005,-0.094646,3925,240.1,281.8,1280
51.227234,-0.09717,3950,242.7,280.0,1280
51.227433,-0.100708,3975,247.4,276.0,1216
51.227526,-0.102539,4000,250.7,274.4,1216
51.227509,-0.10437,4025,253.2,272.3,1152
51.227417,-0.108527,4050,258.1,268.5,1152
51.227246,-0.111542,4100,263.0,265.0,1152
51.226776,-0.117212,4125,266.7,261.8,1088
51.225757,-0.126724,4225,270.3,259.8,1024
51.224442,-0.137849,4325,273.0,259.0,1344
51.223429,-0.146027,4425,274.2,258.9,1472
51.222405,-0.15419,4525,275.3,258.7,1472
51.221466,-0.161677,4625,276.3,258.7,1472
51.22045,-0.169754,4725,277.5,258.6,1472
51.219452,-0.17786,4825,277.5,258.6,1472
51.218448,-0.185623,4925,278.5,258.6,1536
51.217377,-0.194092,5025,279.5,258.6,1472
51.216339,-0.202505,5125,280.4,258.7,1472
51.215329,-0.210648,5225,281.4,258.7,1472
51.214351,-0.218582,5325,281.2,258.9,1408
51.213364,-0.22663,5425,281.2,258.9,1472
51.212357,-0.234721,5525,281.2,258.9,1472
51.211325,-0.243149,5625,280.1,259.1,1472
51.210388,-0.250904,5725,280.1,259.1,1472
51.209381,-0.259218,5825,280.1,259.1,1728
51.208672,-0.264969,5925,280.1,259.1,2176
51.208067,-0.270004,6025,280.1,259.1,2624
51.207601,-0.274048,6125,280.1,259.1,3008
51.207182,-0.277481,6225,280.1,259.1,3072
51.206635,-0.281859,6325,281.0,259.1,3136
51.206158,-0.285873,6425,281.2,258.9,3328
51.205765,-0.288985,6525,282.0,259.2,3520
51.205399,-0.292251,6625,282.0,259.2,3648
51.204994,-0.29541,6725,282.0,259.2,3776
51.204575,-0.298843,6825,281.0,259.1,3840
51.204208,-0.30205,6925,281.2,258.9,3776
51.20343,-0.30836,7100,282.2,259.0,3520
51.202574,-0.315552,7300,283.0,259.2,3200
51.201553,-0.324097,7500,285.0,259.3,2880
51.200546,-0.332559,7700,286.9,259.4,2752
51.199402,-0.342209,7900,289.9,259.5,2624
51.198291,-0.351868,8100,292.8,259.6,2752
51.197267,-0.360794,8275,295.0,259.5,2304
51.196564,-0.366483,8375,296.3,259.1,1920
51.194595,-0.38222,8550,295.9,258.5,1472
51.192751,-0.396576,8750,294.2,258.2,1920
51.191773,-0.403976,8875,293.4,258.0,2368
51.19047,-0.413666,9075,293.6,257.8,2816
51.189353,-0.421982,9275,295.6,257.9,2880
51.188236,-0.430298,9475,296.8,257.7,3136
51.187025,-0.439072,9675,297.7,257.8,3136
51.185989,-0.446876,9875,298.0,257.6,3136
51.184791,-0.455322,10075,298.9,257.6,3072
51.183627,-0.463943,10275,299.7,257.9,3008
51.182419,-0.472858,10475,300.5,258.1,2944
51.18132,-0.48132,10675,301.4,258.1,2944
51.180176,-0.489857,10875,302.4,258.2,3008
51.179018,-0.498657,11075,302.6,258.0,3136
51.177994,-0.506287,11250,303.6,258.0,3264
51.176971,-0.514056,11450,303.6,258.0,3328
51.175899,-0.521545,11650,303.5,257.2,3264
51.174689,-0.529404,11850,304.4,255.0,3264
51.172211,-0.541893,12150,306.7,251.6,2944
51.170929,-0.547461,12275,308.8,249.9,2496
51.169556,-0.553176,12375,310.5,249.1,2176
51.168182,-0.558595,12450,313.3,248.3,1728
51.163702,-0.57579,12650,323.2,247.2,1344
51.15942,-0.591812,12800,332.3,246.6,1280
51.154861,-0.608405,12950,341.7,246.4,1216
51.149039,-0.629654,13150,351.5,246.4,1408
51.144151,-0.64743,13350,360.1,246.4,1856
51.141769,-0.656062,13475,361.9,246.6,2304
51.135445,-0.67955,13875,365.2,246.9,2752
51.129766,-0.700836,14275,367.0,247.1,3008
51.124971,-0.718918,14675,365.7,247.1,3200
51.121262,-0.732966,14950,367.0,247.1,2752
51.115288,-0.755234,15350,369.6,246.9,2624
51.109085,-0.778396,15750,371.9,246.9,2624
51.103043,-0.800814,16150,374.1,246.9,2624
51.096542,-0.825162,16550,375.9,247.0,2496
51.089405,-0.851593,16950,380.3,246.6,2240
51.082143,-0.878372,17350,383.4,246.6,2496
51.07576,-0.90177,17750,384.7,246.6,2560
51.069077,-0.926118,18150,386.0,246.5,2560
51.062684,-0.949326,18550,386.4,246.4,2688
51.058262,-0.965424,18800,387.4,246.4,2240
51.049929,-0.995865,19175,391.4,246.5,1920
51.042201,-1.02417,19550,394.2,246.7,2112
51.034332,-1.053351,19925,397.9,246.9,2112
51.02656,-1.082306,20300,400.1,246.9,2176
51.018972,-1.110687,20700,401.9,247.0,2176
51.01236,-1.134635,21025,404.0,245.0,2176
51.008777,-1.145325,21175,405.9,241.3,2176
51.004727,-1.155701,21325,408.0,237.2,2240
