lat,lon,alt,gs,track
53.369348,-2.286853,-175,0.0,0.0
53.369431,-2.286883,-175,0.7,0.0
53.369442,-2.286902,-50.0,0.0,135.0
53.369396,-2.286785,-50.0,0.0,135.0
53.369429,-2.286893,-50.0,0.0,135.0
53.369476,-2.286981,-50.0,2.2,135.0
53.369511,-2.28704,-50.0,2.2,137.8
53.369534,-2.287079,-50.0,2.8,140.6
53.369568,-2.287138,-50.0,3.2,146.2
53.369604,-2.287176,-50.0,3.2,149.1
53.369545,-2.287135,-50.0,2.8,154.7
53.369671,-2.287255,-50.0,2.8,160.3
53.369705,-2.287314,-50.0,2.8,168.8
53.369774,-2.287373,-50.0,2.2,188.4
53.369813,-2.287378,-50.0,1.9,202.5
53.369843,-2.287393,-50.0,2.2,210.9
53.369871,-2.287378,-50.0,1.9,216.6
53.369831,-2.287432,-50.0,2.2,216.6
53.369797,-2.287471,-50.0,2.2,219.4
53.369778,-2.287519,-50.0,2.8,222.2
53.369728,-2.287609,-50.0,2.2,225.0
53.369662,-2.287721,-50.0,2.8,227.8
53.369604,-2.287802,-50.0,2.2,225.0
53.369545,-2.287923,-50.0,0.0,225.0
53.369534,-2.287922,-50.0,0.0,225.0
53.369545,-2.287922,-50.0,0.0,225.0
53.369545,-2.287922,-50.0,0.0,225.0
53.369545,-2.287923,-50.0,0.0,225.0
53.369419,-2.288119,-50.0,4.8,225.0
53.369231,-2.288448,-50.0,8.2,225.0
53.369033,-2.288771,-50.0,10.2,225.0
53.368698,-2.289296,-50.0,12.8,225.0
53.368423,-2.289786,-50.0,13.8,227.8
53.367908,-2.290277,-50.0,15.5,199.7
53.367695,-2.290387,-50.0,12.8,196.9
53.367611,-2.290394,-50.0,11.8,188.4
53.367532,-2.290387,-50.0,11.2,177.2
53.367462,-2.290346,-50.0,10.8,165.9
53.367416,-2.290286,-50.0,10.2,157.5
53.367381,-2.290246,-50.0,10.2,151.9
53.367325,-2.290159,-50.0,9.8,143.4
53.367199,-2.289982,-50.0,9.8,137.8
53.366973,-2.289599,-50.0,10.2,135.0
53.366695,-2.289139,-50.0,10.8,135.0
53.366636,-2.289074,-50.0,10.8,140.6
53.366578,-2.289014,-50.0,10.8,151.9
53.366496,-2.288993,-50.0,10.8,160.3
53.366357,-2.288913,-50.0,10.2,160.3
53.366287,-2.288852,-50.0,10.8,154.7
53.366194,-2.288731,-50.0,10.8,143.4
53.366077,-2.288549,-50.0,10.8,137.8
53.365972,-2.288347,-50.0,11.2,129.4
53.365929,-2.288177,-50.0,11.2,120.9
53.36586,-2.287962,-50.0,11.8,115.3
53.365334,-2.286765,-50.0,12.2,135.0
53.365076,-2.286328,-50.0,12.2,135.0
53.36482,-2.285883,-50.0,11.8,132.2
53.364599,-2.28552,-50.0,11.2,135.0
53.364349,-2.285078,-50.0,10.2,135.0
53.364223,-2.284823,-50.0,10.2,123.8
53.364189,-2.284685,-50.0,10.2,118.1
53.364064,-2.284247,-50.0,10.2,120.9
53.363937,-2.283999,-50.0,10.2,132.2
53.363731,-2.283646,-50.0,10.2,135.0
53.363494,-2.283238,-50.0,10.8,135.0
53.363216,-2.282763,-50.0,11.2,135.0
53.362947,-2.282329,-50.0,11.2,135.0
53.362656,-2.281824,-50.0,11.8,135.0
53.362469,-2.281521,-50.0,12.8,135.0
53.362202,-2.281057,-50.0,13.8,135.0
53.361855,-2.280487,-50.0,15.5,135.0
53.361603,-2.280055,-50.0,16.5,135.0
53.361305,-2.279545,-50.0,16.5,135.0
53.361085,-2.279178,-50.0,16.5,135.0
53.360828,-2.278774,-50.0,15.5,137.8
53.3607,-2.278593,-50.0,14.8,140.6
53.360584,-2.278466,-50.0,14.8,149.1
53.360479,-2.278371,-50.0,14.8,157.5
53.360305,-2.27831,-50.0,14.2,165.9
53.360081,-2.27829,-50.0,13.2,180.0
53.359783,-2.278329,-50.0,12.8,182.8
53.359623,-2.278349,-50.0,12.8,188.4
53.359316,-2.278411,-50.0,12.2,185.6
53.358971,-2.278466,-50.0,12.2,185.6
53.358524,-2.278545,-50.0,12.8,185.6
53.35814,-2.278613,-50.0,14.8,185.6
53.357861,-2.278653,-50.0,15.5,185.6
53.357552,-2.278721,-50.0,16.5,185.6
53.357288,-2.278761,-50.0,16.5,185.6
53.35693,-2.278815,-50.0,16.5,185.6
53.356511,-2.278896,-50.0,17.5,185.6
53.356138,-2.278956,-50.0,17.5,185.6
53.355696,-2.279017,-50.0,16.5,185.6
53.355254,-2.279098,-50.0,16.5,185.6
53.354885,-2.279173,-50.0,15.5,188.4
53.354668,-2.279212,-50.0,15.5,191.2
53.354599,-2.279251,-50.0,15.5,196.9
53.354462,-2.27936,-50.0,16.5,208.1
53.354381,-2.279481,-50.0,16.5,213.8
53.354276,-2.279623,-50.0,16.5,222.2
53.354102,-2.279926,-50.0,16.5,225.0
53.353809,-2.280409,-50.0,17.5,225.0
53.353546,-2.280821,-50.0,17.5,225.0
53.353352,-2.281134,-50.0,16.5,225.0
