lat,lon,alt,gs,track,vs
51.471256,-0.433088,-225,0.0,90.6,2176
51.468498,-0.474713,-225,3.2,270.0,0
51.468492,-0.474586,-225,2.2,272.8,0
51.468487,-0.474435,-225,2.8,270.0,0
51.468487,-0.474249,-225,2.8,270.0,0
51.468487,-0.474231,-225,2.8,270.0,0
51.468503,-0.474148,-225,2.8,278.4,0
51.468527,-0.474091,-225,2.8,286.9,0
51.468533,-0.474045,-225,2.8,295.3,0
51.468538,-0.474014,-225,2.8,298.1,0
51.468538,-0.473957,-225,2.2,303.8,0
51.468527,-0.4739,-225,2.8,309.4,0
51.468492,-0.473824,-225,2.8,315.0,0
51.46848,-0.473766,-225,2.8,317.8,0
51.468457,-0.473709,-225,2.8,323.4,0
51.46843,-0.473655,-225,2.8,329.1,0
51.468418,-0.473618,-225,2.8,331.9,0
51.468407,-0.473581,-225,2.8,337.5,0
51.468387,-0.473537,-225,2.8,345.9,0
51.468375,-0.473499,-225,1.4,354.4,0
51.468364,-0.47348,-225,1.4,0.0,0
51.468372,-0.47347,-225,0.6,0.0,0
51.468418,-0.47347,-225,0.0,0.0,0
51.468418,-0.47347,-225,0.0,0.0,0
51.468422,-0.47348,-225,0.0,0.0,0
51.468418,-0.47347,-225,0.0,0.0,0
51.468773,-0.47347,-225,3.8,0.0,0
51.469128,-0.473488,-225,4.8,0.0,0
51.469178,-0.47348,-225,4.8,0.0,0
51.46933,-0.47348,-225,5.2,0.0,0
51.469597,-0.473488,-225,6.2,0.0,0
51.469865,-0.47348,-225,7.2,0.0,0
51.470307,-0.473499,-225,8.8,0.0,0
51.470684,-0.473488,-225,9.2,0.0,0
51.47111,-0.473499,-225,10.2,0.0,0
51.471343,-0.473499,-225,6.2,0.0,0
51.472984,-0.473518,-225,9.2,0.0,0
51.473345,-0.473518,-225,10.2,0.0,0
51.473787,-0.473518,-225,10.2,0.0,0
51.473985,-0.473518,-225,6.8,0.0,0
51.474229,-0.473518,-225,1.9,0.0,0
51.474241,-0.473518,-225,0.0,0.0,0
51.474243,-0.473526,-225,0.0,0.0,0
51.474241,-0.473518,-225,0.0,0.0,0
51.474334,-0.473518,-225,2.2,0.0,0
51.474462,-0.473518,-225,5.8,0.0,0
51.474893,-0.473537,-225,9.8,0.0,0
51.475824,-0.471497,-225,3.2,90.0,0
51.475822,-0.471317,-225,0.0,90.0,0
51.475822,-0.471187,-225,2.2,90.0,0
51.475824,-0.471001,-225,3.2,90.0,0
51.475822,-0.470668,-225,5.8,90.0,0
51.475822,-0.470445,-225,6.8,90.0,0
51.475822,-0.470148,-225,7.2,90.0,0
51.475824,-0.469646,-225,8.2,90.0,0
51.475834,-0.469313,-225,9.8,90.0,0
51.475847,-0.468769,-225,10.8,87.2,0
51.47588,-0.468404,-225,11.8,81.6,0
51.475917,-0.468006,-225,11.8,84.4,0
51.475914,-0.46742,-225,11.8,87.2,0
51.475917,-0.466824,-225,11.8,90.0,0
51.475917,-0.466194,-225,11.8,87.2,0
51.475925,-0.465434,-225,12.8,90.0,0
51.475925,-0.464748,-225,13.2,90.0,0
51.475937,-0.46369,-225,14.8,90.0,0
51.47594,-0.463066,-225,15.5,90.0,0
51.475937,-0.462446,-225,16.5,90.0,0
51.475948,-0.461853,-225,17.5,90.0,0
51.475948,-0.460516,-225,18.5,90.0,0
51.475948,-0.459904,-225,19.5,90.0,0
51.475952,-0.459232,-225,20.5,90.0,0
51.475952,-0.458546,-225,21.5,90.0,0
51.47596,-0.457974,-225,21.5,90.0,0
51.47596,-0.457324,-225,21.5,90.0,0
51.47596,-0.456638,-225,20.5,90.0,0
51.475963,-0.455933,-225,17.5,90.0,0
51.475971,-0.455821,-225,16.5,90.0,0
51.477604,-0.458069,-200,98.0,268.8,64
51.477604,-0.459747,-200,102.0,269.4,64
51.477585,-0.460609,-200,107.0,269.5,64
51.477585,-0.4615,-200,111.0,269.0,64
51.477604,-0.463409,-200,119.0,269.0,64
51.477585,-0.466993,-200,119.0,269.0,64
51.477558,-0.471497,-200,150.0,269.6,576
51.477539,-0.472709,-175,150.0,269.6,576
51.477539,-0.473303,-150,154.0,269.6,1728
51.477539,-0.474862,-100,155.0,269.6,2176
51.477539,-0.477757,0,155.0,269.3,2240
51.477511,-0.480499,100,154.0,269.3,2368
51.477465,-0.483551,200,153.0,268.9,2304
51.477418,-0.486679,300,153.0,269.2,2368
51.477418,-0.489502,400,154.0,269.6,2304
51.477402,-0.491861,500,154.0,269.3,2496
51.477371,-0.494843,600,155.1,268.5,2432
51.477325,-0.497284,700,155.1,268.5,2368
51.477278,-0.500259,800,156.1,268.5,2304
51.477219,-0.503367,900,157.1,268.5,2304
51.477185,-0.50621,1000,158.1,268.5,2048
51.477139,-0.509949,1100,159.0,268.9,1856
51.477092,-0.513229,1175,163.0,269.0,1728
51.477092,-0.516968,1250,167.0,269.0,1408
51.477081,-0.520069,1300,171.0,269.3,1344
51.477036,-0.52289,1375,174.0,269.7,1728
51.476953,-0.52681,1450,178.1,267.8,1536
51.476813,-0.529251,1500,182.5,265.9,1472
51.47644,-0.534134,1575,187.3,263.2,1664
51.476068,-0.537796,1650,191.1,261.6,1664
51.475649,-0.541382,1725,195.3,259.4,1536
51.475159,-0.545085,1775,200.2,258.2,1408
51.474671,-0.548477,1825,203.6,257.8,1536
51.474243,-0.551543,1875,207.9,257.5,1600
51.473508,-0.556564,1975,212.7,256.7,1664
51.472949,-0.560303,2025,217.3,256.2,1472
51.472275,-0.564385,2100,220.7,255.8,1792
51.471863,-0.566984,2150,224.1,255.5,1856
51.47104,-0.572205,2250,228.7,255.1,1600
51.470528,-0.57518,2300,233.1,254.8,1664
51.469551,-0.580826,2400,237.5,254.6,1856
51.468887,-0.584577,2475,240.7,254.6,2048
51.468338,-0.587917,2525,242.9,254.5,2048
51.467689,-0.591736,2600,247.0,254.5,2112
51.466919,-0.596305,2700,251.8,254.8,2176
51.466049,-0.601501,2800,255.9,254.8,2240
51.465225,-0.606327,2900,260.3,254.6,2240
51.464401,-0.611226,3000,263.2,254.8,2176
