lat,lon,alt,gs,track,vs
51.661656,0.177811,700,266.0,130.4,32
51.662213,0.179736,800,266.0,130.4,32
51.661428,0.181236,900,266.0,130.4,32
51.637327,0.204945,1400,256.0,265.4,2408
51.634749,0.208547,1400,256.0,265.4,384
51.621427,0.225479,1600,260.0,130.6,-992
51.619055,0.226351,1600,260.0,130.6,-64
51.618134,0.229128,1500,260.0,130.6,-64
51.616683,0.2309,1600,260.0,130.6,-64
51.614076,0.234569,1600,260.0,130.6,0
51.547985,0.277731,1600,258.0,130.8,0
51.54331,0.277693,1600,258.0,130.8,0
51.511261,0.280689,1500,268.0,234.7,-320
51.505994,0.282284,1500,268.0,234.7,-608
51.501174,0.282137,1500,268.0,234.7,-608
51.474639,0.287049,1600,238.0,295.5,-448
51.471762,0.286964,1600,238.0,295.5,-448
51.468289,0.288231,1600,240.0,295.5,0
51.465878,0.288927,1700,240.0,295.5,-496
51.462399,0.289621,1700,240.0,295.5,-608
51.444635,0.292858,1800,222.0,349.6,1712
51.439361,0.294354,1800,222.0,349.6,1280
51.43799,0.294366,1700,218.0,7.2,1152
51.433548,0.297219,1700,218.0,7.2,-656
51.43305,0.294924,1600,218.0,7.2,-1848
51.418665,0.297585,1600,224.0,63.3,128
51.41574,0.298675,1600,224.0,69.3,0
51.410724,0.29881,1600,224.0,69.3,0
51.378679,0.304866,1700,238.0,117.9,-608
51.373884,0.306109,1700,238.0,117.9,-608
51.272001,0.357154,1600,218.0,301.3,-23864
51.273202,0.358276,1600,218.0,302.7,64
51.275231,0.361759,1600,218.0,302.7,64
51.302749,0.372172,1600,234.0,260.9,0
51.304577,0.368304,1600,234.0,260.9,0
51.305879,0.339993,1600,210.0,259.5,-416
51.30792,0.336661,1600,210.0,259.5,-384
51.309058,0.336747,1700,210.0,259.5,-424
51.316706,0.33159,1600,126.0,97.0,608
51.318105,0.330468,1600,126.0,97.0,-1056
51.319329,0.330056,1600,210.0,257.0,-1056
51.321888,0.328814,1600,210.0,257.0,0
51.328576,0.327059,1600,216.0,214.4,0
51.330686,0.325808,1600,216.0,214.4,0
51.350133,0.319085,1600,234.0,349.3,0
51.352613,0.318859,1600,234.0,349.3,0
51.4108,0.309491,1600,158.0,90.9,-864
51.411453,0.310301,1600,268.0,199.9,-864
51.413392,0.309683,1600,268.0,199.9,0
51.416067,0.309332,1500,268.0,199.9,0
51.442791,0.303395,1600,252.0,295.3,0
51.444285,0.302185,1600,252.0,295.3,-56
51.625656,0.219098,1500,450.0,320.5,0
51.626936,0.214675,1500,450.0,320.5,0
51.64596,0.168936,900,230.0,269.3,200
51.648958,0.166663,900,230.0,269.3,24
51.649885,0.165448,800,230.0,269.3,0
51.651431,0.163582,800,448.0,320.3,600
51.654058,0.159741,800,448.0,320.3,616
51.667605,0.129807,800,446.0,320.1,0
51.668841,0.126728,800,446.0,320.1,0
51.654425,0.10369,800,442.0,320.1,0
51.649891,0.099361,800,442.0,320.1,0
51.653382,0.349141,1700,422.0,314.1,0
51.652274,0.34979,1700,422.0,314.1,0
51.653148,0.353652,1700,422.0,314.1,0
51.653283,0.357385,1700,420.0,314.3,0
51.653876,0.363501,1700,420.0,314.3,0
51.665874,0.482077,2200,406.0,328.4,-32
51.665973,0.485712,2100,406.0,328.4,312
51.667156,0.509008,2100,196.0,159.3,0
51.668567,0.508598,2100,196.0,173.3,0
51.669883,0.505135,2100,196.0,173.3,8
51.670031,0.500634,2200,196.0,173.3,80
51.658614,0.459984,2100,282.0,276.3,-5032
51.659621,0.465527,2100,282.0,276.3,0
51.663435,0.48756,2100,284.0,286.0,0
51.663865,0.489431,2200,284.0,286.0,0
51.665003,0.492621,2200,284.0,286.4,304
51.665347,0.495525,2100,284.0,286.4,152
51.665551,0.497645,2100,284.0,286.4,-200
51.669703,0.513354,1700,288.0,286.2,-2104
51.670543,0.515992,1800,288.0,286.2,1456
51.671339,0.51957,1900,288.0,286.2,1680
51.673456,0.526908,2000,324.0,286.2,864
51.67369,0.528533,2100,324.0,286.2,800
51.674088,0.530615,2100,324.0,286.2,800
51.680397,0.531226,2100,394.0,286.0,304
51.679194,0.525009,2200,394.0,286.0,304
51.677821,0.519524,2100,398.0,286.2,-232
51.677291,0.516364,2200,398.0,286.2,-48
51.676996,0.514649,2100,398.0,286.2,136
51.674851,0.506721,2100,402.0,287.8,-96
51.674117,0.501317,2100,402.0,287.8,-160
51.673626,0.500639,2100,402.0,287.8,-80
51.672806,0.498014,2100,400.0,296.4,152
51.672365,0.497177,2200,400.0,296.4,304
51.672027,0.495371,2100,400.0,296.4,72
51.676097,0.440759,1900,468.0,277.0,608
51.677088,0.438962,2000,468.0,277.0,8
51.675741,0.465159,2100,292.0,315.9,0
51.675704,0.471282,2200,292.0,315.9,264
51.666623,0.495713,2200,488.0,276.3,-464
51.665597,0.490964,2200,488.0,276.3,-808
51.678481,0.451509,2000,244.0,289.5,640
51.680438,0.454241,2000,244.0,289.5,640
51.64574,0.252998,1600,400.0,7.9,48
51.645694,0.247623,1600,400.0,7.9,0
51.646324,0.182608,900,404.0,331.5,0
51.648064,0.180108,900,404.0,331.5,-608
