lat,lon,alt,gs,track,vs
35.227798,-109.193788,40000,447.8,226.5,64
35.210175,-109.216433,40000,448.5,226.6,-384
35.207336,-109.220077,39975,448.5,226.6,-768
35.185593,-109.247991,39700,449.9,226.4,-1024
35.162659,-109.277475,39450,446.3,226.5,-960
35.141006,-109.305389,39175,447.8,226.5,-1024
35.117379,-109.335594,38925,449.9,226.4,-1024
35.094941,-109.364548,38650,452.0,226.7,-960
35.071655,-109.394288,38400,452.0,226.3,-960
35.048528,-109.423714,38125,450.6,226.4,-1024
35.025531,-109.453182,37875,452.7,226.4,-960
35.003357,-109.481394,37600,454.8,226.3,-1024
34.979351,-109.51189,37325,460.4,226.3,-1024
34.955292,-109.542548,37075,465.4,226.4,-1024
34.930704,-109.573917,36800,467.6,226.5,-960
34.908406,-109.602356,36525,463.3,226.3,-1024
34.885921,-109.630909,36275,453.4,226.3,-960
34.864334,-109.658297,36025,445.6,226.3,-512
34.836273,-109.69389,36000,439.2,226.2,-64
34.808395,-109.729203,36000,438.5,226.3,-64
34.780609,-109.764572,36000,440.0,226.5,-64
34.753108,-109.799709,36000,438.6,226.5,-128
34.749619,-109.804146,36000,438.6,226.5,-576
34.745473,-109.809437,35950,437.8,226.4,-1024
34.724854,-109.835759,35675,437.9,226.8,-960
34.71689,-109.846687,35600,436.4,229.7,-1024
34.710838,-109.856129,35500,435.4,233.5,-1024
34.705717,-109.865284,35425,434.7,237.1,-960
34.70105,-109.874996,35350,434.3,240.8,-960
34.697067,-109.884637,35275,433.4,244.4,-960
34.691757,-109.899491,35175,433.1,247.5,-1024
34.679672,-109.934973,34900,434.6,247.0,-1024
34.66864,-109.965185,34675,436.8,245.7,-1024
34.654907,-110.001115,34400,439.7,244.8,-1024
34.648178,-110.017538,34275,440.6,242.6,-1024
34.641769,-110.031495,34175,443.2,239.8,-960
34.634353,-110.045872,34075,446.0,237.0,-960
34.618944,-110.073223,33825,446.8,235.7,-1408
34.614349,-110.081382,33725,446.3,235.8,-1856
34.602325,-110.102978,33350,447.6,236.2,-2304
34.590637,-110.124375,32950,447.1,236.8,-1920
34.577316,-110.149094,32575,445.2,236.9,-2112
34.56459,-110.172636,32200,444.3,236.9,-1984
34.552231,-110.19545,31825,442.7,236.7,-1984
34.539154,-110.219479,31450,441.3,236.7,-1920
34.52655,-110.242646,31075,439.6,236.6,-1920
34.513412,-110.26658,30700,437.9,236.5,-1920
34.500562,-110.290031,30325,436.6,236.5,-1984
34.487574,-110.313721,29950,435.2,236.5,-1920
34.47464,-110.337431,29600,434.6,236.6,-1536
34.467463,-110.350571,29450,432.1,236.4,-1088
34.44754,-110.386533,29200,424.1,236.4,-1280
34.43227,-110.414314,28900,419.9,236.5,-1152
34.419479,-110.437597,28625,417.7,236.4,-1600
34.406619,-110.461006,28275,417.7,236.4,-1728
34.401405,-110.470562,28150,416.9,236.4,-1280
34.397827,-110.477002,28100,416.3,236.5,-832
34.390838,-110.489731,28050,414.1,236.4,-384
34.370215,-110.527039,28000,410.2,236.2,-128
34.349579,-110.5645,28000,409.1,236.5,0
34.328691,-110.602341,28000,408.8,236.3,64
34.307789,-110.640221,28000,409.6,236.4,64
34.287369,-110.677166,28000,408.3,236.4,0
34.272921,-110.70322,28000,399.4,236.2,0
34.264775,-110.717869,28000,393.0,236.3,-448
34.263332,-110.720558,27975,393.0,236.3,-832
34.261917,-110.723074,27950,392.2,236.2,-1152
34.260864,-110.724964,27925,392.2,236.2,-1536
34.258257,-110.729599,27850,392.2,236.2,-1920
34.255966,-110.733836,27775,392.2,236.2,-2368
34.250885,-110.742972,27550,394.9,236.1,-2816
34.242569,-110.75798,27150,400.2,236.3,-3008
34.234543,-110.772512,26750,404.7,236.4,-2880
34.225904,-110.788078,26350,407.4,236.3,-2688
34.220317,-110.798149,26125,406.6,236.2,-2240
34.208405,-110.819596,25750,399.4,236.2,-2176
34.197601,-110.839047,25350,392.2,236.2,-2496
34.189127,-110.854225,24950,388.3,236.0,-2816
34.180794,-110.86916,24550,385.5,236.1,-2944
34.17215,-110.884561,24150,381.9,236.1,-2752
34.164185,-110.898855,23750,379.7,236.1,-3072
34.156631,-110.91242,23350,378.3,236.1,-3200
34.149353,-110.925536,22950,377.2,236.4,-3200
34.144638,-110.934,22675,377.2,236.4,-3648
34.13899,-110.944233,22300,378.0,236.4,-4096
34.133637,-110.953789,21925,379.1,236.2,-4032
34.128891,-110.962306,21625,381.1,236.0,-3584
34.124954,-110.969369,21375,380.5,236.1,-3136
34.122418,-110.973816,21275,380.5,236.1,-2688
34.115936,-110.985456,21000,377.5,236.0,-2240
34.106916,-111.001568,20625,371.1,236.1,-2688
34.098312,-111.016902,20225,368.3,236.2,-2304
34.09552,-111.021946,20150,366.1,236.1,-1856
34.084664,-111.041393,19775,358.3,236.3,-2048
34.076983,-111.055183,19450,353.1,236.1,-2496
34.06897,-111.069591,19050,351.7,236.1,-2880
34.061714,-111.08242,18700,350.0,235.9,-2432
34.052628,-111.098627,18300,350.0,235.9,-2432
34.043289,-111.115274,17900,352.2,236.0,-2112
34.033447,-111.132819,17575,350.0,235.9,-1664
34.021957,-111.153222,17225,347.2,236.0,-1664
34.01088,-111.172952,16900,345.9,236.1,-1344
33.999473,-111.193314,16575,342.8,235.9,-1792
33.993347,-111.20423,16375,342.3,236.1,-1344
33.980804,-111.226595,16075,338.6,236.1,-1024
33.968283,-111.248932,15825,334.8,235.8,-1472
33.96666,-111.251819,15750,334.8,235.8,-1920
