lat,lon,alt,gs,track,vs
53.349197,-2.284372,-150,96.0,51.3,64
53.349518,-2.283665,-150,103.1,50.9,128
53.350525,-2.281546,-150,115.1,50.6,64
53.351797,-2.278936,-150,118.7,50.8,64
53.352402,-2.277701,-150,129.5,51.3,64
53.352768,-2.276917,-150,135.9,51.3,128
53.353613,-2.27522,-150,139.5,51.4,192
53.354032,-2.274251,-150,145.7,50.8,256
53.355056,-2.272231,-125,148.7,51.3,320
53.355242,-2.271827,-125,154.3,51.0,640
53.356018,-2.270246,-100,156.5,51.2,1088
53.356476,-2.269226,-75,158.1,51.7,1344
53.357104,-2.26795,-25,159.5,51.6,1792
53.357346,-2.267421,0,159.5,51.6,2304
53.357986,-2.266087,50,158.7,51.4,2688
53.358902,-2.264047,150,157.3,51.5,2880
53.359726,-2.26232,250,157.3,51.5,2944
53.360733,-2.26028,350,156.0,52.0,2944
53.361434,-2.258741,450,155.4,52.3,2880
53.362458,-2.256559,550,155.4,52.3,2752
53.363296,-2.254702,650,155.4,52.3,2688
53.364413,-2.252278,750,155.4,52.3,2688
53.365297,-2.250339,850,154.2,52.9,2880
53.366089,-2.248562,950,153.6,53.2,2816
53.367142,-2.246155,1050,154.4,53.4,2560
53.368195,-2.243879,1150,155.8,53.3,2240
53.369431,-2.241132,1250,157.8,53.0,1856
53.371033,-2.237523,1350,161.4,53.1,1536
53.372223,-2.234933,1400,165.8,53.3,1536
53.37377,-2.231517,1475,170.4,52.4,1344
53.374748,-2.229417,1525,174.0,52.5,960
53.375725,-2.227236,1550,177.8,53.0,704
53.376842,-2.224489,1575,182.0,54.4,768
53.377716,-2.222142,1600,185.8,57.1,1088
53.378425,-2.219965,1650,189.3,61.3,1152
53.379217,-2.216653,1675,193.5,66.9,1152
53.379729,-2.213907,1725,198.0,71.8,1216
53.380188,-2.210763,1775,202.0,78.6,1664
53.38052,-2.206071,1850,205.4,83.3,1792
53.380554,-2.20268,1925,208.1,88.3,1792
53.380371,-2.199227,2000,212.3,96.2,2176
53.380148,-2.196781,2050,213.7,99.2,2624
53.379684,-2.193577,2150,215.4,104.0,3008
53.379044,-2.19036,2250,216.7,107.2,3136
53.378332,-2.187329,2350,217.1,110.8,3072
53.377587,-2.184502,2450,218.9,114.0,2880
53.376343,-2.180708,2550,220.9,116.9,2688
53.375073,-2.177151,2650,224.3,121.1,2304
53.373642,-2.173645,2750,226.9,124.0,1984
53.371994,-2.170114,2825,230.6,127.1,1856
53.370117,-2.166818,2900,235.6,133.1,1856
53.36879,-2.164699,2950,239.2,137.0,1920
53.367004,-2.162188,3025,242.5,141.2,1984
53.364227,-2.159137,3100,246.6,147.1,1920
53.361557,-2.156695,3200,249.7,151.3,1984
