lat,lon,alt,gs,track
42.503677,21.031078,5200,160.0,0.0
42.499538,21.011415,5625,160.0,254.0
42.498596,21.006983,5700,180.0,254.0
42.498096,21.004902,5725,180.0,252.0
42.49535,20.993723,5900,190.0,252.0
42.487747,20.964785,6450,217.0,250.1
42.48739,20.963511,6500,217.0,250.1
42.487061,20.962164,6525,226.1,251.2
42.486365,20.959359,6625,226.7,251.5
42.484222,20.950428,6975,226.7,251.5
42.482574,20.943437,7275,226.7,251.5
42.481339,20.938131,7475,226.5,252.5
42.480148,20.93295,7675,227.4,252.6
42.476074,20.914972,8250,227.7,252.4
42.474976,20.90898,8375,227.7,252.4
42.471236,20.884563,8875,254.8,258.9
42.470817,20.881433,8975,254.8,258.9
42.470535,20.879704,9025,255.9,258.7
42.469607,20.873257,9225,255.9,258.7
42.468796,20.867781,9425,255.9,258.7
42.468109,20.863037,9575,255.0,258.7
42.467512,20.859141,9725,254.0,258.6
42.466488,20.852115,10000,254.0,258.6
42.465775,20.847432,10175,253.2,258.4
42.465324,20.844386,10250,253.2,258.4
42.464579,20.839723,10400,255.1,258.5
42.463369,20.831867,10550,257.3,258.3
42.462891,20.828518,10600,261.4,258.3
42.461134,20.817112,10750,269.5,258.4
42.459365,20.805423,10850,276.7,258.3
42.457969,20.796417,10925,285.7,258.5
42.45575,20.781514,11075,295.0,258.5
42.454559,20.773648,11175,297.9,258.6
42.45369,20.767843,11275,303.0,258.6
42.451813,20.755483,11475,307.3,258.4
42.450055,20.743912,11675,310.5,258.3
42.448565,20.734076,11875,312.4,258.4
42.446749,20.722131,12125,315.4,258.5
42.445027,20.710889,12375,315.4,258.5
42.442932,20.696965,12750,314.4,258.4
42.440977,20.683871,13075,314.4,258.4
42.438882,20.670074,13375,316.3,258.5
42.43567,20.648804,13750,321.6,258.3
42.432458,20.627853,14150,325.8,258.3
42.431168,20.619528,14275,328.9,258.2
42.429153,20.606519,14425,333.0,258.2
42.426132,20.586943,14600,342.2,258.2
42.425149,20.580522,14650,344.2,258.3
42.423706,20.571213,14775,345.2,258.3
42.422868,20.56564,14875,346.2,258.3
42.421463,20.556294,15075,345.2,258.3
42.419815,20.545495,15325,343.0,258.4
42.417664,20.531575,15700,340.1,258.3
42.415327,20.516201,16100,339.1,258.3
42.41272,20.499275,16500,339.1,258.3
42.409927,20.4812,16850,340.1,258.3
42.407971,20.468551,17050,341.3,258.2
42.403931,20.442311,17375,348.3,258.2
42.402191,20.43095,17550,350.3,258.3
42.400772,20.421836,17700,350.3,258.3
42.399126,20.411001,17950,348.3,258.2
42.39638,20.393244,18350,346.2,258.3
42.393726,20.37587,18750,343.2,258.2
42.391159,20.359289,19150,340.1,258.3
42.389351,20.34751,19400,340.1,258.3
42.387772,20.337254,19575,341.3,258.2
42.385986,20.325893,19725,344.4,258.1
42.384201,20.314095,19825,347.3,258.2
42.380997,20.293808,20025,354.6,258.1
42.379156,20.281848,20175,355.6,258.1
42.37734,20.270286,20350,355.6,258.1
42.374174,20.249911,20750,355.6,258.1
42.372116,20.236629,20950,355.6,258.1
42.368134,20.210911,21300,358.7,258.1
42.364026,20.184695,21650,360.7,258.2
42.359929,20.158315,22000,362.8,258.1
42.3556,20.130658,22350,366.0,258.0
42.351224,20.102937,22675,368.9,258.1
42.347174,20.076812,23050,369.9,258.1
42.344102,20.056245,23325,372.3,259.5
42.343124,20.046089,23425,375.1,263.9
42.34259,20.035567,23525,377.4,267.4
42.342612,20.025904,23600,380.1,271.1
42.343185,20.015467,23700,382.5,275.1
42.344148,20.007062,23775,385.4,279.6
42.345703,19.997801,23875,387.8,284.2
42.34764,19.989432,24000,388.9,286.4
42.349731,19.982009,24100,391.6,292.0
42.352844,19.973145,24225,393.5,296.6
42.356827,19.963844,24350,396.5,301.0
42.361047,19.955388,24500,397.8,305.0
42.370926,19.937377,24800,399.0,307.2
42.380447,19.920772,25075,399.9,307.8
42.386627,19.910036,25175,401.3,307.8
42.39219,19.900328,25275,404.1,307.9
42.405551,19.877142,25425,409.9,307.8
42.41272,19.864592,25600,409.2,307.6
42.426406,19.840734,25975,407.8,307.6
42.439534,19.817803,26325,406.4,307.6
42.450427,19.798641,26575,407.8,307.6
42.465789,19.771686,26875,408.6,307.5
42.479782,19.747051,27225,408.6,307.5
42.496095,19.718351,27525,410.8,307.5
42.512435,19.689544,27825,413.0,307.4
42.527238,19.66342,28150,413.0,307.4
42.543045,19.635502,28450,414.4,307.5
42.561827,19.602292,28725,418.6,307.5
42.585022,19.561282,28925,425.2,307.4
42.596146,19.542181,29075,429.2,309.3
42.604236,19.529731,29200,432.5,312.5
42.613918,19.516318,29400,434.2,315.4
42.622742,19.505352,29575,435.7,318.4
42.632217,19.494865,29750,437.0,321.5
42.641943,19.485211,29925,438.1,324.6
42.651905,19.476396,30075,440.9,327.8
42.673325,19.459034,30375,441.6,329.4
42.694153,19.442368,30725,440.2,329.4
42.704041,19.43444,30825,441.1,329.5
42.713196,19.427137,30900,441.6,329.4
42.728623,19.414694,30975,443.8,329.4
42.736956,19.407987,31100,443.8,329.4
42.758698,19.390619,31450,441.1,329.5
42.778976,19.37439,31825,437.2,329.3
42.79921,19.35816,32175,435.3,329.5
42.823683,19.338488,32475,435.8,329.4
42.849659,19.317627,32775,435.8,329.4
42.87368,19.29827,33075,434.4,329.4
42.899094,19.277812,33375,434.4,329.4
42.927541,19.254979,33650,434.4,329.4
42.955379,19.232483,33900,434.9,329.3
42.971579,19.219404,33975,436.3,329.3
43.005656,19.191807,34000,436.3,329.3
43.040104,19.163949,34000,436.3,329.3
43.074553,19.136091,34000,434.1,329.2
43.108521,19.108482,34000,434.1,329.2
43.14238,19.080963,34025,434.9,329.3
43.176544,19.053231,34000,437.2,329.3
43.210602,19.02551,34025,435.4,329.2
43.244236,18.998108,34050,432.3,329.1
43.277707,18.970773,34000,428.2,329.2
43.310712,18.94383,34000,427.4,329.2
43.344137,18.916495,34000,426.0,329.2
43.377136,18.889458,34000,426.5,329.1
43.410599,18.862056,34000,424.3,329.1
43.443466,18.834974,34000,424.3,329.1
43.476904,18.807482,34000,424.3,329.1
43.509659,18.780553,34000,423.4,329.0
43.542868,18.753139,34000,425.7,329.0
43.57608,18.725749,33975,426.2,328.9
43.609205,18.698403,33975,427.0,329.0
43.642548,18.670754,33975,428.4,328.9
43.675919,18.643096,33975,427.0,329.0
43.70961,18.615119,34000,428.4,328.9
43.743759,18.586759,34000,429.3,329.0
43.777166,18.558982,34000,429.8,328.9
43.81041,18.531253,34000,430.3,328.8
43.84327,18.503854,34025,429.8,328.9
43.87674,18.475938,34050,428.4,328.9
43.910072,18.448072,34025,426.7,328.8
43.943802,18.419793,34000,425.8,328.7
43.976875,18.392094,34000,423.1,328.8
44.009787,18.364498,34000,420.9,328.8
44.042404,18.337076,33975,423.1,328.8
44.075473,18.309239,33975,424.1,328.6
44.108276,18.281569,33975,425.0,328.7
44.141876,18.253145,33975,425.0,328.7
44.174698,18.22536,33975,426.4,328.6
44.207774,18.197312,34000,426.4,328.6
44.2405,18.169578,34025,428.6,328.6
44.274251,18.140906,34025,430.0,328.6
44.307675,18.112503,34025,430.0,328.6
44.341049,18.084085,34050,430.0,328.6
44.374146,18.055965,34050,428.6,328.6
44.407111,18.027828,34025,426.9,328.5
44.440475,17.999398,34000,427.7,328.6
44.472703,17.971824,34000,429.6,328.4
44.506034,17.943219,33975,430.5,328.5
44.540157,17.913878,33975,431.9,328.4
44.573814,17.884938,33975,434.1,328.5
44.608077,17.85553,33975,435.5,328.4
44.641408,17.826791,34000,434.6,328.4
44.675537,17.797394,34025,434.6,328.4
44.709002,17.76851,34025,433.8,328.3
44.742473,17.739503,34025,433.8,328.3
44.775991,17.710497,34000,436.0,328.3
44.809433,17.681449,34000,435.1,328.2
44.842933,17.65235,34025,435.1,328.2
44.876823,17.622874,34000,435.7,328.1
44.911285,17.592839,34000,436.5,328.2
44.945068,17.563346,34000,437.4,328.3
44.978772,17.533912,34000,437.4,328.3
45.012405,17.504556,34000,436.5,328.2
45.045901,17.475296,34000,436.5,328.2
45.080116,17.445284,34000,437.0,328.1
45.113727,17.415675,34000,438.4,328.0
45.147338,17.386132,34000,439.3,328.1
45.181181,17.356389,34000,439.8,328.0
45.214978,17.326645,34000,438.7,328.2
45.248542,17.297036,34000,438.9,327.9
45.281982,17.267369,34000,438.9,327.9
45.316269,17.236895,34000,440.3,327.9
45.350166,17.206801,34000,439.8,328.0
45.384109,17.176732,33975,442.6,327.9
45.418121,17.146519,34000,443.4,328.0
45.452162,17.11623,34025,442.6,327.9
45.485773,17.086219,34000,441.7,327.9
45.520268,17.055337,34000,442.2,327.8
45.554352,17.024856,34000,443.1,327.8
45.588281,16.994408,33975,444.5,327.8
45.622696,16.963561,34000,444.5,327.8
45.657211,16.932544,33975,446.7,327.8
45.691487,16.901779,33975,446.7,327.8
45.725563,16.871086,33975,447.8,327.6
45.760483,16.839428,34000,448.6,327.7
45.79509,16.808144,34000,448.6,327.7
45.829285,16.777195,34050,447.2,327.7
45.864056,16.745636,34050,446.4,327.6
45.898315,16.714559,34050,445.0,327.7
45.932785,16.683342,34050,441.4,327.7
45.951854,16.665916,34050,440.5,327.6
45.985703,16.635043,34000,436.6,327.4
46.019211,16.604428,34000,436.1,327.5
46.052686,16.573837,34000,437.5,327.5
46.074051,16.55432,33975,438.9,327.5
46.087926,16.541634,33850,438.9,327.5
46.115485,16.516365,33600,437.5,327.5
46.142761,16.491416,33350,436.6,327.4
46.170868,16.465558,33100,439.4,327.4
46.198883,16.4397,32850,444.4,327.3
46.224417,16.416115,32575,447.4,327.4
46.252721,16.389954,32300,449.9,327.2
46.280777,16.363935,32025,453.8,327.3
46.298528,16.348274,31875,456.0,329.3
46.315613,16.334335,31725,459.1,331.4
46.332697,16.321495,31575,462.9,333.2
46.349304,16.310008,31425,467.1,335.2
46.367984,16.298218,31275,470.1,337.1
46.385208,16.288399,31150,470.4,338.9
46.403503,16.278923,30975,471.2,341.2
46.422916,16.269997,30825,471.1,343.2
46.44191,16.262378,30675,471.8,345.1
46.460953,16.255746,30550,473.8,347.2
46.481199,16.249672,30400,477.4,349.3
46.510341,16.242531,30175,477.3,350.7
46.545721,16.234085,29900,478.4,350.6
46.581528,16.225668,29650,474.1,350.8
46.61618,16.217495,29400,469.0,350.8
46.654633,16.208384,29150,467.2,350.6
46.68924,16.200011,28900,466.2,350.6
46.723434,16.191771,28625,467.4,350.5
46.758371,16.183342,28375,468.2,350.7
46.791889,16.175308,28100,466.2,350.6
46.827759,16.166717,27850,464.1,350.7
46.85083,16.161224,27625,464.3,350.6
46.872098,16.156029,27300,465.1,350.7
46.893311,16.151001,26900,462.1,350.7
46.915299,16.145747,26500,458.0,350.7
46.93634,16.140677,26100,455.1,350.6
46.957123,16.135757,25700,451.9,350.7
46.978703,16.130606,25300,449.0,350.6
46.999698,16.125465,24900,446.0,350.6
47.019296,16.120676,24500,444.2,350.4
47.040338,16.115535,24100,441.9,350.6
47.06245,16.110183,23725,439.9,350.6
47.082962,16.105408,23375,437.4,351.9
47.093175,16.104056,23200,437.2,355.7
47.103928,16.103554,23000,435.0,359.2
47.113129,16.104034,22850,433.7,3.2
47.122084,16.105394,22675,432.8,6.5
47.1297,16.107262,22525,431.6,10.0
47.13698,16.10969,22400,430.5,13.8
47.144852,16.113167,22225,428.5,18.6
47.153925,16.118352,22050,427.7,22.5
47.160965,16.123192,21900,423.6,25.6
47.16774,16.128754,21750,425.2,30.1
47.181019,16.140888,21450,422.2,32.5
47.199051,16.157799,21050,421.9,32.7
47.21719,16.174903,20650,423.3,32.8
47.232552,16.189481,20250,424.7,32.8
47.248659,16.204764,19850,425.2,32.9
47.263603,16.218919,19450,423.8,32.9
47.279434,16.233879,19050,422.5,32.8
47.294746,16.248427,18650,420.2,32.9
47.311478,16.264366,18250,417.7,33.1
47.327146,16.279414,17850,416.3,33.0
47.341324,16.292999,17450,414.1,33.1
47.356705,16.307693,17050,413.0,32.8
47.373233,16.32336,16650,411.6,32.8
47.39069,16.34005,16250,408.3,33.1
47.406509,16.355278,15850,405.2,33.2
47.423538,16.371689,15450,402.5,33.1
