lat,lon,alt,gs,track
45.695199,25.516932,-50.0,0.0,219.4
45.695188,25.516949,-50.0,0.0,219.4
45.695199,25.516932,-50.0,0.0,219.4
45.695194,25.516936,-50.0,0.0,219.4
45.695194,25.516936,-50.0,0.0,216.6
45.695188,25.516949,-50.0,0.0,216.6
45.695194,25.516903,-50.0,0.0,216.6
45.695199,25.516932,-50.0,0.0,219.4
45.695183,25.516936,-50.0,0.0,219.4
45.695194,25.516936,-50.0,0.0,219.4
45.695153,25.516897,-50.0,0.0,222.2
45.695091,25.516735,-50.0,7.8,253.1
45.695071,25.516588,-50.0,10.2,258.8
45.695057,25.516434,-50.0,11.8,264.4
45.695048,25.516262,-50.0,14.2,272.8
45.695057,25.515931,-50.0,15.5,275.6
45.695091,25.51558,-50.0,15.5,278.4
45.695141,25.515095,-50.0,16.5,281.2
45.69516,25.514943,-50.0,16.5,286.9
45.695206,25.514776,-50.0,17.5,292.5
45.695251,25.514608,-50.0,18.5,300.9
45.695354,25.514374,-50.0,18.5,306.6
45.695595,25.513905,-50.0,18.5,309.4
45.695851,25.513447,-50.0,17.5,312.2
45.695927,25.513319,-50.0,16.5,320.6
45.695979,25.513258,-50.0,16.5,329.1
45.696049,25.513206,-50.0,16.5,337.5
45.696133,25.513151,-50.0,14.8,348.8
45.696213,25.513151,-50.0,14.2,2.8
45.696281,25.513151,-50.0,14.2,14.1
45.69635,25.513185,-50.0,14.8,22.5
45.696445,25.513241,-50.0,15.5,33.8
45.696561,25.513361,-50.0,16.5,39.4
45.696864,25.51367,-50.0,20.5,42.2
45.69719,25.514013,-50.0,23.5,39.4
45.69755,25.514391,-50.0,26.5,39.4
45.697861,25.514709,-50.0,28.5,39.4
45.698215,25.515094,-50.0,31.5,39.4
45.698551,25.515438,-50.0,33.5,39.4
45.698891,25.515797,-50.0,34.5,39.4
45.699245,25.516149,-50.0,35.5,39.4
45.699589,25.516534,-50.0,35.5,39.4
45.699909,25.516869,-50.0,35.5,39.4
45.700218,25.517187,-50.0,35.5,39.4
45.700539,25.517522,-50.0,35.5,39.4
45.700882,25.517891,-50.0,35.5,39.4
45.701181,25.518202,-50.0,35.5,39.4
45.701507,25.518545,-50.0,35.5,39.4
45.701833,25.518871,-50.0,36.5,39.4
45.702159,25.519215,-50.0,36.5,39.4
45.70252,25.519592,-50.0,36.5,39.4
45.702782,25.519867,-50.0,37.5,36.6
45.703056,25.520168,-50.0,37.5,39.4
45.703388,25.52052,-50.0,37.5,39.4
45.703697,25.520838,-50.0,37.5,36.6
45.704029,25.52119,-50.0,37.5,36.6
45.704372,25.521542,-50.0,38.5,36.6
45.704693,25.521877,-50.0,38.5,36.6
45.705045,25.522253,-50.0,38.5,36.6
45.705345,25.522563,-50.0,38.5,36.6
45.705688,25.522932,-50.0,38.5,36.6
45.706043,25.5233,-50.0,39.5,36.6
45.706387,25.523669,-50.0,39.5,36.6
45.706718,25.524004,-50.0,39.5,36.6
45.707073,25.524372,-50.0,39.5,36.6
45.707428,25.52474,-50.0,39.5,36.6
45.70776,25.525075,-50.0,40.5,36.6
45.708057,25.525394,-50.0,39.5,36.6
45.708355,25.525712,-50.0,39.5,36.6
45.708652,25.52603,-50.0,40.5,36.6
45.70895,25.526331,-50.0,40.5,36.6
45.709305,25.526699,-50.0,40.5,36.6
45.709625,25.527035,-50.0,40.5,36.6
45.709923,25.527353,-50.0,41.5,36.6
45.710232,25.527671,-50.0,40.5,36.6
45.710506,25.527956,-50.0,41.5,36.6
45.71085,25.528324,-50.0,41.5,36.6
45.711193,25.528693,-50.0,41.5,36.6
45.711551,25.529051,-50.0,41.5,36.6
45.711865,25.529394,-50.0,42.5,36.6
45.712214,25.529737,-50.0,42.5,36.6
45.712543,25.5301,-50.0,42.5,36.6
45.712901,25.530476,-50.0,41.5,36.6
45.713204,25.530785,-50.0,40.5,36.6
45.713528,25.531121,-50.0,40.5,36.6
45.713809,25.53142,-50.0,39.5,36.6
45.714088,25.531729,-50.0,38.5,36.6
45.714409,25.532059,-50.0,36.5,36.6
45.714752,25.532394,-50.0,32.5,36.6
45.715077,25.532742,-50.0,28.5,33.8
45.71521,25.532863,-50.0,25.5,30.9
45.715279,25.532913,-50.0,24.5,25.3
45.71537,25.53298,-50.0,23.5,19.7
45.715496,25.53303,-50.0,21.5,11.2
45.715679,25.533064,-50.0,20.5,5.6
45.716022,25.533114,-50.0,16.5,8.4
45.716125,25.533154,-50.0,15.5,16.9
45.716217,25.533198,-50.0,15.5,25.3
45.71632,25.533282,-50.0,14.8,30.9
45.716416,25.53336,-50.0,13.8,39.4
45.716474,25.533445,-50.0,12.2,50.6
45.716492,25.533516,-50.0,11.2,61.9
45.71652,25.533583,-50.0,10.8,70.3
45.716526,25.53365,-50.0,10.2,81.6
45.71652,25.53372,-50.0,9.2,95.6
45.716515,25.533784,-50.0,8.8,106.9
45.716492,25.533834,-50.0,8.2,118.1
45.716469,25.533885,-50.0,7.2,132.2
45.716439,25.533926,-50.0,7.2,143.4
45.7164,25.533952,-50.0,6.8,154.7
45.716369,25.53396,-50.0,6.8,163.1
45.71632,25.533968,-50.0,6.2,174.4
45.716286,25.533968,-50.0,6.2,182.8
45.716253,25.53396,-50.0,5.8,191.2
45.716218,25.533943,-50.0,5.8,202.5
