lat,lon,alt,gs,track
44.566053,11.350216,3825,0.0,0.0
44.570457,11.357042,4200,0.0,0.0
44.572571,11.360061,4325,0.0,0.0
44.574003,11.367299,4475,0.0,0.0
44.580186,11.365936,4625,0.0,0.0
44.583832,11.368553,4775,0.0,0.0
44.585289,11.373644,4950,0.0,0.0
44.59436,11.383909,5400,224.0,37.8
44.598876,11.386048,5775,224.0,37.8
44.597347,11.394318,6025,218.0,0.0
44.6068,11.395008,6250,228.0,36.0
44.609998,11.397323,6475,228.0,36.0
44.611144,11.399273,6575,228.0,36.0
44.612973,11.401037,6700,228.0,36.0
44.614597,11.40312,6900,228.0,36.0
44.618949,11.40743,7100,224.0,0.0
44.625882,11.411797,7200,232.0,37.1
44.627472,11.417008,7375,232.0,37.1
44.633115,11.423462,7500,231.0,0.0
44.641261,11.431346,7625,253.0,0.0
44.648527,11.438509,7750,254.0,0.0
44.657426,11.450756,7925,301.0,0.0
44.65912,11.451314,7950,282.0,37.3
44.668105,11.458929,8050,282.0,37.3
44.673696,11.464893,8175,282.0,37.3
44.674874,11.465932,8200,282.0,37.3
44.675603,11.466767,8225,303.0,0.0
44.681836,11.470671,8400,280.0,27.6
44.685064,11.472437,8525,280.0,27.6
44.68791,11.474585,8650,280.0,27.6
44.689475,11.477113,8750,280.0,27.6
44.695104,11.478708,8925,280.0,27.6
44.698317,11.480231,9075,280.0,27.6
44.70589,11.482155,9300,284.0,14.4
44.711061,11.484727,9525,284.0,14.4
44.717195,11.486066,9775,284.0,14.4
44.72284,11.486475,9925,284.0,14.4
44.725435,11.486227,10100,286.0,0.0
44.733296,11.486436,10400,288.0,0.0
44.737039,11.487095,10600,291.0,0.0
44.743583,11.48701,10725,285.0,0.0
44.749507,11.486218,10925,288.0,0.0
44.756948,11.48672,11100,286.0,1.8
44.764863,11.488376,11300,286.0,1.8
44.773054,11.488098,11450,286.0,1.8
44.779266,11.488004,11650,292.0,0.0
44.784896,11.488082,11800,298.0,1.4
44.795473,11.488989,12000,298.0,1.4
44.806868,11.489574,12375,302.0,0.0
44.818796,11.489649,12675,304.0,1.2
44.829066,11.49022,12950,304.0,1.2
44.840313,11.490263,13175,310.0,1.2
44.845915,11.489792,13300,310.0,1.2
44.85342,11.491057,13525,310.0,1.2
44.858957,11.490566,13650,310.0,1.2
44.86277,11.491234,13775,319.0,0.0
44.870212,11.490293,14075,312.0,1.4
44.877465,11.491457,14250,312.0,1.4
44.884879,11.491828,14425,312.0,1.4
44.896553,11.491828,14650,312.0,0.0
44.910211,11.492845,14975,316.0,1.2
44.916623,11.493217,15150,316.0,1.2
44.924204,11.493054,15275,319.0,0.0
44.936952,11.493741,15525,322.0,1.4
44.950471,11.494169,15775,330.0,0.0
44.960664,11.494452,16025,328.0,1.4
44.974758,11.494422,16400,328.0,1.4
44.986285,11.494657,16700,329.0,0.0
44.99707,11.495342,16950,326.0,1.4
45.005105,11.495539,17125,326.0,1.4
45.016334,11.496121,17375,330.0,1.2
45.030243,11.496526,17650,330.0,1.2
45.040759,11.497496,17800,330.0,1.2
45.053897,11.49687,18150,332.0,1.2
45.058492,11.497975,18250,332.0,1.2
45.059792,11.497422,18275,332.0,1.2
45.064648,11.497677,18325,332.0,1.2
45.070768,11.49776,18325,332.0,1.2
45.075804,11.497786,18375,330.0,0.0
45.079265,11.498323,18375,342.0,1.2
45.086574,11.498392,18475,342.0,1.2
45.092341,11.498197,18550,342.0,1.2
45.105912,11.498747,18825,348.0,1.4
45.118272,11.49942,19100,346.0,1.4
45.127857,11.499707,19300,346.0,1.4
45.143004,11.500559,19550,348.0,1.4
45.158979,11.500786,19825,348.0,1.4
45.163722,11.501218,19950,348.0,1.4
45.177552,11.501176,20300,346.0,1.4
45.188306,11.502337,20575,344.0,1.4
45.196786,11.501723,20750,342.0,1.2
45.204079,11.502442,20925,340.0,1.2
45.210268,11.502172,21000,342.0,1.2
45.225335,11.502906,21175,346.0,1.2
45.232201,11.503904,21250,348.0,1.2
45.242655,11.503491,21300,350.0,1.2
45.250978,11.503742,21400,352.0,1.2
45.262318,11.504077,21575,354.0,1.4
45.271227,11.504429,21700,354.0,1.2
45.284215,11.504559,21825,356.0,1.2
45.297398,11.505138,22025,358.0,1.4
45.313503,11.505512,22200,360.0,1.4
