lat,lon,alt,gs,track
60.319666,24.968858,-50.0,0.0,216.6
60.319643,24.968858,-50.0,0.0,216.6
60.319713,24.968932,-50.0,2.2,219.4
60.319806,24.969055,-50.0,3.2,219.4
60.319862,24.96913,-50.0,3.8,222.2
60.319922,24.969202,-50.0,3.8,230.6
60.32,24.969272,-50.0,4.2,244.7
60.320085,24.969422,-50.0,4.2,272.8
60.320103,24.969438,-50.0,3.8,278.4
60.320126,24.969722,-50.0,3.8,306.6
60.320103,24.969864,-50.0,3.8,315.0
60.320074,24.969962,-50.0,4.2,320.6
60.320062,24.970036,-50.0,4.2,326.2
60.320023,24.970101,-50.0,3.8,331.9
60.319934,24.970207,-50.0,3.8,334.7
60.319817,24.970314,-50.0,3.8,334.7
60.319759,24.970385,-50.0,1.4,331.9
60.319736,24.970408,-50.0,0.0,331.9
60.319736,24.970408,-50.0,0.0,331.9
60.319853,24.970305,-50.0,4.2,331.9
60.320016,24.970134,-50.0,6.2,334.7
60.320213,24.969937,-50.0,7.2,331.9
60.320504,24.969619,-50.0,8.8,331.9
60.320772,24.969324,-50.0,9.2,329.1
60.321133,24.968893,-50.0,10.2,329.1
60.321499,24.968467,-50.0,11.8,329.1
60.321843,24.968074,-50.0,13.8,329.1
60.322204,24.967632,-50.0,15.5,329.1
60.322575,24.967188,-50.0,15.5,329.1
60.322937,24.966774,-50.0,14.8,329.1
60.323181,24.96648,-50.0,10.8,329.1
60.323286,24.966357,-50.0,7.2,329.1
60.323332,24.966308,-50.0,2.2,329.1
60.323379,24.966259,-50.0,0.0,329.1
60.323467,24.96617,-50.0,3.8,329.1
60.32365,24.965957,-50.0,7.2,331.9
60.323903,24.96567,-50.0,10.8,329.1
60.324229,24.965278,-50.0,11.2,329.1
60.324287,24.965106,-50.0,8.8,315.0
60.324303,24.964986,-50.0,8.2,303.8
60.32428,24.964892,-50.0,7.8,292.5
60.324257,24.964821,-50.0,7.8,278.4
60.324223,24.96475,-50.0,7.8,267.2
60.324188,24.964702,-50.0,7.2,255.9
60.324165,24.964655,-50.0,6.8,247.5
60.32412,24.964608,-50.0,6.2,239.1
60.324066,24.964518,-50.0,5.8,233.4
60.324005,24.964394,-50.0,6.2,227.8
60.323879,24.964134,-50.0,9.8,227.8
60.323788,24.963921,-50.0,13.2,227.8
60.32373,24.963779,-50.0,16.5,227.8
60.323647,24.963611,-50.0,20.5,227.8
60.323577,24.963463,-50.0,26.5,227.8
60.323472,24.963218,-50.0,31.5,227.8
60.323341,24.962926,-50.0,37.5,227.8
60.323204,24.962605,-50.0,42.5,227.8
60.323021,24.96224,-50.0,48.5,227.8
60.322832,24.96182,-50.0,53.5,227.8
60.322634,24.961379,-50.0,58.5,227.8
60.322414,24.96089,-50.0,64.5,227.8
60.322215,24.960447,-50.0,69.5,227.8
60.321945,24.959848,-50.0,75.0,227.8
60.321659,24.959233,-50.0,79.0,227.8
60.32151,24.958878,-50.0,85.0,227.8
60.321086,24.95797,-50.0,91.0,227.8
60.320854,24.957406,150,91.0,0.0
60.320572,24.956865,150,94.8,226.7
60.320435,24.956523,150,100.5,226.6
60.319876,24.955248,150,105.4,226.9
60.319473,24.954403,150,114.6,227.1
60.318741,24.952792,150,118.9,227.1
60.317688,24.950442,150,123.8,227.3
60.317409,24.949853,150,132.3,227.1
60.316956,24.948909,150,141.5,227.3
60.315593,24.945831,150,145.8,227.2
60.315081,24.944752,125,155.0,227.4
60.314529,24.943606,100,159.2,227.3
60.313248,24.94067,100,163.5,227.2
60.312893,24.939946,100,170.5,227.1
60.312653,24.939438,100,174.1,227.3
60.311869,24.93769,150,176.9,227.3
60.31105,24.935839,175,179.0,227.0
60.310565,24.934845,200,181.8,227.0
60.310043,24.933661,250,182.6,227.2
60.308853,24.931104,325,182.6,227.2
60.308212,24.929683,400,181.9,227.4
60.307114,24.927316,500,181.2,227.2
60.305969,24.924853,600,179.1,227.5
60.304793,24.922191,700,179.1,227.5
60.303955,24.920327,800,179.1,227.5
60.302838,24.917875,900,179.1,227.5
60.301941,24.91595,975,177.7,227.5
60.301115,24.913951,1075,177.7,228.0
60.300231,24.911891,1175,176.6,229.4
60.299194,24.908942,1275,176.6,231.9
60.298325,24.90629,1375,176.1,235.4
60.297531,24.903161,1475,175.4,242.1
60.296972,24.900709,1575,176.2,244.4
60.29646,24.897668,1675,175.7,249.0
60.296041,24.894627,1775,176.1,251.5
60.295761,24.891326,1875,175.7,258.2
60.295532,24.887632,1975,175.5,262.5
60.295486,24.883749,2075,174.4,266.0
60.295529,24.879423,2175,174.0,270.7
60.295715,24.873899,2275,174.3,273.3
60.295995,24.867456,2375,175.8,275.5
60.296321,24.861374,2475,178.0,276.1
60.296631,24.855526,2575,179.1,276.4
60.296997,24.849654,2675,179.4,277.0
60.297363,24.843876,2775,180.6,277.6
60.297717,24.838617,2875,180.6,277.6
60.29805,24.833648,2975,180.5,277.3
60.298369,24.828611,3075,180.5,277.3
60.298788,24.822431,3175,180.7,278.0
60.299194,24.815937,3275,181.7,277.9
60.299744,24.808171,3375,185.6,277.4
60.30011,24.801541,3475,188.2,276.4
60.300277,24.793592,3550,192.1,272.1
60.300156,24.788471,3600,195.3,267.1
60.299789,24.783073,3675,197.7,262.4
60.299149,24.777485,3725,200.7,257.6
60.297996,24.769756,3800,203.4,253.4
60.296739,24.762399,3900,207.1,251.1
60.295529,24.755532,3975,211.3,250.4
60.294296,24.748598,4025,215.4,250.5
60.292694,24.739506,4125,220.2,250.1
60.291014,24.730617,4200,225.1,248.9
60.289151,24.722672,4275,229.5,245.0
60.287384,24.716397,4350,233.1,239.6
60.285241,24.710116,4400,235.8,235.4
60.283379,24.705603,4425,239.7,231.3
60.281284,24.701091,4450,243.0,228.5
60.280106,24.698781,4450,246.8,225.5
60.277359,24.69414,4475,251.1,220.5
60.274488,24.690203,4525,255.5,215.1
60.270763,24.686279,4575,258.5,209.9
60.267877,24.683827,4600,262.6,205.0
60.264106,24.681179,4650,265.5,200.3
60.261063,24.679365,4700,268.6,196.9
60.257263,24.677451,4800,270.7,194.6
60.253143,24.675672,4900,273.4,192.5
60.250094,24.67441,5000,273.6,191.6
60.246975,24.673331,5100,274.6,190.5
60.24381,24.672154,5200,275.2,190.0
60.241425,24.67141,5300,274.9,189.6
60.238907,24.670557,5400,274.7,189.4
60.236454,24.6698,5500,274.7,189.4
60.233871,24.668947,5600,274.5,189.2
60.23138,24.668132,5700,274.5,189.2
60.22882,24.667249,5800,274.5,189.2
60.22641,24.666485,5900,274.4,189.0
60.223746,24.66568,6000,274.4,189.0
60.221008,24.66478,6100,275.4,189.0
60.218857,24.664117,6175,275.4,189.0
60.216437,24.663326,6275,275.4,189.0
60.214063,24.662639,6375,275.2,188.8
60.210983,24.661655,6475,276.2,188.8
60.208145,24.660802,6575,276.2,188.8
60.205353,24.65995,6675,277.2,188.7
60.202744,24.659098,6775,277.2,188.7
60.199864,24.658225,6875,277.2,188.7
60.196699,24.657244,6975,278.2,188.7
60.190693,24.655478,7175,279.2,188.6
60.184753,24.653604,7375,280.2,188.6
60.179626,24.652089,7575,281.2,188.6
60.173888,24.650279,7775,281.3,188.8
60.167976,24.648416,7975,281.3,188.8
60.16214,24.646596,8175,282.4,189.0
