lat,lon,alt,gs,track
41.079696,-0.813425,36325,491.1,91.3
41.078672,-0.753937,36525,492.1,91.3
41.077834,-0.706745,36800,491.1,91.4
41.077508,-0.687207,36875,491.1,91.4
41.076484,-0.627282,37050,494.1,91.3
41.0755,-0.567505,37250,496.1,91.3
41.074576,-0.519291,37500,495.2,91.5
41.073365,-0.459241,37700,494.2,91.6
41.072159,-0.40509,37925,493.2,91.6
41.071701,-0.381287,37975,494.2,91.5
41.070419,-0.320557,38000,498.2,91.7
41.069092,-0.26001,38000,497.2,91.6
41.067764,-0.199768,38000,499.2,91.7
41.066299,-0.138855,38000,502.3,91.8
41.064926,-0.077881,38000,502.2,91.7
41.064148,-0.042847,37975,503.3,91.8
41.063644,-0.022827,37925,504.3,91.8
41.062592,0.023499,37650,501.2,91.7
41.061308,0.076592,37400,496.3,91.8
41.059958,0.1304,37175,494.3,92.0
41.058655,0.185207,36925,492.3,91.9
41.057305,0.234521,36650,488.3,92.1
41.055908,0.285582,36400,486.3,92.1
41.054605,0.339577,36175,491.2,91.8
41.053627,0.37984,36025,498.3,91.8
41.051998,0.441014,36000,502.4,92.2
41.050182,0.502188,36000,501.4,92.3
41.04846,0.562238,36025,498.4,92.2
41.046691,0.623037,36000,498.4,92.2
41.044968,0.682373,36000,497.4,92.3
41.043106,0.742139,36000,498.4,92.3
41.041244,0.802439,36000,499.4,92.4
41.039337,0.862793,36000,501.5,92.5
41.037334,0.923663,36025,503.4,92.4
41.035472,0.984587,36050,505.4,92.3
41.033478,1.045776,36050,505.5,92.5
41.031468,1.10656,36050,503.5,92.6
41.029373,1.166236,36050,504.5,92.6
41.027279,1.227597,36025,505.5,92.6
41.02523,1.288334,36050,505.5,92.6
41.023089,1.348634,36050,504.6,92.7
41.020854,1.408934,36025,504.6,92.8
41.018692,1.469177,36025,504.6,92.7
41.016478,1.529597,36000,504.6,92.7
41.014252,1.590271,35975,503.6,92.7
41.011963,1.650696,35975,502.7,93.0
41.009589,1.71187,35950,503.7,93.0
41.007308,1.772357,35950,503.7,93.0
41.004868,1.833557,35975,503.7,93.1
41.002396,1.894348,35975,504.7,93.1
40.999952,1.955379,35950,504.7,93.1
40.997439,2.016491,35975,503.7,93.1
40.994934,2.077209,35975,504.8,93.2
40.992416,2.137085,35975,503.8,93.3
40.989851,2.197141,35975,504.8,93.2
40.987244,2.257378,35975,504.8,93.3
40.984544,2.318178,35975,507.9,93.4
40.981842,2.379272,36000,507.9,93.4
40.979144,2.439776,36025,507.9,93.4
40.976303,2.501831,36025,507.9,93.4
40.973465,2.56311,36025,508.9,93.5
40.970673,2.62323,36025,508.9,93.5
40.967831,2.684347,36025,509.0,93.6
40.964805,2.74602,36000,509.1,93.7
40.961975,2.80603,36000,509.9,93.5
40.959091,2.867371,36000,509.1,93.7
40.956007,2.929479,36000,509.1,93.7
40.952957,2.98999,36000,509.1,93.8
40.949862,3.052202,36000,509.1,93.8
40.94679,3.113251,36000,509.1,93.7
40.943624,3.174612,36000,509.3,94.1
40.940505,3.235037,36025,509.1,93.7
40.937485,3.295288,36000,509.1,93.8
40.93428,3.356506,36000,508.3,94.1
40.930939,3.418274,36025,507.3,94.1
40.92761,3.478983,36000,507.4,94.2
40.924258,3.540656,36000,507.3,94.1
40.920907,3.600457,35975,507.4,94.3
40.917508,3.660944,35975,507.4,94.2
40.91411,3.721743,35975,508.3,94.2
40.910665,3.783479,35975,507.4,94.3
40.907174,3.84484,36000,507.4,94.3
40.903702,3.906128,36000,508.4,94.3
40.900191,3.967063,36000,507.5,94.4
40.896606,4.027405,36000,507.7,94.6
40.892929,4.088038,36000,508.7,94.6
40.889298,4.148525,35975,508.6,94.5
40.886458,4.202333,35975,508.9,93.5
40.883758,4.263694,35975,510.9,93.4
40.881058,4.325555,35975,510.9,93.4
40.878067,4.387329,35975,512.1,93.7
40.875092,4.449036,36000,513.0,93.6
40.872253,4.509949,36000,514.0,93.6
40.869141,4.572876,36000,515.2,93.9
40.865936,4.634033,36025,516.1,93.8
40.862903,4.696093,36025,517.1,93.7
40.859784,4.757954,36050,517.2,93.9
40.856552,4.819336,36050,516.3,94.1
40.853313,4.882174,36025,516.2,93.9
40.850052,4.944153,36025,516.3,94.0
40.846796,5.005334,36025,515.3,94.0
40.84349,5.066632,36025,514.3,94.1
40.840139,5.127557,36000,514.3,94.1
40.83674,5.189729,36000,514.3,94.1
40.833435,5.251343,36000,514.3,94.1
40.82999,5.313887,36000,513.4,94.2
40.826499,5.374936,36000,513.4,94.2
40.823007,5.436922,36000,512.4,94.2
40.819469,5.498532,36000,512.4,94.2
40.815978,5.559831,36000,512.5,94.4
40.812378,5.62085,35975,512.5,94.4
40.808809,5.681243,36000,511.6,94.5
40.805131,5.742416,35975,511.6,94.5
40.801437,5.804688,35975,512.6,94.5
40.797729,5.865906,36000,511.6,94.6
40.794022,5.926086,36000,511.6,94.6
40.790328,5.986425,36000,511.7,94.7
40.786464,6.048785,36000,511.7,94.7
40.782578,6.110107,35975,511.8,94.8
40.778736,6.170509,36000,512.8,94.8
40.774826,6.232244,36000,511.8,94.8
40.770869,6.293668,36025,511.8,94.8
40.766912,6.354967,36025,510.9,94.9
40.762939,6.415405,36025,509.9,94.9
40.758957,6.475891,36025,508.9,95.0
40.754948,6.536428,36000,508.0,95.1
40.750851,6.596479,35975,509.0,95.1
40.746755,6.657091,36000,508.0,95.1
40.742612,6.718639,36000,508.0,95.1
40.738562,6.778252,35975,508.1,95.2
40.734325,6.839738,35975,507.1,95.2
40.730089,6.900163,36000,507.2,95.3
40.725906,6.9599,35975,507.1,95.2
40.721603,7.021667,35975,508.2,95.3
40.717255,7.082214,35975,508.3,95.4
40.713501,7.130432,35975,507.4,96.7
40.710351,7.159902,36000,506.6,98.5
40.702996,7.21783,36025,506.0,99.6
40.695511,7.277161,36000,506.8,99.4
40.688049,7.336365,36000,506.8,99.4
40.680371,7.396296,36000,507.0,99.5
40.672597,7.456658,36000,506.2,99.7
40.664776,7.51702,36000,506.2,99.7
40.656909,7.577071,36000,507.3,99.8
40.649088,7.637121,36000,507.2,99.7
40.64122,7.697327,36000,506.4,99.8
40.63326,7.757534,36000,507.5,99.9
40.625347,7.817584,36000,507.5,99.9
40.617371,7.877808,36000,507.5,99.9
40.60936,7.93811,36000,507.5,99.9
40.601395,7.997864,36000,506.7,100.0
40.593246,8.058472,36000,507.7,100.0
40.585219,8.118023,36000,507.7,100.0
40.577165,8.177449,36000,507.9,100.1
40.569065,8.236875,36025,507.9,100.1
40.560883,8.296692,36000,508.0,100.2
40.552689,8.356323,36025,506.9,100.1
40.544495,8.416565,36025,508.0,100.2
40.536152,8.476701,36000,508.2,100.3
40.527727,8.537001,35975,508.2,100.3
40.519409,8.596802,35975,508.2,100.3
40.510941,8.656982,36000,507.6,100.6
40.502426,8.717224,36000,508.4,100.4
40.494069,8.77714,36000,509.4,100.4
40.485672,8.836365,36000,508.6,100.5
40.477264,8.895555,36000,508.6,100.5
40.468884,8.954544,36000,507.6,100.6
40.460365,9.014157,36025,508.8,100.7
40.451752,9.073975,36000,508.9,100.8
40.443237,9.132996,36025,508.9,100.8
40.434575,9.192436,36025,509.1,100.9
40.425842,9.252197,36000,508.9,100.8
40.417072,9.312598,36000,509.9,100.7
40.40846,9.372025,36000,509.9,100.7
40.399568,9.432886,36000,510.1,100.8
40.390732,9.492981,35975,510.1,100.8
40.381943,9.552307,36025,509.5,101.1
40.373016,9.611816,36025,509.5,101.1
40.364235,9.67109,36000,510.3,101.0
40.355255,9.731445,36000,509.5,101.1
40.346266,9.791128,36000,509.7,101.2
40.337235,9.850554,36000,508.7,101.2
40.328204,9.909918,36000,507.7,101.2
40.319366,9.968323,36025,507.6,101.1
40.310394,10.027466,36025,506.8,101.3
40.301193,10.087402,36000,506.0,101.4
40.292079,10.146623,36000,507.0,101.4
40.283095,10.204926,35975,507.0,101.4
40.273819,10.264771,35975,507.2,101.5
40.264706,10.323403,35975,507.2,101.5
40.255508,10.382629,35975,507.2,101.5
40.246225,10.44213,36000,507.4,101.6
40.237054,10.50062,36000,507.4,101.6
40.227722,10.560181,36000,507.4,101.6
40.221878,10.596813,36050,506.6,101.7
40.212428,10.655989,36250,505.6,101.8
40.203118,10.714417,36450,500.5,101.8
40.193807,10.773031,36650,497.4,101.7
40.185381,10.825466,36875,496.6,101.8
40.178026,10.871221,36975,497.6,101.8
40.168809,10.928587,37000,495.6,101.9
40.159515,10.986145,37000,493.7,101.9
40.150188,11.043569,37000,492.7,101.9
40.140831,11.101435,37000,493.7,101.9
40.131454,11.158936,37000,494.8,102.0
40.121979,11.216919,37000,494.1,102.2
40.112549,11.274292,37000,490.9,102.1
40.103119,11.331726,36975,489.0,102.2
40.09372,11.388702,36950,487.0,102.2
40.08427,11.445444,36950,486.0,102.2
40.075006,11.501187,36950,486.0,102.2
40.065742,11.556868,36950,486.0,102.2
40.056339,11.613048,36975,489.4,102.4
40.046722,11.670349,37000,494.5,102.4
40.037064,11.727722,37000,495.5,102.3
40.027197,11.78602,37000,495.7,102.5
40.017561,11.84295,37000,493.5,102.4
40.007858,11.900146,37000,492.5,102.4
39.998009,11.957869,37000,492.8,102.5
39.988266,12.014648,37000,491.8,102.6
39.978643,12.070729,37000,490.8,102.6
39.968719,12.128296,37000,490.0,102.7
39.959015,12.184692,37000,488.9,102.6
39.949268,12.240829,36975,488.1,102.8
39.939514,12.296631,36975,488.1,102.8
39.92981,12.352478,36975,488.1,102.8
39.919894,12.409119,36950,488.3,102.9
39.909978,12.465515,36950,489.1,102.8
39.900146,12.521488,36950,490.3,102.8
39.890054,12.579041,36950,490.5,103.0
39.880005,12.63577,36975,491.5,102.9
39.86999,12.691956,37025,491.7,103.1
39.859935,12.74823,37050,491.7,103.1
39.849701,12.805879,37050,491.7,103.1
39.839447,12.86308,37050,491.7,103.1
39.829285,12.919444,37050,492.1,103.3
39.819108,12.97583,37050,491.9,103.2
39.809007,13.03186,37050,490.9,103.2
39.798672,13.088745,37050,489.0,103.2
39.788384,13.145325,37050,488.0,103.3
39.778189,13.201294,37050,486.1,103.3
39.767808,13.258118,37050,484.1,103.4
39.757659,13.313293,37025,482.2,103.4
39.747482,13.36851,37000,481.2,103.5
39.737366,13.423143,36975,481.2,103.5
39.727158,13.478314,36950,480.2,103.5
39.716858,13.534201,36975,479.3,103.5
39.706787,13.588297,36975,479.3,103.5
39.696629,13.642761,36975,478.3,103.5
39.686371,13.697802,36950,479.5,103.6
39.676193,13.752014,36950,479.7,103.8
39.665719,13.807312,36950,479.7,103.8
39.655291,13.862671,36975,479.7,103.8
39.644817,13.917847,37000,480.0,103.9
39.634506,13.972281,37025,478.8,103.8
39.624161,14.026794,37025,478.8,103.8
39.613813,14.08136,37025,477.8,103.8
39.603478,14.135437,37050,478.0,103.9
39.593004,14.190002,37025,477.3,104.1
39.582297,14.245239,37025,476.3,104.1
39.571963,14.298889,37000,477.1,103.9
39.561539,14.352981,36975,477.1,103.9
39.550967,14.407532,36975,476.3,104.1
39.540298,14.462187,36975,476.6,104.2
39.529724,14.516044,36975,477.6,104.2
39.518967,14.570737,37000,477.6,104.2
39.508209,14.625609,37000,477.6,104.2
39.497619,14.679626,37025,476.6,104.2
39.486958,14.733704,37025,476.8,104.3
39.476212,14.788016,37000,477.8,104.3
39.465546,14.841813,37000,478.0,104.4
39.454697,14.896423,37000,478.0,104.4
39.44371,14.951557,37000,478.0,104.4
39.433044,15.005115,37000,478.3,104.5
39.421967,15.060226,37000,478.3,104.5
39.411026,15.11456,37000,478.3,104.5
39.399999,15.169617,37000,477.3,104.6
39.389152,15.223572,37025,477.6,104.7
39.378113,15.277922,37025,477.6,104.7
39.366993,15.332214,37000,476.9,104.8
39.356007,15.386047,37000,476.6,104.7
39.345016,15.439971,37025,475.6,104.7
39.333848,15.494568,37025,474.7,104.8
39.322815,15.548401,37025,474.7,104.8
39.311875,15.601929,37000,473.7,104.8
39.301208,15.653905,36975,473.7,104.8
39.289996,15.708252,36975,474.0,104.9
39.278916,15.76239,37000,473.7,104.3
39.274494,15.787415,37000,473.9,102.3
39.265686,15.843121,37000,474.4,101.4
39.257176,15.897095,37000,473.4,101.4
39.248611,15.951477,37000,473.4,101.4
39.239952,16.006348,37000,472.4,101.5
39.2314,16.06022,37000,472.6,101.6
39.222656,16.115033,37000,472.6,101.6
39.214005,16.169546,37000,472.6,101.6
39.205215,16.224299,37000,472.8,101.7
39.196426,16.278932,37000,471.7,101.6
39.187866,16.332132,37000,470.9,101.8
39.179123,16.386347,37000,469.9,101.8
39.170471,16.439906,37000,469.9,101.8
39.161774,16.493404,37000,468.9,101.8
39.152893,16.547679,37000,469.9,101.8
39.144012,16.601775,37000,470.1,101.9
39.135303,16.655151,37025,470.1,101.9
39.126364,16.709534,37025,470.1,101.9
39.117462,16.763226,37000,469.1,101.9
39.108582,16.816904,36950,470.3,102.0
