lat,lon,alt,gs,track,vs
50.901823,4.483738,0,3.8,334.7,0
50.901661,4.483888,0,3.2,334.7,0
50.901625,4.483929,0,2.8,340.3,0
50.901578,4.483948,0,2.8,345.9,0
50.901555,4.483967,0,2.8,348.8,0
50.90152,4.483967,0,2.8,354.4,0
50.901497,4.483986,0,2.8,0.0,0
50.90145,4.483986,0,2.8,5.6,0
50.901427,4.483986,0,2.2,14.1,0
50.901409,4.483981,0,2.2,22.5,0
50.901381,4.483967,0,2.2,30.9,0
50.901369,4.483948,0,2.2,36.6,0
50.901346,4.483929,0,2.2,45.0,0
50.901322,4.48391,0,2.2,53.4,0
50.901306,4.483888,0,2.2,59.1,0
50.901299,4.483852,0,2.2,64.7,0
50.901272,4.483777,0,2.8,75.9,0
50.910599,4.496081,25,52.8,245.4,0
50.910458,4.495621,25,59.5,245.2,0
50.910365,4.495239,25,64.9,245.4,0
50.910086,4.494247,25,74.7,245.5,-64
50.909912,4.493779,25,79.2,245.4,-64
50.909592,4.492517,25,83.7,245.3,0
50.909481,4.492188,25,92.2,245.7,0
50.909108,4.490891,25,101.1,245.5,0
50.908503,4.488831,25,113.2,245.5,0
50.908038,4.487152,25,119.9,245.4,0
50.907761,4.486356,25,126.2,245.7,0
50.907394,4.48502,25,128.4,245.6,64
50.90657,4.482051,25,140.5,245.6,192
50.906176,4.480667,25,145.9,245.7,320
50.905746,4.479156,25,150.4,245.6,704
50.905477,4.478302,50,150.4,245.6,896
50.905197,4.477226,75,152.6,245.6,1216
50.905012,4.476624,100,152.6,245.6,1536
50.904872,4.476166,100,152.6,245.6,2112
50.904407,4.47464,175,151.7,245.5,2432
50.904144,4.473588,200,149.9,245.1,2816
50.90387,4.472772,250,147.6,245.2,3264
50.903458,4.471287,350,145.8,244.8,3584
50.903,4.469802,450,144.0,244.5,3648
50.902542,4.468244,550,142.2,244.2,3520
50.902039,4.466759,650,142.7,243.8,3264
50.901613,4.465408,725,142.7,243.8,2880
50.900915,4.46312,825,144.0,243.6,2432
50.900162,4.460746,925,145.4,244.3,2240
50.899425,4.457703,1025,146.8,250.1,1984
50.89888,4.454659,1125,145.8,255.3,2368
50.898727,4.453201,1175,144.4,259.6,2816
50.898588,4.451141,1275,140.7,264.3,3072
50.898514,4.449314,1375,139.0,269.2,2944
50.898605,4.447162,1475,137.5,275.0,2496
50.898867,4.444733,1575,137.1,282.2,2240
50.899292,4.442634,1650,136.9,288.3,2048
50.899887,4.440407,1725,136.4,295.6,1856
50.90062,4.438328,1825,136.9,297.9,2112
50.901474,4.436111,1925,136.9,301.2,2496
50.902312,4.434052,2025,137.0,303.7,2560
50.903196,4.432068,2125,136.2,305.4,2560
50.904267,4.429855,2225,136.8,307.9,2368
50.905289,4.427861,2325,138.1,308.5,2368
50.906362,4.425735,2425,139.3,309.2,2112
50.907578,4.423407,2525,141.4,309.5,2112
50.90863,4.421477,2625,143.3,310.5,2112
50.909946,4.419022,2725,144.6,311.1,2240
50.911057,4.417024,2825,145.3,310.8,2432
50.912109,4.415093,2925,145.3,310.8,2560
50.913065,4.4133,3025,145.3,310.8,2496
50.914444,4.410788,3125,145.5,310.3,2368
50.915268,4.409229,3200,146.2,310.0,1920
50.915905,4.408035,3250,149.8,309.9,1472
50.916504,4.406854,3275,151.3,309.4,1088
50.917419,4.405072,3300,155.7,309.0,768
50.918335,4.403291,3325,160.1,308.7,320
50.919113,4.401806,3325,164.3,308.8,-64
50.920074,4.399876,3325,169.3,308.8,0
50.920793,4.398499,3325,172.9,308.7,448
50.921494,4.397055,3350,175.9,308.3,832
50.923027,4.393921,3400,180.9,308.3,1216
50.924606,4.390745,3450,185.2,308.0,1408
50.926472,4.386978,3550,189.8,307.3,1536
50.928268,4.383174,3625,194.2,307.0,1472
50.929367,4.380873,3675,198.6,306.8,1280
50.931034,4.377289,3725,203.0,306.6,1280
50.932755,4.373672,3800,207.8,307.0,1344
50.934219,4.370777,3850,212.6,309.1,1472
50.936202,4.367294,3925,217.1,314.4,1856
50.938477,4.364096,4025,220.2,320.5,2240
50.940671,4.361572,4125,222.7,326.2,2240
50.943231,4.359283,4225,226.3,332.6,1984
50.945297,4.357861,4300,228.6,337.4,1856
50.947769,4.35645,4375,233.1,342.3,1792
50.951285,4.354935,4475,237.9,346.1,1856
50.954404,4.353867,4575,242.4,347.9,1984
50.958035,4.352798,4675,246.6,350.2,2240
50.960907,4.352145,4775,249.8,351.5,2624
50.963435,4.351578,4875,252.0,352.7,2816
50.965622,4.35118,4975,253.9,353.0,2944
50.967865,4.350734,5050,254.7,353.5,3136
50.969788,4.350437,5150,255.7,353.5,3328
50.971619,4.350066,5225,256.6,353.5,3392
50.973304,4.349823,5325,257.6,353.5,3456
50.975418,4.349398,5425,257.6,353.5,3584
50.977341,4.349101,5525,258.7,353.3,3648
50.979309,4.34873,5625,258.7,353.3,3776
50.981357,4.348297,5725,259.7,353.4,3904
50.982335,4.348145,5800,259.7,353.4,3968
50.98429,4.347763,5900,259.9,353.1,3968
50.985992,4.347468,6000,259.9,353.1,4032
50.987595,4.347153,6100,259.9,353.1,4032
50.989504,4.346771,6200,261.0,353.0,4032
50.991211,4.346429,6275,261.0,353.0,4032
50.99239,4.346237,6350,261.0,353.0,4032
50.994095,4.345835,6450,261.1,352.7,4032
50.996017,4.345464,6550,261.1,352.7,4032
50.997744,4.345093,6650,261.2,352.5,4032
50.999606,4.344711,6750,261.2,352.5,4096
51.001142,4.344406,6850,261.2,352.5,4096
51.002958,4.344025,6950,261.2,352.5,4032
51.006402,4.343338,7150,262.3,352.3,4032
51.009754,4.342575,7325,262.3,352.3,4096
51.013275,4.341827,7525,262.3,352.3,4096
51.016251,4.341158,7700,262.3,352.3,4160
51.019856,4.340439,7900,261.4,352.3,4160
51.023346,4.339674,8100,261.5,352.1,4096
51.026466,4.338989,8275,261.5,352.1,4096
51.029446,4.338303,8450,261.5,352.1,4160
51.032593,4.337595,8625,261.5,352.1,4032
51.036056,4.336853,8825,261.6,351.9,3968
51.03978,4.336036,9025,262.6,351.9,3840
51.042853,4.335327,9200,262.6,351.9,3776
51.04681,4.334412,9400,263.6,351.9,3776
51.050812,4.333513,9600,263.6,351.9,3776
51.054444,4.332733,9800,264.6,352.0,3712
51.058548,4.331805,10000,265.6,352.0,3584
51.062219,4.330978,10175,265.7,351.8,3584
51.066222,4.330063,10375,266.7,351.8,3328
51.069351,4.329356,10500,268.7,351.9,3008
51.072327,4.328688,10625,270.8,351.7,2560
51.075256,4.328019,10725,273.8,351.8,2112
51.078558,4.32724,10800,276.9,351.7,1664
51.081631,4.326553,10850,280.9,351.8,1344
51.085648,4.325644,10900,284.8,351.9,960
51.089813,4.324753,10925,291.9,351.9,512
51.09555,4.323425,10950,300.9,352.0,320
51.103417,4.321671,10975,310.0,352.0,576
51.108119,4.320602,11025,315.1,352.0,960
51.112681,4.319611,11100,319.0,352.1,1408
51.119804,4.318085,11225,324.1,352.0,1856
51.124878,4.316885,11350,326.3,351.9,2304
51.133025,4.315109,11550,330.4,351.8,2368
51.139821,4.313507,11750,333.3,351.9,2688
51.146118,4.312134,11925,334.3,351.9,2816
51.160025,4.308929,12325,340.5,351.7,2624
51.175806,4.305344,12725,346.6,351.7,2368
51.183105,4.303671,12925,349.6,351.8,2816
51.195328,4.300851,13325,351.7,351.7,2944
51.204715,4.298706,13600,354.7,351.7,2496
51.211977,4.297028,13750,356.7,351.8,2048
51.216934,4.295877,13825,358.6,351.8,1600
51.222358,4.294662,13900,359.8,351.7,1216
51.226685,4.29365,13950,359.8,351.7,832
51.232635,4.29224,13975,360.8,351.7,384
51.265326,4.284744,14000,361.8,351.7,64
51.297726,4.277115,14000,360.8,351.7,128
51.329819,4.269673,14000,361.8,351.7,64
51.362091,4.262176,14000,358.8,351.7,128
51.395004,4.25453,14000,359.8,351.7,-64
51.426397,4.247208,14000,360.8,351.7,-64
51.459091,4.239609,14000,361.9,351.6,64
51.491291,4.232101,14000,360.8,351.7,-64
51.523551,4.224625,14000,356.8,351.6,64
51.556138,4.216995,14000,358.8,351.7,-64
51.588593,4.209397,14000,356.8,351.6,-448
51.591564,4.208679,13975,356.8,351.6,-896
51.608643,4.204646,13750,347.8,351.6,-1088
51.624207,4.200934,13600,338.6,351.7,-1024
51.641561,4.196854,13400,329.5,351.6,-1152
51.658493,4.192843,13200,320.5,351.6,-1088
51.681875,4.187317,12950,315.2,351.8,-1024
51.704267,4.182053,12675,312.4,351.5,-1024
51.727031,4.176712,12425,310.1,351.8,-1024
51.748631,4.1716,12150,308.3,351.6,-1024
51.761619,4.168549,12000,307.3,351.6,-1024
51.774857,4.165451,11850,307.2,351.8,-1024
51.786897,4.162598,11700,306.2,351.7,-1024
51.799187,4.159698,11550,305.3,351.5,-1024
51.81143,4.156799,11400,303.2,351.7,-1024
51.824478,4.153723,11250,302.2,351.6,-896
51.829167,4.152603,11225,301.2,351.6,-448
51.836289,4.150925,11175,300.1,351.8,-896
51.840958,4.149789,11100,300.1,351.8,-1344
51.851139,4.147415,10900,300.1,351.8,-1664
51.861148,4.14505,10700,299.1,351.7,-1728
51.870621,4.142811,10500,297.3,351.5,-1728
51.88056,4.140472,10300,295.3,351.4,-1472
51.884843,4.139404,10225,294.5,351.2,-1088
51.893362,4.137497,10150,287.8,353.6,-640
51.897599,4.137137,10125,284.1,358.6,-576
51.901742,4.137373,10100,279.6,3.9,-640
51.906304,4.138314,10050,276.2,8.8,-704
51.910307,4.139648,10025,274.3,13.3,-640
51.913925,4.141388,9975,272.9,18.4,-896
51.917313,4.143524,9925,272.5,22.9,-1152
51.920549,4.146162,9875,270.6,28.0,-1408
51.923528,4.149222,9800,269.9,33.5,-1152
51.927578,4.154088,9725,269.4,37.8,-1216
51.934095,4.162877,9575,268.8,40.6,-1408
51.942149,4.174648,9400,268.3,42.4,-1216
51.950528,4.187047,9225,267.5,42.6,-1280
51.958374,4.198685,9075,267.5,42.6,-1152
51.96579,4.209671,8900,268.3,42.4,-1216
51.973944,4.221654,8750,268.3,42.1,-1280
51.981445,4.232712,8575,266.9,42.1,-1152
51.989353,4.244254,8400,264.1,42.1,-1152
51.997009,4.255524,8250,263.4,42.2,-1152
52.004808,4.266933,8100,264.8,42.2,-1216
52.011887,4.277496,7950,265.2,44.2,-1216
52.014677,4.282392,7875,265.3,49.6,-1216
52.017005,4.287493,7800,265.1,56.1,-1152
52.018845,4.292603,7750,265.7,62.2,-1152
52.020171,4.297381,7700,267.5,66.9,-1152
52.021148,4.301932,7650,267.9,72.2,-1152
52.022265,4.309073,7600,268.6,77.3,-1152
52.023788,4.322052,7475,269.9,80.2,-1216
52.025253,4.337234,7300,270.0,81.5,-1216
52.026718,4.354019,7150,268.7,81.9,-1216
52.027817,4.36676,7025,268.6,82.1,-1216
52.02855,4.375148,6925,267.6,82.1,-1152
52.029419,4.385147,6825,267.6,82.1,-1280
52.030151,4.393845,6725,267.6,82.1,-1408
52.030884,4.402466,6625,267.4,82.3,-1408
52.031616,4.411163,6525,266.4,82.2,-1408
52.032367,4.420271,6425,266.3,82.4,-1344
52.033081,4.428558,6325,265.3,82.4,-1344
52.03381,4.437692,6225,264.3,82.4,-1344
52.034462,4.445461,6125,263.3,82.4,-1408
52.035187,4.454498,6025,262.3,82.3,-1344
52.035919,4.463043,5925,261.4,82.3,-1408
52.036697,4.472063,5825,260.4,82.3,-1344
52.03743,4.48082,5725,260.5,82.1,-1344
52.038162,4.489365,5625,259.5,82.0,-1344
52.038986,4.49852,5525,258.7,81.8,-1280
52.039676,4.506513,5425,257.7,81.7,-1408
52.040451,4.515305,5325,256.5,81.9,-1344
52.041183,4.523697,5225,256.4,82.2,-1344
52.04187,4.532013,5125,255.4,82.1,-1344
52.042655,4.54167,5025,254.3,82.3,-1280
52.0434,4.550616,4925,252.2,82.5,-832
52.044471,4.563093,4875,247.2,82.3,-512
52.045532,4.575806,4800,242.3,82.2,-576
52.046539,4.58786,4750,237.3,82.0,-576
52.047409,4.597549,4700,233.2,82.1,-512
52.048288,4.608215,4650,229.2,82.0,-576
52.049266,4.619751,4600,225.1,82.1,-576
52.05029,4.631522,4525,221.0,82.2,-576
52.051483,4.645386,4450,216.1,82.0,-576
52.052444,4.656143,4400,211.4,81.3,-576
52.053177,4.661713,4350,208.3,75.8,-704
52.053864,4.665298,4325,206.0,69.5,-576
52.055085,4.669425,4300,203.5,62.8,-448
52.056249,4.672485,4275,201.1,56.2,-448
52.057692,4.675389,4275,198.7,49.9,-512
52.059311,4.67804,4250,198.1,43.4,-448
52.06105,4.680252,4225,197.2,36.8,-448
52.063522,4.68277,4200,196.9,30.9,-384
52.066862,4.685669,4175,197.2,26.8,-576
52.073044,4.690323,4100,195.6,24.5,-576
52.080276,4.695511,4025,194.3,23.7,-576
52.087189,4.70047,3950,194.3,23.7,-576
52.094375,4.705523,3875,194.3,23.7,-512
52.101334,4.710541,3800,192.5,23.9,-512
52.108015,4.715254,3700,192.4,22.3,-704
52.111588,4.717331,3675,191.7,19.2,-640
52.114609,4.718552,3625,191.4,13.6,-832
52.118088,4.719696,3575,191.7,9.6,-768
52.122757,4.720612,3500,191.1,6.0,-896
52.127799,4.721139,3400,191.4,3.6,-896
52.133525,4.72161,3300,191.2,2.7,-1024
52.138739,4.722002,3200,191.2,2.4,-960
52.144226,4.722366,3100,191.2,2.7,-1024
52.149772,4.722866,3000,191.3,3.3,-1024
52.155032,4.723336,2900,191.3,3.3,-1088
52.159967,4.723886,2800,191.4,3.6,-1088
52.164734,4.72435,2700,191.4,3.6,-1152
52.169724,4.724884,2600,191.4,3.6,-1152
52.174667,4.725418,2500,191.4,3.6,-1024
52.179845,4.725926,2400,191.4,3.6,-1152
52.185013,4.72641,2300,191.4,3.6,-896
52.190552,4.72702,2200,190.4,3.6,-1088
52.1953,4.727417,2100,189.3,3.3,-1088
52.200027,4.727936,2000,188.4,3.7,-1024
52.205681,4.728437,1900,186.3,3.4,-960
52.210104,4.72883,1825,181.3,3.5,-896
52.211929,4.729004,1775,177.3,3.2,-1088
52.214767,4.729309,1725,173.3,3.3,-1088
52.217056,4.729538,1675,169.3,3.4,-1024
52.219437,4.729767,1625,165.4,3.8,-960
52.221497,4.729996,1575,161.3,3.5,-960
52.223697,4.730242,1525,157.3,3.3,-1024
52.226257,4.730477,1475,152.3,3.8,-832
52.229004,4.730713,1425,148.3,3.5,-832
52.230194,4.730835,1400,144.2,3.2,-896
52.233194,4.731184,1350,139.3,3.7,-704
52.235195,4.731341,1300,135.2,3.4,-704
52.237289,4.731522,1275,131.2,3.1,-768
52.239624,4.73175,1225,127.2,3.2,-704
52.241959,4.731979,1175,122.2,3.3,-704
52.244878,4.732282,1100,117.2,3.4,-640
52.246321,4.732361,1075,113.2,3.0,-640
52.250883,4.732753,1000,113.2,3.0,-448
52.255259,4.733146,925,112.2,3.1,-640
52.259868,4.733538,850,115.2,3.0,-576
52.264523,4.73393,750,115.2,3.5,-640
52.268946,4.734323,650,112.2,3.1,-704
52.273407,4.734726,575,113.1,2.5,-576
52.277847,4.735107,500,115.3,4.0,-640
