lat,lon,alt,gs,track
37.248642,-113.905198,32775,508.0,32.4
37.271255,-113.887316,33125,506.0,32.2
37.295977,-113.867798,33450,505.2,32.3
37.322372,-113.84684,33775,504.4,32.4
37.348984,-113.825723,34100,504.4,32.4
37.376326,-113.80397,34400,503.5,32.4
37.405468,-113.780863,34700,503.3,32.2
37.43298,-113.759069,35000,503.0,32.3
37.460493,-113.737156,35300,502.7,32.5
37.492493,-113.71171,35575,502.1,32.4
37.522081,-113.688136,35850,502.1,32.4
37.560859,-113.657207,36025,500.8,32.4
37.599014,-113.6268,35975,499.9,32.4
37.637238,-113.596237,36000,499.1,32.5
37.675192,-113.565913,35975,498.2,32.5
37.713644,-113.535043,36000,498.5,32.4
37.752045,-113.504431,36000,498.5,32.4
37.791,-113.473283,35975,498.5,32.4
37.829838,-113.442197,36000,499.9,32.4
37.868104,-113.411507,35975,499.9,32.4
37.90654,-113.380659,36000,500.4,32.5
37.945587,-113.349278,35975,499.6,32.6
37.984345,-113.318063,35975,498.2,32.5
38.022263,-113.287451,36125,499.1,32.5
38.048541,-113.266296,36425,498.8,32.6
38.078201,-113.242278,36700,497.4,32.6
38.112876,-113.214231,36925,497.4,32.6
38.151747,-113.182764,37000,498.8,32.6
38.190399,-113.151466,36950,497.7,32.4
38.228977,-113.12013,37000,497.9,32.7
38.267057,-113.089261,36975,499.6,32.6
38.304857,-113.058511,37000,500.7,32.8
38.322966,-113.043166,37000,502.1,34.9
38.337211,-113.029792,37000,504.4,37.3
38.34992,-113.016716,37000,505.6,39.7
38.363327,-113.001789,36975,507.6,42.2
38.376434,-112.985853,36975,510.5,44.8
38.388199,-112.97025,36975,513.0,47.1
38.40001,-112.953186,37000,515.5,49.3
38.429764,-112.907629,37000,516.9,50.2
38.459518,-112.86225,36975,518.3,50.2
38.490135,-112.815552,36975,520.5,50.2
38.520584,-112.768986,37000,523.3,50.2
38.550746,-112.722778,36975,522.6,50.3
38.580505,-112.677214,37000,520.6,50.4
38.610426,-112.631165,37000,520.6,50.4
38.640976,-112.584129,37000,521.4,50.5
