lat,lon,alt,gs,track
50.476044,19.099804,1350,171.0,89.3
50.476044,19.103779,1450,174.0,90.0
50.476033,19.105596,1500,174.0,90.3
50.475998,19.108405,1575,173.0,90.7
50.475986,19.111015,1675,172.0,91.3
50.475952,19.113248,1775,171.0,91.3
50.475861,19.1165,1875,171.1,92.0
50.4758,19.119106,1975,171.1,92.0
50.475754,19.122001,2075,171.1,92.0
50.475677,19.125318,2175,172.1,92.0
50.475632,19.128643,2275,172.0,91.3
50.475586,19.132257,2375,174.0,90.7
50.475586,19.136666,2475,176.0,90.3
50.475567,19.141895,2550,179.0,90.0
50.475586,19.146568,2625,183.0,89.7
50.475567,19.150135,2675,187.0,89.7
50.475567,19.155183,2750,191.0,90.0
50.475614,19.16075,2850,195.0,89.7
50.475632,19.166444,2925,198.0,89.7
50.47566,19.170029,2975,202.0,89.4
50.475677,19.174395,3000,205.0,89.4
50.47566,19.17812,3050,209.0,89.4
50.475677,19.180467,3075,212.0,89.7
50.475707,19.18391,3075,216.0,89.7
50.475723,19.186972,3100,220.0,89.7
50.475707,19.190814,3100,224.0,90.0
50.47566,19.194229,3125,228.1,91.3
50.475614,19.196901,3150,229.1,92.0
50.475567,19.198311,3175,230.3,92.7
50.475241,19.203285,3275,232.5,96.4
50.474854,19.207137,3325,234.1,99.3
50.474075,19.212197,3375,238.7,104.6
50.47296,19.217018,3425,242.7,110.8
50.472029,19.22021,3450,246.1,115.0
50.470307,19.224887,3500,250.7,121.0
50.468262,19.229399,3550,254.6,126.4
50.465836,19.233808,3600,257.9,131.5
50.463181,19.237783,3675,261.0,136.7
50.460345,19.241514,3750,264.7,141.4
50.458017,19.244335,3850,265.0,143.1
50.45541,19.24723,3950,266.7,144.5
50.452881,19.249998,4050,267.7,145.7
50.449905,19.253106,4150,269.6,146.2
50.446655,19.256503,4250,272.1,146.5
50.444051,19.259182,4350,273.2,146.9
50.441391,19.261924,4450,273.8,146.8
50.439024,19.264304,4550,274.3,146.6
50.43637,19.267124,4650,274.6,146.1
50.434369,19.269351,4750,273.5,145.0
50.432785,19.271104,4850,273.3,144.7
50.430679,19.273417,4950,272.8,144.1
50.429031,19.275296,5050,272.0,144.0
50.427521,19.277031,5150,271.8,143.7
50.42601,19.278838,5250,270.8,143.3
50.423941,19.281303,5350,270.4,142.7
50.422165,19.283463,5450,270.0,142.1
50.420124,19.285979,5550,270.5,141.6
50.418137,19.288451,5650,271.7,141.3
50.415344,19.291992,5750,273.0,140.9
50.412768,19.295258,5850,274.9,140.5
50.410858,19.297847,5925,274.0,140.0
50.409302,19.299943,6025,273.9,139.7
50.407379,19.302545,6125,273.7,139.1
50.405739,19.30476,6225,272.8,138.7
50.404221,19.306882,6300,272.7,138.4
50.402899,19.308694,6400,271.2,138.1
50.401037,19.311367,6500,271.9,138.0
50.399082,19.314113,6600,271.8,137.7
50.397639,19.316192,6675,271.8,137.7
50.396164,19.318302,6775,271.1,137.5
50.394241,19.321048,6875,271.8,137.4
50.392565,19.323467,6950,271.0,137.2
50.389213,19.328292,7150,271.0,137.2
50.385498,19.333697,7350,269.6,137.2
50.382156,19.33854,7550,268.9,137.4
50.379018,19.34299,7725,268.9,137.4
50.375519,19.348008,7925,268.9,137.4
50.371307,19.354007,8125,269.7,137.6
50.367194,19.359914,8325,269.0,137.7
50.363525,19.365066,8525,269.7,137.9
50.359326,19.371049,8725,269.1,138.0
50.355331,19.37663,8925,270.5,138.0
50.350433,19.383497,9125,272.6,138.1
50.345306,19.39058,9325,274.8,138.2
50.340271,19.397663,9525,275.5,138.4
50.334793,19.40527,9725,278.4,138.4
50.329147,19.413131,9925,281.9,138.2
50.323608,19.420865,10125,283.3,138.1
50.317616,19.429247,10325,286.2,138.4
50.312448,19.436373,10525,287.6,138.4
50.307175,19.443705,10725,288.3,138.5
50.302643,19.449993,10925,288.3,138.5
50.297691,19.456861,11125,289.0,138.4
50.292943,19.46332,11325,289.1,138.6
50.288101,19.470075,11525,289.1,138.6
50.283417,19.476447,11725,288.3,138.5
50.27935,19.4821,11925,287.6,138.4
50.26918,19.496179,12325,289.0,138.4
50.258652,19.510851,12700,291.1,138.2
50.252197,19.519886,12875,294.6,138.3
50.248579,19.524858,12925,298.2,138.4
50.237183,19.540558,13075,308.2,138.6
50.226187,19.555738,13250,317.4,138.6
50.214844,19.571348,13400,327.3,138.5
50.202255,19.588695,13550,337.3,138.6
50.19388,19.600277,13675,342.9,138.6
50.181031,19.61787,13925,347.9,138.6
50.176117,19.624618,14050,348.5,138.5
50.163854,19.641402,14450,349.3,138.6
50.149888,19.660702,14825,350.7,138.6
50.135783,19.680151,15200,353.5,138.6
50.127962,19.69084,15375,354.2,138.4
50.114555,19.709398,15750,354.9,138.5
50.100357,19.728843,16100,358.5,138.6
50.08548,19.749154,16450,360.7,138.7
50.070465,19.769608,16800,363.5,138.7
50.055405,19.790208,17150,364.2,138.8
50.040848,19.810012,17525,365.7,138.8
50.025787,19.830539,17900,366.3,138.6
50.011459,19.850054,18275,366.3,138.6
49.996033,19.871087,18625,367.7,138.6
49.980996,19.891638,19000,369.1,138.6
49.965134,19.913298,19350,369.9,138.7
49.949434,19.934692,19700,371.3,138.7
49.933187,19.956814,20025,372.7,138.7
49.91684,19.978999,20350,375.5,138.7
49.91011,19.988178,20500,376.3,138.8
49.895061,20.008627,20850,377.7,138.8
49.878488,20.030971,21175,378.5,138.9
49.861679,20.053663,21500,382.0,138.9
49.84511,20.07603,21825,384.2,139.0
49.827118,20.10021,22150,387.0,139.0
49.808945,20.12464,22450,389.8,138.9
49.791824,20.147625,22775,392.7,138.9
49.774658,20.170754,23100,394.8,139.0
49.755916,20.195989,23400,399.1,139.0
49.743713,20.212386,23575,401.9,138.9
49.726868,20.235035,23925,403.3,138.9
49.705902,20.263126,24225,408.3,139.0
49.698936,20.272522,24325,409.7,139.0
49.684691,20.291525,24525,411.9,139.0
49.66507,20.317768,24825,415.4,139.1
49.647034,20.341837,25150,418.4,139.3
49.636139,20.355714,25300,419.5,141.9
49.630005,20.36287,25400,419.2,143.7
49.619476,20.374073,25600,419.4,146.1
49.608066,20.385058,25800,419.5,148.9
49.587025,20.40369,26125,421.1,150.1
49.567383,20.420982,26475,420.6,150.2
49.545686,20.440063,26800,422.0,150.1
49.524033,20.459145,27125,423.3,150.1
49.500961,20.479528,27450,425.6,150.1
49.478093,20.499746,27750,426.9,150.1
49.454865,20.520293,28075,428.3,150.0
49.443551,20.530255,28200,428.3,150.0
49.426466,20.545373,28400,430.0,150.2
49.41156,20.558448,28600,430.9,150.2
49.383499,20.583097,28850,434.5,150.2
49.357802,20.605581,29150,436.7,150.2
49.327789,20.631902,29400,440.3,150.2
49.299088,20.657184,29675,443.6,150.0
49.272903,20.680072,29950,444.3,150.3
49.247054,20.702579,30250,445.2,150.4
49.220612,20.725563,30550,445.7,150.3
49.195055,20.747753,30850,446.5,150.3
49.171097,20.768597,31150,445.7,150.3
49.144363,20.791837,31425,447.0,150.2
49.116257,20.816345,31700,447.9,150.3
49.087784,20.841205,31975,449.3,150.2
49.06311,20.862685,32275,447.0,150.2
49.03971,20.882986,32600,446.5,150.3
49.013077,20.905996,32875,446.0,150.4
48.986501,20.928883,33150,446.9,150.5
48.957321,20.953886,33400,447.8,150.6
48.924959,20.981574,33575,450.9,150.6
48.9082,20.99603,33775,449.6,150.4
48.889114,21.012338,33900,451.7,150.7
48.881699,21.018747,34000,450.5,150.5
48.857039,21.039903,34325,448.3,150.5
48.83432,21.059312,34675,444.7,150.5
48.812302,21.07821,35000,441.1,150.5
48.788049,21.098954,35325,438.8,150.5
48.760208,21.122624,35600,437.0,150.7
48.72916,21.149043,35850,437.0,150.7
48.694519,21.178542,36050,439.7,150.6
48.659775,21.208191,36250,440.6,150.6
48.624802,21.23784,36375,444.2,150.6
48.589828,21.267489,36575,446.4,150.6
48.55431,21.297575,36750,446.4,150.6
48.51915,21.32728,36975,446.8,150.8
48.50853,21.336294,37025,447.3,150.7
48.502304,21.341506,37025,448.2,150.8
48.466324,21.371789,37025,449.0,150.8
48.430481,21.401873,37000,449.0,150.8
48.394729,21.431796,37000,449.4,151.0
48.358697,21.461937,37000,450.4,150.8
48.322526,21.492221,37000,451.3,150.8
48.286148,21.522639,37000,451.6,151.0
48.250351,21.552429,37000,451.6,151.0
48.214096,21.582501,37000,452.5,151.1
48.178299,21.61215,37000,451.6,151.0
48.14223,21.64208,37000,450.3,151.0
48.106018,21.672112,37000,449.9,150.9
48.07045,21.701775,37000,449.9,150.9
48.034833,21.73138,37000,449.9,150.9
47.998718,21.761169,37000,450.3,151.0
47.962509,21.791039,37000,450.3,151.0
47.926483,21.820702,37000,451.2,151.1
47.890894,21.849905,37000,451.2,151.1
47.855118,21.879135,37000,451.6,151.3
47.819204,21.908358,37000,452.0,151.2
47.782791,21.938118,37000,452.0,151.2
47.747187,21.967093,37000,450.2,151.3
47.711014,21.996552,37000,451.2,151.1
47.674798,22.026179,37000,451.2,151.1
47.649707,22.047166,37000,452.6,149.8
47.6147,22.078153,37000,453.6,148.8
47.579506,22.109774,37000,454.1,148.7
47.54425,22.141228,37000,453.1,148.9
47.509003,22.172401,37000,452.9,149.2
47.473134,22.203862,37000,453.3,149.4
47.437196,22.235201,37000,453.3,149.4
47.402161,22.265717,37000,452.8,149.5
47.366762,22.29626,37000,453.1,149.6
47.330871,22.327177,37000,453.6,149.5
47.295537,22.357812,37000,452.8,149.5
47.259842,22.388832,37000,452.4,149.3
47.223847,22.419927,37000,451.8,149.7
47.18779,22.450905,37000,451.8,149.7
47.152039,22.481598,37000,450.9,149.6
47.116311,22.512184,37000,449.5,149.7
47.080838,22.542607,37000,449.5,149.7
47.045133,22.573313,37000,449.2,149.5
47.009995,22.603409,37000,448.7,149.6
46.974243,22.634102,37000,450.0,149.6
46.938995,22.664314,37000,450.0,149.6
46.903107,22.69487,37000,450.4,149.7
46.867676,22.725082,37025,450.9,149.6
46.831551,22.755844,37000,453.5,149.8
46.795659,22.786194,37000,453.5,149.8
46.760147,22.816192,37000,452.1,149.9
46.724762,22.846136,37000,449.9,149.8
46.689423,22.875947,37000,448.5,149.9
46.653946,22.905824,36975,445.9,149.7
