lat,lon,alt,gs,track,vs
47.436024,19.264389,525,1.6,278.4,128
47.436024,19.264389,525,1.1,284.1,128
47.436035,19.264406,525,1.4,289.7,128
47.436035,19.264423,525,1.1,295.3,128
47.436047,19.264441,525,1.1,300.9,128
47.436044,19.264474,525,1.4,306.6,128
47.43602,19.264509,525,1.1,309.4,128
47.436012,19.264544,525,0.3,312.2,128
47.436012,19.264544,525,0.0,315.0,128
47.436009,19.264544,525,0.0,315.0,-640
47.436009,19.264544,525,0.0,315.0,-608
47.436009,19.264544,525,0.0,315.0,-608
47.436115,19.264389,525,4.2,315.0,-96
47.436242,19.264174,525,6.8,312.2,-96
47.436504,19.263754,525,9.2,312.2,-96
47.436626,19.263576,525,8.8,315.0,-96
47.436695,19.263523,525,8.2,326.2,-96
47.436928,19.263531,525,6.8,11.2,-64
47.436985,19.263582,525,6.8,19.7,-64
47.437045,19.263628,525,6.8,28.1,-64
47.437114,19.263716,525,7.8,33.8,-64
47.437207,19.263822,525,8.8,39.4,-64
47.437477,19.264166,525,10.8,39.4,-64
47.437557,19.264235,525,10.2,30.9,-64
47.437637,19.264269,525,9.2,19.7,-64
47.437706,19.264269,525,9.2,8.4,-64
47.437763,19.264235,525,9.2,354.4,-64
47.437866,19.264166,525,9.2,334.7,-64
47.437912,19.264097,525,9.2,326.2,-64
47.437981,19.264011,525,8.8,320.6,-64
47.43808,19.263857,525,8.8,315.0,-64
47.436777,19.271569,550,99.1,132.6,-64
47.436447,19.272148,550,103.3,132.6,-64
47.436265,19.272414,550,108.3,132.4,-64
47.435799,19.273189,550,111.9,132.1,-64
47.435394,19.273865,550,116.1,132.2,-64
47.434982,19.274414,550,120.3,132.3,-64
47.433838,19.276268,550,133.1,132.6,-128
47.432541,19.2784,525,135.9,132.6,-64
47.431842,19.279527,525,143.7,132.5,-64
47.43147,19.280161,525,150.7,132.6,0
47.430772,19.281217,525,155.0,132.6,0
47.429672,19.282997,525,158.6,132.4,128
47.429123,19.283958,550,164.2,132.5,640
47.428863,19.284316,550,164.2,132.5,640
47.42863,19.284738,575,166.4,132.3,1408
47.428304,19.285231,575,167.8,132.3,1856
47.427699,19.286217,625,169.2,132.4,2304
47.427187,19.286992,650,168.4,132.6,2752
47.426651,19.287872,700,167.8,132.3,3200
47.42593,19.289105,800,164.9,132.8,3392
47.424906,19.290654,900,163.5,132.8,3200
47.423859,19.292336,1000,162.1,132.8,2944
47.422852,19.293983,1100,162.1,132.8,2624
47.421601,19.296006,1200,162.2,131.8,2624
47.420623,19.297767,1300,163.1,130.5,2880
