lat,lon,alt,gs,track,vs
59.663681,17.977844,225,166.6,76.5,2176
59.664095,17.981399,300,166.4,76.8,2560
59.664413,17.984161,400,165.2,77.1,2752
59.66478,17.987274,500,165.2,77.1,3072
59.665072,17.989639,575,164.2,77.0,3200
59.665329,17.99176,675,162.5,76.5,3264
59.665724,17.994564,775,161.8,76.1,3136
59.666107,17.99762,875,161.0,75.6,2816
59.666469,18.000436,950,161.3,75.3,2432
59.666931,18.003937,1050,162.3,75.4,2048
59.667572,18.008698,1150,164.2,75.5,1664
59.668304,18.014191,1225,168.3,75.6,1344
59.669029,18.020041,1300,172.4,75.6,1152
59.669861,18.026459,1400,177.3,76.0,1088
59.670502,18.031586,1450,181.4,76.0,1088
59.671124,18.03652,1500,184.6,75.9,1024
59.671776,18.041729,1550,188.7,75.9,1024
59.672333,18.046234,1600,193.3,76.5,1024
59.673126,18.053284,1675,198.2,76.9,896
59.673752,18.058777,1700,202.8,77.5,704
59.674164,18.062714,1725,206.7,77.7,768
59.674667,18.0672,1775,211.6,78.0,960
59.675537,18.075531,1850,215.3,78.5,1088
59.675995,18.080109,1900,219.5,78.4,1216
59.676407,18.08432,1950,222.4,78.6,1664
59.676865,18.088531,2025,224.4,78.7,2112
59.677362,18.09363,2125,225.3,78.7,2432
59.677872,18.098511,2225,226.3,78.8,2432
59.678421,18.104004,2325,228.3,78.9,2368
59.679016,18.110046,2425,230.4,78.7,2048
59.679703,18.116913,2525,233.6,78.6,1792
59.680389,18.123596,2625,237.7,78.6,1536
59.681319,18.132272,2725,242.0,78.3,1920
59.681878,18.13767,2825,244.2,78.2,2368
59.682436,18.142784,2925,245.4,78.0,2560
59.682995,18.148278,3025,247.3,78.1,2560
59.683553,18.153202,3125,248.3,78.2,2560
59.684159,18.15879,3225,249.5,78.0,2624
59.684624,18.163431,3325,250.5,78.0,2752
59.685196,18.16864,3425,251.6,77.8,2816
59.685695,18.173091,3525,251.6,77.8,2880
59.686207,18.177638,3625,252.8,77.7,2944
59.686752,18.182648,3725,252.8,77.7,2880
59.687324,18.187582,3825,252.8,77.7,2880
59.687805,18.192078,3925,254.0,77.5,2880
59.688395,18.197337,4025,254.0,77.5,2880
59.688953,18.202073,4125,255.0,77.5,2944
59.689326,18.205766,4225,255.0,77.5,3008
59.689885,18.210502,4325,256.2,77.4,3200
59.690303,18.214196,4425,256.2,77.4,3264
59.690769,18.218552,4525,257.2,77.4,3328
59.691284,18.223114,4625,257.2,77.4,3328
59.691742,18.227234,4725,258.1,77.5,3264
59.692259,18.231906,4825,259.1,77.5,3200
59.692657,18.235382,4925,259.1,77.5,3136
59.693207,18.240234,5025,260.1,77.6,3136
59.693702,18.244881,5125,261.1,77.6,3136
59.69426,18.249617,5225,262.1,77.7,3200
59.694726,18.254068,5325,262.3,77.4,3264
59.695098,18.257288,5425,263.2,77.5,3264
59.695633,18.262024,5525,263.2,77.5,3264
59.696091,18.266052,5600,264.2,77.5,3200
59.696495,18.269601,5700,264.2,77.5,3136
59.69696,18.274109,5800,265.2,77.6,3136
59.697519,18.278882,5900,266.2,77.6,3072
59.698031,18.283902,6000,267.2,77.7,3136
59.698471,18.288483,6100,268.7,79.3,3072
59.698746,18.29187,6175,270.1,80.0,3072
59.699009,18.296782,6275,270.4,82.3,3136
59.699112,18.300659,6375,271.9,85.4,3200
59.699112,18.30542,6475,272.4,86.8,3264
59.698962,18.310136,6575,273.0,90.4,3328
59.6987,18.315033,6675,273.7,94.0,3328
59.698404,18.318755,6775,273.7,98.0,3392
59.697845,18.322828,6875,274.1,99.9,3520
59.697235,18.326843,6975,273.6,103.5,3648
59.69577,18.334534,7175,273.9,109.0,3776
59.69426,18.340576,7350,273.5,113.9,3712
59.692429,18.346802,7525,273.0,118.9,3648
59.690257,18.352945,7700,273.3,125.3,3520
59.687743,18.358912,7875,274.7,128.5,3392
59.685276,18.363932,8050,275.2,133.4,3328
59.682017,18.36933,8225,276.2,138.2,3328
59.678759,18.373781,8400,277.2,143.2,3392
59.675446,18.377655,8575,278.0,148.1,3392
59.672148,18.380695,8725,279.1,153.2,3328
59.668098,18.383631,8900,281.0,158.3,3264
59.6647,18.385431,9050,282.2,163.1,3200
59.660843,18.386993,9225,283.4,167.8,3264
59.656265,18.388275,9425,284.8,171.9,3392
59.651572,18.389409,9625,285.2,172.9,3392
59.646561,18.390656,9825,286.3,172.8,3136
59.641068,18.392029,10025,287.4,172.6,2816
59.635232,18.393481,10225,289.5,172.5,2752
59.630402,18.394775,10400,291.5,172.5,2304
59.627458,18.395565,10475,292.6,172.3,1856
59.624359,18.396332,10525,295.7,172.2,1408
59.619095,18.397797,10600,301.8,172.2,960
59.609908,18.400205,10700,310.9,172.2,1088
59.599228,18.403015,10825,320.8,172.5,960
59.590309,18.405225,10925,329.8,172.5,960
59.581371,18.407498,11025,338.7,172.7,960
59.570114,18.410339,11125,347.8,172.7,1152
59.568011,18.410813,11150,350.8,172.8,1536
59.565264,18.411571,11200,351.8,172.8,1920
59.562983,18.412139,11250,352.8,172.8,2304
59.556326,18.413749,11450,354.7,172.9,2752
59.548691,18.415558,11650,356.7,172.9,2688
59.541802,18.417253,11850,358.7,172.9,2624
