lat,lon,alt,gs,track
43.805702,11.199973,-50.0,10.0,0.0
43.806313,11.200178,-50.0,10.0,0.0
43.806519,11.200251,-50.0,10.0,0.0
43.807217,11.200737,-50.0,10.0,0.0
43.807716,11.201493,-50.0,20.0,0.0
43.811684,11.207591,-50.0,20.0,0.0
43.812286,11.208529,-50.0,20.0,0.0
43.813477,11.210371,-50.0,20.0,0.0
43.814072,11.211276,-50.0,20.0,0.0
43.814232,11.211532,-50.0,20.0,0.0
43.814629,11.212234,-50.0,20.0,0.0
43.814873,11.213049,-50.0,10.0,0.0
43.814587,11.212107,-50.0,40.0,0.0
43.814255,11.211596,-50.0,50.0,0.0
43.807564,11.201216,137,50.0,228.0
43.806244,11.19922,300,130.0,228.0
43.803772,11.195324,575,130.0,228.0
43.802723,11.193695,700,132.5,228.4
43.801666,11.192066,800,132.5,228.4
43.800628,11.19036,900,133.8,231.7
43.799881,11.188809,975,135.1,236.8
43.799286,11.187276,1050,135.2,240.8
43.798782,11.185679,1125,136.5,248.5
43.798394,11.18382,1175,137.8,254.9
43.798161,11.18212,1250,138.6,261.3
43.798114,11.180355,1325,139.1,267.5
43.798207,11.178196,1400,139.4,274.1
43.798508,11.175906,1500,139.7,283.2
43.79892,11.174245,1575,139.9,290.5
43.799606,11.172265,1675,140.0,291.8
43.80011,11.171052,1750,141.7,300.5
43.801094,11.169107,1850,141.8,305.8
43.802078,11.167219,1950,142.2,306.7
43.80304,11.165431,2025,143.2,305.9
43.803701,11.164071,2125,142.6,305.6
43.804585,11.162306,2225,142.0,303.8
43.80542,11.160257,2325,141.7,300.5
43.805878,11.158916,2375,141.7,300.5
43.806773,11.15387,2575,139.4,278.2
43.806913,11.152169,2675,138.5,275.0
43.807006,11.150404,2750,137.2,273.3
43.807114,11.147802,2875,136.3,273.8
43.807192,11.146218,2950,136.3,273.8
43.807239,11.144518,3050,135.3,273.8
43.807343,11.142245,3150,134.3,273.8
43.807434,11.140584,3250,133.3,273.9
43.807564,11.138698,3350,132.3,273.9
43.807658,11.136671,3450,131.5,274.8
43.8078,11.134516,3550,131.5,274.8
43.807846,11.133813,3575,132.5,275.2
43.807892,11.132791,3600,134.5,275.1
43.808075,11.130364,3700,136.6,275.5
43.808216,11.128104,3750,139.8,276.2
43.808449,11.125554,3825,143.9,276.4
43.808635,11.12333,3875,148.1,277.0
43.808821,11.121041,3900,151.1,276.8
43.80899,11.11925,3925,155.2,277.0
43.809287,11.11581,4025,159.3,277.2
43.809659,11.11169,4125,163.4,277.4
43.809952,11.108583,4225,167.6,277.9
43.810226,11.105964,4300,170.7,278.1
43.81059,11.102665,4400,175.4,279.5
43.811142,11.099321,4475,180.2,283.8
43.811783,11.096191,4550,184.4,287.4
43.812452,11.093706,4625,188.7,291.1
43.813151,11.091483,4700,193.4,293.8
43.813896,11.089194,4750,197.7,296.4
43.814594,11.087363,4775,201.8,298.1
43.815262,11.08578,4800,206.7,300.5
43.816642,11.082851,4825,211.6,303.2
43.817184,11.081692,4850,214.2,304.7
43.817806,11.080627,4875,217.8,307.0
43.819199,11.078179,4900,222.4,309.3
43.820297,11.07639,4950,226.9,310.7
43.821671,11.074219,4975,231.6,311.7
43.823135,11.071983,5000,236.5,311.9
43.824921,11.069237,5050,241.5,311.8
43.826604,11.066633,5075,246.4,312.0
43.827988,11.06451,5125,250.6,312.1
43.830328,11.060944,5225,254.9,312.1
43.832889,11.05702,5300,259.9,312.0
43.834991,11.053779,5400,263.4,312.2
43.837125,11.05048,5500,266.9,312.1
43.838974,11.047711,5600,268.9,312.6
43.84108,11.044645,5700,271.6,313.8
43.843363,11.041456,5800,273.7,315.4
43.84465,11.039727,5900,273.7,316.3
43.846481,11.037363,6000,274.5,316.8
43.847786,11.035701,6100,273.8,316.9
43.849648,11.033282,6225,273.8,316.9
43.85151,11.030927,6375,273.1,317.1
43.852432,11.029699,6450,273.9,317.2
43.853897,11.027782,6550,273.9,317.2
43.855234,11.026154,6650,273.1,317.1
43.856506,11.024461,6750,273.1,317.1
43.857971,11.022545,6850,273.1,317.1
43.859284,11.020922,6950,272.4,316.9
43.862045,11.017307,7150,272.4,316.9
43.864243,11.014497,7350,272.3,316.6
43.867338,11.010393,7550,273.0,316.2
43.870056,11.006704,7750,274.4,315.6
43.872784,11.003004,7925,274.4,315.3
43.87567,10.99908,8125,274.4,315.3
43.877858,10.996072,8300,274.4,315.0
43.880539,10.992332,8500,275.1,314.9
43.883212,10.988617,8675,275.1,314.3
43.885895,10.984795,8875,275.8,314.4
43.888938,10.980508,9075,275.8,314.4
43.891033,10.9775,9250,275.8,314.1
43.893356,10.974192,9425,274.4,314.1
43.895462,10.97119,9600,274.4,313.8
43.898254,10.967102,9800,274.4,313.5
43.900726,10.963525,10000,275.9,313.2
43.903322,10.959647,10175,274.5,313.2
43.905579,10.956371,10375,274.5,313.2
43.90714,10.954023,10475,275.2,313.4
43.907885,10.952977,10550,276.6,313.4
43.90979,10.950175,10650,278.7,313.3
43.912628,10.94596,10775,280.9,313.1
43.917521,10.938721,10975,288.0,312.9
43.922424,10.931333,11175,293.7,312.6
43.927597,10.923476,11375,298.0,312.4
43.932129,10.916705,11575,302.2,312.5
43.936295,10.910382,11775,304.3,312.6
43.94075,10.903734,11975,308.6,312.6
43.949936,10.889878,12375,314.9,312.6
43.955647,10.881239,12675,317.0,312.7
43.96225,10.871419,13050,317.0,313.0
43.968449,10.862209,13450,316.9,313.2
43.974701,10.853023,13850,316.9,313.2
43.979296,10.846187,14100,319.1,313.1
43.981437,10.843113,14200,320.5,313.1
43.984406,10.838715,14300,323.3,313.1
43.986877,10.835074,14400,324.7,313.1
43.989349,10.83137,14450,329.0,313.1
43.993561,10.825174,14525,334.6,313.2
44.000473,10.814954,14600,343.8,313.1
44.006901,10.805446,14650,353.7,313.2
44.013016,10.796431,14725,361.5,313.1
44.017841,10.789228,14800,365.0,313.2
44.021896,10.783273,14900,367.9,313.2
44.026016,10.777205,15025,369.3,313.2
44.03702,10.760912,15425,372.1,313.3
44.048519,10.74404,15825,374.9,313.3
44.059365,10.727953,16225,377.1,313.2
44.069687,10.712756,16625,377.8,313.1
44.078731,10.699833,16975,379.0,315.2
44.086459,10.689893,17225,381.7,318.1
44.09697,10.677433,17575,384.4,320.6
44.107966,10.665567,17900,387.2,323.2
44.117065,10.656674,18175,390.2,325.9
44.127457,10.647477,18425,393.6,328.6
44.14444,10.633424,18800,397.7,329.3
44.161361,10.619332,19200,400.1,329.0
44.178131,10.605447,19600,402.3,329.0
44.195251,10.591155,19975,405.4,329.1
44.211917,10.577355,20375,407.7,329.2
44.218185,10.572117,20550,407.3,329.0
44.226116,10.565498,20775,405.9,329.0
44.237009,10.556388,21150,403.2,329.1
44.246887,10.548183,21525,401.0,329.1
44.25769,10.539158,21925,399.6,329.1
44.265592,10.532606,22150,398.7,329.1
44.278906,10.521486,22500,399.2,328.9
44.296463,10.506788,22875,401.5,329.0
44.314565,10.491608,23250,403.7,329.0
44.333232,10.476,23600,407.3,329.0
44.352356,10.4599,23950,410.9,328.9
44.372988,10.442639,24275,414.5,328.9
44.38416,10.43326,24425,416.7,328.9
44.413675,10.408407,24650,426.2,328.9
44.436764,10.389047,24950,429.8,328.9
44.456818,10.37214,25300,430.6,329.0
44.476593,10.35553,25650,430.6,329.0
44.49961,10.336125,25975,433.4,328.9
44.520745,10.318306,26325,432.5,328.8
44.534775,10.306484,26600,431.2,328.9
44.548164,10.295194,26925,428.9,328.8
44.558918,10.286151,27075,428.9,328.8
44.580185,10.268162,27400,426.2,328.9
44.601791,10.249852,27725,426.7,328.8
44.624417,10.230683,28050,427.5,328.9
44.645782,10.212577,28375,428.1,328.8
44.668808,10.193024,28700,428.9,328.8
44.691925,10.173405,29025,430.3,328.8
44.712726,10.155722,29325,430.3,328.8
44.740145,10.132409,29575,435.3,328.7
44.766724,10.109776,29850,438.4,328.8
44.782654,10.096174,29975,440.2,328.7
44.793869,10.086626,30000,443.3,328.8
44.829025,10.056545,30000,446.9,328.7
44.864067,10.026699,30000,448.3,328.7
44.898651,9.997035,30000,449.7,328.6
44.933896,9.966877,30000,451.1,328.6
44.969415,9.93633,30000,451.9,328.7
45.004211,9.906398,30000,453.3,328.6
45.03923,9.876317,30000,454.7,328.6
45.075211,9.845254,30000,457.4,328.5
45.110375,9.814877,30000,458.3,328.6
45.145662,9.78433,30000,459.6,328.5
45.181,9.753767,30000,459.6,328.5
45.216202,9.723227,30000,458.8,328.5
45.25208,9.692085,30000,458.8,328.5
45.287796,9.660972,30000,460.2,328.4
45.323864,9.629584,30000,461.0,328.5
45.360035,9.597964,30000,462.9,328.3
45.396194,9.566411,30000,465.1,328.4
45.432424,9.534659,30000,466.5,328.3
45.468109,9.50337,30000,467.9,328.3
45.504272,9.471654,30000,469.3,328.2
45.540099,9.440136,30000,470.1,328.3
45.576317,9.408211,30000,470.6,328.2
45.613093,9.375801,30000,461.2,328.2
45.648473,9.344559,30000,458.1,328.1
45.684082,9.313057,30000,457.3,328.0
45.719193,9.281907,30000,455.4,328.2
45.754519,9.250557,30000,454.5,328.1
45.789139,9.219807,30000,454.5,328.1
45.824295,9.188523,30000,456.8,328.1
45.859451,9.157171,30000,457.3,328.0
45.895157,9.125284,30000,457.3,328.0
45.930719,9.093452,30000,457.8,327.9
45.966293,9.061577,30000,458.7,328.0
45.997238,9.033843,29975,459.2,327.9
46.001199,9.030281,29950,460.6,327.9
46.004877,9.026985,29925,460.0,328.0
46.021774,9.011804,29650,460.0,328.0
46.042786,8.992912,29275,459.2,327.9
46.063067,8.974663,28900,456.4,328.0
46.082657,8.957073,28525,453.4,327.9
46.102524,8.939187,28150,451.1,327.9
46.122986,8.920764,27775,449.5,328.2
46.134757,8.910805,27550,447.8,330.6
46.144254,8.903664,27375,445.0,333.7
46.155473,8.896385,27175,442.2,337.0
46.166519,8.890284,26975,440.3,340.1
46.178101,8.884791,26775,438.4,342.9
46.188995,8.880571,26600,435.1,345.9
46.199982,8.877221,26400,432.7,349.2
46.211746,8.874475,26225,430.2,352.0
46.228793,8.871803,25925,427.2,354.2
46.250766,8.868576,25550,426.3,354.1
46.273087,8.86523,25200,427.3,354.1
46.282142,8.863838,25100,428.3,354.1
46.288879,8.862885,25050,429.3,354.1
46.301228,8.861023,25025,428.3,354.1
46.328201,8.85699,24975,426.3,354.1
46.332138,8.856387,24950,426.3,354.1
46.33428,8.856079,24900,426.3,354.1
46.340379,8.855186,24825,426.3,354.1
46.361847,8.851966,24425,424.2,354.2
46.380972,8.849144,24050,422.3,354.0
46.398755,8.846466,23650,420.3,354.0
46.416916,8.843726,23250,419.3,354.0
46.436509,8.840767,22850,417.2,354.1
46.454059,8.838089,22450,415.2,354.1
46.472717,8.835285,22050,412.2,354.0
46.490845,8.832539,21650,411.3,354.0
