lat,lon,alt,gs,track
47.454151,8.559139,-50.0,12.2,0.0
47.454478,8.558825,-50.0,9.8,0.0
47.453955,8.558667,-50.0,1.4,0.0
47.453955,8.558667,-50.0,0.2,0.0
47.454048,8.558702,-50.0,0.3,0.0
47.454048,8.558693,-50.0,0.2,0.0
47.454059,8.558702,-50.0,0.0,0.0
47.45406,8.558693,-50.0,0.2,0.0
47.454083,8.558702,-50.0,0.6,0.0
47.454094,8.558684,-50.0,0.0,0.0
47.454094,8.558667,-50.0,0.0,0.0
47.454106,8.558684,-50.0,0.0,0.0
47.454106,8.558684,-50.0,0.2,0.0
47.454094,8.558693,-50.0,0.3,0.0
47.454105,8.558693,-50.0,0.0,0.0
47.454105,8.558693,-50.0,0.0,0.0
47.454105,8.558693,-50.0,0.0,0.0
47.454106,8.558684,-50.0,0.2,0.0
47.454105,8.558693,-50.0,0.0,0.0
47.454106,8.558684,-50.0,0.0,0.0
47.454094,8.558676,-50.0,0.0,0.0
47.454094,8.558676,-50.0,0.2,0.0
47.454094,8.558676,-50.0,0.2,0.0
47.454094,8.558684,-50.0,0.3,0.0
47.454083,8.558684,-50.0,0.2,0.0
47.454083,8.558684,-50.0,0.0,0.0
47.454082,8.558676,-50.0,0.0,0.0
47.454071,8.558676,-50.0,0.0,0.0
47.454071,8.558649,-50.0,0.0,0.0
47.454082,8.558659,-50.0,0.0,0.0
47.454071,8.558649,-50.0,0.0,0.0
47.454082,8.558659,-50.0,0.0,0.0
47.454083,8.558667,-50.0,0.2,0.0
47.454234,8.558684,-50.0,3.8,0.0
47.454014,8.558985,-50.0,5.2,0.0
47.45399,8.55886,-50.0,5.2,0.0
47.45399,8.558614,-50.0,2.2,0.0
47.454024,8.558649,-50.0,1.6,0.0
47.454048,8.558659,-50.0,0.3,0.0
47.45406,8.558693,-50.0,0.0,0.0
47.454048,8.558676,-50.0,0.0,0.0
47.45406,8.55871,-50.0,0.0,0.0
47.454059,8.558702,-50.0,0.2,0.0
47.454071,8.558693,-50.0,0.2,0.0
47.454071,8.558684,-50.0,0.2,0.0
47.454071,8.558684,-50.0,0.0,0.0
47.454059,8.558667,-50.0,0.0,0.0
47.45406,8.558676,-50.0,0.2,0.0
47.454071,8.558676,-50.0,0.0,0.0
47.454071,8.558667,-50.0,0.2,0.0
47.454071,8.558676,-50.0,0.0,0.0
47.454071,8.558676,-50.0,0.2,0.0
47.454071,8.558676,-50.0,0.0,0.0
47.454071,8.558676,-50.0,0.0,0.0
47.454071,8.558684,-50.0,0.0,0.0
47.454059,8.558684,-50.0,0.0,0.0
47.454071,8.558693,-50.0,0.3,0.0
47.454071,8.558684,-50.0,0.2,0.0
47.454059,8.558684,-50.0,0.0,0.0
47.454082,8.558676,-50.0,1.1,0.0
47.454575,8.55847,-50.0,15.5,0.0
47.454346,8.561543,-50.0,12.8,0.0
47.454334,8.5618,-50.0,11.2,0.0
47.454118,8.562153,-50.0,9.8,0.0
