lat,lon,alt,gs,track,vs
23.839867,90.400536,250,157.0,144.0,-64
23.828974,90.409187,525,183.0,144.0,2752
23.826832,90.410851,700,182.0,145.0,0
23.824783,90.412506,850,177.0,144.0,3072
23.82312,90.413872,1000,175.0,143.0,3040
23.818172,90.418106,1350,173.0,142.0,2560
23.815659,90.42038,1525,173.0,140.0,2368
23.813751,90.421989,1650,172.0,142.0,2048
23.811237,90.424217,1775,171.0,141.0,1472
23.808151,90.426994,1875,173.0,140.0,1152
23.806229,90.428719,1925,175.0,141.0,704
23.804169,90.43055,1950,177.0,141.0,416
23.800716,90.433647,2000,183.0,141.0,416
23.796759,90.437172,2050,188.0,141.0,384
23.792175,90.441231,2100,195.0,141.0,480
23.789171,90.443909,2125,200.0,142.0,576
23.783615,90.44886,2200,205.0,141.0,512
23.782562,90.449776,2225,209.0,142.0,0
23.778976,90.45298,2250,213.0,141.0,448
23.774088,90.457176,2300,220.0,142.0,416
23.771807,90.458885,2350,223.0,146.0,768
23.768967,90.460716,2375,227.0,150.0,736
23.762869,90.463295,2450,233.0,159.0,768
23.760681,90.463768,2475,237.0,169.0,1024
23.756516,90.464172,2525,240.0,175.0,832
23.75061,90.463661,2600,246.0,184.0,928
23.746529,90.462563,2650,249.0,194.0,928
23.742371,90.460762,2725,252.0,202.0,0
23.737265,90.457436,2825,257.0,211.0,1280
23.733587,90.454063,2925,259.0,220.0,1696
23.727722,90.445862,3200,263.0,234.0,2368
23.726,90.442146,3325,263.0,243.0,0
23.724697,90.438416,3450,263.0,249.0,2624
23.72316,90.430336,3750,265.0,258.0,2752
23.722961,90.426025,3900,265.0,267.0,2720
23.72316,90.421936,4025,266.0,273.0,0
23.723831,90.417229,4150,269.0,279.0,2080
23.726,90.409653,4350,270.0,287.0,2080
23.731339,90.399681,4650,277.0,302.0,2016
23.73424,90.396027,4775,278.0,311.0,0
23.73922,90.390739,4975,280.7,319.0,2240
23.741734,90.388306,5075,280.7,319.0,2240
23.750672,90.379961,5400,280.7,319.0,2240
23.752625,90.378164,5475,280.7,319.0,2240
23.759704,90.37167,5725,283.1,319.7,2112
23.762217,90.369338,5825,285.2,319.5,2176
23.765076,90.366669,5925,285.2,319.5,2240
23.767897,90.364103,6025,285.2,319.5,2368
23.771016,90.361201,6150,285.2,319.5,2560
23.773087,90.359294,6250,285.2,319.5,2624
23.776794,90.355835,6400,284.5,319.7,2752
23.778418,90.354361,6475,283.1,319.7,2752
23.781509,90.351512,6625,283.1,319.7,2752
23.783166,90.350008,6700,283.1,319.7,2688
23.785126,90.348206,6775,281.7,319.8,2752
23.787169,90.346328,6875,281.7,319.8,2816
23.789218,90.344411,6975,280.3,319.8,2880
23.793457,90.340525,7175,279.5,319.6,2816
23.797737,90.336586,7375,278.1,319.7,2688
23.801833,90.332751,7575,276.7,319.7,2752
23.806,90.328929,7775,275.9,319.6,2944
23.809982,90.325267,7975,273.9,319.7,2880
23.814331,90.321248,8175,272.5,319.8,2624
23.818588,90.317332,8350,272.5,319.8,2240
23.821013,90.31508,8450,271.7,319.6,1792
23.823992,90.312333,8525,272.5,319.8,1408
23.832047,90.304921,8700,275.9,319.6,960
23.840751,90.29689,8850,279.5,319.6,1152
23.848199,90.289998,9025,282.3,319.6,1344
23.856354,90.28244,9200,283.7,319.6,1344
23.864958,90.274451,9375,286.4,319.0,1344
23.869241,90.270098,9475,286.4,316.0,1344
23.872313,90.266315,9550,286.9,311.5,1280
23.874315,90.263309,9600,286.3,305.2,1280
23.876317,90.259526,9675,285.5,298.5,1344
23.877853,90.255743,9750,285.5,292.9,1536
23.879436,90.250872,9850,284.6,289.1,1664
23.882276,90.24087,10050,284.5,286.3,1600
23.884689,90.232137,10200,285.0,286.7,1152
23.886745,90.224857,10275,288.8,287.1,704
23.891307,90.209518,10400,296.0,288.3,640
23.896614,90.19252,10525,303.9,289.2,640
23.902359,90.174967,10650,311.9,289.5,640
23.908585,90.155945,10750,321.1,289.9,640
23.910859,90.149145,10800,323.3,289.9,1024
23.91449,90.13821,10950,325.2,289.8,1472
23.918243,90.126851,11150,325.5,289.9,1728
23.921448,90.117238,11325,325.2,289.8,1920
23.924219,90.108827,11500,324.2,289.8,2048
23.927152,90.100069,11700,323.3,289.9,1984
23.930145,90.090993,11900,322.0,289.8,2048
23.935684,90.074209,12275,319.8,289.7,1728
23.94135,90.056953,12550,320.7,289.7,1280
23.94809,90.036519,12850,323.0,289.7,1280
23.956238,90.011597,13175,326.1,289.7,1216
23.964294,89.987132,13500,329.3,289.7,1152
23.972717,89.961904,13775,334.2,290.5,1152
23.98027,89.940898,14050,336.5,292.0,1344
23.988281,89.919586,14350,338.5,292.4,1280
23.997299,89.89563,14650,341.3,292.2,960
24.006244,89.871584,14950,343.7,291.9,1408
24.014191,89.850006,15250,344.7,291.8,1280
24.022956,89.826033,15550,347.4,291.6,1216
24.031357,89.802958,15850,348.4,291.6,1344
24.039505,89.780477,16150,349.7,291.6,1280
24.048203,89.756571,16425,352.5,291.5,960
24.057964,89.729436,16675,356.9,291.5,1024
24.068253,89.701029,16950,360.1,291.5,1088
24.077283,89.676162,17250,362.3,291.5,1344
24.085648,89.652913,17550,361.9,291.4,1408
24.093979,89.629974,17875,362.3,291.5,1344
24.102375,89.606772,18200,361.0,291.5,1600
24.110001,89.585673,18525,359.1,291.6,1600
24.116959,89.566294,18875,356.5,291.4,2048
24.123596,89.547933,19225,353.4,291.4,1600
24.131516,89.525308,19525,352.5,290.6,1216
24.140035,89.500174,19825,353.7,290.2,896
24.145156,89.48499,19925,356.9,290.2,448
24.156693,89.450684,20100,363.2,290.1,768
24.168228,89.416707,20300,368.9,290.3,512
24.18013,89.381561,20450,375.6,290.4,256
24.19162,89.347839,20600,379.7,290.3,704
24.202927,89.31465,20850,382.8,290.3,832
24.214142,89.281769,21075,384.1,290.4,1088
24.222519,89.25705,21375,382.8,290.3,1216
24.232488,89.227744,21625,382.8,290.3,768
24.244537,89.192301,21850,386.0,290.3,576
24.256835,89.15597,22050,388.2,290.4,768
24.26838,89.121975,22275,390.5,290.4,640
24.280623,89.085855,22450,394.2,290.2,576
24.292866,89.049631,22650,396.8,290.4,576
24.305435,89.012526,22825,399.9,290.3,576
24.318005,88.975369,23025,402.7,290.2,576
24.330713,88.937746,23225,405.0,290.2,576
24.343552,88.899638,23425,407.2,290.3,704
24.355453,88.86439,23650,408.1,290.2,704
24.368271,88.826396,23850,409.1,290.2,640
24.380402,88.790385,24075,410.0,290.1,640
24.393036,88.752696,24300,410.0,290.1,768
24.405075,88.716838,24550,409.1,290.2,896
24.415649,88.685354,24800,408.1,290.2,768
24.42852,88.647023,25025,407.8,290.1,640
24.438538,88.617655,25175,408.2,291.4,640
24.444809,88.601227,25275,408.4,293.7,640
24.45538,88.57613,25425,408.9,295.2,512
24.471208,88.539026,25575,410.7,294.8,448
24.486877,88.50179,25700,412.6,294.6,448
24.502441,88.464813,25825,413.9,294.7,448
24.518412,88.426675,25975,415.7,294.6,512
24.534286,88.388948,26125,417.0,294.7,384
24.55044,88.350444,26275,417.9,294.6,448
24.566345,88.312429,26425,420.2,294.6,448
24.582275,88.274434,26575,421.1,294.6,512
24.598114,88.236542,26750,422.0,294.5,512
24.613984,88.198605,26900,423.3,294.6,448
24.629791,88.160655,27025,425.6,294.6,384
24.645732,88.122478,27125,428.7,294.5,320
