lat,lon,alt,gs,track,vs
41.284515,28.756287,150,97.0,180.0,128
41.281357,28.756348,175,121.0,179.0,160
41.279591,28.756401,175,133.0,179.0,192
41.277592,28.756464,200,144.0,179.0,0
41.273392,28.756531,175,163.0,179.0,384
41.271027,28.75659,200,170.0,179.0,1440
41.26651,28.756714,450,166.0,179.0,3168
41.264183,28.756714,600,163.0,180.0,3040
41.261715,28.756777,775,156.0,173.4,3072
41.254623,28.757263,1300,156.0,173.4,3072
41.252498,28.757837,1450,156.1,168.6,2880
41.250543,28.758587,1575,156.2,166.7,2816
41.248541,28.759523,1675,156.2,166.7,2816
41.245655,28.761208,1750,163.3,155.0,1024
41.242722,28.763306,1825,169.8,150.0,896
41.240067,28.765503,1900,173.6,147.2,896
41.237927,28.767451,1950,177.5,145.3,896
41.235972,28.769386,2000,182.4,143.7,768
41.234576,28.770759,2025,183.6,143.2,832
41.231876,28.773568,2100,189.4,141.9,1024
41.22963,28.776001,2150,195.4,140.6,1088
41.226791,28.779114,2225,198.2,140.5,1152
41.224548,28.781555,2300,203.1,140.2,1152
41.221634,28.784804,2375,208.1,140.3,1088
41.219446,28.787176,2425,213.1,140.3,1088
41.213882,28.793152,2550,219.7,141.1,1024
41.210541,28.796631,2600,227.2,142.0,896
41.205853,28.801408,2700,235.4,142.6,1088
41.203106,28.804092,2775,239.2,143.0,1408
41.199829,28.807312,2875,242.4,143.6,1856
41.197632,28.809448,2950,243.2,143.7,1984
41.195844,28.811146,3025,244.8,144.0,2176
41.193144,28.813705,3125,246.4,144.2,2432
41.190262,28.816284,3275,247.2,145.2,2688
41.187232,28.818574,3400,247.2,150.4,2624
41.185089,28.819885,3500,247.3,154.4,2560
41.179688,28.822205,3700,246.9,166.4,2432
41.174011,28.823181,3875,247.3,170.7,2176
41.17187,28.823256,3925,249.1,178.2,1856
41.168427,28.823242,4025,249.1,178.2,1856
41.166138,28.82312,4100,251.2,182.1,2176
41.16349,28.822944,4200,253.3,182.9,2240
41.158585,28.822632,4350,255.4,183.1,2240
41.149796,28.821899,4625,259.5,183.5,2496
41.147232,28.821716,4725,259.6,183.8,2624
41.143473,28.821383,4875,260.6,183.7,2752
41.141192,28.821196,4975,260.6,183.7,2752
41.13393,28.820572,5250,260.6,183.7,2752
41.129321,28.820197,5425,262.5,183.5,2816
41.126993,28.82001,5525,262.5,183.5,2816
41.123657,28.819763,5650,263.5,183.5,2816
41.119545,28.819448,5800,264.5,183.5,2816
41.114227,28.819031,6000,265.5,183.5,2624
41.111618,28.818848,6100,266.4,183.2,2624
41.109055,28.818604,6175,266.4,183.2,2624
41.10665,28.81845,6275,268.4,183.0,2688
41.104065,28.818298,6375,269.4,183.0,2624
41.101227,28.818054,6475,269.4,183.0,2624
41.095367,28.817627,6650,271.4,183.2,2560
41.091614,28.817383,6800,271.4,183.2,2624
41.088402,28.817139,6900,271.4,183.0,2752
41.083145,28.816833,7100,272.3,182.7,2752
41.077698,28.816467,7300,273.4,182.9,2624
41.071381,28.81604,7500,275.3,182.7,2432
41.064835,28.815613,7700,278.3,182.7,2176
41.05777,28.815204,7900,281.3,182.6,2112
41.05101,28.814758,8075,283.3,182.8,2112
41.044363,28.81433,8275,285.3,182.8,2496
41.037964,28.813965,8475,286.3,182.8,2688
41.032586,28.813581,8675,286.3,182.8,2752
41.025835,28.813206,8875,288.3,182.8,2304
41.018573,28.812707,9075,290.3,182.8,2176
41.012522,28.812332,9250,291.3,182.8,2240
41.005005,28.81189,9450,294.3,182.7,2304
40.998596,28.811462,9650,294.3,182.7,2624
40.993011,28.811096,9825,295.3,182.7,2752
40.987244,28.810772,10025,295.3,182.7,2752
40.982895,28.810486,10150,296.3,182.7,2304
40.980773,28.810335,10200,296.3,182.7,2112
40.978585,28.81021,10250,298.3,182.7,1664
40.969321,28.809835,10400,306.0,180.8,1216
40.961243,28.81012,10525,311.2,177.8,1024
40.953049,28.810974,10600,319.6,174.2,960
40.940643,28.812866,10750,328.4,173.0,1088
40.927703,28.815016,10925,335.6,172.8,1472
40.922117,28.815953,11025,338.6,172.9,1856
40.915879,28.816951,11150,340.6,172.9,2304
40.908463,28.818176,11350,340.6,172.9,2624
40.901413,28.819275,11550,340.5,173.1,2880
40.894744,28.820385,11750,340.5,173.1,2816
40.88832,28.821383,11925,341.5,173.1,2560
40.878799,28.822876,12175,342.5,173.1,2112
40.870817,28.82413,12325,345.4,173.2,1664
40.850566,28.827251,12675,353.4,173.3,1856
40.834167,28.829773,13025,355.4,173.4,2304
40.818649,28.832153,13425,355.4,173.4,2560
40.811509,28.833244,13600,356.5,173.2,2112
40.79354,28.836053,13975,359.5,173.3,2176
40.77599,28.838737,14350,361.4,173.3,2176
40.758224,28.841492,14725,363.4,173.4,2048
40.739865,28.844292,15100,366.5,173.3,2112
40.721105,28.847226,15500,368.5,173.3,2176
40.702148,28.850159,15900,369.5,173.3,2176
40.683792,28.852966,16275,370.5,173.3,2240
40.674088,28.854919,16500,372.2,170.4,2112
40.667175,28.857056,16625,373.8,166.2,2112
40.661362,28.859375,16750,375.7,161.9,1984
40.654954,28.862645,16875,377.0,157.4,1984
40.648343,28.866827,17025,379.7,153.2,1984
40.630793,28.879124,17375,381.7,151.7,1664
40.611099,28.893066,17725,386.1,151.7,1536
40.600937,28.900635,17875,390.0,149.5,1408
40.594855,28.906028,17975,392.8,145.6,1408
40.589362,28.911584,18075,395.0,141.5,1536
40.584,28.917969,18175,396.9,136.9,1664
40.579865,28.923631,18275,398.9,133.6,1664
40.574936,28.931396,18375,400.8,129.3,1536
40.570999,28.938538,18475,402.8,125.0,1536
