lat,lon,alt,gs,track,vs
55.009644,-15.083421,37000,490.5,101.3,0
55.00119,-15.010986,37000,489.7,101.4,0
54.992205,-14.934914,37000,488.6,101.9,0
54.983127,-14.861672,37000,488.2,102.3,0
54.980576,-14.841398,37000,488.4,102.4,0
54.966508,-14.730086,37000,488.4,102.4,0
54.960846,-14.685005,37000,488.2,102.3,0
54.905685,-14.251529,37000,489.8,102.6,0
54.896866,-14.183516,37000,488.9,102.6,0
54.887741,-14.113393,37000,488.1,102.8,0
54.878199,-14.040361,37000,487.1,102.8,0
54.871445,-13.988989,37000,487.1,102.8,0
54.84343,-13.777744,37000,487.6,103.0,0
54.833542,-13.703748,37000,487.6,103.0,0
54.823593,-13.629705,37000,487.8,103.2,0
54.813491,-13.554882,37000,487.8,103.2,0
54.803741,-13.48281,37000,487.1,103.3,0
54.793799,-13.410228,37000,487.1,103.3,0
54.783508,-13.334979,37000,486.3,103.4,0
54.774765,-13.271565,37000,486.3,103.4,0
54.767395,-13.218088,37000,485.3,103.5,0
54.75705,-13.143688,37000,484.6,103.6,0
54.746782,-13.070235,37000,483.6,103.6,0
54.736496,-12.996826,37000,482.4,103.6,0
54.726105,-12.923234,37000,482.7,103.7,0
54.71553,-12.848511,37000,482.9,103.8,0
54.705093,-12.775322,37000,484.1,103.9,0
54.694611,-12.701569,37000,484.1,103.9,0
54.683945,-12.627411,37000,485.3,103.9,0
54.673415,-12.55471,37000,485.6,104.1,0
54.662933,-12.482246,37000,486.5,104.0,0
54.652084,-12.407927,37000,486.8,104.2,0
54.641294,-12.334317,37000,488.0,104.2,0
54.630478,-12.260661,37000,488.0,104.2,0
54.61988,-12.188499,37000,488.0,104.2,0
54.608894,-12.114591,37000,487.3,104.4,0
54.597931,-12.041096,37000,487.5,104.5,0
54.586782,-11.966858,37000,487.5,104.5,0
54.575638,-11.893023,37000,487.5,104.5,0
54.56439,-11.818376,37000,488.0,104.7,0
54.553024,-11.744142,37000,489.0,104.7,0
54.541859,-11.671309,37000,489.2,104.8,0
54.53036,-11.596236,37000,490.2,104.8,0
54.519002,-11.522577,37000,490.5,104.9,0
54.50755,-11.448586,37000,490.7,105.0,0
54.496033,-11.374081,37000,491.4,104.9,0
54.484589,-11.300408,37000,491.7,105.0,0
54.472824,-11.225281,37000,491.0,105.1,0
54.461151,-11.151365,37000,491.2,105.2,0
54.44922,-11.07605,37000,491.2,105.2,0
54.437714,-11.003615,37000,491.2,105.2,0
54.425711,-10.92865,37000,491.5,105.3,0
54.413933,-10.855075,37000,491.8,105.4,0
54.402016,-10.781084,37000,492.7,105.4,0
54.389923,-10.706419,37000,493.0,105.5,0
54.377792,-10.631777,37000,492.0,105.6,0
54.365799,-10.558427,37000,492.3,105.7,0
54.353788,-10.485035,37000,492.6,105.8,0
54.341684,-10.411543,37000,493.5,105.8,0
54.329681,-10.338862,37000,493.5,105.8,0
54.317505,-10.26535,37000,493.8,105.9,0
54.305327,-10.191983,37000,492.9,105.9,0
54.293084,-10.118658,37000,493.1,106.0,0
54.280561,-10.044334,37000,492.4,106.2,0
54.268085,-9.970577,37000,492.4,106.2,0
54.255661,-9.897661,37000,491.8,106.3,0
54.24304,-9.823716,37000,490.8,106.3,0
54.234787,-9.775478,36975,490.8,106.3,-448
54.231995,-9.759155,36925,490.5,106.2,-896
54.221741,-9.699201,36650,490.8,106.3,-960
54.211384,-9.638887,36400,489.8,106.4,-960
54.201189,-9.579674,36150,489.8,106.4,-960
54.190808,-9.519249,35875,491.1,106.4,-960
54.180405,-9.459385,35625,490.1,106.5,-960
54.170139,-9.4005,35350,491.4,106.6,-960
54.164646,-9.369076,35200,491.7,106.7,-1408
54.159393,-9.339007,34950,491.7,106.7,-1856
54.154816,-9.31311,34700,492.6,106.6,-2304
54.148224,-9.275678,34300,492.9,106.7,-2112
54.140485,-9.231908,33950,491.0,106.8,-1792
54.132706,-9.188023,33600,490.0,106.8,-1792
54.125309,-9.146522,33250,488.1,106.9,-1792
54.117675,-9.103385,32900,484.7,106.8,-1792
54.110001,-9.060503,32550,482.7,106.9,-1792
54.102545,-9.018564,32200,480.8,106.9,-1792
54.094803,-8.975438,31850,478.0,107.0,-1728
54.087043,-8.932289,31500,474.8,107.0,-1728
54.079193,-8.888724,31150,470.7,107.1,-1664
54.071495,-8.845852,30800,466.6,107.1,-1664
54.063812,-8.803345,30450,462.5,107.1,-1728
54.056133,-8.76087,30100,459.3,107.1,-1728
54.048265,-8.717409,29750,456.1,107.1,-1664
54.040817,-8.676372,29400,455.2,107.1,-1792
54.033417,-8.635411,29050,455.2,107.1,-1728
54.02606,-8.594782,28700,456.1,107.1,-1728
54.018631,-8.553877,28350,455.5,107.2,-1728
54.010744,-8.510769,28000,452.3,107.2,-1728
54.003433,-8.47093,27650,450.4,107.3,-1728
53.995801,-8.429664,27300,447.5,107.4,-1728
53.988419,-8.389631,26950,445.3,107.4,-1728
53.98109,-8.350256,26600,442.5,107.5,-1728
53.973363,-8.308491,26250,439.3,107.5,-1728
53.965942,-8.268624,25900,437.1,107.4,-1664
53.958847,-8.230486,25550,436.1,107.5,-1728
53.95134,-8.190308,25200,432.3,107.6,-1664
53.943802,-8.149917,24850,429.2,107.6,-1728
53.936554,-8.111363,24500,426.0,107.6,-1664
53.929001,-8.071184,24150,423.1,107.8,-1664
53.921736,-8.032621,23800,420.0,107.7,-1664
53.914521,-7.994331,23450,416.8,107.7,-1664
53.907211,-7.95575,23125,412.7,107.8,-1664
53.90007,-7.918004,22775,411.4,107.7,-1664
53.892874,-7.879863,22425,409.5,107.8,-1664
53.885565,-7.84133,22100,407.6,107.9,-1600
53.878464,-7.804138,21750,405.4,107.8,-1664
53.871367,-7.766849,21400,403.5,107.9,-1664
53.864384,-7.730094,21075,401.3,107.8,-1664
53.857308,-7.692934,20750,399.4,107.9,-1664
53.850494,-7.657314,20400,399.4,107.9,-1664
53.843389,-7.620392,20075,397.5,108.0,-1600
53.836578,-7.585118,19725,395.3,108.0,-1664
53.829529,-7.548628,19400,392.4,108.1,-1664
53.822301,-7.511175,19050,390.2,108.1,-1664
53.815365,-7.475388,18725,388.3,108.2,-1600
53.808521,-7.440087,18375,386.4,108.2,-1600
53.801492,-7.404139,18025,384.2,108.2,-1600
53.794602,-7.368595,17700,382.0,108.2,-1664
53.787759,-7.333536,17375,380.1,108.2,-1664
53.782654,-7.306222,17100,378.2,106.3,-1664
53.780124,-7.289429,16950,375.5,102.9,-1600
53.778214,-7.272871,16800,372.9,100.2,-1344
53.776199,-7.249799,16650,368.4,97.8,-1408
53.772862,-7.212363,16325,366.8,99.3,-1344
53.768921,-7.173915,16025,364.7,100.1,-1344
53.764948,-7.136832,15700,362.1,100.5,-1344
53.760898,-7.099672,15400,357.8,100.3,-1280
53.756941,-7.062997,15100,355.2,100.7,-1408
53.754288,-7.041913,14900,355.7,102.7,-1856
53.750793,-7.018145,14600,356.8,104.8,-2240
53.746857,-6.993975,14275,358.8,105.3,-1792
53.74521,-6.98375,14175,357.8,105.4,-1344
53.738646,-6.943844,13900,350.8,105.5,-1472
53.737106,-6.934413,13800,348.6,105.5,-1920
53.735779,-6.926331,13700,346.7,105.6,-2368
53.73185,-6.901999,13300,342.8,105.1,-2688
53.728684,-6.8814,12900,340.8,104.4,-2944
53.725754,-6.862688,12525,341.0,104.6,-3392
53.723007,-6.845189,12125,342.1,105.3,-3392
53.721542,-6.836164,11925,342.3,105.4,-3200
53.719803,-6.825649,11725,342.6,105.6,-2880
53.71788,-6.814113,11525,341.6,105.6,-2496
53.715775,-6.801636,11325,339.7,105.7,-2496
53.713881,-6.790197,11125,337.5,105.6,-2560
53.711832,-6.777837,10925,335.3,105.6,-2496
53.709784,-6.765559,10725,333.7,105.8,-2432
53.707809,-6.753924,10525,331.5,105.8,-2560
53.706024,-6.743251,10350,329.5,105.8,-2688
53.704239,-6.732657,10150,328.6,105.9,-2560
53.702408,-6.721671,9950,326.4,105.8,-2560
53.70038,-6.709738,9750,325.4,105.9,-2624
53.698425,-6.69805,9550,323.5,106.0,-2560
53.69661,-6.687443,9350,322.8,106.2,-2368
53.694794,-6.677022,9200,322.8,106.2,-1920
53.69256,-6.664016,9050,321.8,106.2,-1472
53.689636,-6.647121,8900,317.7,106.3,-1472
53.686707,-6.630171,8700,314.8,106.4,-1408
53.685391,-6.622656,8650,313.9,106.5,-960
53.683044,-6.609375,8575,311.7,106.4,-512
53.681154,-6.598259,8550,307.3,106.2,-384
53.678827,-6.58485,8525,302.6,105.9,-320
53.676819,-6.573042,8500,298.5,105.9,-384
53.674576,-6.55978,8450,294.4,106.0,-512
53.672333,-6.546674,8400,290.2,106.0,-512
53.669935,-6.532503,8350,285.4,106.3,-384
53.66677,-6.514569,8250,281.6,106.5,-832
53.663269,-6.494568,8100,278.4,106.5,-960
53.660252,-6.477087,7950,276.2,106.4,-1344
53.657455,-6.461217,7775,276.2,106.4,-1088
53.654205,-6.44254,7625,274.0,106.3,-960
53.651966,-6.431283,7525,274.3,109.8,-1216
53.649639,-6.421832,7450,274.6,113.4,-1216
53.646973,-6.413034,7350,275.5,117.7,-1280
53.643401,-6.402606,7225,276.3,120.9,-1216
53.638466,-6.389034,7050,276.5,121.4,-1472
53.636185,-6.382572,6950,276.5,121.4,-1536
53.633438,-6.375059,6850,277.3,121.3,-1472
53.630412,-6.366577,6750,276.8,121.1,-1280
53.627106,-6.357317,6650,276.8,121.1,-1088
53.623535,-6.34743,6550,275.4,121.0,-1280
53.620743,-6.339504,6450,274.9,120.9,-1728
53.618454,-6.333069,6350,276.6,120.6,-1856
53.61644,-6.32734,6250,277.5,120.5,-1920
53.614426,-6.321533,6150,278.4,120.4,-1856
53.612211,-6.3152,6050,279.7,120.5,-1792
53.610162,-6.309384,5950,280.6,120.4,-1728
53.607788,-6.302621,5850,281.1,120.6,-1536
53.605135,-6.295085,5750,282.5,120.7,-1408
