lat,lon,alt,gs,track,vs
41.79784,12.259182,-25,3.0,191.2,0
41.797955,12.259197,-25,3.0,191.2,0
41.798103,12.259259,-25,502.0,191.2,0
41.798172,12.25921,-25,3.0,191.2,0
41.799881,12.258954,-25,11.0,25.3,0
41.800392,12.25926,-25,10.2,25.3,0
41.800667,12.259431,-25,10.2,25.3,0
41.807991,12.270449,-25,14.8,0.0,0
41.80814,12.270386,-25,14.8,345.9,0
41.808266,12.270324,-25,14.2,343.1,0
41.808563,12.270184,-25,9.8,340.3,0
41.808655,12.270137,-25,7.2,340.3,0
41.808728,12.2701,-25,0.3,340.3,0
41.808728,12.2701,-25,0.0,340.3,0
41.808739,12.2701,-25,0.0,340.3,0
41.808907,12.270028,-25,4.8,340.3,0
41.809193,12.269876,-25,8.2,340.3,0
41.809554,12.269701,-25,6.8,340.3,0
41.809612,12.269669,-25,4.8,337.5,0
41.809647,12.269621,-25,4.2,329.1,0
41.809659,12.269525,-25,4.2,309.4,0
41.809659,12.269477,-25,4.2,298.1,0
41.809628,12.269403,-25,3.8,278.4,0
41.809612,12.269365,-25,3.2,270.0,0
41.809601,12.269333,-25,3.2,264.4,0
41.809577,12.269285,-25,3.2,258.8,0
41.809559,12.269216,-25,2.8,253.1,0
41.809536,12.269138,-25,2.8,253.1,0
41.809496,12.268966,-25,11.2,250.3,0
41.809467,12.268857,-25,15.5,250.3,0
41.809433,12.268732,-25,20.5,250.3,0
41.809414,12.268647,-25,26.5,250.3,0
41.809368,12.268487,-25,31.5,250.3,0
41.80931,12.268295,-25,36.5,250.3,0
41.809216,12.267936,-25,41.5,250.3,0
41.80917,12.2678,-25,46.5,250.3,0
41.80909,12.267515,-25,51.5,250.3,0
41.808952,12.267,-25,55.5,250.3,0
41.808849,12.26661,-25,60.5,250.3,0
41.808792,12.266423,-25,65.5,250.3,0
41.808689,12.266032,-25,71.0,250.3,0
41.807602,12.262178,0,101.2,249.8,64
41.80719,12.260617,0,109.8,249.8,64
41.807007,12.259868,0,113.9,250.0,64
41.806796,12.259145,0,117.4,249.6,64
41.806563,12.258443,0,121.5,249.8,64
41.806183,12.256997,0,125.0,249.4,64
41.806098,12.256654,0,132.3,249.6,0
41.805772,12.255377,0,136.0,250.2,0
41.805267,12.253688,-25,147.1,249.7,128
41.805038,12.252752,-50,150.3,249.8,128
41.804794,12.251864,-50,153.1,250.1,256
41.804306,12.25013,0,158.1,250.4,1024
41.803848,12.248383,50,159.1,250.5,1472
41.803619,12.247446,100,158.1,250.4,1984
41.803351,12.246562,150,157.2,250.3,2432
41.802887,12.244762,225,154.4,249.9,2688
41.802338,12.242827,325,152.2,250.0,2688
41.801815,12.240877,425,150.9,250.2,2624
41.801349,12.239153,500,150.9,250.2,2560
41.800873,12.237396,600,149.9,250.1,2688
41.800372,12.235512,700,149.6,250.5,2624
41.799866,12.233588,800,149.6,250.5,2752
41.799225,12.231341,900,149.0,250.0,2560
41.798742,12.229508,1000,149.0,250.0,2560
41.798172,12.227346,1100,148.7,250.4,2496
41.797718,12.225548,1200,148.3,250.7,2176
41.797253,12.223823,1250,149.3,250.8,1856
41.796799,12.222165,1300,151.8,250.4,1408
41.795903,12.218713,1400,155.3,250.1,1408
41.794922,12.214924,1475,160.0,251.8,1024
41.794373,12.21199,1525,164.9,256.0,896
41.79404,12.209962,1550,166.9,257.5,832
41.793808,12.207471,1575,171.8,261.6,832
41.793594,12.204812,1625,176.7,264.8,832
41.793365,12.201191,1675,181.6,265.3,896
41.793156,12.197826,1725,185.5,266.0,960
41.793016,12.19393,1775,190.4,266.4,1088
41.79283,12.189587,1850,195.3,267.1,1216
41.792644,12.184541,1925,200.2,267.7,1408
41.792542,12.180093,2025,204.1,268.0,1728
41.792458,12.176045,2125,206.1,268.3,1984
41.792365,12.171766,2225,207.1,268.3,1600
41.792272,12.168764,2275,210.1,268.4,1216
41.79213,12.165298,2325,214.3,266.8,1152
41.791806,12.161929,2375,217.9,262.4,1536
41.791294,12.158608,2450,218.7,258.1,1984
41.790503,12.155222,2550,220.4,251.5,2240
41.789658,12.152564,2650,220.3,249.3,2560
41.78864,12.149921,2750,219.6,242.0,2816
41.78743,12.147494,2850,220.0,237.2,3008
41.786127,12.145258,2950,219.3,230.0,3200
41.785056,12.143661,3050,218.8,227.8,3200
41.783659,12.141681,3150,218.5,225.6,2752
41.781937,12.139382,3250,219.2,224.3,2752
41.780502,12.137583,3350,217.8,223.9,2944
41.779097,12.135805,3450,215.8,223.3,3264
41.777985,12.134399,3525,215.1,222.7,3264
41.776886,12.133026,3625,215.1,222.7,3136
41.775101,12.130841,3725,215.9,222.6,3136
