lat,lon,alt,gs,track
43.351585,77.038291,2100,163.4,55.7
43.352051,77.039199,2125,168.9,55.4
43.352516,77.040122,2150,171.7,55.2
43.353447,77.041888,2225,175.1,54.8
43.354425,77.043719,2300,176.5,54.7
43.355263,77.045419,2375,177.0,54.4
43.35624,77.04725,2475,176.5,54.7
43.357078,77.048819,2550,175.7,54.5
43.358047,77.050696,2625,176.5,54.7
43.359055,77.05274,2725,177.3,54.9
43.360291,77.055097,2825,177.9,54.6
43.361175,77.056863,2925,178.7,54.8
43.362106,77.058629,3025,178.1,55.1
43.362851,77.060133,3100,178.9,55.2
43.36409,77.062577,3200,180.3,55.2
43.365179,77.064776,3300,181.1,55.3
43.366249,77.066934,3375,183.4,55.4
43.367752,77.069922,3475,186.4,55.7
43.368763,77.071969,3550,189.2,55.5
43.370087,77.074649,3650,191.4,55.7
43.371368,77.07714,3750,191.4,55.7
43.372879,77.080206,3850,195.6,55.4
43.374481,77.083336,3950,199.2,55.4
43.376211,77.086814,4025,201.9,55.3
43.377282,77.088906,4075,208.3,55.2
43.378922,77.092086,4150,211.1,55.0
43.38002,77.094194,4200,214.7,55.0
43.381531,77.097196,4300,217.5,54.9
43.382729,77.099435,4375,220.9,54.6
43.384094,77.102115,4475,222.3,54.5
43.385615,77.105124,4575,224.5,54.6
43.386887,77.107544,4650,226.7,54.7
43.388641,77.110944,4750,228.9,54.8
43.390177,77.113953,4850,232.5,54.8
43.391418,77.116359,4925,233.9,54.8
43.392458,77.118334,5000,235.3,54.7
43.394028,77.121405,5100,238.3,54.9
43.395624,77.124547,5200,241.9,54.9
43.39716,77.127555,5300,244.1,55.0
43.398836,77.13089,5400,246.3,55.1
43.400093,77.133375,5500,247.2,55.2
43.401256,77.135664,5575,249.4,55.3
43.402932,77.138999,5675,252.2,55.2
43.404608,77.142269,5775,254.4,55.2
43.406331,77.145735,5875,258.0,55.3
43.408218,77.149509,5950,260.2,55.3
43.410334,77.153582,6000,264.4,55.2
43.413034,77.15829,6075,268.5,51.8
43.415501,77.161822,6150,271.7,47.1
43.418335,77.165158,6200,273.5,41.4
43.421646,77.16823,6275,275.3,35.5
43.423874,77.169949,6350,276.5,31.4
43.427582,77.172312,6450,277.7,25.8
43.429933,77.173462,6550,277.6,22.2
43.432819,77.174508,6650,278.7,16.7
43.435181,77.175187,6750,278.5,13.3
43.43766,77.175816,6850,278.5,11.4
43.440174,77.176078,6950,278.6,7.8
43.443991,77.176143,7125,279.3,2.5
43.447906,77.175698,7300,280.4,356.9
43.451569,77.174803,7450,281.2,351.4
43.455276,77.173398,7625,281.1,346.2
43.459028,77.171565,7800,281.1,341.1
43.462985,77.168884,7975,282.5,336.0
43.466492,77.165925,8150,282.6,330.5
43.469513,77.162859,8325,283.2,325.4
43.472621,77.15914,8500,284.0,320.1
43.474949,77.155871,8650,283.6,315.1
43.47789,77.150723,8850,284.0,309.9
43.480069,77.146192,9025,283.8,304.8
