lat,lon,alt,gs,track,vs
63.991734,-22.616703,300,16.5,84.4,0
63.991734,-22.615277,300,15.5,84.4,0
63.99173,-22.61445,300,14.2,84.4,0
63.99173,-22.613434,300,13.2,84.4,0
63.991734,-22.612425,300,11.8,84.4,0
63.99173,-22.612088,300,11.2,84.4,0
63.99173,-22.611319,300,10.2,87.2,0
63.991734,-22.610524,300,9.8,84.4,0
63.991734,-22.609652,300,8.8,84.4,0
63.991734,-22.608464,300,5.8,87.2,0
63.991734,-22.608173,300,0.9,87.2,0
63.991734,-22.608094,300,1.9,87.2,0
63.99173,-22.607776,300,5.8,84.4,0
63.991742,-22.607034,300,9.8,84.4,0
63.991742,-22.606046,300,8.8,84.4,0
63.991745,-22.605796,300,7.2,87.2,0
63.99173,-22.605661,300,6.2,90.0,0
63.991707,-22.605551,300,6.2,101.2,0
63.991672,-22.605496,300,5.2,115.3,0
63.99166,-22.605469,300,4.8,123.8,0
63.991631,-22.605453,300,3.8,135.0,0
63.991619,-22.605453,300,3.8,137.8,0
63.991591,-22.605441,300,3.2,146.2,0
63.991562,-22.605453,300,3.2,154.7,0
63.991532,-22.605441,300,3.2,163.1,0
63.991493,-22.605453,300,3.2,168.8,0
63.991416,-22.605441,300,3.2,174.4,0
63.99123,-22.605441,300,4.2,174.4,0
63.991161,-22.605453,300,7.8,174.4,0
63.991113,-22.605441,300,10.2,177.2,0
63.991024,-22.605453,300,18.5,177.2,0
63.990864,-22.605453,300,24.5,177.2,0
63.990753,-22.605441,300,30.5,177.2,0
63.990612,-22.605453,300,36.5,177.2,0
63.990463,-22.605453,300,41.5,177.2,0
63.990182,-22.605441,300,47.5,177.2,0
63.989914,-22.605453,300,52.5,174.4,0
63.989765,-22.605453,300,58.5,177.2,0
63.989319,-22.605453,300,63.5,177.2,0
63.98917,-22.605453,300,68.5,177.2,0
63.988809,-22.605441,300,73.0,177.2,0
63.988438,-22.605453,300,79.0,177.2,0
63.987488,-22.605426,325,83.0,172.0,0
63.987076,-22.605426,325,93.0,180.0,128
63.986097,-22.605469,350,98.0,180.0,128
63.985632,-22.605469,350,102.0,180.0,64
63.984608,-22.605469,350,110.0,180.0,0
63.983963,-22.605426,325,114.0,180.0,-64
63.982978,-22.605469,275,121.0,180.5,-768
63.982635,-22.605426,275,125.0,180.0,-1088
63.98172,-22.605426,300,129.0,179.1,-960
63.981125,-22.605426,325,131.0,179.6,-192
63.98079,-22.605359,325,131.0,179.6,448
63.980164,-22.605426,350,131.0,179.6,1024
63.979568,-22.605426,400,131.0,180.0,1472
63.978696,-22.605359,450,130.0,180.0,1792
63.978137,-22.605359,500,130.0,180.0,2112
63.976368,-22.605359,600,130.0,180.0,2496
63.975174,-22.605426,700,131.0,180.0,2368
63.97316,-22.605426,800,133.0,180.0,2112
63.971558,-22.605426,900,134.0,180.0,1984
63.969618,-22.605359,975,138.0,179.6,1664
63.967849,-22.605359,1050,141.0,179.2,1536
63.965744,-22.605215,1150,145.1,178.4,1600
63.963985,-22.605139,1225,146.1,178.0,2048
63.962589,-22.604919,1325,146.1,177.6,2304
63.960892,-22.604687,1425,147.5,175.3,2496
63.959473,-22.60437,1525,148.0,173.4,2560
63.957916,-22.603736,1625,149.1,170.4,2432
63.955978,-22.602722,1725,152.3,164.8,2368
63.954346,-22.601412,1825,154.7,160.7,2176
63.95258,-22.599646,1925,157.9,154.9,2240
63.950997,-22.597559,2025,159.4,150.7,2368
63.949448,-22.595285,2125,161.7,145.3,2560
63.94812,-22.592856,2225,163.5,141.0,2560
63.946994,-22.590308,2325,165.5,136.0,2560
63.94569,-22.586792,2425,169.1,129.2,2432
63.944504,-22.583031,2500,172.9,125.3,1984
63.943451,-22.579123,2550,177.5,120.5,1600
63.942152,-22.573499,2650,182.0,117.1,1536
63.940988,-22.568005,2725,185.6,115.2,1600
63.940109,-22.563383,2825,189.0,113.7,1664
63.938893,-22.556799,2925,191.8,112.7,1728
63.937866,-22.551129,3025,194.2,112.1,1984
63.937124,-22.547021,3125,194.8,111.7,2240
63.936218,-22.541621,3225,194.4,111.4,2496
63.93544,-22.53729,3325,195.4,111.3,2496
63.934753,-22.53317,3425,196.3,111.2,2432
63.933746,-22.527255,3525,197.2,111.1,2240
63.932785,-22.521444,3625,199.1,110.9,2048
63.931824,-22.515846,3725,201.7,111.2,1856
63.930607,-22.508569,3825,204.8,111.2,1792
63.929489,-22.502324,3925,207.1,111.2,1792
63.928436,-22.495986,4025,208.9,111.0,1856
63.927255,-22.488904,4125,210.8,110.8,1920
63.926185,-22.482642,4225,213.0,110.9,1920
63.925003,-22.475386,4325,214.9,110.7,1792
63.92395,-22.469259,4425,217.1,110.8,1792
63.922647,-22.461438,4525,219.9,110.5,1792
63.921576,-22.454846,4625,220.9,110.4,1920
63.920552,-22.448584,4725,222.7,110.2,2112
63.919621,-22.442871,4825,222.7,110.2,2304
63.918777,-22.437462,4925,223.3,109.9,2368
63.917953,-22.432181,5025,223.0,109.7,2496
63.917247,-22.42771,5125,223.0,109.7,2624
63.916362,-22.421997,5225,222.3,109.2,2688
63.915664,-22.417273,5325,222.3,109.2,2624
63.914919,-22.412439,5425,222.0,108.9,2624
63.914267,-22.408044,5525,221.7,108.7,2624
63.913422,-22.402496,5625,220.4,108.5,2688
63.912731,-22.397827,5725,220.4,108.5,2752
63.912079,-22.393213,5825,219.1,108.3,2816
63.911407,-22.388763,5925,218.8,108.1,2880
63.910729,-22.384094,6025,217.9,108.2,2752
63.910124,-22.3797,6125,217.6,107.9,2688
63.909485,-22.375347,6225,217.6,107.9,2752
63.908728,-22.369812,6325,217.3,107.7,2624
63.908157,-22.365734,6400,217.3,107.7,2560
63.907471,-22.360769,6500,217.3,107.7,2496
63.906866,-22.356519,6600,217.0,107.4,2624
63.906074,-22.350916,6700,217.0,107.4,2496
63.905502,-22.346403,6800,216.7,107.2,2368
63.904724,-22.341015,6900,216.7,107.2,2624
63.904083,-22.33605,7000,217.0,107.4,2496
63.902676,-22.326196,7200,218.2,107.6,2496
63.901154,-22.315134,7400,218.5,107.8,2304
63.899597,-22.304464,7600,219.5,107.8,2240
63.898067,-22.293127,7800,220.1,107.4,2304
63.896301,-22.280696,8000,221.4,107.6,2112
63.894608,-22.268653,8150,226.1,108.0,1664
63.892248,-22.252917,8350,229.3,108.8,1856
63.89155,-22.248083,8375,232.4,108.8,1600
63.891037,-22.244779,8400,234.6,108.9,1280
63.889827,-22.236877,8450,239.1,109.0,960
63.888702,-22.229567,8475,243.5,109.2,832
63.887314,-22.220398,8525,248.0,109.3,960
63.885591,-22.208972,8600,252.1,109.2,1152
63.884055,-22.199084,8675,256.5,109.3,1280
63.881653,-22.183932,8800,260.3,109.8,1344
63.878586,-22.165234,8975,264.9,110.6,1472
63.875748,-22.148543,9125,269.5,111.3,1472
63.872231,-22.127673,9325,273.8,110.8,1472
63.869996,-22.112842,9475,278.6,108.0,1600
63.867575,-22.093835,9650,282.9,105.2,1536
63.865294,-22.072302,9825,287.2,102.9,1536
63.863297,-22.050511,10025,291.8,101.5,1536
63.861374,-22.028222,10225,294.2,100.8,1600
63.859662,-22.007373,10425,297.0,100.5,1664
63.857849,-21.985544,10625,298.1,100.6,1728
63.856077,-21.964417,10825,300.1,100.6,1728
63.85437,-21.943923,11025,301.3,100.7,1792
63.852493,-21.92146,11225,302.4,100.9,1664
63.850708,-21.9004,11425,303.6,101.0,1728
63.848955,-21.880042,11625,304.8,101.2,1792
63.846999,-21.858179,11825,305.0,101.3,1792
63.84375,-21.8217,12175,306.1,101.5,1792
63.840363,-21.784093,12550,306.3,101.7,1792
63.836898,-21.746667,12900,306.5,101.9,1792
63.833592,-21.710962,13250,306.5,101.9,1792
63.830246,-21.674758,13600,305.6,101.9,1792
63.826813,-21.638207,13950,305.6,101.9,1856
63.82338,-21.601551,14325,304.6,101.9,1728
63.819855,-21.563944,14675,304.8,102.1,1728
63.816089,-21.523975,15025,305.6,101.9,1600
63.812271,-21.481897,15325,307.7,101.1,1408
63.80896,-21.441826,15650,310.1,100.4,1408
63.805206,-21.397459,15950,311.8,101.1,1344
63.801378,-21.355334,16250,313.8,101.9,1408
63.797379,-21.312843,16575,315.2,102.3,1408
63.793185,-21.269312,16900,316.2,102.2,1344
63.788623,-21.221521,17225,317.2,102.2,1408
63.784433,-21.177686,17550,318.1,102.2,1472
63.780441,-21.135688,17875,318.1,102.2,1472
63.776138,-21.090687,18200,318.1,102.2,1408
63.771864,-21.046509,18525,318.1,102.2,1408
63.767487,-21.000894,18850,317.4,102.4,1408
63.763412,-20.958956,19175,316.2,102.2,1472
63.759435,-20.917419,19500,314.2,102.3,1472
63.754807,-20.87022,19850,314.4,102.5,1344
63.750458,-20.825641,20175,313.5,102.5,1344
63.746109,-20.781802,20500,311.5,102.6,1344
63.741698,-20.737354,20825,310.5,102.7,1344
63.737503,-20.695284,21125,309.6,102.7,1280
63.733133,-20.65155,21425,309.6,102.7,1216
63.72789,-20.599577,21750,309.8,102.9,1152
63.724101,-20.561682,21975,309.8,102.9,1152
63.72052,-20.526053,22175,309.8,102.9,1024
63.715257,-20.473901,22450,311.7,102.8,960
