lat,lon,alt,gs,track
43.098335,12.513252,-50.0,0.0,0.0
43.098335,12.513252,-50.0,0.0,0.0
43.098335,12.513252,-50.0,0.0,0.0
43.098341,12.513264,-50.0,0.0,0.0
43.098335,12.513252,-50.0,0.0,0.0
43.098341,12.513264,-50.0,0.0,0.0
43.098341,12.513264,-50.0,0.0,0.0
43.098335,12.513252,-50.0,0.0,0.0
43.098341,12.513264,-50.0,0.0,0.0
43.098341,12.512578,-50.0,0.4,0.0
43.098335,12.512565,-50.0,0.2,0.0
43.098341,12.512578,-50.0,0.3,0.0
43.098341,12.512578,-50.0,0.3,0.0
43.098341,12.512578,-50.0,0.3,0.0
43.098341,12.512398,-50.0,0.3,0.0
43.098335,12.512406,-50.0,0.3,0.0
43.098335,12.512406,-50.0,0.3,0.0
43.098335,12.51223,-50.0,0.3,0.0
43.098335,12.51223,-50.0,0.3,0.0
43.098341,12.512054,-50.0,0.3,0.0
43.098335,12.512054,-50.0,0.3,0.0
43.098341,12.512054,-50.0,0.3,0.0
43.098335,12.511879,-50.0,0.3,0.0
43.098341,12.511891,-50.0,0.3,0.0
43.098341,12.511891,-50.0,0.3,0.0
43.098335,12.511719,-50.0,0.3,0.0
43.098341,12.511711,-50.0,0.3,0.0
43.098341,12.511548,-50.0,0.3,0.0
43.098341,12.511548,-50.0,0.3,0.0
43.098341,12.511548,-50.0,0.3,0.0
43.098341,12.511548,-50.0,0.3,0.0
43.098167,12.511368,-50.0,0.3,0.0
43.098164,12.511368,-50.0,0.3,0.0
43.098167,12.511204,-50.0,0.3,0.0
43.098164,12.511192,-50.0,0.3,0.0
43.098164,12.511192,-50.0,0.3,0.0
43.098167,12.511024,-50.0,0.3,0.0
43.098167,12.511024,-50.0,0.3,0.0
43.098164,12.510857,-50.0,0.4,0.0
43.098167,12.510861,-50.0,0.4,0.0
43.098167,12.510861,-50.0,0.4,0.0
43.098167,12.510861,-50.0,0.4,0.0
43.098167,12.510681,-50.0,0.4,0.0
43.098167,12.510681,-50.0,0.4,0.0
43.098167,12.510518,-50.0,0.4,0.0
43.098164,12.510505,-50.0,0.4,0.0
43.098167,12.510518,-50.0,0.4,0.0
43.098167,12.510338,-50.0,1.4,0.0
43.098341,12.510518,-50.0,2.8,0.0
43.098341,12.510861,-50.0,4.8,0.0
43.098504,12.511024,-50.0,8.2,0.0
43.098853,12.510861,-50.0,8.8,0.0
43.099191,12.510861,-50.0,9.8,0.0
43.099365,12.511192,-50.0,11.2,0.0
43.099537,12.511543,-50.0,13.2,0.0
43.099709,12.512054,-50.0,14.8,0.0
43.09988,12.512565,-50.0,15.5,0.0
43.100052,12.513092,-50.0,15.5,0.0
43.100226,12.513608,-50.0,15.5,0.0
43.100401,12.514114,-50.0,15.5,0.0
43.100567,12.514625,-50.0,15.5,0.0
43.100739,12.514977,-50.0,14.8,0.0
43.10091,12.515488,-50.0,14.8,0.0
43.101082,12.515999,-50.0,14.8,0.0
43.101251,12.516518,-50.0,14.2,0.0
43.101425,12.517041,-50.0,13.2,0.0
43.1016,12.517548,-50.0,12.2,0.0
43.102112,12.517727,-50.0,11.8,0.0
43.102283,12.517899,-50.0,11.8,0.0
43.102627,12.518059,-50.0,12.2,0.0
43.10297,12.518059,-50.0,13.2,0.0
43.103313,12.518234,-50.0,14.8,0.0
43.10366,12.518414,-50.0,16.5,0.0
43.103997,12.518414,-50.0,16.5,0.0
