lat,lon,alt,gs,track,vs
28.561111,77.111453,1100,98.2,284.7,0
28.561241,77.110937,1100,102.4,284.7,64
28.56134,77.110396,1100,106.5,284.7,0
28.561613,77.10916,1100,110.6,284.7,0
28.561707,77.108864,1100,118.9,284.6,0
28.562119,77.107174,1100,123.0,284.6,0
28.562256,77.10654,1100,130.3,284.7,0
28.562405,77.105821,1100,133.4,284.8,0
28.562544,77.105174,1075,137.5,284.7,0
28.562897,77.103688,1075,147.7,284.5,0
28.563538,77.100836,1075,158.1,284.6,-64
28.563766,77.099991,1075,161.3,284.7,0
28.564267,77.09785,1025,167.6,284.9,192
28.564453,77.09698,1025,169.5,284.7,512
28.564779,77.095588,1075,172.7,284.8,832
28.564965,77.09478,1100,174.6,284.6,1344
28.565291,77.09338,1150,175.9,284.8,1728
28.565735,77.091434,1225,174.9,284.9,2304
28.566362,77.088803,1325,171.7,284.9,2688
28.566827,77.086918,1425,170.5,284.6,2624
28.567245,77.084832,1525,171.2,284.2,2496
28.567758,77.082555,1625,170.0,284.0,2688
28.568161,77.080818,1725,168.8,283.7,2880
28.568503,77.079109,1825,167.8,283.8,3008
28.568939,77.077173,1925,165.7,283.6,3072
28.569295,77.075393,2025,163.7,283.8,3136
28.56958,77.074162,2125,162.7,283.9,3200
28.569901,77.072683,2225,161.5,283.6,3200
28.570272,77.071031,2325,159.6,283.8,3200
28.570541,77.069726,2400,157.6,284.0,2880
28.570908,77.068088,2500,157.6,284.0,2560
28.571064,77.067422,2525,157.9,284.3,2304
28.571343,77.066184,2575,158.9,284.2,1856
28.571901,77.063599,2675,162.0,284.3,1472
28.572646,77.060206,2775,166.1,284.3,1472
28.573425,77.056943,2875,169.3,284.4,1472
28.574158,77.053722,2975,172.4,284.4,1280
28.574927,77.050189,3050,176.6,284.4,1088
28.575485,77.047859,3100,180.9,284.7,1024
28.576218,77.044584,3175,185.1,284.7,960
28.57695,77.041468,3225,189.2,284.7,1024
28.577362,77.039513,3250,191.1,284.5,1024
28.578093,77.03651,3325,195.5,284.8,960
28.578415,77.035129,3350,198.4,284.6,768
28.579071,77.032255,3350,202.5,284.6,320
28.579422,77.030798,3375,206.7,284.6,320
28.579955,77.028485,3375,211.0,284.8,512
28.580566,77.025727,3425,215.1,284.8,832
28.581528,77.02166,3475,219.3,284.8,1088
28.58226,77.018597,3525,223.1,284.5,1088
28.583359,77.013579,3600,227.3,284.5,1024
28.584274,77.009723,3675,231.4,284.5,1024
28.584869,77.006977,3700,235.5,284.5,1024
28.586007,77.001989,3775,239.6,284.5,1024
28.586891,76.998219,3825,243.8,284.5,1088
28.588055,76.993157,3900,248.1,284.7,1408
28.589127,76.98849,4000,251.0,284.5,1664
28.590197,76.983948,4100,253.2,284.6,1920
28.591128,76.979801,4200,254.4,284.8,2176
28.591919,76.976462,4300,255.4,284.7,2240
28.592697,76.973014,4400,256.4,284.7,2240
28.593613,76.969106,4500,257.3,284.6,2304
28.59434,76.966014,4600,257.6,284.9,2304
28.595224,76.962191,4700,258.6,284.8,2304
28.595856,76.95944,4800,258.6,284.8,2368
28.596817,76.955214,4900,259.5,284.7,2304
28.597552,76.95212,5000,260.5,284.7,2112
28.598465,76.948189,5100,261.5,284.6,2048
28.599243,76.944756,5200,262.7,284.8,1984
28.600296,76.940267,5300,263.7,284.7,1920
28.601212,76.936358,5400,264.6,284.7,1920
28.602219,76.932027,5500,266.6,284.6,2048
28.602997,76.928488,5600,267.5,284.5,2048
28.604004,76.924157,5700,268.7,284.7,2048
28.604919,76.920143,5800,270.7,284.5,1920
28.605835,76.916234,5900,271.6,284.5,1792
28.606955,76.911298,6000,273.8,284.6,1792
28.607941,76.906991,6100,274.8,284.5,1856
28.608902,76.902659,6200,277.0,284.6,1984
28.609909,76.898276,6300,277.0,284.6,2176
28.610773,76.894495,6400,277.7,284.4,2304
28.611603,76.890722,6500,278.0,283.7,2368
28.612123,76.88771,6600,278.3,282.2,2368
28.612656,76.884226,6675,278.5,279.1,2304
28.612976,76.881057,6775,278.8,276.6,2304
28.613205,76.876778,6875,280.2,272.2,2368
28.613113,76.873028,6975,280.2,268.0,2432
28.612588,76.866868,7150,280.8,263.5,2496
28.611786,76.862411,7275,281.9,257.3,2432
28.610641,76.858028,7400,282.8,252.7,2432
28.60919,76.853727,7525,283.6,248.1,2368
28.607235,76.849204,7675,284.4,243.2,2432
28.605047,76.845111,7800,286.2,237.0,2368
28.602021,76.840533,7950,286.4,232.1,2304
28.599655,76.837534,8050,288.0,227.4,2176
28.596313,76.834048,8150,289.5,222.6,2048
28.592757,76.830947,8275,290.8,217.7,1984
28.589871,76.828793,8350,292.4,212.7,1984
28.586334,76.826653,8450,294.8,207.7,1984
28.582443,76.824752,8575,296.2,202.8,1984
28.578186,76.823192,8675,298.2,197.8,1920
28.574158,76.822164,8750,300.6,192.9,1856
28.570039,76.821469,8850,302.8,187.8,1920
28.566827,76.821253,8925,304.3,182.6,1920
