lat,lon,alt,gs,track,vs
48.692654,9.236667,1175,89.0,255.9,128
48.692617,9.236466,1200,89.0,253.7,128
48.692413,9.235488,1200,93.7,253.9,128
48.692384,9.235093,1200,98.8,254.1,128
48.692184,9.234079,1200,103.2,253.7,128
48.692001,9.233305,1200,107.3,253.8,128
48.691818,9.232178,1200,111.4,253.8,128
48.691681,9.231403,1200,115.5,253.9,192
48.691592,9.230973,1200,119.6,254.0,128
48.69136,9.229744,1200,123.8,254.1,128
48.691267,9.229311,1200,127.9,254.1,128
48.691132,9.228516,1200,132.0,254.2,128
48.690857,9.227178,1200,135.2,254.1,128
48.690674,9.226262,1200,139.3,254.2,128
48.690289,9.224179,1200,149.7,254.1,256
48.689896,9.221966,1175,156.0,254.0,320
48.689451,9.219842,1200,159.5,253.6,640
48.689125,9.218108,1250,163.9,253.3,1216
48.688889,9.216895,1275,166.1,253.2,1408
48.68866,9.215795,1325,166.1,253.2,2048
48.688431,9.214783,1350,167.0,253.3,2368
48.68811,9.213022,1425,166.1,253.2,2816
48.687682,9.210807,1525,163.9,253.3,3264
48.687217,9.208567,1625,162.6,253.6,3264
48.686874,9.206895,1725,161.7,253.5,3200
48.686472,9.204808,1825,160.7,253.4,3264
48.686188,9.203233,1925,160.7,253.4,3264
48.68582,9.201483,2000,158.2,253.9,3392
48.685541,9.199966,2075,158.2,253.9,3328
48.685226,9.198233,2175,158.2,253.9,3264
48.684842,9.196207,2275,157.0,254.1,3392
48.68454,9.194641,2375,156.0,254.0,3456
48.684265,9.193021,2475,155.8,254.4,3520
48.683865,9.191075,2575,154.8,254.3,3392
48.683533,9.189078,2675,154.5,254.6,2944
48.683167,9.1871,2775,154.5,254.6,2560
48.682846,9.185345,2825,154.3,255.0,2240
48.682422,9.182908,2900,155.2,255.1,1792
48.681863,9.179728,2975,157.2,255.3,1344
48.681211,9.175969,3050,161.0,255.6,1152
48.680746,9.173078,3100,164.2,255.5,960
48.680237,9.170063,3150,167.1,255.8,896
48.680008,9.168725,3150,170.3,255.7,896
48.679629,9.166501,3175,173.2,256.0,896
48.678909,9.162175,3250,177.5,255.6,1088
