lat,lon,alt,gs,track,vs
25.250213,55.376431,325,64.7,301.7,-64
25.250336,55.37618,325,92.4,301.3,-64
25.251068,55.374908,325,106.3,301.1,-64
25.253053,55.371301,300,138.2,301.4,0
25.254547,55.368551,325,138.2,301.4,0
25.256149,55.365753,400,164.3,301.6,1280
25.257339,55.363617,475,164.3,301.6,1280
25.258546,55.361403,600,171.0,301.4,2688
25.25957,55.359589,700,171.8,301.2,2688
25.260635,55.357666,800,176.3,301.1,2688
25.261432,55.356169,875,179.4,300.9,2560
25.262512,55.354207,975,181.6,300.8,2496
25.26362,55.352127,1075,182.5,300.6,2496
25.264618,55.350342,1175,183.0,300.9,2688
25.265488,55.348714,1250,184.4,301.0,2752
25.266357,55.347087,1350,185.7,301.1,2432
25.267456,55.345154,1425,187.6,301.5,2112
25.268927,55.34254,1525,190.4,301.7,1664
25.27121,55.33844,1675,195.4,301.8,1984
25.271906,55.337202,1725,197.1,301.5,2432
25.272884,55.33544,1825,197.6,301.8,2624
25.273727,55.333964,1900,198.4,301.6,2624
25.274872,55.331879,2000,197.6,301.8,2560
25.276062,55.329844,2100,196.2,301.7,2432
25.277307,55.327615,2200,194.0,301.7,2368
25.277939,55.326487,2250,193.1,301.9,2368
25.278854,55.324809,2350,191.8,301.8,2432
25.279816,55.32313,2425,191.2,301.5,2560
25.280844,55.321293,2525,189.9,301.4,2560
25.281776,55.319582,2600,189.9,301.4,2432
25.282928,55.317485,2700,189.9,301.4,2176
25.283963,55.315644,2775,192.1,301.4,1792
25.285267,55.313312,2850,193.5,301.5,1600
25.286989,55.310306,2950,195.3,302.9,1344
25.288879,55.307515,3000,198.4,305.8,1024
25.290894,55.305023,3050,206.0,312.4,896
25.292715,55.303103,3100,211.0,317.7,1152
25.294693,55.30131,3175,214.6,322.4,1536
25.297394,55.299327,3275,218.3,327.0,1856
25.300117,55.297765,3375,222.4,335.3,2240
25.302538,55.296729,3475,223.5,336.5,2240
25.304446,55.296107,3550,226.2,343.6,2432
25.30696,55.295485,3650,228.5,348.6,2496
25.310778,55.294915,3800,231.5,353.5,2688
25.315945,55.2945,4000,233.4,356.6,2752
25.318086,55.294397,4100,234.3,357.1,2688
25.320923,55.294291,4200,235.1,358.8,2560
25.323578,55.294291,4300,237.0,0.0,2496
25.325775,55.294342,4400,238.1,1.2,2560
25.32843,55.294444,4500,239.1,1.9,2560
25.331085,55.294545,4600,240.3,2.6,2560
25.334007,55.294708,4700,241.3,2.8,2624
25.337592,55.294915,4850,241.3,2.8,2560
25.340292,55.29507,4950,242.3,2.8,2368
25.343674,55.295207,5050,243.2,2.6,2048
25.346466,55.295359,5125,243.2,2.4,1664
25.350449,55.295512,5200,243.2,2.1,1216
25.353838,55.29564,5250,243.2,2.1,832
25.356857,55.295766,5300,244.2,2.1,384
25.362625,55.296021,5300,244.1,1.9,-64
25.371482,55.296314,5325,243.1,1.6,384
25.37439,55.296377,5350,242.1,1.7,768
25.380249,55.296682,5450,243.6,4.0,1088
25.384369,55.297241,5500,244.8,8.7,960
25.38852,55.298232,5575,244.7,13.5,1216
25.391965,55.299424,5650,244.8,19.3,1600
