lat,lon,alt,gs,track,vs
-13.720248,33.696564,5525,160.0,132.0,-1024
-13.722931,33.699802,5500,148.0,130.0,-384
-13.72435,33.701508,5500,143.0,131.0,-64
-13.726135,33.703735,5475,137.0,130.0,-448
-13.814749,33.812256,4175,198.0,130.0,384
-13.81838,33.816544,4275,200.0,131.0,1216
-13.82016,33.81871,4325,204.0,130.0,1088
-13.821899,33.820843,4350,209.0,130.0,832
-13.825643,33.825314,4425,218.0,131.0,832
-13.828125,33.828373,4450,223.0,130.0,640
-13.829599,33.830181,4475,226.0,130.0,896
-13.833789,33.835194,4525,236.0,131.0,512
-13.836303,33.837795,4575,241.0,135.0,640
-13.839096,33.840157,4650,245.0,141.0,896
-13.84431,33.843143,4775,250.0,151.0,1728
-13.848907,33.844757,4925,250.0,161.0,2176
-13.855316,33.845703,5150,249.0,172.0,2368
-13.858566,33.845848,5250,250.0,178.0,2304
-13.862778,33.845608,5325,251.0,183.0,1856
-13.86557,33.845184,5375,253.0,188.0,1664
-13.872753,33.843433,5450,261.0,193.0,768
-13.876236,33.842201,5475,264.0,199.0,640
-13.879177,33.840878,5500,266.0,204.0,704
-13.8853,33.837086,5625,268.0,211.0,1344
-13.888953,33.833988,5750,267.0,220.0,1664
-13.894074,33.828445,5925,267.0,226.0,1920
-13.896286,33.82539,6000,268.0,233.0,1664
-13.901367,33.815304,6125,274.0,245.0,960
-13.902547,33.811581,6150,277.0,252.0,704
-13.903107,33.809288,6200,280.0,256.0,0
-13.904129,33.799969,6275,283.0,264.0,1088
-13.904037,33.796211,6375,283.0,271.0,1600
-13.902695,33.787506,6650,279.0,279.0,2624
-13.901962,33.784946,6725,279.0,286.0,2560
-13.900358,33.780212,6850,279.0,289.0,2368
-13.896867,33.773033,7000,282.0,297.0,1664
-13.89454,33.769421,7050,284.0,304.0,1280
-13.892631,33.766815,7100,286.0,307.0,1152
-13.883413,33.757614,7325,291.0,318.0,1664
-13.880481,33.755157,7400,291.0,321.0,1728
-13.874451,33.750046,7575,291.0,321.0,1920
-13.868317,33.744648,7800,288.0,319.0,2432
-13.862512,33.739494,8050,286.0,319.0,2688
-13.855957,33.734421,8275,287.0,324.0,2240
-13.849058,33.729713,8425,290.0,326.0,1472
-13.842261,33.725185,8550,291.0,327.0,1344
-13.836442,33.721138,8675,292.0,326.0,1664
-13.828808,33.715836,8875,293.0,326.0,1856
-13.818604,33.708942,9125,294.0,327.0,1728
-13.815857,33.707096,9200,293.0,327.0,1856
-13.80879,33.702343,9400,293.0,327.0,2112
-13.801712,33.697624,9600,293.0,327.0,2112
-13.794685,33.692947,9825,290.0,327.0,2304
-13.78435,33.686058,10150,288.0,327.0,2240
-13.781651,33.684277,10250,288.0,327.0,2048
-13.778066,33.681915,10325,288.0,327.0,0
-13.776716,33.681,10375,288.0,327.0,1984
-13.767517,33.674942,10600,287.0,327.0,1856
-13.757629,33.668407,10850,287.0,327.0,1792
-13.753859,33.665916,10950,287.0,327.0,0
-13.752274,33.664856,11000,287.0,327.0,0
-13.740601,33.657185,11275,287.0,328.0,0
-13.73724,33.65498,11350,287.0,328.0,1728
-13.730759,33.65065,11525,287.0,327.0,0
-13.72737,33.648426,11600,288.0,328.0,1664
-13.717255,33.641701,11800,290.0,327.0,1408
-13.713684,33.639286,11875,290.0,327.0,0
-13.71048,33.637154,11950,291.0,327.0,1472
-13.703705,33.632656,12100,292.0,327.0,1600
-13.701416,33.631138,12150,292.0,327.0,0
-13.66983,33.610207,12700,292.0,327.0,0
-13.648224,33.59586,13025,292.0,327.0,0
-13.644693,33.593494,13075,303.0,327.0,1344
-13.641129,33.591125,13150,303.0,327.0,1408
-13.637375,33.588615,13225,303.0,327.0,0
-13.634266,33.586555,13275,304.0,327.0,1280
-13.623838,33.579617,13425,306.0,327.0,1152
-13.619043,33.576435,13500,306.0,327.0,0
-13.61667,33.574844,13550,307.0,327.0,1216
-13.613113,33.572418,13625,307.0,326.0,1344
-13.607391,33.56863,13725,307.0,327.0,0
-13.569511,33.543427,14275,313.0,327.0,1024
-13.555115,33.53392,14550,312.0,327.0,1472
-13.551224,33.531315,14625,312.0,327.0,0
-13.547539,33.528877,14675,313.0,327.0,1344
-13.521744,33.511757,15025,318.0,327.0,1024
-13.509087,33.503338,15225,319.0,327.0,1344
-13.498612,33.496349,15400,319.0,327.0,1344
