lat,lon,alt,gs,track
37.46315,126.431763,-50.0,0.0,0.0
37.463657,126.430412,-50.0,0.0,0.0
37.462589,126.431015,-50.0,0.0,0.0
37.461559,126.431686,-50.0,0.0,0.0
37.460503,126.432602,-50.0,0.0,0.0
37.459557,126.433456,-50.0,0.0,0.0
37.460224,126.435608,-50.0,10.0,0.0
37.460747,126.436523,-50.0,10.0,0.0
37.461056,126.437065,-50.0,10.0,0.0
37.461189,126.437294,-50.0,10.0,0.0
37.462158,126.439026,-50.0,10.0,0.0
37.463028,126.440559,-50.0,10.0,0.0
37.464169,126.442574,-50.0,10.0,0.0
37.464752,126.443611,-50.0,10.0,0.0
37.465137,126.44429,-50.0,10.0,0.0
37.46537,126.444748,-50.0,10.0,0.0
37.465508,126.445084,-50.0,10.0,0.0
37.465694,126.445488,-50.0,10.0,0.0
37.465942,126.445915,-50.0,10.0,0.0
37.466114,126.44622,-50.0,10.0,0.0
37.465965,126.447769,-50.0,10.0,0.0
37.465603,126.448097,-50.0,10.0,0.0
37.465199,126.448456,-50.0,10.0,0.0
37.464882,126.448723,-50.0,10.0,0.0
37.464554,126.449028,-50.0,10.0,0.0
37.464401,126.449158,-50.0,10.0,0.0
37.464157,126.449379,-50.0,10.0,0.0
37.463619,126.44986,-50.0,10.0,0.0
37.463345,126.450096,-50.0,10.0,0.0
37.462147,126.451187,-50.0,20.0,0.0
37.461819,126.451469,-50.0,10.0,0.0
37.46154,126.451729,-50.0,10.0,0.0
37.46101,126.452202,-50.0,10.0,0.0
37.460773,126.452415,-50.0,10.0,0.0
37.459843,126.453239,-50.0,10.0,0.0
37.459476,126.45356,-50.0,10.0,0.0
37.459106,126.453873,-50.0,10.0,0.0
37.458969,126.453995,-50.0,10.0,0.0
37.458012,126.454857,-50.0,10.0,0.0
37.457047,126.455696,-50.0,10.0,0.0
37.456013,126.456619,-50.0,0.0,0.0
37.455021,126.45752,-50.0,0.0,0.0
37.454052,126.458366,-50.0,0.0,0.0
37.4538,126.459831,-50.0,0.0,0.0
37.454899,126.460266,-50.0,0.0,0.0
37.455288,126.459938,-50.0,20.0,0.0
37.455791,126.459488,-50.0,40.0,0.0
37.456745,126.458649,-50.0,50.0,0.0
37.457886,126.457619,-50.0,70.0,0.0
37.459236,126.456398,100,90.0,324.0
37.460632,126.455147,-50.0,110.0,0.0
37.46283,126.453224,100,120.0,325.0
37.464798,126.451469,100,140.0,325.0
37.46727,126.449249,75,150.0,324.0
37.469711,126.447144,75,160.0,326.0
37.471153,126.445831,100,180.0,324.0
37.475155,126.442368,150,180.0,326.0
37.478275,126.439621,275,190.0,325.0
37.481068,126.437111,450,180.0,324.0
37.48407,126.434402,650,190.0,324.0
37.486588,126.432121,800,190.0,324.0
37.48917,126.429825,950,190.0,325.0
37.492905,126.426628,1175,190.0,326.0
37.495422,126.42453,1350,190.0,326.0
37.497574,126.422714,1525,190.0,326.0
37.661591,126.414772,6100,0.0,358.0
37.382629,128.181702,26600,539.1,110.2
37.359146,128.261407,26925,539.1,110.2
37.335266,128.342636,27400,551.0,110.0
37.322479,128.385941,27725,553.0,111.0
37.302681,128.452744,28075,558.8,110.3
37.295418,128.47699,28250,558.8,110.3
37.270794,128.560104,28675,564.0,110.0
37.265213,128.578842,28775,565.0,110.0
37.260132,128.596085,28900,567.0,110.0
37.25885,128.600342,28950,560.0,111.0
37.244339,128.649033,29200,569.0,110.0
37.226753,128.707764,29475,572.0,111.0
37.21693,128.740479,29600,576.0,110.0
37.200439,128.795639,29800,580.0,111.0
37.191193,128.826553,29875,580.0,110.0
37.178757,128.867905,29975,588.0,111.0
37.162994,128.920532,30275,590.0,111.0
37.142212,128.989716,30600,593.0,111.0
37.127014,129.040146,30825,590.0,111.0
37.114937,129.080093,31000,590.0,111.0
37.108887,129.100113,31000,597.0,111.0
37.089386,129.164566,31000,596.0,111.0
37.072037,129.221771,31000,590.0,111.0
37.056473,129.272797,31000,590.0,111.0
37.044754,129.311249,31000,593.0,111.0
37.030151,129.3591,31000,590.0,111.0
37.026253,129.371841,31000,580.0,111.0
37.006393,129.436417,31000,580.0,111.0
36.990128,129.489166,31000,580.0,111.0
36.973232,129.544037,31000,580.0,111.0
36.951187,129.615524,31000,580.0,111.0
36.936768,129.662048,31000,580.0,111.0
36.918777,129.720139,31000,580.0,111.0
36.900375,129.779388,31000,583.0,111.0
36.891949,129.806931,31000,580.0,110.0
36.86993,129.87738,31000,580.0,111.0
36.852894,129.932022,31000,582.0,111.0
36.834915,129.989487,31000,582.0,111.0
36.81459,130.054092,31000,583.0,111.0
36.799484,130.102219,31000,580.0,111.0
36.778175,130.170166,31000,581.0,111.0
36.768074,130.202194,31000,581.0,112.0
36.752014,130.253204,31000,581.0,111.0
36.743866,130.278976,31000,579.0,112.0
36.729065,130.32579,31000,579.0,111.0
36.708023,130.39209,31000,579.0,112.0
36.689667,130.449951,31000,578.0,111.0
36.67725,130.488892,31000,578.0,112.0
36.643406,130.595184,31000,578.0,112.0
36.632172,130.630356,31000,578.0,112.0
36.608402,130.704636,31000,578.0,112.0
36.599415,130.732681,31000,577.0,112.0
36.566875,130.833496,31000,578.0,112.0
36.565804,130.836884,32125,578.0,112.0
36.56163,130.849854,31000,577.0,112.0
36.528145,130.953522,31000,578.0,112.0
36.513153,130.999695,31000,578.0,112.0
36.374725,131.468124,31000,580.0,109.0
36.372612,131.488403,31000,580.0,97.0
36.371979,131.495758,31000,580.0,96.0
36.346985,132.230358,31000,0.0,0.0
36.345291,132.276936,31000,581.6,92.6
36.341144,132.38952,31000,581.6,92.6
36.339142,132.442582,31000,580.6,92.7
36.337097,132.494602,31000,579.7,92.8
36.33472,132.556886,31000,579.7,92.8
36.332113,132.622862,31000,580.7,92.9
36.329453,132.68858,31000,580.7,92.9
36.326713,132.754932,31000,580.7,92.9
36.324234,132.817154,31000,579.7,92.9
36.321499,132.882327,31000,578.8,93.0
36.319107,132.939835,31000,577.8,93.0
36.316425,133.003527,31000,577.8,93.0
36.314621,133.046093,31000,577.8,93.0
36.31311,133.080719,31000,577.0,93.0
36.310093,133.149857,31000,576.0,93.0
36.307953,133.199814,31000,576.0,93.0
36.304368,133.279237,31000,573.9,93.2
36.301575,133.341465,31000,573.9,93.2
36.298968,133.397749,31000,573.0,93.3
36.295942,133.462849,31000,573.0,93.3
36.292963,133.525495,31000,572.0,93.3
36.29003,133.587147,31000,571.0,93.4
36.286972,133.652058,31000,572.0,93.4
36.283997,133.713055,31000,572.1,93.5
36.280884,133.776112,31000,572.1,93.5
36.277787,133.838839,31000,573.1,93.5
36.274761,133.899322,31000,573.1,93.5
36.271502,133.964363,31000,573.1,93.6
36.268243,134.028587,31000,575.2,93.7
36.264862,134.093914,31000,575.2,93.7
36.261493,134.15826,31000,576.2,93.7
36.258087,134.222031,31000,577.3,93.8
36.2547,134.285545,31000,577.3,93.8
36.251404,134.347172,31000,577.3,93.8
36.247947,134.412348,31000,578.1,93.5
36.247667,134.433444,31000,578.1,90.8
36.248319,134.452554,31000,576.6,87.4
36.249948,134.473182,31000,576.7,84.4
36.252322,134.492642,31000,575.6,82.0
36.254836,134.50842,31000,574.4,79.1
36.258682,134.527817,31000,573.4,76.7
36.263867,134.548684,31000,572.3,74.7
36.267609,134.561577,31000,569.4,70.3
36.27356,134.579601,31000,567.9,67.9
36.279144,134.594536,31000,565.6,65.3
36.298456,134.643237,31000,564.4,64.2
36.320847,134.700038,31000,563.5,63.9
36.343323,134.756413,31000,563.1,63.8
36.366236,134.813875,31000,563.1,63.8
36.389139,134.87132,31000,561.7,63.8
36.411713,134.928188,31000,562.2,63.9
36.434464,134.985752,31000,562.2,63.9
36.456619,135.041885,31000,563.1,64.0
36.479095,135.098991,31000,563.1,64.0
36.501889,135.156964,31000,562.6,64.1
36.524185,135.21389,31000,563.1,64.2
36.546672,135.271561,31000,563.1,64.2
36.569458,135.32999,31000,562.2,64.2
36.591156,135.38578,31000,561.8,64.3
36.61322,135.442715,31000,561.3,64.3
36.635075,135.499118,31000,561.8,64.3
36.657074,135.55584,31000,562.2,64.4
36.679459,135.613747,31000,562.2,64.4
36.701569,135.671139,31000,562.2,64.4
36.724045,135.729389,31000,560.9,64.4
36.746338,135.787354,31000,560.9,64.4
36.768356,135.844746,31000,561.4,64.6
36.79042,135.902574,31000,561.4,64.6
36.812256,135.959816,31000,562.3,64.6
36.834458,136.017988,31000,562.3,64.6
36.856659,136.076251,31000,562.3,64.6
36.878822,136.134518,31000,563.2,64.7
36.90097,136.192893,31000,562.7,64.8
36.922721,136.250411,31000,562.7,64.8
36.944733,136.308425,31000,562.7,64.8
36.966385,136.365636,31000,562.7,64.8
36.988586,136.424424,31000,563.6,64.8
37.010468,136.482453,31000,564.6,64.8
37.032398,136.540833,31000,565.5,64.9
37.054557,136.600003,31000,565.0,65.0
37.076477,136.658643,31000,566.8,65.1
37.098083,136.716614,31000,567.8,65.1
37.12001,136.775519,31000,569.1,65.1
37.141982,136.834657,31000,570.0,65.1
37.163681,136.893213,31000,569.6,65.2
37.184624,136.949715,31000,569.6,65.2
37.205612,137.006524,31000,569.6,65.2
37.227402,137.065547,31000,570.5,65.2
37.248779,137.123459,31000,571.8,65.2
37.270979,137.183652,31000,573.6,65.3
37.292346,137.241927,31000,573.2,65.4
37.31424,137.301753,31000,574.1,65.4
37.336212,137.361944,31000,575.0,65.4
37.358124,137.422008,31000,575.0,65.4
37.3797,137.481215,31000,576.3,65.4
37.401031,137.539829,31000,575.9,65.5
37.422832,137.599998,31000,574.6,65.5
37.444611,137.660094,31000,574.2,65.6
37.465986,137.719176,31000,573.3,65.6
37.48732,137.778197,31000,572.9,65.7
37.50914,137.838891,31000,572.9,65.7
37.530258,137.897761,31000,572.5,65.8
37.551865,137.958069,31000,571.5,65.7
37.573471,138.018318,31000,571.1,65.8
37.594656,138.077784,31000,572.0,65.8
