lat,lon,alt,gs,track,vs
37.448902,126.436813,125,90.0,324.0,-480
37.450516,126.435394,150,100.0,325.0,-480
37.453465,126.432755,62,100.0,325.0,-480
37.457096,126.429527,62,140.0,325.0,0
37.458893,126.427917,62,150.0,325.0,0
37.462589,126.424637,75,160.0,325.0,0
37.465164,126.42231,75,160.0,324.0,0
37.466995,126.42067,150,170.0,325.0,704
37.469616,126.418304,275,170.0,324.0,1208
37.472923,126.415321,350,170.0,324.0,1208
37.474831,126.413704,425,170.0,326.0,1472
37.478119,126.410797,550,160.0,325.0,1472
37.480637,126.408401,650,160.0,323.0,1664
37.482376,126.406532,775,160.0,320.0,1528
37.485123,126.403198,875,160.0,316.0,1344
37.487446,126.399971,950,160.0,312.0,1208
37.491169,126.394119,1100,160.0,308.0,1152
37.49295,126.391098,1175,160.0,307.0,1184
37.494709,126.38797,1275,160.0,305.0,1208
37.496662,126.384453,1350,170.0,305.0,1280
37.497829,126.382179,1425,170.0,303.0,1280
37.500015,126.378181,1525,170.0,305.0,1280
37.50174,126.374893,1625,170.0,304.0,1344
37.503227,126.37149,1700,170.0,299.0,0
37.504303,126.367729,1800,170.0,290.0,1280
37.50481,126.363853,1875,170.0,279.0,0
37.504898,126.359077,1975,170.0,271.0,1472
37.504761,126.351364,2200,170.0,269.0,1664
37.504719,126.347488,2300,170.0,269.0,1664
37.504669,126.343414,2400,170.0,269.0,1528
37.504669,126.339371,2500,170.0,270.0,1600
37.504715,126.335526,2600,170.0,271.0,1664
37.504761,126.331612,2725,170.0,271.0,1664
37.50481,126.327904,2825,170.0,271.0,1720
37.504898,126.323082,2950,170.0,271.0,0
37.504951,126.319366,3050,170.0,271.0,1792
37.505089,126.315132,3175,170.0,272.0,1528
37.505184,126.310471,3275,180.0,272.0,1024
37.505447,126.302628,3375,180.0,272.0,704
37.505508,126.299187,3425,190.0,271.0,704
37.505859,126.288895,3525,200.0,272.0,0
37.50602,126.283783,3575,200.0,272.0,704
37.506115,126.279839,3625,210.0,272.0,704
37.506439,126.269394,3725,220.0,272.0,568
37.506638,126.26149,3775,230.0,272.0,760
37.507137,126.241928,3975,240.0,272.0,888
37.50737,126.231659,4075,250.0,272.0,1280
37.507553,126.223907,4175,250.0,272.0,1400
37.507648,126.217865,4325,260.0,271.0,2240
37.507648,126.21637,4350,261.0,270.0,2304
37.507465,126.210579,4500,260.0,268.0,2304
37.505508,126.198517,4800,260.0,258.0,2432
37.503601,126.193024,4975,260.0,246.0,2624
37.501602,126.188789,5100,270.0,239.0,2680
37.498489,126.183647,5300,270.0,233.0,0
37.494846,126.179054,5475,270.0,225.0,2560
37.489838,126.17424,5675,278.0,217.0,2432
37.485352,126.171028,5825,280.0,210.0,2168
37.482971,126.169624,5900,280.0,205.0,2240
37.476471,126.16658,6050,280.0,200.0,2240
37.466267,126.162514,6400,287.0,198.0,2240
37.460358,126.160095,6575,280.0,198.0,2304
37.456329,126.158401,6700,280.0,198.0,2304
37.45047,126.15583,6875,280.0,199.0,2240
37.447365,126.154396,6975,290.0,200.0,2240
37.440384,126.15123,7175,292.2,197.9,2048
37.429779,126.14724,7450,292.2,197.9,2048
37.424149,126.146187,7600,290.0,188.0,2168
37.419983,126.146072,7700,296.0,181.0,2208
37.413616,126.146812,7875,290.0,175.0,2360
37.408264,126.148468,8050,290.0,166.0,2304
37.398903,126.15374,8325,290.0,152.0,2304
37.389454,126.163048,8650,290.0,138.0,2048
37.385925,126.16787,8875,300.0,133.0,1848
37.378513,126.17923,8875,302.0,129.0,1664
37.372604,126.188202,9200,300.0,130.0,1664
37.367523,126.195801,9325,300.0,130.0,1720
37.363449,126.201706,9475,310.0,131.0,2240
37.360016,126.206612,9650,300.0,131.0,2880
37.358311,126.209084,9725,309.0,131.0,3264
37.352325,126.217545,10050,300.0,132.0,2752
37.34914,126.221985,10175,300.0,132.0,2112
37.345871,126.226601,10300,300.0,132.0,1528
37.342026,126.231972,10375,310.0,132.0,960
37.337128,126.23922,10450,310.0,130.0,928
37.332962,126.246468,10525,320.0,126.0,704
37.328247,126.258392,10625,327.0,113.0,800
37.325226,126.276972,10775,327.0,113.0,800
37.32591,126.305456,11000,332.0,89.0,928
37.326233,126.317119,11100,342.0,87.7,928
37.326283,126.31889,11100,347.1,88.5,768
37.326469,126.338593,11225,348.1,88.8,704
37.32637,126.356273,11425,360.0,90.6,1600
37.326416,126.374564,11700,362.0,90.0,1920
37.327446,126.390062,11950,360.8,82.8,1920
37.328983,126.401944,12150,361.3,79.3,1920
37.331818,126.417691,12400,361.3,79.3,1920
37.334846,126.433769,12700,365.0,77.0,1568
37.341412,126.47031,13100,371.5,77.7,1344
37.342896,126.478758,13175,374.2,78.0,1472
37.348255,126.510912,13475,375.2,78.0,1408
37.351281,126.529959,13625,389.5,78.8,1536
37.353841,126.546259,13875,389.5,78.8,2368
37.357379,126.56871,14175,390.3,78.9,1920
37.358729,126.577308,14275,392.4,78.8,1472
37.363292,126.60549,14525,401.1,78.5,1280
37.366224,126.623582,14750,403.2,78.4,1920
37.371048,126.653254,15150,406.2,78.5,1984
37.374939,126.677155,15450,409.1,78.6,1536
37.379818,126.707054,15800,412.4,78.4,1984
37.384186,126.733665,16175,412.4,78.4,1984
37.38858,126.760546,16550,413.2,78.6,1792
37.389862,126.768611,16650,414.2,78.6,1344
37.391735,126.780196,16725,417.3,78.5,896
37.398206,126.819903,17000,425.6,78.5,1216
37.403745,126.853996,17300,430.5,78.6,1216
37.409425,126.889403,17600,436.8,78.5,1536
37.414536,126.921075,17925,438.7,78.6,1152
37.421016,126.96171,18150,447.7,78.7,1024
37.426483,126.995934,18450,452.6,78.8,1344
37.430603,127.022231,18650,455.8,78.7,960
37.437868,127.067632,18850,465.2,78.6,768
37.442756,127.098322,19050,469.1,78.7,1216
37.448456,127.13414,19350,471.1,78.7,1600
37.453766,127.167683,19700,472.1,78.8,1536
37.459655,127.205021,20000,475.0,78.8,1280
37.46489,127.238218,20300,476.0,78.9,1728
37.469943,127.270103,20650,476.0,78.9,1600
37.474686,127.300337,20900,477.2,78.8,1152
37.482279,127.348799,21225,482.1,78.9,1280
37.48591,127.371906,21400,483.0,78.9,1408
37.49159,127.40791,21700,485.2,78.8,1344
37.498444,127.453094,22025,488.6,79.9,1216
37.501511,127.477872,22200,491.7,82.1,1216
37.504671,127.511981,22450,493.2,84.5,1344
37.506821,127.548932,22700,493.2,84.5,1344
37.507736,127.588319,22975,500.0,89.5,1088
37.507462,127.619116,23150,500.0,89.5,1088
37.506958,127.635011,23275,503.2,91.7,1216
37.506363,127.648802,23400,503.2,91.7,1216
37.504624,127.677254,23650,502.9,95.0,1408
37.502809,127.698689,23825,503.4,96.6,1536
37.500853,127.717975,23975,503.7,97.9,1280
37.493126,127.77428,24300,505.9,99.4,896
37.491669,127.782801,24375,508.4,102.2,960
37.484482,127.820668,24500,512.3,104.5,512
37.477345,127.852438,24600,512.3,104.5,512
37.475157,127.861394,24650,517.4,107.3,512
37.46489,127.899326,24750,517.4,107.3,512
37.45891,127.919371,24825,517.4,107.3,448
37.453583,127.937194,24900,525.6,110.6,768
37.443924,127.969743,25075,526.6,110.6,896
37.434265,128.002878,25325,527.0,110.0,1184
37.423553,128.040161,25475,529.0,110.0,832
37.414127,128.072876,25700,532.7,109.9,896
37.409592,128.08873,25725,536.2,110.0,320
37.399429,128.12384,25775,536.2,110.0,320
37.391595,128.150621,25900,539.1,110.2,832
37.389873,128.156473,25925,540.4,110.2,768
37.377365,128.19899,26075,543.5,110.2,640
37.370554,128.222033,26175,543.5,110.2,640
37.356355,128.270217,26300,545.8,110.3,640
37.353745,128.279114,26350,545.8,110.3,640
37.343399,128.31424,26475,554.0,110.0,448
37.324448,128.378571,26575,562.0,110.0,192
37.321243,128.389328,26650,560.0,110.0,384
37.308781,128.431549,26775,566.0,111.0,832
37.300026,128.461105,26925,560.0,110.0,1312
37.297142,128.470963,27100,564.0,110.0,2304
37.293549,128.482941,27175,563.0,111.0,1632
37.289089,128.498123,27300,563.0,110.0,1344
37.286087,128.508194,27350,564.0,110.0,768
37.267998,128.569122,27575,569.0,111.0,352
37.255848,128.610016,27700,571.0,110.0,736
37.239414,128.665131,27950,575.0,111.0,672
37.222595,128.721146,28125,578.0,111.0,832
37.20562,128.777924,28350,581.0,110.0,640
37.191101,128.826324,28550,580.0,111.0,832
37.171497,128.891602,28900,580.0,111.0,960
37.157204,128.939194,29075,580.0,111.0,576
37.13998,128.996384,29250,589.0,111.0,640
37.123077,129.052246,29500,590.0,111.0,800
37.105068,129.111633,29725,590.0,111.0,800
37.090347,129.160065,29925,594.0,111.0,768
37.074902,129.210922,30125,590.0,111.0,992
37.058441,129.264969,30425,590.0,111.0,1184
37.04427,129.311478,30725,590.0,111.0,1152
37.027176,129.367233,31000,591.0,111.0,800
37.011402,129.418762,31150,590.0,111.0,384
37.003693,129.443832,31200,594.0,111.0,608
36.987717,129.495789,31450,593.0,111.0,960
36.968262,129.558899,31700,590.0,111.0,568
36.953957,129.60524,31850,596.0,111.0,480
36.940456,129.648941,31950,599.0,111.0,480
36.937775,129.65773,31975,599.0,111.0,0
36.92157,129.709915,32075,602.0,111.0,416
36.913784,129.735046,32150,602.0,111.0,704
36.90992,129.747467,32250,600.0,111.0,1088
36.892834,129.802505,32575,598.0,111.0,1400
36.880219,129.843048,32900,595.0,111.0,1760
36.87735,129.852264,33000,594.0,111.0,1920
36.869141,129.878693,33275,588.0,111.0,2336
36.862518,129.900116,33575,584.0,111.0,2720
36.855408,129.923126,33875,579.0,111.0,2112
