lat,lon,alt,gs,track,vs
35.176361,129.197952,1175,80.0,10.0,440
35.179138,129.197311,1225,80.0,349.0,440
35.182755,129.196075,1300,90.0,344.0,440
35.235992,129.192871,2925,90.0,348.0,960
35.246429,129.189041,3325,90.0,343.0,960
35.249588,129.187881,3450,90.0,343.0,960
35.251328,129.187256,3525,90.0,344.0,960
35.257317,129.185135,3675,90.0,344.0,1024
35.258896,129.184555,3800,90.0,343.0,1024
35.267303,129.181473,4075,90.0,343.0,248
35.236954,129.193611,4325,123.3,171.6,960
35.233566,129.19384,4425,122.9,173.0,960
35.231897,129.193901,4475,120.0,179.5,1024
35.226404,129.193726,4625,120.0,179.5,1024
35.225876,129.19367,4650,118.6,185.8,896
35.21727,129.191596,4900,118.3,191.2,1024
35.211321,129.190178,5075,118.3,191.2,1024
35.083164,129.159744,7100,120.0,186.0,0
35.08009,129.158997,7100,120.0,191.0,0
35.072067,129.15712,7100,120.0,191.0,64
35.066574,129.155838,7100,120.0,191.0,64
34.988197,129.119278,6600,120.0,266.0,-1024
34.98801,129.116074,6525,120.0,266.0,-1024
34.987638,129.112358,6450,128.0,262.8,-1024
34.987244,129.108525,6350,127.9,263.3,-1024
34.98624,129.096451,6075,130.0,264.0,-1024
34.985641,129.089294,5900,130.0,265.0,-1024
34.985405,129.086502,5825,130.0,264.0,-960
34.985123,129.083237,5775,130.0,264.0,-960
34.984772,129.079544,5675,130.0,263.0,-960
34.98436,129.074509,5575,130.0,264.0,-1024
34.983582,129.065536,5375,133.8,263.6,-1024
34.983124,129.060287,5250,133.8,263.6,-1024
34.982849,129.056503,5150,133.8,266.0,-1024
34.982574,129.053085,5075,133.8,264.0,-1024
34.981865,129.046154,4925,133.8,264.0,-1024
34.981026,129.036133,4725,133.8,264.0,-1024
34.980698,129.032516,4650,130.0,264.0,-1024
34.979095,129.013794,4250,130.0,264.0,-1024
34.978821,129.010437,4175,130.0,264.0,-1024
34.978363,129.005493,4075,130.0,264.0,-1024
34.977768,128.998489,3925,130.0,264.0,-1024
35.009937,128.959229,2475,120.0,315.0,-1024
35.011753,128.958954,2425,120.0,353.0,-1024
35.030466,128.956261,2200,120.0,353.0,-1024
35.034842,128.955746,2200,123.7,354.0,0
35.041918,128.954945,2200,119.5,354.7,64
35.052338,128.953596,2200,118.7,353.7,-64
35.06012,128.952475,2125,116.8,353.1,-448
35.064728,128.951855,2050,116.7,353.6,-576
35.069477,128.951225,1950,115.7,353.5,-640
35.074178,128.950596,1875,116.7,353.6,-640
35.078796,128.950008,1800,116.7,353.6,-640
35.083023,128.949451,1700,116.6,354.1,-704
35.087539,128.948879,1625,116.6,354.1,-832
35.091449,128.948364,1525,117.6,354.1,-576
35.096283,128.947766,1450,117.6,354.1,-576
35.101227,128.947094,1350,117.8,353.2,-512
35.106171,128.946421,1250,115.7,353.5,-704
35.111664,128.945748,1150,114.5,354.5,-640
35.114639,128.945412,1100,114.5,354.5,-640
35.118713,128.944908,1025,114.5,354.5,-640
35.317181,129.087128,2525,100.0,130.0,384
35.315411,129.090637,2575,100.0,118.0,320
35.314995,129.092331,2575,90.0,107.0,248
35.334591,129.165848,2800,90.0,58.0,0
35.28548,129.080185,2125,80.0,235.0,-248
35.16016,129.100628,2500,115.3,141.3,-512
35.157257,129.103481,2425,115.3,141.3,-512
35.150617,129.109898,2300,115.3,141.3,-512
35.167423,129.189148,875,60.0,352.0,-440
35.169937,129.188568,800,60.0,349.0,-440
35.176346,129.103985,2275,87.0,133.6,-128
35.173009,129.108124,2250,83.5,134.0,-128
35.170578,129.111216,2250,82.8,133.5,-128
35.164398,129.119339,2200,82.8,133.0,-128
35.151642,129.137299,2050,80.0,131.0,-248
35.150711,129.139633,2050,80.0,116.0,-248
35.149174,129.148407,1950,80.0,102.0,-248
35.149082,129.151947,1900,80.0,92.0,-248
35.1488,129.160828,1750,80.0,92.0,-248
35.148697,129.167328,1625,80.0,91.0,-568
35.149502,129.173248,1525,80.0,81.0,-568
35.154419,129.19104,1175,80.0,71.0,-440
35.156528,129.196823,1075,80.0,66.0,-440
35.15831,129.199326,1050,80.0,49.0,-440
35.163559,129.202759,1075,80.0,28.0,120
35.165794,129.203278,1100,80.0,11.0,120
35.167694,129.203476,1100,80.0,5.0,120
35.176361,129.204376,1150,80.0,4.0,120
35.179573,129.204086,1150,80.0,356.0,-248
35.183483,129.202423,1075,80.0,341.0,-512
35.185364,129.200958,1025,80.0,328.0,-568
35.186554,129.199677,1000,80.0,319.0,-568
