lat,lon,alt,gs,track,vs
10.796628,123.705669,17350,379.9,316.8,640
10.814209,123.68896,17500,389.8,316.8,640
10.832245,123.67177,17650,399.7,316.7,640
10.853096,123.651894,17900,408.2,316.7,1056
10.865021,123.640516,18150,409.6,316.7,1440
10.865799,123.639758,18150,409.6,316.7,2048
10.881546,123.624746,18500,411.0,316.7,1664
10.900625,123.606503,18825,414.6,316.8,1600
10.919619,123.588434,19125,418.8,316.7,1312
10.926819,123.581511,19275,419.5,316.6,1536
10.937448,123.571424,19500,419.5,316.6,1888
10.953094,123.556461,19900,418.1,316.6,2048
10.969482,123.540786,20250,419.5,316.6,1824
10.980377,123.530368,20450,419.5,316.6,1664
10.981155,123.52961,20475,419.5,316.6,1184
10.9953,123.516588,20650,423.0,318.5,1152
11.005325,123.508159,20750,425.9,321.0,1152
11.017044,123.499161,20875,427.6,323.6,1280
11.033249,123.487701,21125,428.6,325.5,1568
11.056961,123.471175,21450,430.8,325.5,1504
11.081015,123.454381,21750,434.9,325.4,1408
11.101266,123.440214,22100,434.9,325.4,1696
11.112534,123.432296,22225,436.3,325.4,1696
11.113403,123.431681,22250,436.3,325.4,1120
11.136063,123.415864,22575,437.2,325.4,1440
11.159821,123.399195,22875,439.9,325.4,1024
11.187424,123.379922,23125,444.4,325.5,672
11.194199,123.375186,23200,444.9,325.4,1120
11.218506,123.358186,23500,447.1,325.4,1344
11.244088,123.340277,23775,449.4,325.4,1088
11.273254,123.319828,24025,454.4,325.4,1056
11.290329,123.307895,24200,455.7,325.4,1344
11.297607,123.302828,24275,456.6,325.4,1536
11.298461,123.302211,24275,456.6,325.4,864
11.323273,123.284912,24575,458.0,325.4,1120
11.346771,123.268496,24875,459.4,325.4,1120
11.36792,123.253674,25125,459.4,325.4,1120
11.368615,123.253206,25150,459.4,325.4,1632
11.374832,123.248843,25250,459.4,325.4,1632
11.375784,123.248146,25250,459.4,325.4,2144
11.394871,123.234799,25625,454.9,325.3,2080
11.409576,123.224503,25925,452.7,325.3,2368
11.410512,123.223813,25925,452.7,325.3,1504
11.434113,123.207313,26225,452.7,325.3,1280
11.459532,123.189456,26525,453.5,325.3,1344
11.464645,123.185862,26575,453.5,325.3,1344
11.465469,123.185293,26575,453.5,325.3,832
11.491001,123.167387,26850,454.4,325.4,1184
11.517059,123.149162,27150,455.2,325.5,1344
11.5345,123.136944,27425,452.1,325.4,1472
11.535416,123.136328,27450,452.1,325.4,1984
11.558807,123.119944,27850,449.9,325.3,2080
11.584524,123.101903,28175,449.9,325.3,2080
11.597305,123.092904,28350,447.7,325.3,2080
11.618647,123.077955,28700,444.9,325.4,1792
11.640747,123.062407,29025,443.3,325.2,1376
11.665618,123.044899,29325,442.7,325.3,1504
11.689872,123.02789,29625,442.7,325.3,1376
11.718567,123.007807,29850,445.8,325.4,1056
11.720084,123.006736,29850,445.8,325.4,352
11.734748,122.996473,29950,447.1,325.4,352
11.764309,122.975753,30300,447.7,325.3,352
11.766769,122.973996,30350,447.1,325.4,352
11.768406,122.972862,30375,447.1,325.4,1472
11.793365,122.955291,30675,446.3,325.3,1056
11.818497,122.937627,30950,446.9,325.2,1344
11.843727,122.919858,31250,446.3,325.3,992
11.87096,122.90068,31525,446.3,325.3,1024
11.896637,122.882648,31800,446.3,325.3,1280
11.909958,122.873319,31925,444.9,325.4,1056
11.910873,122.872656,31925,444.9,325.4,544
11.93692,122.854377,32000,440.5,325.3,224
11.970383,122.830842,32025,439.1,325.3,-96
12.003308,122.807633,32000,441.3,325.3,256
12.024719,122.792674,32000,443.2,326.1,0
12.034126,122.786769,32000,444.9,329.2,-32
12.04474,122.780842,32000,445.0,332.6,0
12.054245,122.776242,31975,445.7,335.6,-256
12.064407,122.772122,32000,445.7,339.0,32
12.0737,122.768902,32000,445.6,342.5,-288
12.083704,122.766194,32000,445.1,346.1,96
12.093246,122.764214,32000,445.1,349.8,96
12.104874,122.762604,32000,445.0,353.3,-256
12.127277,122.760459,32000,444.6,355.1,160
12.167633,122.757016,32000,442.5,355.3,-64
12.183701,122.75569,32000,442.5,355.3,-64
12.184583,122.755641,32000,442.5,355.3,480
12.191116,122.755074,32000,441.4,355.5,480
12.192032,122.755027,32000,441.4,355.5,-32
12.232361,122.751665,31975,440.5,355.3,64
12.27301,122.748208,31975,439.5,355.3,-256
12.298599,122.745887,31975,439.3,354.1,-128
12.314301,122.743851,31950,439.5,351.8,-288
12.329224,122.741247,31950,439.5,349.4,160
12.34044,122.738728,31950,439.5,346.3,-64
12.3511,122.735644,31950,439.2,343.5,-96
12.362411,122.731776,31950,439.7,340.3,-96
12.37824,122.725091,31975,440.1,339.8,-96
12.383789,122.722305,31950,440.1,333.5,-96
12.393951,122.716717,31975,440.6,330.6,-32
12.403239,122.710876,31975,440.1,328.2,-64
12.411163,122.705304,31975,440.9,324.5,-192
12.420959,122.697538,31975,441.7,321.2,-192
12.449478,122.673577,31975,441.0,320.2,-64
